"order","action","status","severity","oldFlags","slotRole","oldType","relativeDifficulty","oldLevelId","oldAssetPath","oldWidth","oldHeight","oldChains","oldFill","newLevelId","newKind","newPool","newTypeGuess","newShapeName","newSizeBand","newWidth","newHeight","newChains","newFill","chainDelta","sourceAsset","destAsset","score","reason"
"87","replace","Yellow","30","GrindyLowClear|ShapeLowFill","Shape","shape_object","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L087_umbrella_large.asset","43","47","97","0.401","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom","shape","shape_maskonly_accepted347_pack","shape","mushroom","large","38","38","102","0.613","5","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb01_01_large_mushroom_20260614_170706.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L087_mushroom_large.asset","-34.48","shape_unused_family_fill_chain_match"
"93","replace","Yellow","30","GrindyLowClear|ShapeLowFill","Shape","shape_symbol","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb05_12_large_paintbrush","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L093_paintbrush_large.asset","40","49","87","0.349","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","shape","shape_maskonly_accepted347_pack","shape","wrappedcandy","large","37","29","86","0.684","-1","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_10_large_wrappedcandy_20260614_171924.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","-33.975","shape_unused_family_fill_chain_match"
"103","replace","Yellow","30","GrindyLowClear|ShapeLowFill","Shape","shape_ocean","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb03_03_large_sailboat","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L103_sailboat_large.asset","43","43","89","0.37","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","shape","shape_maskonly_accepted347_pack","shape","paperplane","large","44","38","102","0.501","13","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_01_large_paperplane_20260614_171856.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","-25.946","shape_unused_family_fill_chain_match"
"151","replace","Yellow","30","StartFakeWide|BottleneckHeavy","HoleRescue","hole_rescue","Mechanic","hole_highchain_016_hc_30x28_dual_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_016_hc_30x28_dual_a.asset","30","28","80","0.893","hole_topup_051_topup_wide_30x26_dual","oldbase","old_base_no_ab_r1r2","hole","","","30","26","79","0.891","-1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\TopupCandidates\hole_topup_051_topup_wide_30x26_dual.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_051_topup_wide_30x26_dual.asset","-3.628","hole_same_position_oldbase_match"
"156","replace","Yellow","30","GrindyLowClear|PeakTooFlat","Peak","section","VeryHard","direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset","22","34","108","0.989","direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04","oldbase","old_base_no_ab_r1r2","section","","","26","29","94","0.977","-14","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_55_direct_diff_normal_near_square_stair_ladder_g3_v04.asset","14.225","normal_oldbase_type_chain_match"
"292","replace","Yellow","30","StartFakeWide|BottleneckHeavy","HoleRescue","hole_rescue","Mechanic","hole_candidate_040_std_26x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset","26","26","62","0.879","hole_candidate_028_std_24x26_section","oldbase","old_base_no_ab_r1r2","hole","","","24","26","60","0.864","-2","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_028_std_24x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_028_std_24x26_section.asset","-1.91","hole_same_position_oldbase_match"
"492","replace","Yellow","30","StartFakeWide|BottleneckHeavy","HoleRescue","hole_rescue","Mechanic","hole_highchain_extra_018_hc2_32x30_lock_a","Assets/ArrowMagic/SOData/Levels/HoleProcedural/HighChainCandidates/hole_highchain_extra_018_hc2_32x30_lock_a.asset","32","30","90","0.902","hole_candidate_097_wide_34x26_section","oldbase","old_base_no_ab_r1r2","hole","","","34","26","91","0.899","1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\HoleProcedural\CandidatePool\hole_candidate_097_wide_34x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_097_wide_34x26_section.asset","8.305","hole_same_position_oldbase_match"
"138","replace","Yellow","28","StartFakeWide|ShapeLowFill","Shape","shape_space","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb09_05_main_scissorsvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L138_scissorsvarianta_main.asset","38","42","95","0.377","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","shape","shape_maskonly_accepted347_pack","shape","bowlingpin","main","28","44","99","0.592","4","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb05_03_main_bowlingpin_20260615_190510.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","-36.338","shape_unused_family_fill_chain_match"
"148","replace","Yellow","28","StartFakeWide|PeakTooFlat","Pressure","section","Hard","direct_normal_08_direct_normal_rect_stair_push_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_08_direct_normal_rect_stair_push_g0_v01.asset","22","34","105","0.985","direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02","oldbase","old_base_no_ab_r1r2","lock","","","19","35","99","0.988","-6","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_48_direct_diff_normal_dag_unlock_zig_river_g1_v02.asset","14.52","normal_oldbase_type_chain_match"
"241","replace","Yellow","26","BottleneckHeavy|GrindyLowClear","Recovery","sweep","Recovery","direct_normal_115_direct_normal_rect_sweep_g5_v12","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_115_direct_normal_rect_sweep_g5_v12.asset","23","42","120","0.979","direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07","oldbase","old_base_no_ab_r1r2","long","","","23","42","119","0.982","-1","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_105_direct_diff_hard_long_spine_long_corridor_g1_v07.asset","5.376","normal_oldbase_type_chain_match"
"324","replace","Yellow","26","BottleneckHeavy|GrindyLowClear","Pressure","section","Hard","direct_advanced_32_direct_advanced_veryhard_rect_section_unlock_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_32_direct_advanced_veryhard_rect_section_unlock_g3_v04.asset","26","44","186","0.985","direct_diff120_135_direct_diff_veryhard_near_square_stair_ladder_g3_v04","oldbase","old_base_no_ab_r1r2","section","","","35","41","195","0.986","9","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_135_direct_diff_veryhard_near_square_stair_ladder_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_135_direct_diff_veryhard_near_square_stair_ladder_g3_v04.asset","10.539","normal_oldbase_type_chain_match"
"388","replace","Yellow","26","BottleneckHeavy|GrindyLowClear","Pressure","section","Hard","direct_advanced_70_direct_advanced_extreme_rect_quasi_symmetry_g6_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_70_direct_advanced_extreme_rect_quasi_symmetry_g6_v03.asset","32","59","305","0.972","seed_mask_largecomposite_source_bigbadge","oldbase","old_base_no_ab_r1r2","normal","","","84","60","283","0.578","-22","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Seeds\seed_mask_largecomposite_source_bigbadge.asset","Assets/ArrowMagic/SOData/Levels/Seeds/seed_mask_largecomposite_source_bigbadge.asset","77.02","normal_oldbase_type_chain_match"
"469","replace","Yellow","26","BottleneckHeavy|GrindyLowClear","Pressure","maze","Hard","direct_polish_extreme_long_03_direct_polish_extreme_rect_hui_spiral_g9_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishExtremeLongCandidates/direct_polish_extreme_long_03_direct_polish_extreme_rect_hui_spiral_g9_v01.asset","38","62","366","0.97","seed_mask_largecomposite_source_bigbadge_largecomposite_rawclip","oldbase","old_base_no_ab_r1r2","normal","","","84","60","230","0.44","-136","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\Seeds\seed_mask_largecomposite_bigbadge_rawclip_seed_mask_largecomposite_source_bigbadge_Mask_84x60-BigBadgeSimple_20260609_014034.asset","Assets/ArrowMagic/SOData/Levels/Seeds/seed_mask_largecomposite_bigbadge_rawclip_seed_mask_largecomposite_source_bigbadge_Mask_84x60-BigBadgeSimple_20260609_014034.asset","256.201","normal_oldbase_type_chain_match"
"169","replace","Yellow","20","BottleneckHeavy|PeakTooFlat","Pressure","lock","Hard","direct_normal_31_direct_normal_rect_outer_shell_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_31_direct_normal_rect_outer_shell_g3_v04.asset","23","40","115","0.985","direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01","oldbase","old_base_no_ab_r1r2","lock","","","25","40","124","0.987","9","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_84_direct_diff_hard_dag_unlock_stair_ladder_g0_v01.asset","2.53","normal_oldbase_type_chain_match"
"58","replace","Yellow","18","GrindyLowClear","Shape","shape_symbol","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_07_main_wizardhat","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L058_wizardhat_main.asset","42","38","108","0.493","r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle","shape","shape_maskonly_accepted347_pack","shape","bicycle","main","42","34","108","0.52","0","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb04_06_main_bicycle_20260615_154554.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L058_bicycle_main.asset","-21.411","shape_unused_family_fill_chain_match"
"63","replace","Yellow","18","GrindyLowClear","Shape","shape_nature","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L063_wrappedcandy_large.asset","37","29","86","0.684","r2_outer_strong_005_r2_006_a401_maskonlyb04_18_compact_television","shape","shape_maskonly_accepted347_pack","shape","television","compact","36","31","74","0.659","-12","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb04_18_compact_television_20260615_154706.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L063_television_compact.asset","-5.682","shape_unused_family_fill_chain_match"
"105","replace","Yellow","18","GrindyLowClear","Recovery","maze","Recovery","direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06.asset","23","37","108","0.987","direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01","oldbase","old_base_no_ab_r1r2","long","","","23","40","117","0.973","9","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","17.472","normal_oldbase_type_chain_match"
"124","replace","Yellow","18","GrindyLowClear","Normal","section","Normal","direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset","21","38","105","0.98","direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04","oldbase","old_base_no_ab_r1r2","lock","","","21","36","96","0.98","-9","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","16.598","normal_oldbase_type_chain_match"
"153","replace","Yellow","18","GrindyLowClear","Shape","shape_character","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L153_paperplane_large.asset","44","38","102","0.501","r2_outer_strong_005_r2_006_a401_maskonlyb02_16_large_pumpkin","shape","shape_maskonly_accepted347_pack","shape","pumpkin","large","43","38","115","0.64","13","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb02_16_large_pumpkin_20260614_171959.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L153_pumpkin_large.asset","-14.234","shape_unused_family_fill_chain_match"
"168","replace","Yellow","18","GrindyLowClear","Shape","shape_object","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L168_lightningbolt_large.asset","34","49","97","0.465","r2_outer_strong_005_r2_006_a401_maskonlyb06_01_large_brickcellphone","shape","shape_maskonly_accepted347_pack","shape","brickcellphone","large","38","49","110","0.53","13","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb06_01_large_brickcellphone_20260615_223127.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L168_brickcellphone_large.asset","-6.784","shape_unused_family_fill_chain_match"
"207","replace","Yellow","18","GrindyLowClear","Shape","shape_music","Novelty","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_large_mushroom","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L207_mushroom_large.asset","38","38","102","0.613","r2_outer_strong_005_r2_006_a401_maskonlyb09_04_main_magnetvarianta","shape","shape_maskonly_accepted347_pack","shape","magnetvarianta","main","38","38","114","0.589","12","F:\Unityproject\ArrowLevel-Hand\.worktrees\shape-procedural-mask-fill\Assets\ArrowMagic\SOData\Levels\ShapeExperiment\Candidates\ProceduralMaskFill\maskonlyb09_04_main_magnetvarianta_20260616_110834.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L207_magnetvarianta_main.asset","-6.827","shape_unused_family_fill_chain_match"
"209","replace","Yellow","18","GrindyLowClear","Peak","lock","VeryHard","direct_pure_topup_08_08_direct_polish_hard_pure_rect_lock_buckle_g12_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_08_direct_polish_hard_pure_rect_lock_buckle_g12_v04.asset","23","42","157","0.983","direct_diff120_144_direct_diff_veryhard_dag_unlock_zig_river_g0_v06","oldbase","old_base_no_ab_r1r2","lock","","","27","46","153","0.981","-4","F:\Unityproject\ArrowLevel-Hand\Assets\ArrowMagic\SOData\Levels\DirectProcedural\Differentiation120Candidates\direct_diff120_144_direct_diff_veryhard_dag_unlock_zig_river_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_144_direct_diff_veryhard_dag_unlock_zig_river_g0_v06.asset","1.393","normal_oldbase_type_chain_match"
