pool,candidateIndex,guid,worktreeRoot,packPath,assetPath,levelId,assetName,width,height,chains,arrowCells,coverage,longestChain,spawnMaskGuid,inferredShapeKey,parseStatus
shape_maskonly347,11,738c9f74d3b17e542b42904d70616631,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_main_compass_20260614_170826.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_04_main_compass,maskonlyb01_04_main_compass_20260614_170826,34,42,122,853,0.597,13,62320917754fddd44a04b8192841f5d2,maskonlyb01_04_main_compass,ok
shape_maskonly347,12,c2f8e461971d14b4cb690ac06c35c397,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_04_large_compass_20260614_170828.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_04_large_compass,maskonlyb01_04_large_compass_20260614_170828,38,47,130,1066,0.597,17,f206c3dcdaf052d4ba0a77bd9b559d42,maskonlyb01_04_large_compass,ok
shape_maskonly347,13,55fbe47a3db854448b2e395a8eda4eb4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_compact_musicnote_20260614_170828.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_compact_musicnote,maskonlyb01_05_compact_musicnote_20260614_170828,26,36,43,395,0.422,20,faa074f872502a740b697bb700686396,maskonlyb01_05_compact_musicnote,ok
shape_maskonly347,14,6a2a74ae2273e1b40b256da8f0b30744,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_main_musicnote_20260614_170828.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_main_musicnote,maskonlyb01_05_main_musicnote_20260614_170828,30,42,77,543,0.431,13,b71d8c214e1c0fa45afccbcdef4b47c2,maskonlyb01_05_main_musicnote,ok
shape_maskonly347,15,bc890f2701c97a540b3226d0de8dff1d,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_large_musicnote_20260614_170850.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote,maskonlyb01_05_large_musicnote_20260614_170850,34,47,94,700,0.438,17,0e2e711ea06696f4f8fa7cf74131e42f,maskonlyb01_05_large_musicnote,ok
shape_maskonly347,16,cb3048d4826046447b3a3aeefafc5722,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_compact_snowflake_20260614_170851.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_06_compact_snowflake,maskonlyb01_06_compact_snowflake_20260614_170851,33,33,65,588,0.54,24,c8cb272b2e696d846ab3852acd8b3416,maskonlyb01_06_compact_snowflake,ok
shape_maskonly347,17,04061ae488d230e4b8a13987a0f2b4b9,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_main_snowflake_20260614_170857.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_06_main_snowflake,maskonlyb01_06_main_snowflake_20260614_170857,38,38,117,793,0.549,13,b8f872e5c62578940b1c6a9c955545c3,maskonlyb01_06_main_snowflake,ok
shape_maskonly347,18,8acadba300e6d2841a7dc2065e1a4b9a,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_large_snowflake_20260614_170859.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_06_large_snowflake,maskonlyb01_06_large_snowflake_20260614_170859,43,43,119,1001,0.541,17,06ccd67784768c44c8a6ff02e4e8b974,maskonlyb01_06_large_snowflake,ok
shape_maskonly347,19,3a91db3a60247ab46b198f2c0df94eee,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_compact_starfish_20260614_170859.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_07_compact_starfish,maskonlyb01_07_compact_starfish_20260614_170859,33,33,45,477,0.438,24,9a944520ab066854e81fbeabe9ab350c,maskonlyb01_07_compact_starfish,ok
shape_maskonly347,20,e68f19da58b69d144be069cde81115e4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_main_starfish_20260614_170900.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_07_main_starfish,maskonlyb01_07_main_starfish_20260614_170900,38,38,94,643,0.445,13,3e22bfbaa201a75468920de402442eb0,maskonlyb01_07_main_starfish,ok
shape_maskonly347,21,f43f41cbd49bf3a41a467ef8d5145c9d,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_large_starfish_20260614_170901.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_07_large_starfish,maskonlyb01_07_large_starfish_20260614_170901,43,43,99,835,0.452,17,d1b5a7b02dbf0aa43b9ac0dbd3e9af76,maskonlyb01_07_large_starfish,ok
shape_maskonly347,22,3a7039fea4596024bb8e35dea2b9660f,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_compact_hourglass_20260614_170901.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_08_compact_hourglass,maskonlyb01_08_compact_hourglass_20260614_170901,28,36,70,718,0.712,23,18f993f26bb8b9a4eb43cbbc955c0682,maskonlyb01_08_compact_hourglass,ok
shape_maskonly347,23,bf9f4fcd41618c84f91a1c32a2b1f3b4,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_main_hourglass_20260614_170902.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_08_main_hourglass,maskonlyb01_08_main_hourglass_20260614_170902,32,42,127,941,0.7,13,1140925ab7b213a44a1c9e42da73665a,maskonlyb01_08_main_hourglass,ok
shape_maskonly347,24,7413436d08bb0ff498b585b47f2e81f3,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_large_hourglass_20260614_170904.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_08_large_hourglass,maskonlyb01_08_large_hourglass_20260614_170904,36,47,140,1179,0.697,17,f3b3d40667557b64eb546ed04b11dead,maskonlyb01_08_large_hourglass,ok
shape_maskonly347,25,ca95da312b1385e4bb33af01d61b3edf,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_compact_clover_20260614_170904.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_09_compact_clover,maskonlyb01_09_compact_clover_20260614_170904,31,36,62,668,0.599,24,e0ab77acc6e8dd64196c6f2e0bfdf978,maskonlyb01_09_compact_clover,ok
shape_maskonly347,26,b591fc67e55afc14a8764d8917ad607c,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_main_clover_20260614_170905.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_09_main_clover,maskonlyb01_09_main_clover_20260614_170905,36,42,127,918,0.607,13,294c25b8ded8d4e439fce0191d9f586c,maskonlyb01_09_main_clover,ok
shape_maskonly347,27,b20ebab8e5acdd04f80deaf0bc2b246d,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_large_clover_20260614_170906.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_09_large_clover,maskonlyb01_09_large_clover_20260614_170906,40,47,131,1125,0.598,17,1911fe1b8bc39a84ba387ef64f3f9b77,maskonlyb01_09_large_clover,ok
shape_maskonly347,28,0be9a3749257fb743b4f28c2e5a004fa,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_compact_sun_20260614_170907.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_10_compact_sun,maskonlyb01_10_compact_sun_20260614_170907,33,33,56,586,0.538,24,572d4d2b4d2a07a4997379168620a91a,maskonlyb01_10_compact_sun,ok
shape_maskonly347,29,92cf8410a1fa89e47813125e352aae4a,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_main_sun_20260614_170907.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_10_main_sun,maskonlyb01_10_main_sun_20260614_170907,38,38,113,789,0.546,13,0e25076dc290cfe40b14ff764a2b256f,maskonlyb01_10_main_sun,ok
shape_maskonly347,30,3f8c9bfda959ca44f99acdfce1303286,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_large_sun_20260614_170909.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_10_large_sun,maskonlyb01_10_large_sun_20260614_170909,43,43,124,1001,0.541,17,db95cc439c27e784882772d65c76fc8d,maskonlyb01_10_large_sun,ok
shape_maskonly347,31,7ca1791961ec79140bbd0b1877c476b7,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_compact_shell_20260614_170910.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_11_compact_shell,maskonlyb01_11_compact_shell_20260614_170910,33,29,54,584,0.61,24,c97de3d1dfde85f489f22a9f4a9f2c48,maskonlyb01_11_compact_shell,ok
shape_maskonly347,32,35f239961206c0b488129312de77e0d9,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_main_shell_20260614_170910.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_11_main_shell,maskonlyb01_11_main_shell_20260614_170910,38,34,104,778,0.602,13,55ed22e4107cb79469e1e8d80d396563,maskonlyb01_11_main_shell,ok
shape_maskonly347,33,d8c68cc8997057f4ead89b00302ba2de,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_large_shell_20260614_170911.asset,r2_outer_strong_005_r2_006_a401_maskonlyb01_11_large_shell,maskonlyb01_11_large_shell_20260614_170911,43,38,117,997,0.61,17,38a982a57bebb424c8efeda2f17a983c,maskonlyb01_11_large_shell,ok
shape_maskonly347,34,46a513ff56bc83643aad53c7972e34e0,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_compact_paperplane_20260614_171854.asset,r2_outer_strong_005_r2_006_a401_maskonlyb02_01_compact_paperplane,maskonlyb02_01_compact_paperplane_20260614_171854,36,29,52,520,0.498,23,c8edb8e84526b4543aabb851e5e3c012,maskonlyb02_01_compact_paperplane,ok
shape_maskonly347,35,8c0b9bda280e80b439ac8f4d96bd15b2,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_main_paperplane_20260614_171855.asset,r2_outer_strong_005_r2_006_a401_maskonlyb02_01_main_paperplane,maskonlyb02_01_main_paperplane_20260614_171855,42,34,102,716,0.501,13,9f918efe7f42f8840bdf96170b4342cb,maskonlyb02_01_main_paperplane,ok
shape_maskonly347,36,b99a8fb44ae65f54f96505cb12eac7fb,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_large_paperplane_20260614_171856.asset,r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane,maskonlyb02_01_large_paperplane_20260614_171856,44,38,102,838,0.501,17,333e02c62a019f441b0db3d8d1f998cd,maskonlyb02_01_large_paperplane,ok
shape_maskonly347,37,4f66fc8759fb1014f966e8f73f49b5f5,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill,F:/Unityproject/ArrowLevel-Hand/.worktrees/shape-procedural-mask-fill/Assets/ArrowMagic/SOData/Packs/ShapeExperiment/MaskOnlyCollected/ShapeIconMaskOnlyAcceptedPoolPack.asset,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_compact_apple_20260614_171856.asset,r2_outer_strong_005_r2_006_a401_maskonlyb02_02_compact_apple,maskonlyb02_02_compact_apple_20260614_171856,29,33,60,623,0.651,24,fe20d52c72767f84582f59696bac558e,maskonlyb02_02_compact_apple,ok
