pool,finalLevel,guid,duplicateInCampaign500,levelId,zipAssetEntry,zippedAssetName,originalAssetPath,sourceGroup,sourceIndex,width,height,chains,arrowCells,parsedChains,parsedArrowCells,coverage,afterOuter1Coverage,afterOuterBandCoverage,edgeHeadChains,shortChains,addedChains,addedCells,problem,repaired,status,initialMovableArrowCount,targetDifficultyScore,minPathLen,maxPathLength,twistiness
normal_sgp40_zip_complete,11,c9e7fa75282021d4fae7487749c11190,,sgp_merged_final_outer_repair_newseed100431_final20_07_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_11_sgp_merged_final_outer_repair_newseed100431_final20_07_sgp_seed_hard_ske.asset,Level_11_sgp_merged_final_outer_repair_newseed100431_final20_07_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_07_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,7,18,28,49,493,49,493,0.9782,0.989,0.982,13,12,0,4,True,True,outer1_repair_ok outer1=0.977->0.989 visualOuter=0.974->0.987 outer=0.970->0.982 addedChains=0 addedCells=4,13,184,3,71,0.42
normal_sgp40_zip_complete,12,bcb640d9010bccc44ac0b4ea96942c9d,,sgp_merged_final_outer_repair_newseed100431_final20_08_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_12_sgp_merged_final_outer_repair_newseed100431_final20_08_sgp_seed_hard_ske.asset,Level_12_sgp_merged_final_outer_repair_newseed100431_final20_08_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_08_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,8,18,30,61,525,61,525,0.9722,0.989,0.977,9,17,0,5,True,True,outer1_repair_ok outer1=0.946->0.989 visualOuter=0.966->0.981 outer=0.949->0.977 addedChains=0 addedCells=5,9,299,3,33,0.42
normal_sgp40_zip_complete,13,cd1954c1032254a45a1dc67fd6a2d0b6,,sgp_merged_final_outer_repair_newseed100431_final20_09_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_13_sgp_merged_final_outer_repair_newseed100431_final20_09_sgp_seed_hard_ske.asset,Level_13_sgp_merged_final_outer_repair_newseed100431_final20_09_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_09_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,9,19,29,63,543,63,543,0.9855,1.000,1.000,10,19,0,8,True,True,outer1_repair_ok outer1=0.935->1.000 visualOuter=0.966->0.991 outer=0.966->1.000 addedChains=0 addedCells=8,10,275,3,45,0.42
normal_sgp40_zip_complete,14,96f43d55f375d1b449a5e31140f2aa6a,,sgp_merged_final_outer_repair_newseed100431_final20_15_sgp_seed_hard_skeleton_newseed20260618_100431,Levels/Level_14_sgp_merged_final_outer_repair_newseed100431_final20_15_sgp_seed_hard_ske.asset,Level_14_sgp_merged_final_outer_repair_newseed100431_final20_15_sgp_seed_hard_ske.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/newseed100431_final20/sgp_merged_final_outer_repair_newseed100431_final20_15_sgp_seed_hard_skeleton_newseed20260618_100431.asset,NEWSEED100431_FINAL20,15,19,30,66,559,66,559,0.9807,1.000,0.994,7,21,0,9,True,True,outer1_repair_ok outer1=0.957->1.000 visualOuter=0.963->0.991 outer=0.961->0.994 addedChains=0 addedCells=9,7,379,3,44,0.42
normal_sgp40_zip_complete,15,0189606f42945b942b7e296cd1608ed6,,sgp_merged_final_outer_repair_quality_filtered26_harde_01_sgp_linework_maze_13_sgp_linework_maze_lockv4,Levels/Level_15_sgp_merged_final_outer_repair_quality_filtered26_harde_01_sgp_linework_m.asset,Level_15_sgp_merged_final_outer_repair_quality_filtered26_harde_01_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_01_sgp_linework_maze_13_sgp_linework_maze_lockv4.asset,QUALITY_FILTERED26_HARDER,1,20,33,75,660,75,660,1,1.000,1.000,4,14,0,0,False,False,pass_no_problem,4,472,3,27,0.42
normal_sgp40_zip_complete,16,555b35f3d88e13447a18552b77839073,,sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri,Levels/Level_16_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_m.asset,Level_16_sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_02_sgp_linework_maze_08_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,2,23,37,111,851,111,851,1,1.000,1.000,4,30,0,0,False,False,pass_no_problem,4,703,3,28,0.42
normal_sgp40_zip_complete,17,dc706f3b210b1464ebbd468c7ca6ae87,,sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri,Levels/Level_17_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_m.asset,Level_17_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,3,22,35,98,770,98,770,1,1.000,1.000,5,27,0,0,False,False,pass_no_problem,5,755,3,27,0.42
normal_sgp40_zip_complete,18,e3ecd712e1904874985289dadbffeeaf,,sgp_merged_final_outer_repair_quality_filtered26_harde_04_sgp_linework_maze_04_sgp_linework_maze_bluepri,Levels/Level_18_sgp_merged_final_outer_repair_quality_filtered26_harde_04_sgp_linework_m.asset,Level_18_sgp_merged_final_outer_repair_quality_filtered26_harde_04_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_04_sgp_linework_maze_04_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,4,22,35,98,770,98,770,1,1.000,1.000,8,22,0,0,False,False,pass_no_problem,8,594,3,26,0.42
normal_sgp40_zip_complete,19,4f21a9fbb213a674f818790be6c39b19,,sgp_merged_final_outer_repair_quality_filtered26_harde_05_sgp_linework_maze_14_sgp_linework_maze_lockv4,Levels/Level_19_sgp_merged_final_outer_repair_quality_filtered26_harde_05_sgp_linework_m.asset,Level_19_sgp_merged_final_outer_repair_quality_filtered26_harde_05_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_05_sgp_linework_maze_14_sgp_linework_maze_lockv4.asset,QUALITY_FILTERED26_HARDER,5,22,37,98,814,98,814,1,1.000,1.000,5,21,0,0,False,False,pass_no_problem,5,660,3,26,0.42
normal_sgp40_zip_complete,20,1b3d487dcb7789b448a6351614517fc8,,sgp_merged_final_outer_repair_quality_filtered26_harde_06_sgp_linework_maze_07_sgp_linework_maze_bluepri,Levels/Level_20_sgp_merged_final_outer_repair_quality_filtered26_harde_06_sgp_linework_m.asset,Level_20_sgp_merged_final_outer_repair_quality_filtered26_harde_06_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_06_sgp_linework_maze_07_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,6,21,34,85,714,85,714,1,1.000,1.000,3,21,0,0,False,False,pass_no_problem,3,474,3,27,0.42
normal_sgp40_zip_complete,21,385490de4fdb9204c8641dc198ead37b,,sgp_merged_final_outer_repair_quality_filtered26_harde_07_sgp_linework_maze_18_sgp_linework_maze_lockv4,Levels/Level_21_sgp_merged_final_outer_repair_quality_filtered26_harde_07_sgp_linework_m.asset,Level_21_sgp_merged_final_outer_repair_quality_filtered26_harde_07_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_07_sgp_linework_maze_18_sgp_linework_maze_lockv4.asset,QUALITY_FILTERED26_HARDER,7,22,38,102,836,102,836,1,1.000,1.000,4,23,0,0,False,False,pass_no_problem,4,807,3,27,0.42
normal_sgp40_zip_complete,22,5bd7cf263b97e3445a5eea74a66e94f6,,sgp_merged_final_outer_repair_quality_filtered26_harde_08_sgp_linework_maze_04_sgp_linework_maze_bluepri,Levels/Level_22_sgp_merged_final_outer_repair_quality_filtered26_harde_08_sgp_linework_m.asset,Level_22_sgp_merged_final_outer_repair_quality_filtered26_harde_08_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_08_sgp_linework_maze_04_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,8,22,36,100,792,100,792,1,1.000,1.000,8,27,0,0,False,False,pass_no_problem,8,730,3,28,0.42
normal_sgp40_zip_complete,23,4bb782656ebd2b84ca08539cc8e5f443,,sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri,Levels/Level_23_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_m.asset,Level_23_sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_09_sgp_linework_maze_05_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,9,23,37,107,851,107,851,1,1.000,1.000,5,28,0,0,False,False,pass_no_problem,5,756,3,27,0.42
normal_sgp40_zip_complete,24,38c0fb9f93dea3d42b6074e465233028,,sgp_merged_final_outer_repair_quality_filtered26_harde_10_sgp_linework_maze_08_sgp_linework_maze_bluepri,Levels/Level_24_sgp_merged_final_outer_repair_quality_filtered26_harde_10_sgp_linework_m.asset,Level_24_sgp_merged_final_outer_repair_quality_filtered26_harde_10_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_10_sgp_linework_maze_08_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,10,20,32,77,640,77,640,1,1.000,1.000,4,21,0,0,False,False,pass_no_problem,4,385,3,27,0.42
normal_sgp40_zip_complete,25,ce48d68600343ed4ca3cb600bea6bc2b,,sgp_merged_final_outer_repair_quality_filtered26_harde_11_sgp_linework_maze_09_sgp_linework_maze_lockv4,Levels/Level_25_sgp_merged_final_outer_repair_quality_filtered26_harde_11_sgp_linework_m.asset,Level_25_sgp_merged_final_outer_repair_quality_filtered26_harde_11_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_11_sgp_linework_maze_09_sgp_linework_maze_lockv4.asset,QUALITY_FILTERED26_HARDER,11,21,34,82,714,82,714,1,1.000,1.000,8,19,0,0,False,False,pass_no_problem,8,570,3,27,0.42
normal_sgp40_zip_complete,26,aafd7cafaf5670b4cb583e600d252c66,,sgp_merged_final_outer_repair_quality_filtered26_harde_12_sgp_linework_maze_06_sgp_linework_maze_bluepri,Levels/Level_26_sgp_merged_final_outer_repair_quality_filtered26_harde_12_sgp_linework_m.asset,Level_26_sgp_merged_final_outer_repair_quality_filtered26_harde_12_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_12_sgp_linework_maze_06_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,12,23,37,103,851,103,851,1,1.000,1.000,8,24,0,0,False,False,pass_no_problem,8,698,3,27,0.42
normal_sgp40_zip_complete,27,95edf7bf413a5f94c92b43a77e89dc7c,,sgp_merged_final_outer_repair_quality_filtered26_harde_13_sgp_linework_maze_01_sgp_linework_maze_bluepri,Levels/Level_27_sgp_merged_final_outer_repair_quality_filtered26_harde_13_sgp_linework_m.asset,Level_27_sgp_merged_final_outer_repair_quality_filtered26_harde_13_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_13_sgp_linework_maze_01_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,13,21,34,89,714,89,714,1,1.000,1.000,7,25,0,0,False,False,pass_no_problem,7,587,3,27,0.42
normal_sgp40_zip_complete,28,81c400d6a59fd884888f333ebdf76d22,,sgp_merged_final_outer_repair_quality_filtered26_harde_14_sgp_linework_maze_02_sgp_linework_maze_bluepri,Levels/Level_28_sgp_merged_final_outer_repair_quality_filtered26_harde_14_sgp_linework_m.asset,Level_28_sgp_merged_final_outer_repair_quality_filtered26_harde_14_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_14_sgp_linework_maze_02_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,14,21,35,91,735,91,735,1,1.000,1.000,4,23,0,0,False,False,pass_no_problem,4,557,3,27,0.42
normal_sgp40_zip_complete,29,f3440f2ba00fb4741b3078785436a93f,,sgp_merged_final_outer_repair_quality_filtered26_harde_15_sgp_linework_maze_03_sgp_linework_maze_bluepri,Levels/Level_29_sgp_merged_final_outer_repair_quality_filtered26_harde_15_sgp_linework_m.asset,Level_29_sgp_merged_final_outer_repair_quality_filtered26_harde_15_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_15_sgp_linework_maze_03_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,15,23,37,109,851,109,851,1,1.000,1.000,3,31,0,0,False,False,pass_no_problem,3,505,3,26,0.42
normal_sgp40_zip_complete,30,a0a9a7f77f5a8ef4d983afe7cf6b71df,,sgp_merged_final_outer_repair_quality_filtered26_harde_16_sgp_linework_maze_03_sgp_linework_maze_bluepri,Levels/Level_30_sgp_merged_final_outer_repair_quality_filtered26_harde_16_sgp_linework_m.asset,Level_30_sgp_merged_final_outer_repair_quality_filtered26_harde_16_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_16_sgp_linework_maze_03_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,16,21,35,94,735,94,735,1,1.000,1.000,7,29,0,0,False,False,pass_no_problem,7,610,3,28,0.42
normal_sgp40_zip_complete,31,b020105d1ef0f4e41bc3e73810e4cd5e,,sgp_merged_final_outer_repair_quality_filtered26_harde_17_sgp_linework_maze_15_sgp_linework_maze_lockv4,Levels/Level_31_sgp_merged_final_outer_repair_quality_filtered26_harde_17_sgp_linework_m.asset,Level_31_sgp_merged_final_outer_repair_quality_filtered26_harde_17_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_17_sgp_linework_maze_15_sgp_linework_maze_lockv4.asset,QUALITY_FILTERED26_HARDER,17,22,36,89,792,89,792,1,1.000,1.000,6,21,0,0,False,False,pass_no_problem,6,554,3,28,0.42
normal_sgp40_zip_complete,32,ec64469f0d8cb6d408cf50f7577cf9da,,sgp_merged_final_outer_repair_quality_filtered26_harde_18_sgp_linework_maze_02_sgp_linework_maze_bluepri,Levels/Level_32_sgp_merged_final_outer_repair_quality_filtered26_harde_18_sgp_linework_m.asset,Level_32_sgp_merged_final_outer_repair_quality_filtered26_harde_18_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_18_sgp_linework_maze_02_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,18,21,35,85,735,85,735,1,1.000,1.000,3,19,0,0,False,False,pass_no_problem,3,466,3,28,0.42
normal_sgp40_zip_complete,33,65e89e1a4df1c3540ab60f3279fc29f0,,sgp_merged_final_outer_repair_quality_filtered26_harde_19_sgp_linework_maze_08_sgp_linework_maze_bluepri,Levels/Level_33_sgp_merged_final_outer_repair_quality_filtered26_harde_19_sgp_linework_m.asset,Level_33_sgp_merged_final_outer_repair_quality_filtered26_harde_19_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_19_sgp_linework_maze_08_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,19,21,36,98,756,98,756,1,1.000,1.000,7,30,0,0,False,False,pass_no_problem,7,645,3,27,0.42
normal_sgp40_zip_complete,34,47c2f6f4ea9d82e4faae89e4e40a8bc1,,sgp_merged_final_outer_repair_quality_filtered26_harde_20_sgp_linework_maze_02_sgp_linework_maze_bluepri,Levels/Level_34_sgp_merged_final_outer_repair_quality_filtered26_harde_20_sgp_linework_m.asset,Level_34_sgp_merged_final_outer_repair_quality_filtered26_harde_20_sgp_linework_m.asset,Assets/ArrowMagic/SOData/Levels/SelfGeneratedProduction/SGPMergedFinalOuterRepair/quality_filtered26_harder/sgp_merged_final_outer_repair_quality_filtered26_harde_20_sgp_linework_maze_02_sgp_linework_maze_bluepri.asset,QUALITY_FILTERED26_HARDER,20,20,32,79,640,79,640,1,1.000,1.000,5,22,0,0,False,False,pass_no_problem,5,415,3,28,0.42
