order,action,lockReason,oldLevelId,oldType,levelType,difficulty,oldWidth,oldHeight,oldChains,newLevelId,newType,newWidth,newHeight,newChains,chainDelta,note
31,keep,,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,sweep,普通,1,14,28,61,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,sweep,14,28,61,0,
32,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,shape_magic,普通,3,28,40,83,r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest,shape,36,36,67,-16,wavecrest:compact
33,keep,,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,dense,普通,1,19,33,78,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,dense,19,33,78,0,
34,keep,,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,lock,普通,2,20,37,93,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,lock,20,37,93,0,
35,keep,,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,dense,普通,1,17,29,65,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,dense,17,29,65,0,
36,keep,,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,lock,普通,2,19,33,83,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,lock,19,33,83,0,
37,keep_locked,hole_position,hole_candidate_009_std_20x22_lock,hole_rescue,hole,1,20,22,41,hole_candidate_009_std_20x22_lock,hole_rescue,20,22,41,0,hole_position
38,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,shape_magic,普通,3,30,42,88,r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge,shape,40,32,100,12,suspensionbridge:main
39,keep,,direct_normal_06_direct_normal_rect_core_burst_g0_v01,lock,普通,1,22,35,101,direct_normal_06_direct_normal_rect_core_burst_g0_v01,lock,22,35,101,0,
40,keep,,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,lock,普通,3,22,33,103,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,lock,22,33,103,0,
41,keep,,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,dense,普通,1,14,28,62,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,dense,14,28,62,0,
42,keep,,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,dense,普通,2,19,33,80,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,dense,19,33,80,0,
43,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,shape_magic,普通,2,32,42,87,r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses,shape,35,27,80,-7,sunglasses:large
44,keep,,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,section,普通,4,20,32,86,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,section,20,32,86,0,
45,keep,,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,lock,普通,1,19,32,74,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,lock,19,32,74,0,
46,keep_locked,hole_position,hole_candidate_017_std_20x26_maze,hole_rescue,hole,1,20,26,43,hole_candidate_017_std_20x26_maze,hole_rescue,20,26,43,0,hole_position
47,keep,,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,lock,普通,3,23,40,118,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,lock,23,40,118,0,
48,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,shape_magic,普通,2,32,44,88,r2_outer_strong_005_r2_006_a401_maskonlyb02_15_large_kite,shape,34,49,78,-10,kite:large
49,keep,,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,section,普通,2,20,34,89,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,section,20,34,89,0,
50,keep,,nomask_style_expansion_35_zig_river_tall,sweep,普通,1,18,30,67,nomask_style_expansion_35_zig_river_tall,sweep,18,30,67,0,
51,keep,,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,maze,普通,1,18,34,85,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,maze,18,34,85,0,
52,keep,,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,lock,普通,1,22,31,87,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,lock,22,31,87,0,
53,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,shape_space,普通,1,30,42,86,r2_outer_strong_005_r2_006_a401_maskonlyb04_18_compact_television,shape,36,31,74,-12,television:compact
54,keep_locked,hole_position,hole_topup_001_topup_tall_18x26_dense,hole_rescue,hole,1,18,26,43,hole_topup_001_topup_tall_18x26_dense,hole_rescue,18,26,43,0,hole_position
55,keep,,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,section,普通,1,20,35,94,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,section,20,35,94,0,
56,keep,,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,dense,普通,1,22,34,96,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,dense,22,34,96,0,
57,keep,,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,section,普通,2,18,34,84,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,section,18,34,84,0,
58,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,shape_symbol,普通,1,30,42,87,r2_outer_strong_005_r2_006_a401_maskonlyb02_07_main_wizardhat,shape,42,38,108,21,wizardhat:main
59,keep,,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,lock,普通,2,18,38,89,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,lock,18,38,89,0,
60,keep,,nomask_style_06_stair_ladder,section,普通,1,16,24,59,nomask_style_06_stair_ladder,section,16,24,59,0,
61,keep_locked,hole_position,hole_candidate_057_tall_18x26_lock,hole_rescue,hole,1,18,26,43,hole_candidate_057_tall_18x26_lock,hole_rescue,18,26,43,0,hole_position
62,keep,,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,dense,普通,1,17,24,63,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,dense,17,24,63,0,
63,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,shape_nature,普通,2,32,42,90,r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy,shape,37,29,86,-4,wrappedcandy:large
64,keep,,nomask_style_expansion_20_long_corridor_b,maze,普通,1,20,28,66,nomask_style_expansion_20_long_corridor_b,maze,20,28,66,0,
65,keep,,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,lock,普通,1,22,37,104,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,lock,22,37,104,0,
66,keep,,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,sweep,普通,1,18,37,89,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,sweep,18,37,89,0,
67,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,shape_symbol,普通,2,30,40,86,r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager,shape,38,30,104,18,pager:main
68,keep,,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,lock,普通,1,15,25,59,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,lock,15,25,59,0,
69,keep,,direct_normal_48_direct_normal_rect_stair_push_g4_v05,section,普通,1,22,35,100,direct_normal_48_direct_normal_rect_stair_push_g4_v05,section,22,35,100,0,
70,keep,,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,section,普通,1,21,36,103,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,section,21,36,103,0,
71,keep_locked,hole_position,hole_candidate_019_std_22x24_section,hole_rescue,hole,1,22,24,45,hole_candidate_019_std_22x24_section,hole_rescue,22,24,45,0,hole_position
72,keep,,direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09,lock,普通,1,21,39,104,direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09,lock,21,39,104,0,
73,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,shape_symbol,普通,2,28,42,90,r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill,shape,36,36,82,-8,windmill:compact
74,keep,,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,section,普通,2,18,36,87,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,section,18,36,87,0,
75,keep,,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,sweep,普通,3,20,38,103,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,sweep,20,38,103,0,
76,keep,,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,section,普通,2,21,34,94,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,section,21,34,94,0,
77,keep,,nomask_style_expansion_33_double_room_lock_tall,lock,普通,1,18,29,48,nomask_style_expansion_33_double_room_lock_tall,lock,18,29,48,0,
78,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,shape_music,普通,4,28,42,92,r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil,shape,38,49,87,-5,pencil:large
79,keep,,nomask_style_expansion_19_long_corridor_a,maze,普通,1,19,27,58,nomask_style_expansion_19_long_corridor_a,maze,19,27,58,0,
80,keep,,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,section,普通,1,22,32,89,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,section,22,32,89,0,
81,keep,,nomask_style_expansion_04_snake_spine_a,sweep,普通,1,16,24,46,nomask_style_expansion_04_snake_spine_a,sweep,16,24,46,0,
82,keep_locked,hole_position,hole_candidate_018_std_22x24_lock,hole_rescue,hole,1,22,24,45,hole_candidate_018_std_22x24_lock,hole_rescue,22,24,45,0,hole_position
83,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,shape_symbol,普通,1,30,40,91,r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse,shape,40,34,103,12,ballmouse:main
84,keep,,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,lock,普通,1,21,32,88,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,lock,21,32,88,0,
85,keep,,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,maze,普通,1,20,36,92,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,maze,20,36,92,0,
86,keep,,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,dense,普通,1,16,28,55,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,dense,16,28,55,0,
87,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,shape_object,普通,4,30,40,95,r2_outer_strong_005_r2_006_a401_maskonlyb01_02_large_umbrella,shape,43,47,97,2,umbrella:large
88,keep,,direct_normal_28_direct_normal_rect_stair_push_g2_v03,section,普通,1,20,38,101,direct_normal_28_direct_normal_rect_stair_push_g2_v03,section,20,38,101,0,
89,keep,,direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05,lock,普通,3,21,34,100,direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05,lock,21,34,100,0,
90,keep,,direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02,section,普通,1,22,34,98,direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02,section,22,34,98,0,
91,keep_locked,hole_position,hole_candidate_071_wide_26x22_maze,hole_rescue,hole,1,26,22,47,hole_candidate_071_wide_26x22_maze,hole_rescue,26,22,47,0,hole_position
92,keep,,nomask_style_expansion_30_vertical_gate_a,lock,普通,1,16,25,48,nomask_style_expansion_30_vertical_gate_a,lock,16,25,48,0,
93,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,shape_symbol,普通,2,28,42,92,r2_outer_strong_005_r2_006_a401_maskonlyb05_12_large_paintbrush,shape,40,49,87,-5,paintbrush:large
94,keep,,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,section,普通,3,21,39,107,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,section,21,39,107,0,
95,keep,,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,dense,普通,1,15,27,61,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,dense,15,27,61,0,
96,keep,,direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02,section,普通,2,23,37,110,direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02,section,23,37,110,0,
97,keep,,direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04,sweep,普通,1,21,38,102,direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04,sweep,21,38,102,0,
98,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,shape_music,普通,2,28,42,94,r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset,shape,34,42,87,-7,phonehandset:main
99,keep,,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,section,普通,3,22,34,101,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,section,22,34,101,0,
100,keep,,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,lock,普通,1,15,28,51,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,lock,15,28,51,0,
101,keep_locked,hole_position,hole_candidate_020_std_22x24_dense,hole_rescue,hole,1,22,24,47,hole_candidate_020_std_22x24_dense,hole_rescue,22,24,47,0,hole_position
102,keep,,direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02,dense,普通,1,15,26,57,direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02,dense,15,26,57,0,
103,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,shape_ocean,普通,2,30,42,93,r2_outer_strong_005_r2_006_a401_maskonlyb03_03_large_sailboat,shape,43,43,89,-4,sailboat:large
104,keep,,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,lock,普通,1,21,36,102,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,lock,21,36,102,0,
105,keep,,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,maze,普通,2,23,37,108,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,maze,23,37,108,0,
106,keep,,direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04,section,普通,1,18,36,86,direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04,section,18,36,86,0,
107,keep,,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,lock,普通,3,21,36,105,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,lock,21,36,105,0,
108,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,shape_symbol,普通,2,28,42,93,r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer,shape,42,36,89,-4,hammer:main
109,keep,,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,section,普通,1,23,37,108,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,section,23,37,108,0,
110,keep,,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,section,普通,1,21,37,104,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,section,21,37,104,0,
111,keep,,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,dense,普通,1,20,35,89,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,dense,20,35,89,0,
112,keep,,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,lock,普通,1,22,38,108,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,lock,22,38,108,0,
113,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,shape_magic,普通,4,28,42,98,r2_outer_strong_005_r2_006_a401_maskonlyb03_02_large_guitar,shape,38,49,97,-1,guitar:large
114,keep,,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,maze,普通,2,18,37,94,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,maze,18,37,94,0,
115,keep,,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,section,普通,1,18,33,74,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,section,18,33,74,0,
116,keep,,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,lock,普通,1,20,34,89,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,lock,20,34,89,0,
117,keep_locked,hole_position,hole_topup_018_topup_std_22x26_dual,hole_rescue,hole,1,22,26,49,hole_topup_018_topup_std_22x26_dual,hole_rescue,22,26,49,0,hole_position
118,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,shape_ocean,普通,1,30,44,96,r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot,shape,34,47,95,-1,carrot:large
119,keep,,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,section,普通,2,21,36,102,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,section,21,36,102,0,
120,keep,,direct_normal_65_direct_normal_rect_sweep_g0_v07,sweep,普通,1,22,38,106,direct_normal_65_direct_normal_rect_sweep_g0_v07,sweep,22,38,106,0,
121,keep,,nomask_04_maze_long_chain,maze,普通,1,17,24,51,nomask_04_maze_long_chain,maze,17,24,51,0,
122,keep,,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,dense,普通,1,20,32,89,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,dense,20,32,89,0,
123,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,shape_magic,普通,3,30,42,92,r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car,shape,38,30,90,-2,car:main
124,keep,,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,section,普通,3,21,38,105,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,section,21,38,105,0,
125,keep,,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,lock,普通,1,21,34,93,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,lock,21,34,93,0,
126,keep_locked,hole_position,hole_candidate_016_std_20x26_section,hole_rescue,hole,1,20,26,50,hole_candidate_016_std_20x26_section,hole_rescue,20,26,50,0,hole_position
127,replace_shape,,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,shape_character,普通,2,30,42,99,r2_outer_strong_005_r2_006_a401_maskonlyb04_19_large_tent,shape,44,38,98,-1,tent:large
128,keep,,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,lock,普通,1,18,35,79,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,lock,18,35,79,0,
129,keep,,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,section,普通,1,22,35,102,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,section,22,35,102,0,
130,keep,,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,section,普通,1,22,31,96,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,section,22,31,96,0,
131,keep,,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,dense,普通,1,18,31,81,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,dense,18,31,81,0,
132,keep,,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,lock,普通,1,19,32,86,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,lock,19,32,86,0,
