category,packPath,packId,displayName,refs,resolved,unresolved,inCurrentCampaign500,unusedResolved,uniqueResolved,chainsMinAvgMax,widthMinAvgMax,heightMinAvgMax,topTypeGuess
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront20PreviewPack.asset,campaign_front20_preview_v1,Campaign Front20 Preview V1,20,20,0,12,8,20,6/41.5/96,10/18.4/29,7/21.9/34,normal:15;hole:2;sweep:2;tutorial:1
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront30PreviewPack.asset,campaign_front30_preview_v1,Campaign Front30 Preview V1,30,30,0,13,17,30,6/53.1/110,10/20.3/31,7/24.8/44,normal:24;hole:2;sweep:2;tutorial:1;shape:1
Front_import_old_pool,Assets/ArrowMagic/SOData/Packs/LevelImportV1/CampaignFront50PreviewPack.asset,campaign_front50_preview_with_bonus_v1,Campaign Front50 Preview With Bonus V1,51,51,0,17,34,51,6/68.8/126,10/22.7/33,7/28.6/44,normal:40;shape:5;hole:3;sweep:2;tutorial:1
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/LevelPack.asset,pack_001,Starter Pack,5,5,0,0,5,5,0/0.0/0,8/13.8/20,8/13.8/20,normal:5
Mask_experiment_old_pool,Assets/ArrowMagic/SOData/Packs/Mask_Preview_Pack.asset,mask_preview_pack,Mask Preview Pack,2,2,0,0,2,2,0/0.0/0,10/10.0/10,10/10.0/10,normal:2
NoMask_early_pool,Assets/ArrowMagic/SOData/Packs/NoMaskProcedural/Level3ThirtyPreviewPack.asset,level3_thirty_preview,Level 3 Thirty Preview (3),3,3,0,1,2,3,29/31.0/33,12/12.0/12,17/17.7/18,lock:2;maze:1
NoMask_early_pool,Assets/ArrowMagic/SOData/Packs/NoMaskProcedural/Level3TinyPreviewPack.asset,level3_tiny_preview,Level 3 Tiny Preview (3),3,3,0,1,2,3,19/19.3/20,9/9.0/9,13/13.3/14,shell:1;lock:1;maze:1
Misc_old_pack,Assets/ArrowMagic/SOData/Packs/Normal_40_70_LevelPack.asset,normal_40_70,Normal 40-70,20,20,0,0,20,20,0/0.0/0,10/10.0/10,10/10.0/10,normal:20
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/Production/HoleProcedural/HoleProceduralCandidatePack.asset,hole_procedural_candidates,Hole Procedural Candidates (50),50,50,0,0,50,50,52/74.9/147,16/21.0/28,18/25.4/36,hole:50
Hole_old_pool,Assets/ArrowMagic/SOData/Packs/Production/HoleProcedural/HoleProceduralPreviewTop50Pack.asset,hole_procedural_preview_top50,Hole Procedural Preview Diverse 50,50,50,0,0,50,50,52/74.9/147,16/21.0/28,18/25.4/36,hole:50
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/AnimalBestPreviewPack.asset,AnimalBestPreviewPack,Animal Best Preview Tight (3),3,3,0,0,3,3,61/67.0/72,29/31.0/32,22/24.0/26,normal:3
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/AnimalShapePreviewPack.asset,AnimalShapePreviewPack,Animal Shape Preview (4),4,4,0,0,4,4,100/110.5/116,40/42.0/44,30/37.5/44,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/Deprecated/ShapeExperimentPreviewPack.asset,ShapeExperimentPreviewPack,Shape Experiment Preview (10),10,10,0,0,10,10,11/19.5/37,14/17.2/22,16/17.8/24,normal:10
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/EarlySymbolPreviewPack.asset,EarlySymbolPreviewPack,Early Symbol Preview (4),4,4,0,0,4,4,22/30.0/43,19/19.8/21,19/20.2/22,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/KeepEarly/ShapeEarlyKeepRetrospectivePack.asset,ShapeEarlyKeepRetrospectivePack,Shape Early Keep Retrospective (12),12,12,0,0,12,12,32/67.7/114,19/28.3/44,19/27.9/34,normal:12
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/KeepEarly/TallFitEarlyShapeKeepPack.asset,TallFitEarlyShapeKeepPack,Tall Fit Early Shape Keep (4),4,4,0,0,4,4,50/59.0/74,20/21.5/22,30/30.5/32,normal:4
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/OriginalStarMaskPreviewPack.asset,OriginalStarMaskPreviewPack,Original Star Mask Preview,1,1,0,0,1,1,32/32.0/32,19/19.0/19,19/19.0/19,normal:1
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ReadableShapePreviewPack.asset,ReadableShapePreviewPack,Readable Shape Preview (Accepted 3),3,3,0,0,3,3,32/53.7/65,19/25.0/28,19/25.7/30,normal:3
Shape_old_pool,Assets/ArrowMagic/SOData/Packs/ShapeExperiment/TallFitShapePreviewPack.asset,TallFitShapePreviewPack,Tall Fit Shape Preview (4),4,4,0,0,4,4,50/59.0/74,20/21.5/22,30/30.5/32,normal:4
