"order","section10","category","difficultyBucket","experienceRole","projectedChain","projectedArrow","projectedAsset","sourcePool","productionLane","chainLanguage","baseChain","baseArrow","initialChain","initialArrow","projectionReason","linkedOrder","chainDeltaVsBase","chainDeltaVsInitial"
"12","2","normal","Ordinary","Normal","48","535","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","48","535","50","400","keep_current","","0","-2"
"13","2","shape","Shape","Shape","60","503","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","ShapeMaskInventory","","","60","503","37","201","keep_current","","0","23"
"14","2","normal","Ordinary","Normal","54","529","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","54","529","42","310","keep_current","","0","12"
"15","2","normal","Ordinary","Normal","55","530","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","55","530","53","355","keep_current","","0","2"
"16","2","normal","Hard","Normal","56","526","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","56","526","54","426","keep_current","","0","2"
"17","2","hole","HoleRescue","HoleRescue","37","195","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","","","","37","195","37","195","keep_current","","0","0"
"18","2","normal","Ordinary","Normal","47","535","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","47","535","53","439","keep_current","","0","-6"
"19","2","normal","Peak","Normal","79","756","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","79","756","94","693","keep_current","","0","-15"
"20","2","normal","Ordinary","Normal","38","428","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","38","428","41","327","keep_current","","0","-3"
"21","3","normal","Ordinary","FixedFront40","60","537","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","60","537","59","398","keep_current","","0","1"
"22","3","normal","Ordinary","FixedFront40","58","536","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","58","536","55","379","keep_current","","0","3"
"23","3","shape","FixedFront40","FixedFront40","87","735","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","ShapeMaskInventory","","","87","735","69","728","keep_current","","0","18"
"24","3","normal","Ordinary","FixedFront40","63","536","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","79","817","82","655","v7_review_target","128","-16","-19"
"25","3","normal","Hard","FixedFront40","89","871","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","89","871","98","728","keep_current","","0","-9"
"26","3","hole","HoleRescue","HoleRescue","42","385","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","","","","42","385","42","385","keep_current","","0","0"
"27","3","shape","Shape","Shape","72","588","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","ShapeMaskInventory","","","72","588","68","585","keep_current","","0","4"
"28","3","normal","Ordinary","FixedFront40","59","633","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","rail_chain","59","633","63","487","keep_current","","0","-4"
"29","3","normal","Peak","FixedFront40","90","871","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PressurePeak","mixed_chain","90","871","98","770","keep_current","","0","-8"
"30","3","normal","Ordinary","FixedFront40","64","653","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","choice_clamp_chain","78","763","92","632","v7_review_target","265","-14","-28"
"31","4","normal","Ordinary","FixedFront40","55","531","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","55","531","61","381","keep_current","","0","-6"
"32","4","shape","FixedFront40","FixedFront40","83","667","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","ShapeMaskInventory","","","83","667","67","673","keep_current","","0","16"
"33","4","normal","Ordinary","FixedFront40","64","580","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_04_nutation_peel_rect_s01_o008_v03_peellight_curve_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","75","651","78","618","v7_review_target","270","-11","-14"
"34","4","normal","Ordinary","FixedFront40","65","648","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_18_nutation_mixed_neutral_v1_rect_s47_o464_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","79","759","93","725","v7_review_target","250","-14","-28"
"35","4","normal","Ordinary","FixedFront40","65","652","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","65","652","65","484","keep_current","","0","0"
"36","4","normal","Ordinary","FixedFront40","66","647","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_135_nutation_mixed_neutral_v1_rect_s38_o371_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","77","650","83","617","v7_review_target","244","-11","-17"
"37","4","hole","HoleRescue","HoleRescue","41","357","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","","","","41","357","41","357","keep_current","","0","0"
"38","4","shape","FixedFront40","FixedFront40","88","718","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","ShapeMaskInventory","","","88","718","100","706","keep_current","","0","-12"
"39","4","normal","Peak","FixedFront40","99","686","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","HubMixedRefill30Front300","hub_spoke","mixed_chain","86","888","101","761","v7_review_target","154","13","-2"
"40","4","normal","Hard","FixedFront40","86","888","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","curve_chain","72","1010","103","717","v7_review_target","491","14","-17"
"41","5","normal","Ordinary","Recovery","53","535","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","53","535","62","382","keep_current","","0","-9"
"42","5","normal","Ordinary","Normal","66","647","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_46_nutation_strict_mixed_hard_v1_rect_s45_o446_v00_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelLight","curve_chain","76","656","80","618","v7_review_target","257","-10","-14"
"43","5","shape","Shape","Shape","81","645","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","ShapeMaskInventory","","","81","645","80","648","keep_current","","0","1"
"44","5","normal","Hard","Pressure","84","814","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","84","814","86","628","keep_current","","0","-2"
"45","5","normal","Ordinary","Recovery","68","637","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","Campaign500_HardGateUntil0910","PeelLight","rail_chain","72","654","74","592","v7_review_target","248","-4","-6"
"46","5","hole","HoleRescue","HoleRescue","43","437","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","","","","43","437","43","437","keep_current","","0","0"
"47","5","normal","Peak","Peak","99","1364","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","84","809","117","940","v7_review_target","136","15","-18"
"48","5","shape","Shape","Shape","76","629","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","ShapeMaskInventory","","","76","629","78","623","keep_current","","0","-2"
"49","5","normal","Hard","Pressure","79","759","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight","curve_chain","79","759","89","669","keep_current","","0","-10"
"50","5","normal","Ordinary","Recovery","67","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","67","651","67","527","keep_current","","0","0"
"51","6","normal","Ordinary","Recovery","67","653","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","FlowPatch","patch_chain","74","650","85","589","v7_review_target","357","-7","-18"
"52","6","normal","Hard","Pressure","82","754","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelHard","rail_chain","75","653","87","666","v7_review_target","116","7","-5"
"53","6","shape","Shape","Shape","92","816","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","ShapeMaskInventory","","","92","816","75","809","keep_current","","0","17"
"54","6","hole","HoleRescue","HoleRescue","43","388","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","","","","43","388","43","388","keep_current","","0","0"
"55","6","normal","Ordinary","Normal","68","637","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","curve_chain","74","648","94","684","v7_review_target","402","-6","-26"
"56","6","normal","Peak","Pressure","100","962","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","79","1116","96","734","v7_review_target","316","21","4"
"57","6","normal","Ordinary","Normal","69","654","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","82","757","84","601","v7_review_target","345","-13","-15"
"58","6","shape","Shape","Shape","92","759","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","ShapeMaskInventory","","","92","759","108","743","keep_current","","0","-16"
"59","6","normal","Peak","Peak","85","868","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","85","868","89","672","keep_current","","0","-4"
"60","6","normal","Ordinary","Recovery","54","634","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_97_nutation_flow_rail_v1_rect_s35_o346_v00_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","54","634","59","370","keep_current","","0","-5"
"61","7","hole","HoleRescue","HoleRescue","43","386","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","","","","43","386","43","386","keep_current","","0","0"
"62","7","normal","Ordinary","Normal","67","653","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","67","653","63","394","keep_current","","0","4"
"63","7","shape","Shape","Shape","70","515","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","ShapeMaskInventory","","","70","515","72","508","keep_current","","0","-2"
"64","7","normal","Ordinary","Normal","66","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","66","651","66","551","keep_current","","0","0"
"65","7","normal","Peak","Pressure","100","954","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","82","699","104","803","v7_review_target","336","18","-4"
"66","7","normal","Ordinary","Recovery","70","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","70","651","89","652","keep_current","","0","-19"
"67","7","shape","Shape","Shape","91","764","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","ShapeMaskInventory","","","91","764","104","752","keep_current","","0","-13"
"68","7","normal","Ordinary","Normal","69","646","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","rail_chain","52","532","59","368","v7_review_target","411","17","10"
"69","7","normal","Hard","Pressure","94","869","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","94","869","100","760","keep_current","","0","-6"
"70","7","normal","Hard","Normal","81","704","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","81","704","103","741","keep_current","","0","-22"
"71","8","hole","HoleRescue","HoleRescue","45","447","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","","","","45","447","45","447","keep_current","","0","0"
"72","8","normal","Peak","Pressure","92","862","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","","","86","873","104","802","v7_review_target","407","6","-12"
"73","8","shape","Shape","Shape","82","737","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","ShapeMaskInventory","","","82","737","82","737","keep_current","","0","0"
"74","8","normal","Ordinary","Normal","82","815","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","82","815","87","642","keep_current","","0","-5"
"75","8","normal","Hard","Recovery","83","762","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","83","762","103","746","keep_current","","0","-20"
"76","8","normal","Peak","Peak","108","1155","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","NutationLongChainStrict60","LongChainProbe","curve_chain","72","955","94","703","v7_review_target","500","36","14"
"77","8","normal","Ordinary","Normal","65","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelHard","rail_chain","46","536","48","516","v7_review_target","261","19","17"
"78","8","shape","Shape","Shape","84","700","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","ShapeMaskInventory","","","84","700","87","697","keep_current","","0","-3"
"79","8","normal","Ordinary","Recovery","66","648","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","51","530","58","504","v7_review_target","271","15","8"
"80","8","normal","Ordinary","Normal","73","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","73","651","89","689","keep_current","","0","-16"
"81","9","normal","Ordinary","Recovery","66","654","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_21_nutation_mixed_neutral_v1_rect_s43_o422_v02_neutralmixed_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","43","428","46","380","v7_review_target","422","23","20"
"82","9","hole","HoleRescue","HoleRescue","45","441","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","","","","45","441","45","441","keep_current","","0","0"
"83","9","shape","Shape","Shape","91","709","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","ShapeMaskInventory","","","91","709","103","711","keep_current","","0","-12"
"84","9","normal","Hard","Pressure","80","815","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_37_nutation_strict_mixed_hard_v1_rect_s41_o405_v01_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","curve_chain","80","815","88","665","keep_current","","0","-8"
"85","9","normal","Ordinary","Recovery","79","759","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","79","759","92","710","keep_current","","0","-13"
"86","9","normal","Ordinary","Normal","67","651","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","51","532","55","442","v7_review_target","374","16","12"
"87","9","shape","Shape","Shape","95","751","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_03_L087_racingkart.asset","ShapeMaskInventory","","","95","751","107","742","keep_current","","0","-12"
