"order","section10","category","bucket","experienceRole","baseChain","projectedChain","canvasAdjustedChain","chainDeltaVsBase","projectedArea","projectedArrow","isLongChain","projectionReason","donorOrTargetOrder","sourcePool","productionLane","chainLanguage","note","projectedAsset"
"11","2","normal","Ordinary","Normal","34","29","29","-5","391","373","True","v11_review_target","284","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","s2 ordinary 34->29","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset"
"12","2","normal","Ordinary","Normal","48","34","35","-14","567","539","True","v11_review_target","148","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","s2 ordinary 48->34","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset"
"13","2","shape","Shape","Shape","60","60","60","0","1936","503","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset"
"14","2","normal","Ordinary","Normal","54","36","36","-18","513","486","True","v11_review_target","104","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","s2 ordinary 54->36","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset"
"15","2","normal","Ordinary","Normal","55","38","38","-17","432","430","False","v11_review_target","297","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","s2 ordinary 55->38","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset"
"16","2","normal","Hard","Normal","56","50","50","-6","540","535","False","v11_review_target","134","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","s2 hard 56->50","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset"
"17","2","hole","HoleRescue","HoleRescue","37","37","37","0","360","195","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset"
"18","2","normal","Ordinary","Normal","47","39","39","-8","432","427","False","v11_review_target","289","Campaign500_HardGateUntil0910","FlowRail","rail_chain","s2 ordinary 47->39","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset"
"19","2","normal","Peak","Normal","79","60","66","-19","816","772","True","v11_review_target","227","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","s2 order19 benchmark 79->60","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset"
"20","2","normal","Ordinary","Normal","38","40","40","2","432","427","False","v11_review_target","291","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","s2 ordinary 38->40","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset"
"21","3","normal","Ordinary","FixedFront40","60","42","45","-18","667","631","True","v11_review_target","129","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","s3 ordinary 60->42","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset"
"22","3","normal","Ordinary","FixedFront40","58","43","47","-15","713","659","True","v11_review_target","281","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","s3 ordinary 58->43","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset"
"23","3","shape","FixedFront40","FixedFront40","87","87","87","0","1073","735","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset"
"24","3","normal","Ordinary","FixedFront40","79","45","45","-34","540","538","False","v11_review_target","121","Campaign500_HardGateUntil0910","FlowRail","rail_chain","s3 ordinary 79->45","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset"
"25","3","normal","Hard","FixedFront40","89","64","67","-25","660","626","True","v11_review_target","232","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","s3 hard 89->64","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset"
"26","3","hole","HoleRescue","HoleRescue","42","42","42","0","468","385","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset"
"27","3","shape","Shape","Shape","72","72","72","0","1044","588","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset"
"28","3","normal","Ordinary","FixedFront40","59","46","46","-13","540","536","False","v11_review_target","471","Campaign500HardGateUntil0910After300Reclaimed","FlowCurve","curve_chain","s3 ordinary 59->46","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset"
"29","3","normal","Peak","FixedFront40","90","75","81","-15","816","772","True","v11_review_target","389","NutationLongChainStrict60","PressurePeak","mixed_chain","s3 peak 90->75","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset"
"30","3","normal","Ordinary","FixedFront40","78","47","47","-31","540","538","False","v11_review_target","161","Campaign500_HardGateUntil0910","FlowRail","rail_chain","s3 ordinary 78->47","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset"
"31","4","normal","Ordinary","FixedFront40","55","55","55","0","540","531","False","keep_current","","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset"
"32","4","shape","FixedFront40","FixedFront40","83","83","83","0","1296","667","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset"
"33","4","normal","Ordinary","FixedFront40","75","50","53","-25","660","627","True","v11_review_target","249","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","s4 ordinary 75->50","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_04_nutation_longchain_spine_v1_rect_c80hf_01_d1_lock_spine.asset"
"34","4","normal","Ordinary","FixedFront40","79","54","54","-25","540","534","False","v11_review_target","279","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s4 ordinary 79->54","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain.asset"
"35","4","normal","Ordinary","FixedFront40","65","54","54","-11","540","535","False","v11_review_target","280","Campaign500NormalFullV1UnusedStrict","FlowPatch","patch_chain","s4 ordinary 65->54","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset"
"36","4","normal","Ordinary","FixedFront40","77","56","56","-21","540","529","False","v11_review_target","102","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","s4 ordinary 77->56","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset"
"37","4","hole","HoleRescue","HoleRescue","41","41","41","0","440","357","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset"
"38","4","shape","FixedFront40","FixedFront40","88","88","88","0","1280","718","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset"
"39","4","normal","Peak","FixedFront40","86","86","86","0","910","888","False","keep_current","","Campaign500_HardGateUntil0910","PeelMid","curve_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset"
"40","4","normal","Hard","FixedFront40","72","70","74","-2","713","675","True","v11_review_target","172","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","s4 hard 72->70; shape carries segment peak","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_07_nutation_longchain_patch_v1_rect_c80hf2_02_d1_maze_patch.asset"
"41","5","normal","Ordinary","Recovery","53","53","53","0","540","535","False","keep_current","","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset"
"42","5","normal","Ordinary","Normal","76","61","64","-15","660","627","True","v11_review_target","209","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","s5 ordinary 76->61","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch.asset"
"43","5","shape","Shape","Shape","81","81","81","0","945","645","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset"
"44","5","normal","Hard","Pressure","84","84","84","0","825","814","False","keep_current","","Campaign500_HardGateUntil0910","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset"
"45","5","normal","Ordinary","Recovery","72","63","63","-9","540","536","False","v11_review_target","128","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s5 ordinary 72->63","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_114_nutation_mixed_neutral_v1_rect_s10_o100_v02_neutralmixed_mixed_chain.asset"
"46","5","hole","HoleRescue","HoleRescue","43","43","43","0","520","437","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset"
"47","5","normal","Peak","Peak","84","94","94","10","713","667","False","v11_review_target","107","ExternalHardGateDedupFront300","HubMixed","unknown_chain","s5 peak 84->94","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset"
"48","5","shape","Shape","Shape","76","76","76","0","1666","629","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset"
"49","5","normal","Hard","Pressure","79","79","79","0","768","759","False","keep_current","","Campaign500_HardGateUntil0910","PeelLight","curve_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset"
"50","5","normal","Ordinary","Recovery","67","67","67","0","660","651","False","keep_current","","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset"
"51","6","normal","Ordinary","Recovery","74","70","70","-4","660","651","False","v11_review_target","115","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s6 ordinary 74->70","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset"
"52","6","normal","Hard","Pressure","75","82","82","7","768","754","False","v11_review_target","116","Campaign500_HardGateUntil0910","PeelHard","rail_chain","s6 hard 75->82","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset"
"53","6","shape","Shape","Shape","92","92","92","0","1044","816","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset"
"54","6","hole","HoleRescue","HoleRescue","43","43","43","0","468","388","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset"
"55","6","normal","Ordinary","Normal","74","69","69","-5","660","655","False","v11_review_target","160","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s6 ordinary 74->69","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_150_nutation_mixed_neutral_v1_rect_s13_o128_v02_neutralmixed_mixed_chain.asset"
"56","6","normal","Peak","Pressure","79","100","100","21","972","962","False","v11_review_target","316","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","s6 peak 79->100","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset"
"57","6","normal","Ordinary","Normal","82","74","74","-8","713","701","False","v11_review_target","162","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","s6 ordinary 82->74","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_38_nutation_strict_mixed_axisbreak_v1_rect_s11_o105_v01_strictmixedaxisbreak_axis_break_chain_hf1.asset"
"58","6","shape","Shape","Shape","92","92","92","0","1428","759","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset"
"59","6","normal","Peak","Peak","85","85","85","0","884","868","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset"
"60","6","normal","Ordinary","Recovery","54","65","65","11","660","651","False","v11_review_target","261","Campaign500_HardGateUntil0910","PeelHard","rail_chain","s6 ordinary 54->65","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_01_nutation_strict_mixed_hard_v1_rect_s01_o010_v00_strictmixedhard_mixed_chain.asset"
"61","7","hole","HoleRescue","HoleRescue","43","43","43","0","468","386","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset"
"62","7","normal","Ordinary","Normal","67","70","70","3","660","656","False","v11_review_target","194","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s7 ordinary 67->70","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_133_nutation_mixed_neutral_v1_rect_s38_o371_v00_neutralmixed_mixed_chain.asset"
"63","7","shape","Shape","Shape","70","70","70","0","1444","515","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset"
"64","7","normal","Ordinary","Normal","66","72","72","6","768","756","False","v11_review_target","131","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","s7 ordinary 66->72","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset"
"65","7","normal","Peak","Pressure","82","100","100","18","972","954","False","v11_review_target","336","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","s7 peak 82->100","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset"
"66","7","normal","Ordinary","Recovery","70","70","70","0","660","651","False","keep_current","","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset"
"67","7","shape","Shape","Shape","91","91","91","0","1140","764","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset"
"68","7","normal","Ordinary","Normal","52","72","72","20","713","706","False","v11_review_target","188","Campaign500_HardGateUntil0910","PeelMid","rail_chain","s7 ordinary 52->72","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset"
"69","7","normal","Hard","Pressure","94","94","94","0","884","869","False","keep_current","","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset"
"70","7","normal","Hard","Normal","81","81","81","0","713","704","False","keep_current","","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset"
"71","8","hole","HoleRescue","HoleRescue","45","45","45","0","528","447","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset"
"72","8","normal","Peak","Pressure","86","92","92","6","884","862","False","v11_review_target","407","Campaign500HardGateUntil0910After300Reclaimed","","","s8 peak 86->92","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset"
"73","8","shape","Shape","Shape","82","82","82","0","1296","737","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset"
"74","8","normal","Ordinary","Normal","82","82","82","0","825","815","False","keep_current","","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset"
"75","8","normal","Hard","Recovery","83","87","87","4","910","893","False","v11_review_target","445","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","rail_chain","s8 hard 83->87","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13a/c5nep_w13a_25_nutation_strict_mixed_axisbreak_v1_rect_s45_o445_v00_strictmixedaxisbreak_axis_break_chain.asset"
"76","8","normal","Peak","Peak","72","108","123","36","1209","1155","True","v11_review_target","500","NutationLongChainStrict60","LongChainProbe","curve_chain","s8 peak 72->108","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset"
"77","8","normal","Ordinary","Normal","46","75","75","29","713","703","False","v11_review_target","155","Campaign500_HardGateUntil0910","PeelMid","rail_chain","s8 ordinary 46->75","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset"
"78","8","shape","Shape","Shape","84","84","84","0","1862","700","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset"
"79","8","normal","Ordinary","Recovery","51","76","76","25","768","754","False","v11_review_target","170","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","choice_clamp_chain","s8 ordinary 51->76","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset"
"80","8","normal","Ordinary","Normal","73","73","73","0","660","651","False","keep_current","","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset"
"81","9","normal","Ordinary","Recovery","43","80","80","37","768","751","False","v11_review_target","157","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","s9 ordinary 43->80","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_14_nutation_strict_mixed_hard_v1_rect_s26_o256_v05_strictmixedhard_mixed_chain.asset"
"82","9","hole","HoleRescue","HoleRescue","45","45","45","0","528","441","False","keep_current","","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset"
"83","9","shape","Shape","Shape","91","91","91","0","1360","709","False","keep_current","","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset"
"84","9","normal","Hard","Pressure","80","97","97","17","713","681","False","v11_review_target","105","HubMixedRefill30Front300","hub_spoke","mixed_chain","s9 hard 80->97","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset"
"85","9","normal","Ordinary","Recovery","79","79","79","0","768","759","False","keep_current","","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_34_nutation_strict_mixed_hard_v1_rect_s39_o390_v03_strictmixedhard_mixed_chain.asset"
