"order","section10","category","templateDifficultyCode","difficultyLabel","difficultyTag","difficultyNameZh","stageDifficultyHint","templateExperienceRole","rhythmBucket","rhythmExperienceRole","targetChains","targetChainsMin","targetChainsMax","baseChain","projectedChain","canvasAdjustedChain","longChainCanvasBonus","isLongChain","projectedArrow","projectedArea","chainDeltaVsBase","chainDeltaVsInitial","projectionReason","linkedOrder","sourcePool","productionLane","chainLanguage","projectedAsset","originalTemplateAsset","sourceV11CopiedAssetPath","shapeId","shapeNameZh","isShapeSlot","isHoleSlot","finalizationVersion","difficultyCodePolicy","resourceReplacementStatus","finalReviewNote"
"11","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","31","28","34","34","29","29","0","True","373","391","-5","-2","v11_review_target","284","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 34->29"
"12","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","50","46","54","48","34","35","1","True","539","567","-14","-16","v11_review_target","148","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 48->34"
"13","2","shape","1","??1","Normal1","普通/恢复","NormalOrRecovery","Shape","Shape","Shape","37","34","40","60","60","60","0","False","503","1936","0","23","keep_current","","ShapeMaskInventory","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","magicwand","魔法杖","1","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement",""
"14","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","42","39","45","54","36","36","0","True","486","513","-18","-6","v11_review_target","104","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 54->36"
"15","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","53","49","57","55","38","38","0","False","430","432","-17","-15","v11_review_target","297","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 55->38"
"16","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Hard","Normal","54","50","58","56","50","50","0","False","535","540","-6","-4","v11_review_target","134","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 hard 56->50"
"17","2","hole","1","??1","Normal1","普通/恢复","NormalOrRecovery","HoleRescue","HoleRescue","HoleRescue","37","34","40","37","37","37","0","False","195","360","0","0","keep_current","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","","","0","1","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","final: kept as original hole slot; no chain downshift applied"
"18","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","53","49","57","47","39","39","0","False","427","432","-8","-14","v11_review_target","289","Campaign500_HardGateUntil0910","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 47->39"
"19","2","normal","3","????3","SpecialHard3","特别困难","VeryHard","Normal","Peak","Normal","94","86","102","79","60","66","6","True","772","816","-19","-34","v11_review_target","227","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 order19 benchmark 79->60"
"20","2","normal","1","??1","Normal1","普通/恢复","NormalOrRecovery","Normal","Ordinary","Normal","41","38","44","38","40","40","0","False","427","432","2","-1","v11_review_target","291","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","","","0","0","RhythmV5Front100_v12_final_review_only","inherited_from_original_template","review_only_no_resource_replacement","s2 ordinary 38->40"
