"order","section10","category","difficultyBucket","experienceRole","sourcePool","productionLane","chainLanguage","patchKind","projectedAsset","projectedChain","projectedArrow","initialChain","initialArrow","baseChain","baseArrow","projectionReason","donorOrTarget","chainDeltaVsBase","chainDeltaVsInitial"
"11","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","34","425","31","209","34","425","keep_current","","0","3"
"12","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","48","535","50","400","48","535","keep_current","","0","-2"
"13","2","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","60","503","37","201","60","503","keep_current","","0","23"
"14","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","54","529","42","310","54","529","keep_current","","0","12"
"15","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","55","530","53","355","55","530","keep_current","","0","2"
"16","2","normal","Hard","Normal","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","56","526","54","426","56","526","keep_current","","0","2"
"17","2","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","37","195","37","195","37","195","keep_current","","0","0"
"18","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","47","535","53","439","47","535","keep_current","","0","-6"
"19","2","normal","Peak","Normal","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","79","756","94","693","79","756","keep_current","","0","-15"
"20","2","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","38","428","41","327","38","428","keep_current","","0","-3"
"21","3","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","60","537","59","398","60","537","keep_current","","0","1"
"22","3","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","58","536","55","379","58","536","keep_current","","0","3"
"23","3","shape","FixedFront40","FixedFront40","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","87","735","69","728","87","735","keep_current","","0","18"
"24","3","normal","Ordinary","FixedFront40","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","79","817","82","655","79","817","keep_current","","0","-3"
"25","3","normal","Hard","FixedFront40","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","89","871","98","728","89","871","keep_current","","0","-9"
"26","3","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","42","385","42","385","42","385","keep_current","","0","0"
"27","3","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","72","588","68","585","72","588","keep_current","","0","4"
"28","3","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","FlowPatch","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","59","633","63","487","59","633","keep_current","","0","-4"
"29","3","normal","Peak","FixedFront40","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","V6EarlyPeakBoost","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset","101","1365","98","770","90","871","front100_rebalanced_target","166","11","3"
"30","3","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","78","763","92","632","78","763","keep_current","","0","-14"
"31","4","normal","Ordinary","FixedFront40","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_37_nutation_mixed_neutral_v1_rect_s49_o481_v00_neutralmixed_mixed_chain.asset","71","656","61","381","55","531","front100_rebalanced_target","481","16","10"
"32","4","shape","FixedFront40","FixedFront40","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","83","667","67","673","83","667","keep_current","","0","16"
"33","4","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","75","651","78","618","75","651","keep_current","","0","-3"
"34","4","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","PeelLight","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","79","759","93","725","79","759","keep_current","","0","-14"
"35","4","normal","Ordinary","FixedFront40","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_53_nutation_mixed_neutral_v1_rect_s31_o308_v01_neutralmixed_mixed_chain.asset","71","649","65","484","65","652","front100_rebalanced_target","308","6","6"
"36","4","normal","Ordinary","FixedFront40","Campaign500_HardGateUntil0910","PeelLight","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","77","650","83","617","77","650","keep_current","","0","-6"
"37","4","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","41","357","41","357","41","357","keep_current","","0","0"
"38","4","shape","FixedFront40","FixedFront40","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","88","718","100","706","88","718","keep_current","","0","-12"
"39","4","normal","Peak","FixedFront40","HubMixedRefill30Front300","hub_spoke","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","99","686","101","761","86","888","front100_rebalanced_target","154","13","-2"
"40","4","normal","Hard","FixedFront40","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","curve_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","86","888","103","717","72","1010","front100_rebalanced_target","491","14","-17"
"41","5","normal","Ordinary","Recovery","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_113_nutation_mixed_neutral_v1_rect_s36_o355_v01_neutralmixed_mixed_chain.asset","69","649","62","382","53","535","front100_rebalanced_target","355","16","7"
"42","5","normal","Ordinary","Normal","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","76","656","80","618","76","656","keep_current","","0","-4"
"43","5","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","81","645","80","648","81","645","keep_current","","0","1"
"44","5","normal","Hard","Pressure","Campaign500_HardGateUntil0910","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","84","814","86","628","84","814","keep_current","","0","-2"
"45","5","normal","Ordinary","Recovery","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","72","654","74","592","72","654","keep_current","","0","-2"
"46","5","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","43","437","43","437","43","437","keep_current","","0","0"
"47","5","normal","Peak","Peak","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","99","1364","117","940","84","809","front100_rebalanced_target","136","15","-18"
"48","5","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","76","629","78","623","76","629","keep_current","","0","-2"
"49","5","normal","Hard","Pressure","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","curve_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_37_nutation_strict_mixed_localbreak_v1_rect_s46_o459_v00_strictmixedlocalbreak_local_break_chain.asset","81","814","89","669","79","759","front100_rebalanced_target","459","2","-8"
"50","5","normal","Ordinary","Recovery","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","67","651","67","527","67","651","keep_current","","0","0"
"51","6","normal","Ordinary","Recovery","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","rail_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","79","759","85","589","74","650","front100_rebalanced_target","439","5","-6"
"52","6","normal","Hard","Pressure","Campaign500HardGateUntil0910After300Reclaimed","","","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","92","862","87","666","75","653","front100_rebalanced_target","407","17","5"
"53","6","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","92","816","75","809","92","816","keep_current","","0","17"
"54","6","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","43","388","43","388","43","388","keep_current","","0","0"
"55","6","normal","Ordinary","Normal","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","curve_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","79","759","94","684","74","648","front100_rebalanced_target","482","5","-15"
"56","6","normal","Peak","Pressure","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_64_nutation_longchain_spine_v1_rect_c80hf3_16_d3_lock_spine.asset","109","1404","96","734","79","1116","front100_rebalanced_target","169","30","13"
"57","6","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","PeelLight","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","82","757","84","601","82","757","keep_current","","0","-2"
"58","6","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","92","759","108","743","92","759","keep_current","","0","-16"
"59","6","normal","Peak","Peak","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","100","954","89","672","85","868","front100_rebalanced_target","336","15","11"
"60","6","normal","Ordinary","Recovery","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","78","763","59","370","54","634","front100_rebalanced_target","366","24","19"
"61","7","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","43","386","43","386","43","386","keep_current","","0","0"
"62","7","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","67","653","63","394","67","653","keep_current","","0","4"
"63","7","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","70","515","72","508","70","515","keep_current","","0","-2"
"64","7","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_64_nutation_mixed_neutral_v1_rect_s19_o186_v00_neutralmixed_mixed_chain.asset","66","651","66","551","66","651","keep_current","","0","0"
"65","7","normal","Peak","Pressure","NutationLongChainStrict60Front300","maze_long_chain","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_62_nutation_longchain_rail_v1_rect_c80hf2_16_d3_lock_rail.asset","125","1406","104","803","82","699","front100_rebalanced_target","196","43","21"
"66","7","normal","Ordinary","Recovery","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","70","651","89","652","70","651","keep_current","","0","-19"
"67","7","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","91","764","104","752","91","764","keep_current","","0","-13"
"68","7","normal","Ordinary","Normal","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","rail_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_07_nutation_peel_rect_s42_o411_v00_peellight_rail_chain.asset","69","646","59","368","52","532","front100_rebalanced_target","411","17","10"
"69","7","normal","Hard","Pressure","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","94","869","100","760","94","869","keep_current","","0","-6"
"70","7","normal","Hard","Normal","HubMixedRefill30Front300","hub_spoke","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_23_s06_r03.asset","97","681","103","741","81","704","front100_rebalanced_target","105","16","-6"
"71","8","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","45","447","45","447","45","447","keep_current","","0","0"
"72","8","normal","Peak","Pressure","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","100","962","104","802","86","873","front100_rebalanced_target","316","14","-4"
"73","8","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","82","737","82","737","82","737","keep_current","","0","0"
"74","8","normal","Ordinary","Normal","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","82","815","87","642","82","815","keep_current","","0","-5"
"75","8","normal","Hard","Recovery","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_22_nutation_strict_mixed_hard_v1_rect_s31_o309_v05_strictmixedhard_mixed_chain.asset","93","871","103","746","83","762","front100_rebalanced_target","309","10","-10"
"76","8","normal","Peak","Peak","NutationLongChainStrict60","LongChainProbe","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","108","1155","94","703","72","955","front100_rebalanced_target","500","36","14"
"77","8","normal","Ordinary","Normal","Campaign500HardGateUntil0910After300Reclaimed","PeelLight","curve_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w4pl/c5nep_w4pl_09_nutation_peel_rect_s41_o402_v00_peellight_rail_chain.asset","68","637","48","516","46","536","front100_rebalanced_target","402","22","20"
"78","8","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","84","700","87","697","84","700","keep_current","","0","-3"
"79","8","normal","Ordinary","Recovery","Campaign500HardGateUntil0910After300Reclaimed","NeutralMixed","mixed_chain","NutationStrictAfter300Deferred","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_26_nutation_strict_mixed_hard_v1_rect_s35_o345_v00_strictmixedhard_mixed_chain.asset","69","654","58","504","51","530","front100_rebalanced_target","345","18","11"
"80","8","normal","Ordinary","Normal","Campaign500_HardGateUntil0910","FlowRail","rail_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","73","651","89","689","73","651","keep_current","","0","-16"
"81","9","normal","Ordinary","Recovery","C5V4FGapfillStrictSelected","NeutralMixed","mixed_chain","NutationStrictGapfill","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_32_nutation_mixed_neutral_v1_rect_s44_o431_v01_neutralmixed_mixed_chain.asset","67","653","46","380","43","428","front100_rebalanced_target","431","24","21"
"82","9","hole","HoleRescue","HoleRescue","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","45","441","45","441","45","441","keep_current","","0","0"
"83","9","shape","Shape","Shape","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNext10Tail9/campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","91","709","103","711","91","709","keep_current","","0","-12"
"84","9","normal","Hard","Pressure","HubMixedStrict30Refill","PeelMid","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_06_s02_r02.asset","99","678","88","665","80","815","front100_rebalanced_target","432","19","11"
