"order","section10","category","difficultyBucket","experienceRole","projectedChain","canvasAdjustedChain","longChainCanvasBonus","isLongChain","projectedArrow","projectedArea","projectedAsset","sourcePool","productionLane","chainLanguage","baseChain","baseArrow","baseArea","initialChain","initialArrow","initialArea","projectionReason","linkedOrder","chainDeltaVsBase","chainDeltaVsInitial"
"11","2","normal","Ordinary","Normal","24","24","0","True","349","374","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_05_l005_long_normal_b_normal_s01_slot_seedmaze_chamber_corridor.asset","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","34","425","432","31","209","216","v8_review_target","286","-10","-7"
"12","2","normal","Ordinary","Normal","48","48","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","48","535","540","50","400","408","keep_current","","0","-2"
"13","2","shape","Shape","Shape","60","60","0","False","503","1936","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","ShapeMaskInventory","","","60","503","1936","37","201","576","keep_current","","0","23"
"14","2","normal","Ordinary","Normal","26","26","0","True","370","391","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_26_l031_long_normal_a_sweep_s04_slot_seedweave_braid_carrier.asset","SeedV5LongChain30Front300","slot_seedweave_braid_carrier","family_profile_chain","54","529","540","42","310","315","v8_review_target","239","-28","-16"
"15","2","normal","Ordinary","Normal","29","29","0","True","353","378","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_18_l022_long_normal_b_section_s03_slot_seedweave_dense_support.asset","SeedV5LongChain30Front300","slot_seedweave_dense_support","family_profile_chain","55","530","540","53","355","364","v8_review_target","287","-26","-24"
"16","2","normal","Hard","Normal","56","56","0","False","526","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","56","526","540","54","426","435","keep_current","","0","2"
"17","2","hole","HoleRescue","HoleRescue","37","37","0","False","195","360","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","","","","37","195","360","37","195","360","keep_current","","0","0"
"18","2","normal","Ordinary","Normal","47","47","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","47","535","540","53","439","450","keep_current","","0","-6"
"19","2","normal","Peak","Normal","79","79","0","False","756","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","strict_peak_chain","79","756","768","94","693","703","keep_current","","0","-15"
"20","2","normal","Ordinary","Normal","38","38","0","False","428","432","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","38","428","432","41","327","330","keep_current","","0","-3"
"21","3","normal","Ordinary","FixedFront40","40","40","0","False","427","432","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","60","537","540","59","398","408","v8_review_target","291","-20","-19"
"22","3","normal","Ordinary","FixedFront40","42","45","3","True","631","667","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","58","536","540","55","379","384","v8_review_target","129","-16","-13"
"23","3","shape","FixedFront40","FixedFront40","87","87","0","False","735","1073","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","ShapeMaskInventory","","","87","735","1073","69","728","1073","keep_current","","0","18"
"24","3","normal","Ordinary","FixedFront40","43","47","4","True","659","713","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","79","817","825","82","655","666","v8_review_target","281","-36","-39"
"25","3","normal","Hard","FixedFront40","89","89","0","False","871","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","89","871","884","98","728","735","keep_current","","0","-9"
"26","3","hole","HoleRescue","HoleRescue","42","42","0","False","385","468","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","","","","42","385","468","42","385","468","keep_current","","0","0"
"27","3","shape","Shape","Shape","72","72","0","False","588","1044","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","ShapeMaskInventory","","","72","588","1044","68","585","1044","keep_current","","0","4"
"28","3","normal","Ordinary","FixedFront40","45","45","0","False","538","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","59","633","638","63","487","493","v8_review_target","121","-14","-18"
"29","3","normal","Peak","FixedFront40","101","121","20","True","1365","1428","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS2V1/nutation_longchain_candidate80_holefix_s2_v1_60_nutation_longchain_spine_v1_rect_c80hf2_15_d3_section_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","90","871","884","98","770","770","v8_review_target","166","11","3"
"30","3","normal","Ordinary","FixedFront40","46","46","0","False","536","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","FlowCurve","curve_chain","78","763","768","92","632","640","v8_review_target","471","-32","-46"
"31","4","normal","Ordinary","FixedFront40","55","55","0","False","531","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","55","531","540","61","381","392","keep_current","","0","-6"
"32","4","shape","FixedFront40","FixedFront40","83","83","0","False","667","1296","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","ShapeMaskInventory","","","83","667","1296","67","673","1296","keep_current","","0","16"
"33","4","normal","Ordinary","FixedFront40","50","50","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","75","651","660","78","618","627","v8_review_target","134","-25","-28"
"34","4","normal","Ordinary","FixedFront40","54","54","0","False","534","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","79","759","768","93","725","740","v8_review_target","279","-25","-39"
"35","4","normal","Ordinary","FixedFront40","54","54","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_25_nutation_flow_rail_v1_rect_s21_o202_v00_flowrail_patch_chain.asset","Campaign500NormalFullV1UnusedStrict","FlowPatch","patch_chain","65","652","660","65","484","493","v8_review_target","280","-11","-11"
"36","4","normal","Ordinary","FixedFront40","56","56","0","False","529","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_43_nutation_strict_mixed_localbreak_v1_rect_s19_o182_v00_strictmixedlocalbreak_local_break_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","unknown_chain","77","650","660","83","617","627","v8_review_target","102","-21","-27"
"37","4","hole","HoleRescue","HoleRescue","41","41","0","False","357","440","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","","","","41","357","440","41","357","440","keep_current","","0","0"
"38","4","shape","FixedFront40","FixedFront40","88","88","0","False","718","1280","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","ShapeMaskInventory","","","88","718","1280","100","706","1280","keep_current","","0","-12"
"39","4","normal","Peak","FixedFront40","99","99","0","False","686","713","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30RefillPool/nutation_hub_mixed_v1_strict30_refill_20_s05_r04.asset","HubMixedRefill30Front300","hub_spoke","mixed_chain","86","888","910","101","761","770","v8_review_target","154","13","-2"
"40","4","normal","Hard","FixedFront40","86","86","0","False","888","910","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","curve_chain","72","1010","1064","103","717","726","v8_review_target","491","14","-17"
"41","5","normal","Ordinary","Recovery","53","53","0","False","535","540","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","53","535","540","62","382","392","keep_current","","0","-9"
"42","5","normal","Ordinary","Normal","60","66","6","True","772","816","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","76","656","660","80","618","627","v8_review_target","227","-16","-20"
"43","5","shape","Shape","Shape","81","81","0","False","645","945","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","ShapeMaskInventory","","","81","645","945","80","648","945","keep_current","","0","1"
"44","5","normal","Hard","Pressure","84","84","0","False","814","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","84","814","825","86","628","640","keep_current","","0","-2"
"45","5","normal","Ordinary","Recovery","61","64","3","True","627","660","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_03_nutation_longchain_patch_v1_rect_c80hf3_01_d1_lock_patch.asset","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","72","654","660","74","592","608","v8_review_target","209","-11","-13"
"46","5","hole","HoleRescue","HoleRescue","43","43","0","False","437","520","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","","","","43","437","520","43","437","520","keep_current","","0","0"
"47","5","normal","Peak","Peak","99","119","20","True","1364","1428","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_60_nutation_longchain_spine_v1_rect_c80hf3_15_d3_section_spine.asset","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","84","809","825","117","940","960","v8_review_target","136","15","-18"
"48","5","shape","Shape","Shape","76","76","0","False","629","1666","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","ShapeMaskInventory","","","76","629","1666","78","623","1666","keep_current","","0","-2"
"49","5","normal","Hard","Pressure","79","79","0","False","759","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight","curve_chain","79","759","768","89","669","680","keep_current","","0","-10"
"50","5","normal","Ordinary","Recovery","67","67","0","False","651","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","67","651","660","67","527","540","keep_current","","0","0"
"51","6","normal","Ordinary","Recovery","74","74","0","False","650","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight","curve_chain","74","650","660","85","589","612","keep_current","","0","-11"
"52","6","normal","Hard","Pressure","82","82","0","False","754","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_09_nutation_strict_mixed_hard_v1_rect_s17_o169_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelHard","rail_chain","75","653","660","87","666","682","v8_review_target","116","7","-5"
"53","6","shape","Shape","Shape","92","92","0","False","816","1044","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","ShapeMaskInventory","","","92","816","1044","75","809","1044","keep_current","","0","17"
"54","6","hole","HoleRescue","HoleRescue","43","43","0","False","388","468","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","","","","43","388","468","43","388","468","keep_current","","0","0"
"55","6","normal","Ordinary","Normal","74","74","0","False","648","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_07_nutation_mixed_neutral_v1_rect_s46_o457_v00_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","74","648","660","94","684","700","keep_current","","0","-20"
"56","6","normal","Peak","Pressure","100","100","0","False","962","972","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_23_nutation_strict_mixed_hard_v1_rect_s32_o316_v02_strictmixedhard_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","79","1116","1170","96","734","748","v8_review_target","316","21","4"
"57","6","normal","Ordinary","Normal","82","82","0","False","757","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_27_nutation_strict_mixed_hard_v1_rect_s46_o455_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelLight","rail_chain","82","757","768","84","601","612","keep_current","","0","-2"
"58","6","shape","Shape","Shape","92","92","0","False","759","1428","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_04_L058_bicycle_dense.asset","ShapeMaskInventory","","","92","759","1428","108","743","1428","keep_current","","0","-16"
"59","6","normal","Peak","Peak","85","85","0","False","868","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_33_nutation_strict_mixed_hard_v1_rect_s37_o365_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","85","868","884","89","672","684","keep_current","","0","-4"
"60","6","normal","Ordinary","Recovery","70","70","0","False","651","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_101_nutation_mixed_neutral_v1_rect_s22_o212_v01_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","54","634","638","59","370","384","v8_review_target","115","16","11"
"61","7","hole","HoleRescue","HoleRescue","43","43","0","False","386","468","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","","","","43","386","468","43","386","468","keep_current","","0","0"
"62","7","normal","Ordinary","Normal","72","72","0","False","756","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50/campaign500_normal_full_v1_s39_s50_18_nutation_mixed_neutral_v1_rect_s40_o395_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","67","653","660","63","394","408","v8_review_target","131","5","9"
"63","7","shape","Shape","Shape","70","70","0","False","515","1444","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_09_L063_sailboat.asset","ShapeMaskInventory","","","70","515","1444","72","508","1444","keep_current","","0","-2"
"64","7","normal","Ordinary","Normal","72","72","0","False","650","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_66_nutation_mixed_neutral_v1_rect_s32_o314_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","66","651","660","66","551","560","v8_review_target","137","6","6"
"65","7","normal","Peak","Pressure","100","100","0","False","954","972","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_94_nutation_pressure_peak_v1_rect_s34_o336_v00_pressurepeak_mixed_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain","82","699","713","104","803","814","v8_review_target","336","18","-4"
"66","7","normal","Ordinary","Recovery","70","70","0","False","651","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_42_nutation_mixed_neutral_v1_rect_s17_o165_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","70","651","660","89","652","666","keep_current","","0","-19"
"67","7","shape","Shape","Shape","91","91","0","False","764","1140","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_10_L067_pager.asset","ShapeMaskInventory","","","91","764","1140","104","752","1140","keep_current","","0","-13"
"68","7","normal","Ordinary","Normal","72","72","0","False","706","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11d/c5nep_w11d_14_nutation_strict_mixed_hard_v1_rect_s25_o249_v03_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","52","532","540","59","368","375","v8_review_target","188","20","13"
"69","7","normal","Hard","Pressure","94","94","0","False","869","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13d/c5nep_w13d_13_nutation_strict_mixed_axisbreak_v1_rect_s33_o329_v00_strictmixedaxisbreak_axis_break_chain_b.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","94","869","884","100","760","770","keep_current","","0","-6"
"70","7","normal","Hard","Normal","81","81","0","False","704","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smh/c5nep_w9smh_03_nutation_strict_mixed_hard_v1_rect_s04_o040_v02_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","81","704","713","103","741","756","keep_current","","0","-22"
"71","8","hole","HoleRescue","HoleRescue","45","45","0","False","447","528","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","","","","45","447","528","45","447","528","keep_current","","0","0"
"72","8","normal","Peak","Pressure","92","92","0","False","862","884","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_06_nutation_peel_v2_rect_s41_o407_v02_peelhard_curve_chain.asset","Campaign500HardGateUntil0910After300Reclaimed","","","86","873","884","104","802","819","v8_review_target","407","6","-12"
"73","8","shape","Shape","Shape","82","82","0","False","737","1296","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","ShapeMaskInventory","","","82","737","1296","82","737","1296","keep_current","","0","0"
"74","8","normal","Ordinary","Normal","82","82","0","False","815","825","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12a/c5nep_w12a_29_nutation_strict_mixed_hard_v1_rect_s42_o412_v04_strictmixedhard_mixed_chain.asset","Campaign500NormalFullV1UnusedStrict","PeelMid","rail_chain","82","815","825","87","642","648","keep_current","","0","-5"
"75","8","normal","Hard","Recovery","83","83","0","False","762","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_13_nutation_strict_mixed_hard_v1_rect_s25_o245_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain","83","762","768","103","746","760","keep_current","","0","-20"
"76","8","normal","Peak","Peak","108","123","15","True","1155","1209","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixS3V1/nutation_longchain_candidate80_holefix_s3_v1_45_nutation_longchain_curve_v1_rect_c80hf3_12_d3_maze_curve.asset","NutationLongChainStrict60","LongChainProbe","curve_chain","72","955","1008","94","703","714","v8_review_target","500","36","14"
"77","8","normal","Ordinary","Normal","75","75","0","False","703","713","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w10smh/c5nep_w10smh_03_nutation_strict_mixed_hard_v1_rect_s13_o125_v02_strictmixedhard_mixed_chain.asset","Campaign500_HardGateUntil0910","PeelMid","rail_chain","46","536","540","48","516","522","v8_review_target","155","29","27"
"78","8","shape","Shape","Shape","84","84","0","False","700","1862","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_07_L078_pencil_section.asset","ShapeMaskInventory","","","84","700","1862","87","697","1862","keep_current","","0","-3"
"79","8","normal","Ordinary","Recovery","76","76","0","False","754","768","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h05r/c5hole_lowchoice_v1_h05r_05_nutation_strict_mixed_choiceclamp_v1_rect_s20_o196_v04_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","choice_clamp_chain","51","530","540","58","504","513","v8_review_target","170","25","18"
"80","8","normal","Ordinary","Normal","73","73","0","False","651","660","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_39_nutation_mixed_neutral_v1_rect_s49_o481_v02_neutralmixed_mixed_chain.asset","Campaign500_HardGateUntil0910","FlowRail","rail_chain","73","651","660","89","689","704","keep_current","","0","-16"
