"targetOrder","targetSection","targetBucket","oldChain","donorOrder","donorSection","donorBucket","newChain","chainBin","selectionMode","candidateArea","candidateSourcePool","candidateProductionLane","candidateChainLanguage"
"68","7","Ordinary","52","188","19","Ordinary","72","070-079","V8S7Ordinary70Band","713","Campaign500_HardGateUntil0910","PeelMid","rail_chain"
"77","8","Ordinary","46","155","16","Ordinary","75","070-079","V8S8Ordinary75Band","713","Campaign500_HardGateUntil0910","PeelMid","rail_chain"
"79","8","Ordinary","51","170","17","Ordinary","76","070-079","V8S8Ordinary75Band","768","Campaign500_HardGateUntil0910","Campaign500_HardGateUntil0910","choice_clamp_chain"
"81","9","Ordinary","43","157","16","Ordinary","80","080-089","V8S9Ordinary80Band","768","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain"
"86","9","Ordinary","51","302","31","Ordinary","80","080-089","V8S9Ordinary80Band","780","C5V4FGapfillStrictSelected","StrictMixedChoiceClamp","mixed_chain"
"92","10","Ordinary","42","114","12","Ordinary","81","080-089","V8S10Ordinary80Band","825","Campaign500_HardGateUntil0910","PeelMid","curve_chain"
"52","6","Hard","75","116","12","Hard","82","080-089","V8S6HardStep","768","Campaign500_HardGateUntil0910","PeelHard","rail_chain"
"95","10","Ordinary","52","124","13","Ordinary","82","080-089","V8S10Ordinary80Band","825","Campaign500_HardGateUntil0910","PeelMid","rail_chain"
"100","10","Ordinary","43","111","12","Ordinary","83","080-089","V8S10Ordinary80Band","768","Campaign500_HardGateUntil0910","PressurePeak","mixed_chain"
"40","4","Hard","72","491","50","Hard","86","080-089","V8S4HardStep","910","Campaign500HardGateUntil0910After300Reclaimed","PeelMid","curve_chain"
"72","8","Peak","86","407","41","Peak","92","090-099","V8S8PeakStep","884","Campaign500HardGateUntil0910After300Reclaimed","",""
"97","10","Hard","82","329","33","Peak","94","090-099","V8S10HardStep","884","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain"
"39","4","Peak","86","154","16","Peak","99","090-099","V8S4PeakSeparation","713","HubMixedRefill30Front300","hub_spoke","mixed_chain"
"47","5","Peak","84","136","14","Peak","99","090-099","V8S5PeakSeparation","1428","NutationLongChainStrict60Front300","maze_long_chain","spine_chain"
"56","6","Peak","79","316","32","Peak","100","100-109","V8S6PeakStep","972","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain"
"65","7","Peak","82","336","34","Peak","100","100-109","V8S7PeakStep","972","Campaign500HardGateUntil0910After300Reclaimed","PressurePeak","mixed_chain"
"29","3","Peak","90","166","17","Hard","101","100-109","V8S3PeakSeparation","1428","NutationLongChainStrict60Front300","maze_long_chain","spine_chain"
"89","9","Peak","73","465","47","Peak","104","100-109","V8S9PeakStrongStep","1102","NutationLongChainStrict60","LongChainProbe","curve_chain"
"76","8","Peak","72","500","50","Peak","108","100-109","V8S8PeakStrongStep","1209","NutationLongChainStrict60","LongChainProbe","curve_chain"
"96","10","Peak","100","485","49","Peak","121","120-129","V8S10PeakStrongStep","1209","NutationLongChainStrict60","LongChainProbe","patch_chain"
