"order","section10","category","sectionWaveRole","difficultyBucket","experienceRole","difficultyNameZh","replacementMark","finalStatus","sourcePool","productionLane","productionChainLanguage","patchKind","initialAssetPath","currentAssetPath","initialGuid","currentGuid","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","currentWidth","currentHeight","currentArea","currentArrowCount","currentChainCount","currentCoverage","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore"
"28","3","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","9762391c447caad419d8c7feedc26312","df820ac5d66dd8845b193b2505155249","17","29","493","487","63","22","29","638","633","59","0.9922","0.992","10","4","0.926"
"29","3","normal","PeakExtreme","Peak","FixedFront40","极难","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","PressurePeak","mixed_chain","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","dc706f3b210b1464ebbd468c7ca6ae87","ea7d38b96b0bd084f81c8fa7ea200403","22","35","770","770","98","26","34","884","871","90","0.9853","0.985","10","5","0.816"
"30","3","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","03a84fb18fe271443bdc372888313004","43226843fa380a94ca7b51d818c9d7a3","20","32","640","632","92","24","32","768","763","78","0.9935","0.993","9","5","0.836"
"31","4","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","f3c811ca47540d849919b63430d73ce1","d20256f0b0c39cf439a0e99601d6c7fa","14","28","392","381","61","20","27","540","531","55","0.9833","0.983","8","6","0.864"
"32","4","shape","FixedFront40","FixedFront40","FixedFront40","普通/恢复","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","7de586b1c8ba9f241b50f1e9cdb84571","886e8b8365360ba4d94c8238422884db","36","36","1296","673","67","36","36","1296","667","83","0.5147","0.977","14","9",""
"33","4","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","c16d570edc0b87b438b04b42b8269484","a38e26660bd56594588de98e1304aa33","19","33","627","618","78","22","30","660","651","75","0.9864","0.986","8","6","0.933"
"34","4","normal","Normal","Ordinary","FixedFront40","困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelLight","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","d751ab1a3b2daa840b3289d36aa9a33d","5c17884fb2fd54e45a63d125d6e1b516","20","37","740","725","93","24","32","768","759","79","0.9883","0.988","9","6","0.836"
"35","4","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","af05bd9213c2b3842be44b1485f5a3fa","5a1fd20668e2cff459b1687397a3903f","17","29","493","484","65","22","30","660","652","65","0.9879","0.988","8","4","0.82"
"36","4","normal","Normal","Ordinary","FixedFront40","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelLight","rail_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","cb8534fe4ab66f543bb38f2b00fa9149","385d6cd0ba67efd49b0d7843a3532e48","19","33","627","617","83","22","30","660","650","77","0.9848","0.985","10","5","0.903"
"37","4","hole","HoleRescue","HoleRescue","HoleRescue","普通/恢复","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","271922d79e908d1499f309879c21042f","271922d79e908d1499f309879c21042f","20","22","440","357","41","20","22","440","357","41","0.8114","","","",""
"38","4","shape","FixedFront40","FixedFront40","FixedFront40","困难","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","3405b365ef91a4743a2604e044596b56","61718c1ac2f37f64e9de0915aa23e42b","40","32","1280","706","100","40","32","1280","718","88","0.5609","0.990","10","8",""
"39","4","normal","PeakExtreme","Peak","FixedFront40","特别困难","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","PeelMid","curve_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","0e3021ea9587a2f4d89e4eb519a18325","eca7f6c2586984c40ad25b4ebd31f86f","22","35","770","761","101","26","35","910","888","86","0.9758","0.976","10","4","0.924"
"40","4","normal","Hard","Hard","FixedFront40","困难","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","3187483f0c7f34846ba9fa1f06efea19","46ddfdeb477fcb9468974a31575dc5f3","22","33","726","717","103","28","38","1064","1010","72","0.9492","0.949","8","7","0.867"
"41","5","normal","Recovery","Ordinary","Recovery","普通/恢复","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","c84e00de04962004592989130cdbac42","53c24768044c5e9419263cf33902e6fb","14","28","392","382","62","20","27","540","535","53","0.9907","0.991","9","6","0.898"
"42","5","normal","Normal","Ordinary","Normal","困难","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","NeutralMixed","mixed_chain","","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","9c731985c61051e40b11c67c34717167","7a8ca743b5f64a5287e6e52b09071f05","19","33","627","618","80","22","30","660","656","76","0.9939","0.994","8","5","0.803"
