"order","section10","positionIn10","levelName","category","difficultyCode","difficultyNameZh","originalTargetChains","originalArrowTiles","planningMode","detailedDuty","playerPurpose","targetPressure","designNeed","avoid","sectionDuty","sectionIntent","sectionTheme","positionBeatRole","actualBeatRole","slotDutyV2","styleTargetV2","chainLanguageTargetV2","planningRule","replacementPriority","selectedCandidateId","selectedSource","reviewStatus"
"11","2","1","Main/Level_Main_11","normal","1","普通/恢复","31","209","handcrafted_onboarding","第二段开场回落","从第10关释放，重新顺起来","中低","普通恢复，画布可保持正式规格","不要继续lock高压","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","ResetOpener","RecoveryBeat","RecoveryFlow","Flow/Mixed","rail/mixed","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"12","2","2","Main/Level_Main_12","normal","1","普通/恢复","50","400","handcrafted_onboarding","正式画布练习","习惯更大棋盘和更多链条，但仍是普通体验","中","可作为正式关手感基准；适合flow/peel","不要过快拉到后期密度","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BaselinePractice","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"13","2","3","Main/Level_Main_13","shape","1","普通/恢复","37","201","handcrafted_onboarding","特殊图形解锁：魔法杖","继续给视觉奖励，维持探索动力","中","shape与前面水晶球/橡皮擦/标尺不同","不要让shape频繁变成同一种蛇形填充","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","LanguageTurn","SpecialAnchorBeat","ShapeAnchor","Shape/Peel/Mixed","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"14","2","4","Main/Level_Main_14","normal","1","普通/恢复","42","310","handcrafted_onboarding","链条语言变化练习","换一种链条读法，避免前期同质","中","可以从curve切到rail/patch-lite；变化大于难度","不要同时增加太多变量","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","VisualSpatialTurn","VariationBeat","LanguageVariation","Mixed/Peel/Flow","curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"15","2","5","Main/Level_Main_15","normal","1","普通/恢复","53","355","handcrafted_onboarding","分区/section概念初见","开始意识到棋盘可以分区域处理","中-中高","区域感清楚，有小回退空间","不要做成多区互锁高压","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BridgeRamp","RampBeat","BridgeRamp","Peel/Mixed","rail/patch","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"16","2","6","Main/Level_Main_16","normal","1","普通/恢复","54","426","handcrafted_onboarding","Lock结构复习","把第7/10关的lock经验再用一次","中高","比7更正式，但低于19","不要和19重叠成两个连续峰","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","FirstReadWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"17","2","7","Main/Level_Main_17_hole","hole","1","普通/恢复","37","195","handcrafted_onboarding","Hole rescue回归/节奏呼吸","用主题关给第16和第19之间一个换气","中","hole是变化和呼吸，不是难度峰","不要因为hole导致卡顿","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","BreathOrPractice","SpecialAnchorBeat","HoleSpatialAnchor","Hole/Mixed/Peel","theme language; avoid neighbor repetition","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"18","2","8","Main/Level_Main_18","normal","1","普通/恢复","53","439","handcrafted_onboarding","前20峰值前置练习","为19关做准备，普通但接近上沿","中高","提高规模或链条数，但解法仍顺","不要超过19的读题压力","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","LatePressureWindow","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"19","2","9","Main/Level_Main_19","normal","3","特别困难","94","693","handcrafted_onboarding","前20第一标杆/小Boss","玩家第一次觉得“这是一个挑战”，但能靠前面所学解决","高","lock + 依赖读题；有效负载约60上下即可，不必照模板94 raw chains硬做","不要做极难，不要卡死新玩家","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","PeakSetup","PeakBeat","DependencyPeak","Peel/LongChain-lite","System.Object[]","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
"20","2","10","Main/Level_Main_20","normal","1","普通/恢复","41","327","handcrafted_onboarding","前20收束/新主题预告","从19释放，同时用shell或新画布手感引出后续","中","回落但不能太空；作为进入21-30的桥","不要继续峰值压力","EarlyBenchmark","前20关标杆；普通维持轻中压，末段给一次可记住的挑战","基础Flow/Peel + shape/hole 认知 / EarlyBenchmark","PeakOrLanding","PracticeBeat","NormalPractice","Flow/Peel/Mixed","rail/curve","位置节奏/模板难度是参考；合理性、教学职责、section剧本优先","front300-high","","","not_reviewed"
