campaignOrder,slotKind,idealScore,targetDifficultyTag,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
11,Normal,195,Flow,normal_campaign500,normal,147,r2_outer_strong_084_r2_161_a682,r2_outer_strong_084_r2_161_a682,Flow,229,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,27,57,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_084_r2_161_a682.asset,ideal=195|target=Flow|kind=Normal|front20|scoreDiff=34
12,Normal,205,Flow,normal_campaign500,normal,2,nomask_03_lock_buckle,nomask_03_lock_buckle,Flow,151,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,22,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_03_lock_buckle.asset,ideal=205|target=Flow|kind=Normal|front20|scoreDiff=54
13,Shape,165,Flow,shape_final_with_supplement,shape,34,r2_outer_strong_005_r2_006_a401_procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall,MainWindmillTall,Flow,220,LowPressure,Flow,StartMedium,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Landmark,30,42,82,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802.asset,ideal=165|target=Flow|kind=Shape|front20|theme=Landmark|scoreDiff=55
14,Normal,220,Flow,normal_campaign500,normal,138,r2_outer_strong_110_r2_208_a782,r2_outer_strong_110_r2_208_a782,Flow,235,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,31,66,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_110_r2_208_a782.asset,ideal=220|target=Flow|kind=Normal|front20|scoreDiff=15
15,Normal,235,Flow,normal_campaign500,normal,126,r1_ab_195_above300_level_754_final,r1_ab_195_above300_level_754_final,Flow,234,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,31,68,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_195_above300_level_754_final.asset,ideal=235|target=Flow|kind=Normal|front20|scoreDiff=1
16,Normal,245,Normal,normal_campaign500,normal,124,r2_outer_strong_051_r2_091_a571,r2_outer_strong_051_r2_091_a571,Normal,242,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,19,26,62,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_051_r2_091_a571.asset,ideal=245|target=Normal|kind=Normal|front20|scoreDiff=3
17,Normal,260,Normal,normal_campaign500,normal,266,direct_normal_135_direct_normal_rect_sweep_g1_v14,direct_normal_135_direct_normal_rect_sweep_g1_v14,Normal,257,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,21,39,103,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_135_direct_normal_rect_sweep_g1_v14.asset,ideal=260|target=Normal|kind=Normal|front20|scoreDiff=3
18,Shape,185,Flow,shape_final_with_supplement,shape,114,r2_outer_strong_005_r2_006_a401_procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall,MainLeaf03Tall,Flow,221,LowPressure,Flow,StartWide,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Nature,32,42,84,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall_20260611_111813.asset,ideal=185|target=Flow|kind=Shape|front20|theme=Nature|scoreDiff=36
19,Normal,270,Normal,normal_campaign500,normal,185,r1_ab_139_above300_level_632_final,r1_ab_139_above300_level_632_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,20,35,81,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_139_above300_level_632_final.asset,ideal=270|target=Normal|kind=Normal|front20|scoreDiff=10
20,Normal,285,Normal,normal_campaign500,normal,150,r1_ab_232_above300_level_845_final,r1_ab_232_above300_level_845_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,26,30,83,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,ideal=285|target=Normal|kind=Normal|front20|scoreDiff=5
21,Normal,156.307,Flow,normal_campaign500,normal,103,r2_outer_strong_057_r2_100_a588,r2_outer_strong_057_r2_100_a588,Flow,137,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,32,93,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_057_r2_100_a588.asset,ideal=156|target=Flow|kind=Normal|scoreDiff=19
22,Normal,169.785,Normal,normal_campaign500,normal,139,r1_outer_strong_098_r1_186_a735,r1_outer_strong_098_r1_186_a735,Normal,240,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,32,66,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_098_r1_186_a735.asset,ideal=170|target=Normal|kind=Normal|scoreDiff=70
23,Shape,190.607,Normal,shape_final_with_supplement,shape,144,r2_outer_strong_005_r2_006_a401_procmask_supp_11_onion_maskfinalsupplement_30x42-maintoolwrenchtall,MainToolWrenchTall,Normal,241,LowPressure,Flow,StartMedium,ClearFlow,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,ToolUI,30,42,84,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_11_onion_maskfinalsupplement_30x42-maintoolwrenchtall_20260611_124348.asset,ideal=191|target=Normal|kind=Shape|theme=ToolUI|scoreDiff=50
24,Normal,214.858,Normal,normal_campaign500,normal,42,r1_ab_294_aout_level_002_final,r1_ab_294_aout_level_002_final,Normal,208,OpeningPressure,Steady,StartNarrow,ClearFlow,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,StartNarrow,,6,8,8,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_294_aout_level_002_final.asset,ideal=215|target=Normal|kind=Normal|scoreDiff=7
25,Hole,330,Normal,hole_mask_early_front,hole,2,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_early_17x18_standard_r02_r1_ab_091_above300_level_571_final_20260611_093052,Normal,345,LowPressure,Spike,StartNarrow,ClearFlow,ChoiceTactical,HoleBlocker,VisualSparse,MechanicSpice,HoleBlocker,NoRisk,StartNarrow,HoleBlocker,17,18,28,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early/hole_early_17x18_standard_r02_r1_ab_091_above300_level_571_final_20260611_093052.asset,ideal=330|target=Normal|kind=Hole|hole-spacing|scoreDiff=15
26,Normal,254.613,Flow,normal_campaign500,normal,130,r1_ab_110_above300_level_607_final,r1_ab_110_above300_level_607_final,Flow,238,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,32,74,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_110_above300_level_607_final.asset,ideal=255|target=Flow|kind=Normal|scoreDiff=17
27,Normal,262.804,Normal,normal_campaign500,normal,136,direct_normal_25_direct_normal_rect_sweep_g2_v03,direct_normal_25_direct_normal_rect_sweep_g2_v03,Normal,264,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,22,37,107,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_25_direct_normal_rect_sweep_g2_v03.asset,ideal=263|target=Normal|kind=Normal|scoreDiff=1
28,Normal,261.805,Normal,normal_campaign500,normal,212,direct_normal_51_direct_normal_rect_outer_shell_g5_v06,direct_normal_51_direct_normal_rect_outer_shell_g5_v06,Normal,262,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,21,37,101,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_51_direct_normal_rect_outer_shell_g5_v06.asset,ideal=262|target=Normal|kind=Normal|scoreDiff=0
29,Normal,253.687,Normal,normal_campaign500,normal,161,direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06,direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06,Normal,267,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,22,39,105,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_44_direct_normal_topup_rect_core_burst_g11_v06.asset,ideal=254|target=Normal|kind=Normal|scoreDiff=13
30,Shape,242.476,Normal,shape_final_with_supplement,shape,92,r2_outer_strong_005_r2_006_a401_procmask_qd_94_onion_maskproceduralvertical_28x42-maindistinctquestiontall,MainDistinctQuestionTall,Normal,242,LowPressure,Flow,StartWide,ClearFlow,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Symbol,28,42,86,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_94_onion_maskproceduralvertical_28x42-maindistinctquestiontall_20260611_115650.asset,ideal=242|target=Normal|kind=Shape|theme=Symbol|scoreDiff=0
31,Normal,233.046,Flow,normal_campaign500,normal,149,r1_outer_strong_160_r1_278_a955,r1_outer_strong_160_r1_278_a955,Flow,233,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,27,57,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_160_r1_278_a955.asset,ideal=233|target=Flow|kind=Normal|scoreDiff=0
32,Shape,229.782,Normal,shape_final_with_supplement,shape,37,r2_outer_strong_005_r2_006_a401_procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall,MainPenguinTall,Normal,243,LowPressure,Flow,StartMedium,ClearFlow,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Character,30,42,85,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall_20260611_110822.asset,ideal=230|target=Normal|kind=Shape|theme=Character|scoreDiff=13
33,Normal,235.377,Normal,normal_campaign500,normal,146,r1_outer_strong_056_r1_096_a578,r1_outer_strong_056_r1_096_a578,Normal,250,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,31,59,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_056_r1_096_a578.asset,ideal=235|target=Normal|kind=Normal|scoreDiff=15
34,Normal,250.093,Normal,normal_campaign500,normal,143,r1_outer_strong_072_r1_140_a635,r1_outer_strong_072_r1_140_a635,Normal,253,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,24,31,74,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_072_r1_140_a635.asset,ideal=250|target=Normal|kind=Normal|scoreDiff=3
35,Normal,271.691,Normal,normal_campaign500,normal,215,direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04,direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04,Normal,272,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,20,40,108,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04.asset,ideal=272|target=Normal|kind=Normal|scoreDiff=0
36,Normal,296.042,Flow,normal_campaign500,normal,159,r1_outer_strong_118_r1_215_a805,r1_outer_strong_118_r1_215_a805,Flow,230,LowPressure,Flow,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,24,60,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_118_r1_215_a805.asset,ideal=296|target=Flow|kind=Normal|scoreDiff=66
37,Shape,318.262,Normal,shape_final_with_supplement,shape,71,r2_outer_strong_005_r2_006_a401_procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall,TransitionOceanSeaTurtleTall,Normal,322,LowPressure,Flow,StartWide,ClearFlow,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Ocean,36,48,122,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset,ideal=318|target=Normal|kind=Shape|theme=Ocean|scoreDiff=4
38,Normal,334.052,Normal,normal_campaign500,normal,128,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Normal,309,LowPressure,Spike,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,23,37,106,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,ideal=334|target=Normal|kind=Normal|scoreDiff=25
39,Normal,340.877,Normal,normal_campaign500,normal,210,r2_outer_strong_159_r2_282_a966,r2_outer_strong_159_r2_282_a966,Normal,310,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,21,31,107,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_159_r2_282_a966.asset,ideal=341|target=Normal|kind=Normal|scoreDiff=31
40,Normal,338.662,Hard,normal_campaign500,normal,390,r2_outer_strong_155_r2_277_a954,r2_outer_strong_155_r2_277_a954,Hard,442,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Square,VisualMedium,Standard,None,NoRisk,LargeScale|FlowRelief,,35,39,131,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_155_r2_277_a954.asset,ideal=339|target=Hard|kind=Normal|scoreDiff=103
41,Normal,329.813,Flow,normal_campaign500,normal,176,r1_outer_strong_041_r1_071_a528,r1_outer_strong_041_r1_071_a528,Flow,234,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,30,66,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_041_r1_071_a528.asset,ideal=330|target=Flow|kind=Normal|scoreDiff=96
42,Shape,318.555,Normal,shape_final_with_supplement,shape,43,r2_outer_strong_005_r2_006_a401_procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall,MainTreasureChestTall,Normal,314,LowPressure,Flow,StartWide,ClearFlow,ChoiceManyGood,SpecialShape,VisualMedium,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,30,42,122,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,ideal=319|target=Normal|kind=Shape|theme=Magic|scoreDiff=5
43,Normal,309.775,Normal,normal_campaign500,normal,247,direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09,direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09,Normal,297,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,23,40,117,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09.asset,ideal=310|target=Normal|kind=Normal|scoreDiff=13
44,Hole,330,Normal,hole_mask_early_front,hole,6,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832,Normal,345,HighPressure,Spike,StartMedium,ClearFlow,ChoiceTactical,HoleBlocker,VisualMedium,MechanicSpice,HoleBlocker,NoRisk,None,HoleBlocker,20,24,51,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset,ideal=330|target=Normal|kind=Hole|hole-spacing|scoreDiff=15
45,Normal,314.642,Normal,normal_campaign500,normal,174,direct_normal_126_direct_normal_rect_core_burst_g0_v13,direct_normal_126_direct_normal_rect_core_burst_g0_v13,Normal,304,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,22,39,114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_126_direct_normal_rect_core_burst_g0_v13.asset,ideal=315|target=Normal|kind=Normal|scoreDiff=11
46,Normal,330.549,Flow,normal_campaign500,normal,137,r1_outer_strong_085_r1_159_a677,r1_outer_strong_085_r1_159_a677,Flow,227,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,28,61,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_085_r1_159_a677.asset,ideal=331|target=Flow|kind=Normal|scoreDiff=104
47,Normal,352.834,Normal,normal_campaign500,normal,220,direct_normal_37_direct_normal_rect_dual_zone_g3_v04,direct_normal_37_direct_normal_rect_dual_zone_g3_v04,Normal,307,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,23,37,114,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_37_direct_normal_rect_dual_zone_g3_v04.asset,ideal=353|target=Normal|kind=Normal|scoreDiff=46
48,Shape,377.18,Normal,shape_final_with_supplement,shape,55,r2_outer_strong_005_r2_006_a401_procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall,TransitionBridgeTowerTall,Normal,370,LowPressure,Flow,StartWide,ClearFlow,ChoiceManyGood,SpecialShape,VisualMedium,VisualSpice,ShapePuzzle,NoRisk,LargeScale|FlowRelief,Landmark,36,50,144,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_55_onion_maskproceduralvertical_36x50-transitionbridgetowertall_20260611_111130.asset,ideal=377|target=Normal|kind=Shape|theme=Landmark|scoreDiff=7
49,Normal,398.704,Normal,normal_campaign500,normal,245,direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01,direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01,Normal,302,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,20,36,112,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01.asset,ideal=399|target=Normal|kind=Normal|scoreDiff=97
50,Normal,413.298,Hard,normal_campaign500,normal,435,composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120,composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120,Hard,433,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Square,VisualMedium,Standard,None,NoRisk,LargeScale|FlowRelief,,32,42,139,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_151_composite_portrait150_110_composite_greedy_ab_12_hflip_keep_edge120.asset,ideal=413|target=Hard|kind=Normal|scoreDiff=20
51,Normal,312.204,Flow,normal_campaign500,normal,148,r1_ab_159_above300_level_677_final,r1_ab_159_above300_level_677_final,Flow,227,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,28,62,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_159_above300_level_677_final.asset,ideal=312|target=Flow|kind=Normal|scoreDiff=85
52,Normal,304.9,Normal,normal_campaign500,normal,190,direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02,direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02,Normal,304,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,22,35,104,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_12_direct_normal_topup_rect_core_burst_g7_v02.asset,ideal=305|target=Normal|kind=Normal|scoreDiff=1
53,Normal,291.485,Normal,normal_campaign500,normal,324,direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10,direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10,Normal,290,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,23,40,119,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10.asset,ideal=291|target=Normal|kind=Normal|scoreDiff=1
