campaignOrder,slotKind,templateId,experienceRole,contentSeries,unlockTag,storyBeat,idealScore,targetDifficultyTag,stageRelativeDifficultyTag,stageDifficultyScore,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
11,Normal,F20-Director,Recovery,Front20Normal,None,RecoverAfterSmallPressure,145,Flow,StageFlow,137,normal_campaign500,normal,104,nomask_style_09_vertical_gate,nomask_style_09_vertical_gate,Flow,130,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,25,48,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_09_vertical_gate.asset,ideal=145|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=15
12,Normal,F20-Director,Observe,Front20Normal,None,PostHardObserve,130,Flow,StageFlow,153,normal_campaign500,normal,63,nomask_style_expansion_23_center_cross_b,nomask_style_expansion_23_center_cross_b,Flow,130,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,17,24,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,ideal=130|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=0
13,Shape,F20-Director,ToolUnlock,NewbieProp,MagicWand,UnlockMagicWand,150,Flow,StageFlow,130,shape_early_prop,shape,4,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,EarlyProp04MagicWand,Flow,150,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,24,24,37,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,ideal=150|target=Flow|kind=Shape|template=F20-Director|role=ToolUnlock|front20|newbie-shape-series|theme=Magic|scoreDiff=0
14,Normal,F20-Director,Recovery,Front20Normal,None,RecoverAfterMagicWand,125,Flow,StageFlow,121,normal_campaign500,normal,83,nomask_06_sweep,nomask_06_sweep,Flow,122,LowPressure,Flow,StartMedium,ClearFlow,ChoiceManyGood,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,21,42,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,ideal=125|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=3
15,Normal,F20-Director,Observe,Front20Normal,None,NormalC,140,Flow,StageFlow,147,normal_campaign500,normal,71,r1_outer_strong_049_r1_087_a558,r1_outer_strong_049_r1_087_a558,Flow,111,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,27,50,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_049_r1_087_a558.asset,ideal=140|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=29
16,Normal,F20-Director,Pressure,Front20Normal,None,SecondSmallPressure,165,Normal,StageNormal,180,normal_campaign500,normal,85,r2_outer_strong_108_r2_205_a775,r2_outer_strong_108_r2_205_a775,Flow,122,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,23,53,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_108_r2_205_a775.asset,ideal=165|target=Normal|kind=Normal|template=F20-Director|role=Pressure|front20|scoreDiff=43
17,Hole,F20-Director,RescueIntro,Front20Rescue,LoginReward,RescueProudCat,360,Normal,StageNormal|Mechanic,165,hole_mask_early_front,hole,3,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628,Normal,354,HighPressure,Spike,StartNarrow,ClearFlow,ChoiceTactical,HoleBlocker,VisualSparse,MechanicSpice,HoleBlocker,NoRisk,StartNarrow,HoleBlocker,18,22,43,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628.asset,ideal=360|target=Normal|kind=Hole|template=F20-Director|role=RescueIntro|front20|hole-spacing|scoreDiff=6
18,Normal,F20-Director,Observe,Front20Normal,FirstPurchase,UnlockFirstPurchaseAfter,150,Flow,StageNormal,155,normal_campaign500,normal,13,nomask_style_10_zig_river,nomask_style_10_zig_river,Flow,115,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,25,53,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,ideal=150|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=35
19,Normal,F20-Director,Peak,Front20Peak,BonusAfter,FirstMajorPeakBeforeBonus,280,VeryHard,StageVeryHard|Peak,386,normal_campaign500,normal,127,r1_ab_201_above300_level_764_final,r1_ab_201_above300_level_764_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,29,34,96,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_201_above300_level_764_final.asset,ideal=280|target=VeryHard|kind=Normal|template=F20-Director|role=Peak|front20|scoreDiff=0
20,Normal,F20-Director,Recovery,Front20Normal,BattlePassStore,UnlockBattlePassStoreAfter,110,Flow,StageFlow,112,normal_campaign500,normal,23,r1_outer_strong_111_r1_205_a775,r1_outer_strong_111_r1_205_a775,Flow,101,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,20,41,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_111_r1_205_a775.asset,ideal=110|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=9
21,Normal,F30-Director,Recovery,Front30Normal,None,ReturnAfterFirstBonus,135,Flow,StageFlow,160,normal_campaign500,normal,77,r2_outer_strong_054_r2_095_a577,r2_outer_strong_054_r2_095_a577,Flow,134,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,23,58,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_054_r2_095_a577.asset,ideal=135|target=Flow|kind=Normal|template=F30-Director|role=Recovery|scoreDiff=1
22,Normal,F30-Director,Observe,Front30Normal,None,MazeObserveB,150,Flow,StageFlow,171,normal_campaign500,normal,116,r1_ab_136_above300_level_623_final,r1_ab_136_above300_level_623_final,Flow,115,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,29,60,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_136_above300_level_623_final.asset,ideal=150|target=Flow|kind=Normal|template=F30-Director|role=Observe|scoreDiff=35
23,Normal,F30-Director,Normal,Front30Normal,None,SectionNormalB,165,Normal,StageNormal,189,normal_campaign500,normal,90,r2_outer_strong_029_r2_043_a475,r2_outer_strong_029_r2_043_a475,Flow,132,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,weak-outer,FlowRelief,,24,22,66,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_029_r2_043_a475.asset,ideal=165|target=Normal|kind=Normal|template=F30-Director|role=Normal|scoreDiff=33
24,Normal,F30-Director,Pressure,Front30Normal,None,SmallPressureA,180,Normal,StageNormal,219,normal_campaign500,normal,64,r1_outer_strong_057_r1_097_a581,r1_outer_strong_057_r1_097_a581,Flow,117,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,32,71,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_057_r1_097_a581.asset,ideal=180|target=Normal|kind=Normal|template=F30-Director|role=Pressure|scoreDiff=63
25,Normal,F30-Director,Bottleneck,Front30Normal,None,MidBlockHardA,245,Hard,StageHard,325,normal_campaign500,normal,323,r1_ab_106_above300_level_599_final,r1_ab_106_above300_level_599_final,Normal,262,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,31,33,89,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_106_above300_level_599_final.asset,ideal=245|target=Hard|kind=Normal|template=F30-Director|role=Bottleneck|scoreDiff=17
26,Normal,F30-Director,Recovery,Front30Normal,None,SecondRecoveryDip,150,Flow,StageNormal,185,normal_campaign500,normal,96,r2_outer_strong_114_r2_213_a798,r2_outer_strong_114_r2_213_a798,Flow,125,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,26,70,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_114_r2_213_a798.asset,ideal=150|target=Flow|kind=Normal|template=F30-Director|role=Recovery|scoreDiff=25
27,Normal,F30-Director,Normal,Front30Normal,None,SectionNormalC,200,Normal,StageNormal,256,normal_campaign500,normal,204,r1_ab_198_above300_level_757_final,r1_ab_198_above300_level_757_final,Normal,261,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Tall,VisualSparse,Standard,None,weak-outer,FlowRelief,,23,32,78,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_198_above300_level_757_final.asset,ideal=200|target=Normal|kind=Normal|template=F30-Director|role=Normal|scoreDiff=61
28,Normal,F30-Director,Bottleneck,Front30Normal,None,SmallBottleneckA,225,Normal,StageNormal,292,normal_campaign500,normal,185,r1_ab_139_above300_level_632_final,r1_ab_139_above300_level_632_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,20,35,81,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_139_above300_level_632_final.asset,ideal=225|target=Normal|kind=Normal|template=F30-Director|role=Bottleneck|scoreDiff=55
29,Shape,F30-Director,VisualSpice,MainShape,None,FirstMainShapePreview,220,Normal,StageNormal,223,shape_final_with_supplement,shape,77,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,MainMagicQuillTall,Flow,221,LowPressure,Flow,StartMedium,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,30,44,80,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,ideal=220|target=Normal|kind=Shape|template=F30-Director|role=VisualSpice|theme=Magic|scoreDiff=1
30,Normal,F30-Director,Peak,Front30Peak,None,SecondRampVeryHardPeak,295,VeryHard,StageVeryHard|Peak,413,normal_campaign500,normal,291,r2_outer_strong_126_r2_232_a845,r2_outer_strong_126_r2_232_a845,Normal,265,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Square,VisualMedium,Standard,None,edge-short-heavy,FlowRelief,,29,30,110,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_126_r2_232_a845.asset,ideal=295|target=VeryHard|kind=Normal|template=F30-Director|role=Peak|scoreDiff=30
31,Normal,F50-Director,Recovery,Front50Normal,None,PostSecondPeakRecovery,185,Flow,StageNormal,216,normal_campaign500,normal,93,r2_outer_strong_118_r2_219_a811,r2_outer_strong_118_r2_219_a811,Flow,125,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,24,30,80,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_118_r2_219_a811.asset,ideal=185|target=Flow|kind=Normal|template=F50-Director|role=Recovery|scoreDiff=60
32,Shape,F50-Director,VisualSpice,MagicShape,None,MagicSeriesShield,205,Normal,StageFlow,239,shape_final_with_supplement,shape,2,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,MainShieldTall,Flow,228,LowPressure,Flow,StartWide,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,28,40,83,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,ideal=205|target=Normal|kind=Shape|template=F50-Director|role=VisualSpice|theme=Magic|scoreDiff=23
33,Normal,F50-Director,Observe,Front50Normal,None,DenseObserveB,220,Normal,StageNormal,262,normal_campaign500,normal,103,r2_outer_strong_057_r2_100_a588,r2_outer_strong_057_r2_100_a588,Flow,137,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,32,93,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_057_r2_100_a588.asset,ideal=220|target=Normal|kind=Normal|template=F50-Director|role=Observe|scoreDiff=83
34,Normal,F50-Director,Bottleneck,Front50Normal,None,MidBlockHardB,265,Hard,StageHard,386,normal_campaign500,normal,193,r1_outer_strong_012_r1_016_a427,r1_outer_strong_012_r1_016_a427,Normal,291,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Square,VisualMedium,Standard,None,NoRisk,FlowRelief,,25,29,105,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_012_r1_016_a427.asset,ideal=265|target=Hard|kind=Normal|template=F50-Director|role=Bottleneck|scoreDiff=26
35,Normal,F50-Director,Recovery,Front50Normal,None,PreOffbeatPeakRecoveryA,200,Flow,StageNormal,222,normal_campaign500,normal,34,r2_outer_strong_062_r2_110_a607,r2_outer_strong_062_r2_110_a607,Flow,121,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,24,32,83,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_062_r2_110_a607.asset,ideal=200|target=Flow|kind=Normal|template=F50-Director|role=Recovery|scoreDiff=79
36,Normal,F50-Director,Peak,Front50Peak,None,OffbeatVeryHardPeakA,315,VeryHard,StageVeryHard|Peak,522,normal_campaign500,normal,383,composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120,composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120,Hard,433,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,29,41,126,Assets/ArrowMagic/SOData/Levels/Generated/CompositeSeedVariantsABPlayabilityCandidates300/composite_play_cand_102_composite_portrait150_082_composite_greedy_ab_08_rot180_keep_edge120.asset,ideal=315|target=VeryHard|kind=Normal|template=F50-Director|role=Peak|scoreDiff=118
37,Hole,F50-Director,MechanicSpice,Front50Hole,None,HolePracticeAfterPeak,210,Normal,StageNormal|Mechanic,190,hole_mask_early_front,hole,6,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832,Normal,345,HighPressure,Spike,StartMedium,ClearFlow,ChoiceTactical,HoleBlocker,VisualMedium,MechanicSpice,HoleBlocker,NoRisk,None,HoleBlocker,20,24,51,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset,ideal=210|target=Normal|kind=Hole|template=F50-Director|role=MechanicSpice|hole-spacing|scoreDiff=135
38,Normal,F50-Director,Recovery,Front50Normal,None,PostOffbeatPeakRecoveryA,205,Flow,StageNormal,232,normal_campaign500,normal,67,r1_outer_strong_045_r1_080_a542,r1_outer_strong_045_r1_080_a542,Flow,131,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,33,86,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_045_r1_080_a542.asset,ideal=205|target=Flow|kind=Normal|template=F50-Director|role=Recovery|scoreDiff=74
39,Shape,F50-Director,VisualSpice,MagicShape,None,MagicSeriesBat,225,Normal,StageNormal,248,shape_final_with_supplement,shape,79,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,MainMagicBatTall,Flow,231,LowPressure,Flow,StartWide,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,32,42,87,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,ideal=225|target=Normal|kind=Shape|template=F50-Director|role=VisualSpice|theme=Magic|scoreDiff=6
40,Normal,F50-Director,Observe,Front50Normal,None,ChapterBridgeA,235,Normal,StageNormal,318,normal_campaign500,normal,254,r2_outer_strong_145_r2_261_a899,r2_outer_strong_145_r2_261_a899,Normal,246,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,28,33,102,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_145_r2_261_a899.asset,ideal=235|target=Normal|kind=Normal|template=F50-Director|role=Observe|scoreDiff=11
41,Normal,F50-Director,Recovery,Front50Normal,None,PostBridgeRecoveryA,210,Flow,StageNormal,273,normal_campaign500,normal,150,r1_ab_232_above300_level_845_final,r1_ab_232_above300_level_845_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,26,30,83,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,ideal=210|target=Flow|kind=Normal|template=F50-Director|role=Recovery|scoreDiff=70
42,Shape,F50-Director,VisualSpice,MagicShape,None,MagicSeriesBlackCat,235,Normal,StageFlow,250,shape_final_with_supplement,shape,80,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,MainMagicBlackCatTall,Flow,233,LowPressure,Flow,StartWide,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,32,44,88,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,ideal=235|target=Normal|kind=Shape|template=F50-Director|role=VisualSpice|theme=Magic|scoreDiff=2
43,Normal,F50-Director,Observe,Front50Normal,None,MazeObserveC,240,Normal,StageNormal,336,normal_campaign500,normal,280,r1_ab_086_above300_level_557_final,r1_ab_086_above300_level_557_final,Normal,295,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,weak-outer,FlowRelief,,23,33,103,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_086_above300_level_557_final.asset,ideal=240|target=Normal|kind=Normal|template=F50-Director|role=Observe|scoreDiff=55
44,Normal,F50-Director,Pressure,Front50Normal,None,PressureC,255,Normal,StageNormal,346,normal_campaign500,normal,211,r1_outer_strong_128_r1_231_a844,r1_outer_strong_128_r1_231_a844,Normal,265,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,22,35,101,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_128_r1_231_a844.asset,ideal=255|target=Normal|kind=Normal|template=F50-Director|role=Pressure|scoreDiff=10
45,Normal,F50-Director,Recovery,Front50Normal,None,PreOffbeatPeakRecoveryB,215,Flow,StageNormal,269,normal_campaign500,normal,152,r1_outer_strong_129_r1_232_a845,r1_outer_strong_129_r1_232_a845,Normal,255,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,26,30,85,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_129_r1_232_a845.asset,ideal=215|target=Flow|kind=Normal|template=F50-Director|role=Recovery|scoreDiff=40
