campaignOrder,slotKind,idealScore,targetDifficultyTag,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
11,Normal,195,Flow,normal_campaign500,normal,147,r2_outer_strong_084_r2_161_a682,r2_outer_strong_084_r2_161_a682,Flow,229,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,27,57,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_084_r2_161_a682.asset,ideal=195|target=Flow|kind=Normal|front20|scoreDiff=34
12,Normal,205,Flow,normal_campaign500,normal,2,nomask_03_lock_buckle,nomask_03_lock_buckle,Flow,151,LowPressure,Bottleneck,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,22,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_03_lock_buckle.asset,ideal=205|target=Flow|kind=Normal|front20|scoreDiff=54
13,Shape,165,Flow,shape_final_with_supplement,shape,34,r2_outer_strong_005_r2_006_a401_procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall,MainWindmillTall,Flow,220,LowPressure,Flow,StartMedium,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Landmark,30,42,82,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802.asset,ideal=165|target=Flow|kind=Shape|front20|theme=Landmark|scoreDiff=55
14,Normal,220,Flow,normal_campaign500,normal,138,r2_outer_strong_110_r2_208_a782,r2_outer_strong_110_r2_208_a782,Flow,235,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,31,66,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_110_r2_208_a782.asset,ideal=220|target=Flow|kind=Normal|front20|scoreDiff=15
15,Normal,235,Flow,normal_campaign500,normal,126,r1_ab_195_above300_level_754_final,r1_ab_195_above300_level_754_final,Flow,234,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,23,31,68,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_195_above300_level_754_final.asset,ideal=235|target=Flow|kind=Normal|front20|scoreDiff=1
16,Normal,245,Normal,normal_campaign500,normal,124,r2_outer_strong_051_r2_091_a571,r2_outer_strong_051_r2_091_a571,Normal,242,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,19,26,62,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_051_r2_091_a571.asset,ideal=245|target=Normal|kind=Normal|front20|scoreDiff=3
17,Normal,260,Normal,normal_campaign500,normal,266,direct_normal_135_direct_normal_rect_sweep_g1_v14,direct_normal_135_direct_normal_rect_sweep_g1_v14,Normal,257,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Tall,VisualMedium,Standard,None,NoRisk,FlowRelief,,21,39,103,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_135_direct_normal_rect_sweep_g1_v14.asset,ideal=260|target=Normal|kind=Normal|front20|scoreDiff=3
18,Shape,185,Flow,shape_final_with_supplement,shape,114,r2_outer_strong_005_r2_006_a401_procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall,MainLeaf03Tall,Flow,221,LowPressure,Flow,StartWide,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Nature,32,42,84,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall_20260611_111813.asset,ideal=185|target=Flow|kind=Shape|front20|theme=Nature|scoreDiff=36
19,Normal,270,Normal,normal_campaign500,normal,185,r1_ab_139_above300_level_632_final,r1_ab_139_above300_level_632_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,20,35,81,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_139_above300_level_632_final.asset,ideal=270|target=Normal|kind=Normal|front20|scoreDiff=10
20,Normal,285,Normal,normal_campaign500,normal,150,r1_ab_232_above300_level_845_final,r1_ab_232_above300_level_845_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,26,30,83,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_232_above300_level_845_final.asset,ideal=285|target=Normal|kind=Normal|front20|scoreDiff=5
