campaignOrder,slotKind,templateId,experienceRole,contentSeries,unlockTag,storyBeat,idealScore,targetDifficultyTag,stageRelativeDifficultyTag,stageDifficultyScore,sourcePool,sourceKind,sourceOrder,levelId,assetName,difficultyTagV1,difficultyScoreV1,pressureTag,paceTag,startTag,clearTag,choiceTag,shapeTag,visualTag,noveltyTag,mechanicTag,riskTags,reasonTags,theme,width,height,chains,assetPath,selectionReason
11,Normal,F20-Director,Recovery,Front20Normal,None,RecoverAfterSmallPressure,145,Flow,StageFlow,137,normal_campaign500,normal,104,nomask_style_09_vertical_gate,nomask_style_09_vertical_gate,Flow,130,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,16,25,48,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_09_vertical_gate.asset,ideal=145|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=15
12,Normal,F20-Director,Observe,Front20Normal,None,PostHardObserve,130,Flow,StageFlow,153,normal_campaign500,normal,63,nomask_style_expansion_23_center_cross_b,nomask_style_expansion_23_center_cross_b,Flow,130,LowPressure,Bottleneck,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,17,24,50,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,ideal=130|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=0
13,Shape,F20-Director,ToolUnlock,NewbieProp,MagicWand,UnlockMagicWand,150,Flow,StageFlow,130,shape_early_prop,shape,4,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,EarlyProp04MagicWand,Flow,150,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,24,24,37,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,ideal=150|target=Flow|kind=Shape|template=F20-Director|role=ToolUnlock|front20|newbie-shape-series|theme=Magic|scoreDiff=0
14,Normal,F20-Director,Recovery,Front20Normal,None,RecoverAfterMagicWand,125,Flow,StageFlow,121,normal_campaign500,normal,83,nomask_06_sweep,nomask_06_sweep,Flow,122,LowPressure,Flow,StartMedium,ClearFlow,ChoiceManyGood,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,15,21,42,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,ideal=125|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=3
15,Normal,F20-Director,Observe,Front20Normal,None,NormalC,140,Flow,StageFlow,147,normal_campaign500,normal,71,r1_outer_strong_049_r1_087_a558,r1_outer_strong_049_r1_087_a558,Flow,111,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,21,27,50,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_049_r1_087_a558.asset,ideal=140|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=29
16,Normal,F20-Director,Pressure,Front20Normal,None,SecondSmallPressure,165,Normal,StageNormal,180,normal_campaign500,normal,85,r2_outer_strong_108_r2_205_a775,r2_outer_strong_108_r2_205_a775,Flow,122,LowPressure,Flow,StartWide,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,23,53,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_108_r2_205_a775.asset,ideal=165|target=Normal|kind=Normal|template=F20-Director|role=Pressure|front20|scoreDiff=43
17,Hole,F20-Director,RescueIntro,Front20Rescue,LoginReward,RescueProudCat,360,Normal,StageNormal|Mechanic,165,hole_mask_early_front,hole,3,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628,Normal,354,HighPressure,Spike,StartNarrow,ClearFlow,ChoiceTactical,HoleBlocker,VisualSparse,MechanicSpice,HoleBlocker,NoRisk,StartNarrow,HoleBlocker,18,22,43,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_18x22_standard_r01_r1_ab_091_above300_level_571_final_20260610_113628.asset,ideal=360|target=Normal|kind=Hole|template=F20-Director|role=RescueIntro|front20|hole-spacing|scoreDiff=6
18,Normal,F20-Director,Observe,Front20Normal,FirstPurchase,UnlockFirstPurchaseAfter,150,Flow,StageNormal,155,normal_campaign500,normal,13,nomask_style_10_zig_river,nomask_style_10_zig_river,Flow,115,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,25,53,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,ideal=150|target=Flow|kind=Normal|template=F20-Director|role=Observe|front20|scoreDiff=35
19,Normal,F20-Director,Peak,Front20Peak,BonusAfter,FirstMajorPeakBeforeBonus,280,VeryHard,StageVeryHard|Peak,386,normal_campaign500,normal,127,r1_ab_201_above300_level_764_final,r1_ab_201_above300_level_764_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,29,34,96,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_201_above300_level_764_final.asset,ideal=280|target=VeryHard|kind=Normal|template=F20-Director|role=Peak|front20|scoreDiff=0
20,Normal,F20-Director,Recovery,Front20Normal,BattlePassStore,UnlockBattlePassStoreAfter,110,Flow,StageFlow,112,normal_campaign500,normal,23,r1_outer_strong_111_r1_205_a775,r1_outer_strong_111_r1_205_a775,Flow,101,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,20,41,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_111_r1_205_a775.asset,ideal=110|target=Flow|kind=Normal|template=F20-Director|role=Recovery|front20|scoreDiff=9
21,Normal,F30-Director,Recovery,Front30Normal,None,ReturnAfterFirstBonus,135,Flow,StageFlow,160,normal_campaign500,normal,77,r2_outer_strong_054_r2_095_a577,r2_outer_strong_054_r2_095_a577,Flow,134,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,18,23,58,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_054_r2_095_a577.asset,ideal=135|target=Flow|kind=Normal|template=F30-Director|role=Recovery|scoreDiff=1
22,Normal,F30-Director,Observe,Front30Normal,None,MazeObserveB,150,Flow,StageFlow,171,normal_campaign500,normal,116,r1_ab_136_above300_level_623_final,r1_ab_136_above300_level_623_final,Flow,115,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,29,60,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_136_above300_level_623_final.asset,ideal=150|target=Flow|kind=Normal|template=F30-Director|role=Observe|scoreDiff=35
23,Normal,F30-Director,Normal,Front30Normal,None,SectionNormalB,165,Normal,StageNormal,189,normal_campaign500,normal,90,r2_outer_strong_029_r2_043_a475,r2_outer_strong_029_r2_043_a475,Flow,132,LowPressure,Flow,StartMedium,ClearFlow,ChoiceReadable,Square,VisualSparse,Standard,None,weak-outer,FlowRelief,,24,22,66,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_029_r2_043_a475.asset,ideal=165|target=Normal|kind=Normal|template=F30-Director|role=Normal|scoreDiff=33
24,Normal,F30-Director,Pressure,Front30Normal,None,SmallPressureA,180,Normal,StageNormal,219,normal_campaign500,normal,64,r1_outer_strong_057_r1_097_a581,r1_outer_strong_057_r1_097_a581,Flow,117,LowPressure,Flow,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,32,71,Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_057_r1_097_a581.asset,ideal=180|target=Normal|kind=Normal|template=F30-Director|role=Pressure|scoreDiff=63
25,Normal,F30-Director,Bottleneck,Front30Normal,None,MidBlockHardA,245,Hard,StageHard,325,normal_campaign500,normal,323,r1_ab_106_above300_level_599_final,r1_ab_106_above300_level_599_final,Normal,262,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,31,33,89,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_106_above300_level_599_final.asset,ideal=245|target=Hard|kind=Normal|template=F30-Director|role=Bottleneck|scoreDiff=17
26,Normal,F30-Director,Recovery,Front30Normal,None,SecondRecoveryDip,150,Flow,StageNormal,185,normal_campaign500,normal,96,r2_outer_strong_114_r2_213_a798,r2_outer_strong_114_r2_213_a798,Flow,125,LowPressure,Flow,StartWide,ClearBurst,ChoiceReadable,Square,VisualSparse,Standard,None,NoRisk,FlowRelief,,22,26,70,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_114_r2_213_a798.asset,ideal=150|target=Flow|kind=Normal|template=F30-Director|role=Recovery|scoreDiff=25
27,Normal,F30-Director,Normal,Front30Normal,None,SectionNormalC,200,Normal,StageNormal,256,normal_campaign500,normal,204,r1_ab_198_above300_level_757_final,r1_ab_198_above300_level_757_final,Normal,261,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceTactical,Tall,VisualSparse,Standard,None,weak-outer,FlowRelief,,23,32,78,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_198_above300_level_757_final.asset,ideal=200|target=Normal|kind=Normal|template=F30-Director|role=Normal|scoreDiff=61
28,Normal,F30-Director,Bottleneck,Front30Normal,None,SmallBottleneckA,225,Normal,StageNormal,292,normal_campaign500,normal,185,r1_ab_139_above300_level_632_final,r1_ab_139_above300_level_632_final,Normal,280,LowPressure,Bottleneck,StartMedium,ClearBurst,ChoiceReadable,Tall,VisualSparse,Standard,None,NoRisk,FlowRelief,,20,35,81,Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_139_above300_level_632_final.asset,ideal=225|target=Normal|kind=Normal|template=F30-Director|role=Bottleneck|scoreDiff=55
29,Shape,F30-Director,VisualSpice,MainShape,None,FirstMainShapePreview,220,Normal,StageNormal,223,shape_final_with_supplement,shape,77,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,MainMagicQuillTall,Flow,221,LowPressure,Flow,StartMedium,ClearBurst,ChoiceManyGood,SpecialShape,VisualSparse,VisualSpice,ShapePuzzle,NoRisk,FlowRelief,Magic,30,44,80,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,ideal=220|target=Normal|kind=Shape|template=F30-Director|role=VisualSpice|theme=Magic|scoreDiff=1
30,Normal,F30-Director,Peak,Front30Peak,None,SecondRampVeryHardPeak,295,VeryHard,StageVeryHard|Peak,413,normal_campaign500,normal,291,r2_outer_strong_126_r2_232_a845,r2_outer_strong_126_r2_232_a845,Normal,265,LowPressure,Bottleneck,StartWide,ClearFlow,ChoiceReadable,Square,VisualMedium,Standard,None,edge-short-heavy,FlowRelief,,29,30,110,Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_126_r2_232_a845.asset,ideal=295|target=VeryHard|kind=Normal|template=F30-Director|role=Peak|scoreDiff=30
