"pool","order","sourcePack","levelId","assetName","theme","subtheme","shapeRole","difficultyBand","maskName","maskWidth","maskHeight","maskArea","maskCoverage","maskFill","width","height","chains","arrowTiles","blockTiles","boardFill","playableFill","assetArrowCoverage","initialMovable","targetDifficultyScore","generationSeed","maskGuid","assetPath"
"shape_final_with_supplement","11","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall","procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447","Symbol","letters-symbols","symbol","main","MainHeartTall","30","40","678","0.565","0.984","30","40","91","667","0","0.556","0.556","0.96","0","974","93641","9538ca85845ac0549907eb354333aaeb","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset"
"shape_final_with_supplement","12","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_12_lock_maskproceduralvertical_30x40-maingemtall","procmask_12_lock_maskproceduralvertical_30x40-maingemtall_20260611_110450","Magic","adventure-relic","object","main","MainGemTall","30","40","716","0.597","0.986","30","40","96","706","0","0.588","0.588","0.96","0","974","1109674","f2c75f81f67976a4384c190b4d081857","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_12_lock_maskproceduralvertical_30x40-maingemtall_20260611_110450.asset"
"shape_final_with_supplement","13","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall","procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450","Symbol","letters-symbols","symbol","main","MainLightningTall","28","42","648","0.551","0.974","28","42","92","631","0","0.537","0.537","0.96","0","974","109607","c0ca136d1c6a5f044924f983b1595ab8","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset"
"shape_final_with_supplement","14","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_14_long_maskproceduralvertical_30x42-mainhousetall","procmask_14_long_maskproceduralvertical_30x42-mainhousetall_20260611_110453","Object","tools-items","object","main","MainHouseTall","30","42","736","0.584","0.985","30","42","87","725","0","0.575","0.575","0.96","0","974","1121174","568d230cf419fc24ea7cbc71cbdc4bc8","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_14_long_maskproceduralvertical_30x42-mainhousetall_20260611_110453.asset"
"shape_final_with_supplement","15","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall","procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall_20260611_110455","Character","animals-mascots","character","main","MainSnowmanTall","30","42","788","0.625","0.98","30","42","108","772","0","0.613","0.613","0.96","0","974","125519","78a7ab86e2859b247a397c0470684bc4","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall_20260611_110455.asset"
"shape_final_with_supplement","16","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall","procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall_20260611_110458","Vehicle","transport","vehicle","main","MainTrainFrontTall","30","42","754","0.598","0.979","30","42","106","738","0","0.586","0.586","0.96","0","974","133438","57e22b74618ee0a429f6406600ae08b8","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall_20260611_110458.asset"
"shape_final_with_supplement","17","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_17_long_maskproceduralvertical_30x40-maincuptall","procmask_17_long_maskproceduralvertical_30x40-maincuptall_20260611_110501","Object","tools-items","object","main","MainCupTall","30","40","896","0.747","0.983","30","40","114","881","0","0.734","0.734","0.96","0","974","1144729","fb4d93c2b4f23f6458f23f7cf28d9b58","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_17_long_maskproceduralvertical_30x40-maincuptall_20260611_110501.asset"
"shape_final_with_supplement","18","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_18_long_maskproceduralvertical_30x40-mainmushroomtall","procmask_18_long_maskproceduralvertical_30x40-mainmushroomtall_20260611_110508","Nature","plants-creatures","natural","main","MainMushroomTall","30","40","712","0.593","0.989","30","40","91","704","0","0.587","0.587","0.96","0","974","1152648","e6dab32f87a28a84f8e526c420f513ba","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_18_long_maskproceduralvertical_30x40-mainmushroomtall_20260611_110508.asset"
"shape_final_with_supplement","19","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall","procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510","Symbol","letters-symbols","symbol","main","MainStarTall","30","40","630","0.525","0.97","30","40","86","611","0","0.509","0.509","0.96","0","974","156993","67587956fb5d2a046827a29b795a5c91","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset"
"shape_final_with_supplement","20","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_20_long_maskproceduralvertical_30x42-mainbeanmascottall","procmask_20_long_maskproceduralvertical_30x42-mainbeanmascottall_20260611_110513","Character","animals-mascots","character","main","MainBeanMascotTall","30","42","786","0.624","0.973","30","42","88","765","0","0.607","0.607","0.96","0","974","1168688","4dadb7aaa60dcf049bd3b670fc8c8417","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_20_long_maskproceduralvertical_30x42-mainbeanmascottall_20260611_110513.asset"
"shape_final_with_supplement","21","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall","procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517","Character","animals-mascots","character","main","MainRaisedHandMascotTall","30","42","846","0.671","0.982","30","42","101","831","0","0.66","0.66","0.96","0","974","1176607","8499344a092c45f47931c9b6cb719379","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset"
"shape_final_with_supplement","22","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_22_long_maskproceduralvertical_30x42-mainrobotmascottall","procmask_22_long_maskproceduralvertical_30x42-mainrobotmascottall_20260611_110518","Space","sci-fi","character","main","MainRobotMascotTall","30","42","748","0.594","0.981","30","42","86","734","0","0.583","0.583","0.96","0","974","1184526","e99dbb889a3beab488c3f0bb5b9bc69e","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_22_long_maskproceduralvertical_30x42-mainrobotmascottall_20260611_110518.asset"
"shape_final_with_supplement","23","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall","procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall_20260611_110521","Space","sci-fi","character","main","MainAstronautMascotTall","30","42","822","0.652","0.985","30","42","111","810","0","0.643","0.643","0.96","0","974","188871","ef619666b1c0dc540b47f48ccafb684d","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall_20260611_110521.asset"
"shape_final_with_supplement","24","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_24_long_maskproceduralvertical_30x42-mainwizardmascottall","procmask_24_long_maskproceduralvertical_30x42-mainwizardmascottall_20260611_110527","Magic","academy","object","main","MainWizardMascotTall","30","42","824","0.654","0.978","30","42","91","806","0","0.64","0.64","0.96","0","974","1200364","3f308f9dfd10b614082d9f38d17dbae3","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_24_long_maskproceduralvertical_30x42-mainwizardmascottall_20260611_110527.asset"
"shape_final_with_supplement","25","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall","procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528","Magic","adventure-relic","object","main","MainKnightMascotTall","30","42","699","0.555","0.964","30","42","95","674","0","0.535","0.535","0.96","0","974","204709","c01def6fed9d5144892b873876015d67","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset"
"shape_final_with_supplement","26","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_26_long_maskproceduralvertical_30x42-mainclassicportraittall","procmask_26_long_maskproceduralvertical_30x42-mainclassicportraittall_20260611_110534","Art","studio","character","main","MainClassicPortraitTall","30","42","1120","0.889","0.979","30","42","135","1096","0","0.87","0.87","0.96","0","974","1216202","d0151565d60a7a644ad8f171738d4dd6","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_26_long_maskproceduralvertical_30x42-mainclassicportraittall_20260611_110534.asset"
"shape_final_with_supplement","27","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall","procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536","Art","studio","character","main","MainPainterBustTall","30","42","758","0.602","0.985","30","42","104","747","0","0.593","0.593","0.96","0","974","220547","4995c79be6770454185b743116476162","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset"
"shape_final_with_supplement","28","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_28_onion_maskproceduralvertical_30x44-mainirontowertall","procmask_28_onion_maskproceduralvertical_30x44-mainirontowertall_20260611_110540","Landmark","architecture","landmark","main","MainIronTowerTall","30","44","634","0.480","0.984","30","44","86","624","0","0.473","0.473","0.96","0","974","228668","bb78f81906cb7354b83c660d54ceec88","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_28_onion_maskproceduralvertical_30x44-mainirontowertall_20260611_110540.asset"
"shape_final_with_supplement","29","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall","procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545","Landmark","architecture","landmark","main","MainLibertyStatueTall","30","44","829","0.628","0.979","30","44","101","812","0","0.615","0.615","0.96","0","974","1240161","e0b863114a2bf6c46bb22adce483cf38","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset"
"shape_final_with_supplement","30","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_30_onion_maskproceduralvertical_30x42-maintriumpharchtall","procmask_30_onion_maskproceduralvertical_30x42-maintriumpharchtall_20260611_110546","Landmark","architecture","landmark","main","MainTriumphArchTall","30","42","947","0.752","0.982","30","42","129","930","0","0.738","0.738","0.96","0","974","244304","50c7186c7a772994ba895b80bf5297ad","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_30_onion_maskproceduralvertical_30x42-maintriumpharchtall_20260611_110546.asset"
"shape_final_with_supplement","31","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall","procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752","Landmark","architecture","landmark","main","MainLeaningTowerTall","30","44","830","0.629","0.975","30","44","120","809","0","0.613","0.613","0.96","0","974","252425","1947da08bd84a4d448c6043850ec7107","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset"
"shape_final_with_supplement","32","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_32_onion_maskproceduralvertical_30x42-mainpyramidtall","procmask_32_onion_maskproceduralvertical_30x42-mainpyramidtall_20260611_110754","Landmark","architecture","landmark","main","MainPyramidTall","30","42","622","0.494","0.974","30","42","82","606","0","0.481","0.481","0.96","0","974","260142","6dc9ec2f04f4bd2429d36d1e36742c1a","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_32_onion_maskproceduralvertical_30x42-mainpyramidtall_20260611_110754.asset"
"shape_final_with_supplement","33","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall","procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755","Landmark","architecture","landmark","main","MainClockTowerTall","30","44","762","0.577","0.983","30","44","105","749","0","0.567","0.567","0.96","0","974","268263","bdd2a3175df7d3345b165fa18e9090ed","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset"
"shape_final_with_supplement","34","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall","procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802","Landmark","architecture","landmark","main","MainWindmillTall","30","42","746","0.592","0.975","30","42","82","727","0","0.577","0.577","0.96","0","974","1279554","acd05219e5ee6dd43bd3e574da098537","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802.asset"
"shape_final_with_supplement","35","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_35_long_maskproceduralvertical_30x42-maintemplecolumnstall","procmask_35_long_maskproceduralvertical_30x42-maintemplecolumnstall_20260611_110805","Landmark","architecture","landmark","main","MainTempleColumnsTall","30","42","736","0.584","0.981","30","42","97","722","0","0.573","0.573","0.96","0","974","1287473","c94b1848c2482914f861f17647252442","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_35_long_maskproceduralvertical_30x42-maintemplecolumnstall_20260611_110805.asset"
"shape_final_with_supplement","36","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall","procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820","Character","animals-mascots","character","main","MainOwlTall","30","42","872","0.692","0.976","30","42","99","851","0","0.675","0.675","0.96","0","974","1295392","560315b17bc7c374cb71cd187231e083","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset"
"shape_final_with_supplement","37","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall","procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall_20260611_110822","Character","animals-mascots","character","main","MainPenguinTall","30","42","646","0.513","0.974","30","42","85","629","0","0.499","0.499","0.96","0","974","299737","ce49ee3c3a0889c42a1c4817b7f38112","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall_20260611_110822.asset"
"shape_final_with_supplement","38","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall","procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835","Character","animals-mascots","character","main","MainBunnyTall","30","42","900","0.714","0.983","30","42","126","885","0","0.702","0.702","0.96","0","974","307656","ad1d6574facbec749abe0c602e104b5c","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835.asset"
"shape_final_with_supplement","39","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_39_long_maskproceduralvertical_30x42-mainfoxtall","procmask_39_long_maskproceduralvertical_30x42-mainfoxtall_20260611_110837","Character","animals-mascots","character","main","MainFoxTall","30","42","699","0.555","0.977","30","42","81","683","0","0.542","0.542","0.96","0","974","1319149","914e06a3203fff14589ee11380e6f8e1","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_39_long_maskproceduralvertical_30x42-mainfoxtall_20260611_110837.asset"
"shape_final_with_supplement","40","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_40_onion_maskproceduralvertical_30x40-mainwhaletall","procmask_40_onion_maskproceduralvertical_30x40-mainwhaletall_20260611_110841","Ocean","sea-creature","creature","main","MainWhaleTall","30","40","596","0.497","0.983","30","40","82","586","0","0.488","0.488","0.96","0","974","323292","75ee67359321f0d4cae9fc38e839759f","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_40_onion_maskproceduralvertical_30x40-mainwhaletall_20260611_110841.asset"
"shape_final_with_supplement","41","Assets/ArrowMagic/SOData/Packs/ShapeExperiment/ProceduralMaskFillFinalWithSupplementPack.asset","r2_outer_strong_005_r2_006_a401_procmask_41_long_maskproceduralvertical_30x42-mainanchortall","procmask_41_long_maskproceduralvertical_30x42-mainanchortall_20260611_110857","Ocean","nautical","object","main","MainAnchorTall","30","42","664","0.527","0.979","30","42","81","650","0","0.516","0.516","0.96","0","974","1334987","63f29ee15b6e6da4bb6ca0af5cde548c","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_41_long_maskproceduralvertical_30x42-mainanchortall_20260611_110857.asset"
