"pool","order","bucket","type","score","levelId","width","height","chains","coverage","outer1","openers","avgChoices","unlockBursts","dependencyBlocks","family","qualityFlags","sourcePackTags","assetPath"
"normal_campaign500","13","refresh","sweep","174.7","nomask_style_10_zig_river","18","25","53","0.976","0.976","13","6.74","8","161","motif:zig_river","ok","no_mask_style_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset"
"normal_campaign500","14","refresh","section","174.4","r1_ab_104_above300_level_594_final","20","23","44","0.967","0.927","6","5.23","10","116","seed:594","weak-outer","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_104_above300_level_594_final.asset"
"normal_campaign500","15","refresh","dense","174.3","r1_outer_strong_147_r1_258_a894","22","23","56","0.978","0.988","11","4.86","11","156","r1:258","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_147_r1_258_a894.asset"
"normal_campaign500","16","refresh","maze","174.1","r1_outer_strong_103_r1_195_a754","23","31","68","0.98","1","11","4.24","11","254","r1:195","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_103_r1_195_a754.asset"
"normal_campaign500","17","refresh","dense","173.8","nomask_style_expansion_14_dense_kernel_b","19","27","53","0.981","1","15","7.15","12","130","motif:dense_kernel","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_14_dense_kernel_b.asset"
"normal_campaign500","18","refresh","section","173.7","r1_outer_strong_029_r1_043_a475","21","22","52","0.965","0.939","7","3.37","8","181","r1:043","weak-outer","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_029_r1_043_a475.asset"
"normal_campaign500","19","refresh","section","173.7","r1_ab_043_above300_level_475_final","21","22","52","0.965","0.939","7","3.37","8","181","seed:475","weak-outer","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_043_above300_level_475_final.asset"
"normal_campaign500","20","refresh","lock","173.5","nomask_style_expansion_07_double_room_lock_a","17","23","38","0.982","0.961","8","5.53","10","87","motif:double_room_lock","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_07_double_room_lock_a.asset"
"normal_campaign500","21","refresh","section","173.4","nomask_style_expansion_27_stair_ladder_b","17","25","58","0.965","0.975","15","7.02","11","161","motif:stair_ladder","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_27_stair_ladder_b.asset"
"normal_campaign500","22","refresh","lock","173.2","nomask_style_expansion_33_double_room_lock_tall","18","29","48","0.989","1","9","5.92","8","112","motif:double_room_lock","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_33_double_room_lock_tall.asset"
"normal_campaign500","23","refresh","shell","172.6","r1_outer_strong_111_r1_205_a775","18","20","41","0.967","0.972","9","4","6","98","r1:205","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_111_r1_205_a775.asset"
"normal_campaign500","24","refresh","sweep","172.4","r2_outer_strong_166_r2_295_a003","14","13","20","0.978","0.98","7","3.95","3","32","r2:295","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_166_r2_295_a003.asset"
"normal_campaign500","25","refresh","maze","171.6","r1_outer_strong_065_r1_110_a607","22","32","75","0.984","0.99","12","6.25","19","282","r1:110","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_065_r1_110_a607.asset"
"normal_campaign500","26","refresh","maze","171.3","r1_outer_strong_116_r1_211_a789","20","25","46","0.994","1","9","4.5","7","128","r1:211","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_116_r1_211_a789.asset"
"normal_campaign500","27","refresh","dense","170","r2_outer_strong_056_r2_097_a581","24","32","82","0.979","0.991","12","4.96","16","328","r2:097","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_056_r2_097_a581.asset"
"normal_campaign500","28","refresh","section","169.4","r1_ab_237_above300_level_857_final","20","25","53","0.966","0.942","7","3.17","10","201","seed:857","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_237_above300_level_857_final.asset"
"normal_campaign500","29","refresh","section","169.2","r1_outer_strong_134_r1_237_a857","20","25","54","0.974","0.988","9","3.78","10","201","r1:237","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_134_r1_237_a857.asset"
"normal_campaign500","30","refresh","section","168.8","nomask_08_dual_zone","16","22","46","0.986","0.986","13","7.46","7","115","motif:dual_zone","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset"
"normal_campaign500","31","refresh","maze","168.7","r1_ab_211_above300_level_789_final","20","25","45","0.986","0.953","8","4.38","7","124","seed:789","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_211_above300_level_789_final.asset"
"normal_campaign500","32","refresh","maze","168.1","r2_outer_strong_102_r2_197_a756","22","26","50","0.984","1","9","3.84","13","199","r2:197","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_102_r2_197_a756.asset"
"normal_campaign500","33","refresh","maze","167.6","r1_outer_strong_168_r1_289_a985","22","24","49","0.979","1","5","3.71","11","143","r1:289","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_168_r1_289_a985.asset"
"normal_campaign500","34","refresh","maze","167.4","r2_outer_strong_062_r2_110_a607","24","32","83","0.982","0.991","13","3.9","20","322","r2:110","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_062_r2_110_a607.asset"
"normal_campaign500","35","refresh","section","167.3","r1_ab_152_above300_level_661_final","20","26","41","0.987","1","9","4.83","5","105","seed:661","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_152_above300_level_661_final.asset"
"normal_campaign500","36","refresh","section","167.3","r1_outer_strong_080_r1_152_a661","20","26","41","0.987","1","9","4.83","5","105","r1:152","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_080_r1_152_a661.asset"
"normal_campaign500","37","refresh","section","167.3","r2_outer_strong_130_r2_236_a855","19","24","58","0.967","0.988","11","4.17","11","195","r2:236","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_130_r2_236_a855.asset"
"normal_campaign500","38","refresh","section","167","r1_outer_strong_133_r1_236_a855","17","24","49","0.968","0.987","12","4.41","9","160","r1:236","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_133_r1_236_a855.asset"
"normal_campaign500","39","refresh","dense","166.5","r2_outer_strong_142_r2_257_a893","22","21","57","0.981","1","11","4.67","8","181","r2:257","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_142_r2_257_a893.asset"
"normal_campaign500","40","refresh","dense","166.1","r1_ab_247_above300_level_877_final","19","31","70","0.964","0.958","12","4.14","10","283","seed:877","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_247_above300_level_877_final.asset"
"normal_campaign500","41","refresh","lock","166","nomask_style_03_double_room_lock","17","23","34","0.987","1","12","7.18","6","61","motif:double_room_lock","ok","no_mask_style_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_03_double_room_lock.asset"
"normal_campaign500","42","refresh","section","165.7","r1_ab_294_aout_level_002_final","6","8","8","1","1","2","2.88","2","6","asset:r1_ab_294_aout_level_002_final","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_294_aout_level_002_final.asset"
"normal_campaign500","43","refresh","dense","165.7","r2_outer_strong_032_r2_049_a492","20","28","59","0.977","0.978","11","4.17","9","179","r2:049","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_032_r2_049_a492.asset"
"normal_campaign500","44","refresh","dense","165.5","r1_outer_strong_078_r1_150_a655","22","23","54","0.978","0.988","12","5.3","12","161","r1:150","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_078_r1_150_a655.asset"
"normal_campaign500","45","refresh","dense","165.4","r2_outer_strong_082_r2_159_a677","23","28","69","0.978","0.98","10","5.28","12","222","r2:159","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_082_r2_159_a677.asset"
"normal_campaign500","46","refresh","maze","165.3","r1_outer_strong_032_r1_049_a492","18","28","48","0.982","0.977","10","3.96","5","145","r1:049","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_032_r1_049_a492.asset"
"normal_campaign500","47","refresh","section","165.1","nomask_style_expansion_28_four_pockets_a","17","24","51","0.978","1","14","7.22","9","152","motif:four_pockets","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_28_four_pockets_a.asset"
"normal_campaign500","48","refresh","dense","165","r1_outer_strong_139_r1_247_a877","19","31","71","0.969","0.99","14","4.42","10","277","r1:247","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_139_r1_247_a877.asset"
"normal_campaign500","49","refresh","section","165","r2_outer_strong_008_r2_012_a419","19","26","63","0.966","0.953","13","4.6","12","237","r2:012","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_008_r2_012_a419.asset"
"normal_campaign500","50","refresh","section","164.8","r2_outer_strong_033_r2_052_a497","20","25","59","0.964","1","11","3.32","11","207","r2:052","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_033_r2_052_a497.asset"
"normal_campaign500","51","refresh","maze","164.5","r1_ab_200_above300_level_761_final","23","29","55","0.975","0.93","6","3.49","11","191","seed:761","weak-outer","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_200_above300_level_761_final.asset"
"normal_campaign500","52","refresh","maze","164.4","nomask_style_expansion_01_hui_spiral_a","16","23","30","0.989","0.973","10","6.13","5","41","motif:hui_spiral","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_01_hui_spiral_a.asset"
"normal_campaign500","53","refresh","shell","164.3","r1_ab_203_above300_level_772_final","16","17","33","0.967","0.919","7","2.79","5","90","seed:772","weak-outer","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_203_above300_level_772_final.asset"
"normal_campaign500","54","refresh","shell","164.3","r1_outer_strong_109_r1_203_a772","16","17","33","0.967","0.919","7","2.79","5","90","r1:203","weak-outer","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_109_r1_203_a772.asset"
"normal_campaign500","55","refresh","section","164.1","r1_outer_strong_008_r1_012_a419","19","23","52","0.966","0.975","11","4","10","167","r1:012","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_008_r1_012_a419.asset"
"normal_campaign500","56","refresh","section","164.1","r1_ab_012_above300_level_419_final","19","23","52","0.966","0.975","11","4","10","167","seed:419","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_012_above300_level_419_final.asset"
"normal_campaign500","57","refresh","shell","163.2","r2_outer_strong_042_r2_074_a535","21","25","59","0.941","0.989","11","4.46","10","192","r2:074","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_042_r2_074_a535.asset"
"normal_campaign500","58","refresh","maze","163","nomask_style_01_hui_spiral","16","23","26","0.989","0.986","8","6.85","4","35","motif:hui_spiral","ok","no_mask_style_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_01_hui_spiral.asset"
"normal_campaign500","59","refresh","dense","162.9","r1_outer_strong_167_r1_288_a984","20","34","76","0.976","1","13","5.78","17","294","r1:288","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_167_r1_288_a984.asset"
"normal_campaign500","60","refresh","section","162.7","r1_outer_strong_148_r1_259_a897","18","18","32","0.978","0.971","12","6.09","5","48","r1:259","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_148_r1_259_a897.asset"
"normal_campaign500","61","refresh","section","162","nomask_style_08_four_pockets","17","24","52","0.985","1","13","8.13","10","124","motif:four_pockets","ok","no_mask_style_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_08_four_pockets.asset"
"normal_campaign500","62","refresh","maze","161.7","r1_ab_049_above300_level_492_final","18","28","47","0.974","0.932","8","3.53","5","144","seed:492","weak-outer","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_049_above300_level_492_final.asset"
"normal_campaign500","63","refresh","lock","161.4","nomask_style_expansion_23_center_cross_b","17","24","50","0.98","0.949","15","5.74","8","134","motif:center_cross","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset"
"normal_campaign500","64","refresh","dense","161.1","r1_outer_strong_057_r1_097_a581","22","32","71","0.964","0.99","10","4.65","12","275","r1:097","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_057_r1_097_a581.asset"
"normal_campaign500","65","refresh","section","161","r1_outer_strong_105_r1_197_a756","20","26","40","0.981","0.966","6","2.73","8","164","r1:197","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_105_r1_197_a756.asset"
"normal_campaign500","66","refresh","section","161","r1_ab_197_above300_level_756_final","20","26","40","0.981","0.966","6","2.73","8","164","seed:756","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_197_above300_level_756_final.asset"
"normal_campaign500","67","refresh","dense","161","r1_outer_strong_045_r1_080_a542","22","33","86","0.971","1","12","4.03","17","367","r1:080","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_045_r1_080_a542.asset"
"normal_campaign500","68","refresh","dense","160.8","r1_ab_288_above300_level_984_final","20","34","76","0.972","0.971","12","5.67","17","290","seed:984","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_288_above300_level_984_final.asset"
"normal_campaign500","69","refresh","sweep","160.7","nomask_style_expansion_06_snake_spine_mid","18","27","61","0.994","1","13","7.89","12","196","motif:snake_spine","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_06_snake_spine_mid.asset"
"normal_campaign500","70","refresh","maze","160.5","r1_outer_strong_062_r1_105_a598","24","24","53","0.981","1","9","5.92","9","170","r1:105","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_062_r1_105_a598.asset"
"normal_campaign500","71","refresh","maze","160.3","r1_outer_strong_049_r1_087_a558","21","27","50","0.986","1","9","4.26","7","172","r1:087","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_049_r1_087_a558.asset"
"normal_campaign500","72","refresh","sweep","160.2","nomask_style_expansion_35_zig_river_tall","18","30","67","0.976","0.978","12","8.07","13","184","motif:zig_river","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset"
"normal_campaign500","73","refresh","lock","160.2","nomask_style_expansion_11_key_door_b","18","25","52","0.98","0.963","13","7.77","11","119","motif:key_door","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_11_key_door_b.asset"
"normal_campaign500","74","refresh","dense","160.1","r1_outer_strong_035_r1_055_a501","21","30","72","0.984","0.99","14","4.63","9","274","r1:055","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_035_r1_055_a501.asset"
"normal_campaign500","75","refresh","dense","160","r1_ab_097_above300_level_581_final","22","32","71","0.962","0.971","10","4.65","12","275","seed:581","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_097_above300_level_581_final.asset"
"normal_campaign500","76","refresh","dense","160","r1_outer_strong_151_r1_263_a904","17","29","50","0.972","0.943","11","4.42","8","145","r1:263","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_151_r1_263_a904.asset"
"normal_campaign500","77","refresh","dense","160","r2_outer_strong_054_r2_095_a577","18","23","58","0.981","1","12","5.79","11","171","r2:095","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_054_r2_095_a577.asset"
"normal_campaign500","78","refresh","dense","159.8","r1_outer_strong_141_r1_249_a879","20","26","54","0.971","1","6","3.31","11","197","r1:249","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_141_r1_249_a879.asset"
"normal_campaign500","79","refresh","dense","159.7","r2_outer_strong_097_r2_191_a744","23","25","62","0.977","1","11","6.26","12","181","r2:191","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_097_r2_191_a744.asset"
"normal_campaign500","80","refresh","section","159.6","r2_outer_strong_060_r2_105_a598","26","24","59","0.978","0.99","10","4.83","13","201","r2:105","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_060_r2_105_a598.asset"
"normal_campaign500","81","refresh","dense","159.5","r1_outer_strong_146_r1_257_a893","20","21","50","0.986","1","13","3.82","7","162","r1:257","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_146_r1_257_a893.asset"
"normal_campaign500","82","refresh","dense","159.4","r2_outer_strong_091_r2_174_a711","18","23","42","0.978","0.987","10","3.79","7","129","r2:174","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_091_r2_174_a711.asset"
"normal_campaign500","83","refresh","sweep","159.3","nomask_06_sweep","15","21","42","0.984","1","10","9.52","9","75","motif:sweep","ok","no_mask_type_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset"
"normal_campaign500","84","refresh","section","159.2","r1_ab_271_above300_level_943_final","26","26","62","0.978","0.96","6","6.18","15","265","seed:943","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_271_above300_level_943_final.asset"
"normal_campaign500","85","refresh","dense","159.2","r2_outer_strong_108_r2_205_a775","18","23","53","0.983","1","12","6.3","9","163","r2:205","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_108_r2_205_a775.asset"
"normal_campaign500","86","refresh","sweep","159.1","r2_outer_strong_167_r2_296_a004","13","14","20","0.978","1","9","4","3","24","r2:296","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_167_r2_296_a004.asset"
"normal_campaign500","87","refresh","dense","159","r1_outer_strong_161_r1_279_a957","18","30","60","0.97","1","13","6","13","193","r1:279","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_161_r1_279_a957.asset"
"normal_campaign500","88","refresh","shell","158.7","nomask_style_expansion_34_double_shell_tall","18","29","56","0.992","1","9","6.93","10","202","motif:double_shell","ok","no_mask_style_expansion_preview","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_34_double_shell_tall.asset"
"normal_campaign500","89","refresh","dense","158.6","r1_outer_strong_033_r1_052_a497","17","25","54","0.991","0.988","11","4.11","10","180","r1:052","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_033_r1_052_a497.asset"
"normal_campaign500","90","refresh","section","158","r2_outer_strong_029_r2_043_a475","24","22","66","0.955","0.932","11","4.92","9","233","r2:043","weak-outer","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_029_r2_043_a475.asset"
"normal_campaign500","91","refresh","sweep","157.9","r1_outer_strong_094_r1_174_a711","16","23","38","0.984","1","7","3.26","7","113","r1:174","ok","r1_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R1OuterStrongRepair/r1_outer_strong_094_r1_174_a711.asset"
"normal_campaign500","92","refresh","dense","157.5","r1_ab_249_above300_level_879_final","20","26","54","0.969","0.989","6","3.3","10","196","seed:879","ok","r1_formal_candidate_ab_final_pack","Assets/ArrowMagic/SOData/Levels/Seeds/r1_ab_249_above300_level_879_final.asset"
"normal_campaign500","93","refresh","maze","157.3","r2_outer_strong_118_r2_219_a811","24","30","80","0.964","0.99","16","6.15","13","275","r2:219","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_118_r2_219_a811.asset"
"normal_campaign500","94","refresh","section","157.1","r2_outer_strong_135_r2_247_a877","21","31","77","0.968","0.98","13","3.88","13","335","r2:247","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_135_r2_247_a877.asset"
"normal_campaign500","95","refresh","section","157.1","r2_outer_strong_063_r2_113_a616","22","26","59","0.955","0.989","10","4.54","9","149","r2:113","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_063_r2_113_a616.asset"
"normal_campaign500","96","refresh","dense","157","r2_outer_strong_114_r2_213_a798","22","26","70","0.983","0.989","14","5.77","11","241","r2:213","ok","r2_outer_strong_final_pack","Assets/ArrowMagic/SOData/Levels/Generated/R2OuterStrongRepair/r2_outer_strong_114_r2_213_a798.asset"
