order,campaignType,chains,width,height,theme,subtheme,shapeRole,difficultyBand,maskName,displayShapeId,expectedShapeFromName,maskWidth,maskHeight,maskArea,maskCoverage,maskFill,recognitionRisk,riskReasons,levelId,sourceAsset,suggestedRevealPng,suggestedThumbPng
187,shape_landmark,105,30,44,Landmark,architecture,landmark,main,MainClockTowerTall,shape_main_clock_tower_tall,clock tower,30,44,762,0.577,0.983,LikelyReadable,complex_name;simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset,Art/ShapeReveal/shape_main_clock_tower_tall.png,Art/ShapeRevealThumb/shape_main_clock_tower_tall_thumb.png
193,shape_ocean,102,30,40,Ocean,shoreline,object,main,MainOceanStarfishTall,shape_main_ocean_starfish_tall,ocean starfish,30,40,704,0.587,0.979,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall_20260611_111208.asset,Art/ShapeReveal/shape_main_ocean_starfish_tall.png,Art/ShapeRevealThumb/shape_main_ocean_starfish_tall_thumb.png
198,shape_object,105,30,42,Object,tools-items,object,main,MainDistinctPlugTall,shape_main_distinct_plug_tall,plug,30,42,728,0.578,0.986,LikelyReadable,abstract_name;simple_icon_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_104_onion_maskproceduralvertical_30x42-maindistinctplugtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_104_onion_maskproceduralvertical_30x42-maindistinctplugtall_20260611_111517.asset,Art/ShapeReveal/shape_main_distinct_plug_tall.png,Art/ShapeRevealThumb/shape_main_distinct_plug_tall_thumb.png
203,shape_ocean,103,30,42,Ocean,diving-gear,equipment,main,MainOceanFlippersTall,shape_main_ocean_flippers_tall,ocean flippers,30,42,753,0.598,0.983,LikelyReadable,,r2_outer_strong_005_r2_006_a401_procmask_63_onion_maskproceduralvertical_30x42-mainoceanflipperstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_63_onion_maskproceduralvertical_30x42-mainoceanflipperstall_20260611_111223.asset,Art/ShapeReveal/shape_main_ocean_flippers_tall.png,Art/ShapeRevealThumb/shape_main_ocean_flippers_tall_thumb.png
207,shape_music,103,30,42,Music,stage,object,main,MainMusicHeadphonesTall,shape_main_music_headphones_tall,music headphones,30,42,735,0.583,0.978,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_supp_05_onion_maskfinalsupplement_30x42-mainmusicheadphonestall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_05_onion_maskfinalsupplement_30x42-mainmusicheadphonestall_20260611_124310.asset,Art/ShapeReveal/shape_main_music_headphones_tall.png,Art/ShapeRevealThumb/shape_main_music_headphones_tall_thumb.png
213,shape_nature,106,30,42,Nature,plants-creatures,natural,main,MainCactusTall,shape_main_cactus_tall,cactus,30,42,767,0.609,0.982,LikelyReadable,,r2_outer_strong_005_r2_006_a401_procmask_07_onion_maskproceduralvertical_30x42-maincactustall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_07_onion_maskproceduralvertical_30x42-maincactustall_20260611_110436.asset,Art/ShapeReveal/shape_main_cactus_tall.png,Art/ShapeRevealThumb/shape_main_cactus_tall_thumb.png
218,shape_vehicle,106,30,42,Vehicle,transport,vehicle,main,MainTrainFrontTall,shape_main_train_front_tall,train front,30,42,754,0.598,0.979,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall_20260611_110458.asset,Art/ShapeReveal/shape_main_train_front_tall.png,Art/ShapeRevealThumb/shape_main_train_front_tall_thumb.png
223,shape_music,103,30,42,Music,stage,object,main,MainMusicDrumTall,shape_main_music_drum_tall,music drum,30,42,688,0.546,0.977,LikelyReadable,simple_icon_name,r2_outer_strong_005_r2_006_a401_procmask_supp_08_onion_maskfinalsupplement_30x42-mainmusicdrumtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_08_onion_maskfinalsupplement_30x42-mainmusicdrumtall_20260611_124316.asset,Art/ShapeReveal/shape_main_music_drum_tall.png,Art/ShapeRevealThumb/shape_main_music_drum_tall_thumb.png
228,shape_magic,109,30,42,Magic,creature,creature,main,MainDistinctGhostTall,shape_main_distinct_ghost_tall,ghost,30,42,970,0.770,0.975,LikelyReadable,abstract_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall_20260611_111455.asset,Art/ShapeReveal/shape_main_distinct_ghost_tall.png,Art/ShapeRevealThumb/shape_main_distinct_ghost_tall_thumb.png
233,shape_object,108,34,46,Object,tools-items,object,transition,TransitionDistinctScissorsTall,shape_transition_distinct_scissors_tall,transition scissors,34,46,784,0.501,0.977,NeedsVisualCheck,medium_mask_coverage;abstract_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_110_onion_maskproceduralvertical_34x46-transitiondistinctscissorstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_110_onion_maskproceduralvertical_34x46-transitiondistinctscissorstall_20260611_111640.asset,Art/ShapeReveal/shape_transition_distinct_scissors_tall.png,Art/ShapeRevealThumb/shape_transition_distinct_scissors_tall_thumb.png
238,shape_character,108,30,42,Character,animals-mascots,character,main,MainSnowmanTall,shape_main_snowman_tall,snowman,30,42,788,0.625,0.98,LikelyReadable,,r2_outer_strong_005_r2_006_a401_procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall_20260611_110455.asset,Art/ShapeReveal/shape_main_snowman_tall.png,Art/ShapeRevealThumb/shape_main_snowman_tall_thumb.png
243,shape_space,111,30,42,Space,sci-fi,character,main,MainAstronautMascotTall,shape_main_astronaut_mascot_tall,astronaut mascot,30,42,822,0.652,0.985,NeedsVisualCheck,complex_name,r2_outer_strong_005_r2_006_a401_procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall_20260611_110521.asset,Art/ShapeReveal/shape_main_astronaut_mascot_tall.png,Art/ShapeRevealThumb/shape_main_astronaut_mascot_tall_thumb.png
247,shape_object,109,28,42,Object,tools-items,object,main,MainDistinctMittenTall,shape_main_distinct_mitten_tall,mitten,28,42,784,0.667,0.978,LikelyReadable,abstract_name;distinct_shape_hint,r2_outer_strong_005_r2_006_a401_procmask_103_onion_maskproceduralvertical_28x42-maindistinctmittentall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_103_onion_maskproceduralvertical_28x42-maindistinctmittentall_20260611_111515.asset,Art/ShapeReveal/shape_main_distinct_mitten_tall.png,Art/ShapeRevealThumb/shape_main_distinct_mitten_tall_thumb.png
