order,中文名,displayShapeId,maskName,theme,shapeRole,chains,assetChains,width,height,occupiedCells,occupiedCoverage,maskCoverage,maskFill,reviewPriority,riskReasons,sourceAsset,suggestedRevealPng,人工判断_是否一眼可认,人工备注
108,数字2,shape_main_distinct_digit2_tall,MainDistinctDigit2Tall,Symbol,symbol,93,93,28,42,646,0.549,0.558,0.985,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset,Art/ShapeReveal/shape_main_distinct_digit2_tall.png,,
113,符文石,shape_main_magic_rune_stone_tall,MainMagicRuneStoneTall,Magic,object,98,98,28,42,816,0.694,0.703,0.987,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,Art/ShapeReveal/shape_main_magic_rune_stone_tall.png,,
118,水母,shape_main_distinct_jellyfish_tall,MainDistinctJellyfishTall,Ocean,creature,96,96,30,44,817,0.619,0.629,0.984,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset,Art/ShapeReveal/shape_main_distinct_jellyfish_tall.png,,
123,龙蛋,shape_main_magic_dragon_egg_tall,MainMagicDragonEggTall,Magic,creature,92,92,30,42,805,0.639,0.651,0.982,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,Art/ShapeReveal/shape_main_magic_dragon_egg_tall.png,,
127,猫头鹰,shape_main_owl_tall,MainOwlTall,Character,character,99,99,30,42,851,0.675,0.692,0.976,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset,Art/ShapeReveal/shape_main_owl_tall.png,,
133,骑士吉祥物,shape_main_knight_mascot_tall,MainKnightMascotTall,Magic,object,95,95,30,42,674,0.535,0.555,0.964,C_重点复核,形象复杂或命名不够具体;mask覆盖中等;实际填充略低,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,Art/ShapeReveal/shape_main_knight_mascot_tall.png,,
138,彗星,shape_main_space_comet_icon_tall,MainSpaceCometIconTall,Space,vehicle,96,96,30,42,665,0.528,0.537,0.982,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset,Art/ShapeReveal/shape_main_space_comet_icon_tall.png,,
143,魔法帽,shape_main_magic_hat_tall,MainMagicHatTall,Magic,object,91,91,30,42,675,0.536,0.547,0.98,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,Art/ShapeReveal/shape_main_magic_hat_tall.png,,
147,自由女神像,shape_main_liberty_statue_tall,MainLibertyStatueTall,Landmark,landmark,101,101,30,44,812,0.615,0.628,0.979,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset,Art/ShapeReveal/shape_main_liberty_statue_tall.png,,
153,举手吉祥物,shape_main_raised_hand_mascot_tall,MainRaisedHandMascotTall,Character,character,101,101,30,42,831,0.66,0.671,0.982,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall_20260611_110517.asset,Art/ShapeReveal/shape_main_raised_hand_mascot_tall.png,,
158,字母M,shape_main_distinct_letter_mtall,MainDistinctLetterMTall,Symbol,symbol,100,100,30,42,748,0.594,0.605,0.982,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,Art/ShapeReveal/shape_main_distinct_letter_mtall.png,,
163,河豚,shape_main_ocean_pufferfish_tall,MainOceanPufferfishTall,Ocean,creature,101,101,32,42,755,0.562,0.575,0.977,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall_20260611_111229.asset,Art/ShapeReveal/shape_main_ocean_pufferfish_tall.png,,
168,靴子,shape_main_distinct_boot_tall,MainDistinctBootTall,Object,object,100,100,28,42,651,0.554,0.561,0.986,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall_20260611_111510.asset,Art/ShapeReveal/shape_main_distinct_boot_tall.png,,
173,蜡烛,shape_main_candle_tall,MainCandleTall,Magic,object,104,104,28,40,753,0.672,0.682,0.986,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,Art/ShapeReveal/shape_main_candle_tall.png,,
178,画家半身像,shape_main_painter_bust_tall,MainPainterBustTall,Art,character,104,104,30,42,747,0.593,0.602,0.985,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall_20260611_110536.asset,Art/ShapeReveal/shape_main_painter_bust_tall.png,,
183,贝壳,shape_main_ocean_shell_tall,MainOceanShellTall,Ocean,object,104,104,28,42,723,0.615,0.628,0.98,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall_20260611_111207.asset,Art/ShapeReveal/shape_main_ocean_shell_tall.png,,
187,钟楼,shape_main_clock_tower_tall,MainClockTowerTall,Landmark,landmark,105,105,30,44,749,0.567,0.577,0.983,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall_20260611_110755.asset,Art/ShapeReveal/shape_main_clock_tower_tall.png,,
193,海星,shape_main_ocean_starfish_tall,MainOceanStarfishTall,Ocean,object,102,102,30,40,689,0.574,0.587,0.979,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall_20260611_111208.asset,Art/ShapeReveal/shape_main_ocean_starfish_tall.png,,
198,插头,shape_main_distinct_plug_tall,MainDistinctPlugTall,Object,object,105,105,30,42,718,0.57,0.578,0.986,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_104_onion_maskproceduralvertical_30x42-maindistinctplugtall_20260611_111517.asset,Art/ShapeReveal/shape_main_distinct_plug_tall.png,,
203,脚蹼,shape_main_ocean_flippers_tall,MainOceanFlippersTall,Ocean,equipment,103,103,30,42,740,0.587,0.598,0.983,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_63_onion_maskproceduralvertical_30x42-mainoceanflipperstall_20260611_111223.asset,Art/ShapeReveal/shape_main_ocean_flippers_tall.png,,
207,耳机,shape_main_music_headphones_tall,MainMusicHeadphonesTall,Music,object,103,103,30,42,719,0.571,0.583,0.978,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_05_onion_maskfinalsupplement_30x42-mainmusicheadphonestall_20260611_124310.asset,Art/ShapeReveal/shape_main_music_headphones_tall.png,,
213,仙人掌,shape_main_cactus_tall,MainCactusTall,Nature,natural,106,106,30,42,753,0.598,0.609,0.982,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_07_onion_maskproceduralvertical_30x42-maincactustall_20260611_110436.asset,Art/ShapeReveal/shape_main_cactus_tall.png,,
218,火车头,shape_main_train_front_tall,MainTrainFrontTall,Vehicle,vehicle,106,106,30,42,738,0.586,0.598,0.979,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall_20260611_110458.asset,Art/ShapeReveal/shape_main_train_front_tall.png,,
223,鼓,shape_main_music_drum_tall,MainMusicDrumTall,Music,object,103,103,30,42,672,0.533,0.546,0.977,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_08_onion_maskfinalsupplement_30x42-mainmusicdrumtall_20260611_124316.asset,Art/ShapeReveal/shape_main_music_drum_tall.png,,
228,幽灵,shape_main_distinct_ghost_tall,MainDistinctGhostTall,Magic,creature,109,109,30,42,946,0.751,0.770,0.975,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall_20260611_111455.asset,Art/ShapeReveal/shape_main_distinct_ghost_tall.png,,
233,剪刀,shape_transition_distinct_scissors_tall,TransitionDistinctScissorsTall,Object,object,108,108,34,46,766,0.49,0.501,0.977,B_需要肉眼确认,mask覆盖偏低;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_110_onion_maskproceduralvertical_34x46-transitiondistinctscissorstall_20260611_111640.asset,Art/ShapeReveal/shape_transition_distinct_scissors_tall.png,,
238,雪人,shape_main_snowman_tall,MainSnowmanTall,Character,character,108,108,30,42,772,0.613,0.625,0.98,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall_20260611_110455.asset,Art/ShapeReveal/shape_main_snowman_tall.png,,
243,宇航员,shape_main_astronaut_mascot_tall,MainAstronautMascotTall,Space,character,111,111,30,42,810,0.643,0.652,0.985,B_需要肉眼确认,形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall_20260611_110521.asset,Art/ShapeReveal/shape_main_astronaut_mascot_tall.png,,
247,手套,shape_main_distinct_mitten_tall,MainDistinctMittenTall,Object,object,109,109,28,42,767,0.652,0.667,0.978,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_103_onion_maskproceduralvertical_28x42-maindistinctmittentall_20260611_111515.asset,Art/ShapeReveal/shape_main_distinct_mitten_tall.png,,
253,土星,shape_main_space_saturn_icon_tall,MainSpaceSaturnIconTall,Space,vehicle,111,111,30,42,740,0.587,0.600,0.979,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall_20260611_124212.asset,Art/ShapeReveal/shape_main_space_saturn_icon_tall.png,,
258,海草,shape_main_ocean_seaweed_tall,MainOceanSeaweedTall,Ocean,object,110,110,28,44,760,0.617,0.627,0.983,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall_20260611_111225.asset,Art/ShapeReveal/shape_main_ocean_seaweed_tall.png,,
263,相机,shape_main_ui_camera_tall,MainUiCameraTall,ToolUI,object,115,115,30,42,975,0.774,0.787,0.983,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall_20260611_124359.asset,Art/ShapeReveal/shape_main_ui_camera_tall.png,,
268,魔法扫帚,shape_transition_magic_broom_tall,TransitionMagicBroomTall,Magic,object,118,118,34,50,864,0.508,0.523,0.972,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall_20260611_111404.asset,Art/ShapeReveal/shape_transition_magic_broom_tall.png,,
273,聊天气泡,shape_main_ui_chat_bubble_tall,MainUiChatBubbleTall,ToolUI,object,114,114,30,42,828,0.657,0.673,0.976,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall_20260611_124400.asset,Art/ShapeReveal/shape_main_ui_chat_bubble_tall.png,,
278,章鱼,shape_main_distinct_octopus_tall,MainDistinctOctopusTall,Ocean,creature,119,119,32,44,932,0.662,0.669,0.989,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall_20260611_111458.asset,Art/ShapeReveal/shape_main_distinct_octopus_tall.png,,
283,电池,shape_main_tool_battery_tall,MainToolBatteryTall,ToolUI,object,118,118,28,42,964,0.82,0.833,0.984,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall_20260611_124334.asset,Art/ShapeReveal/shape_main_tool_battery_tall.png,,
288,潜水面罩,shape_transition_ocean_diving_mask_tall,TransitionOceanDivingMaskTall,Ocean,equipment,118,118,34,48,836,0.512,0.527,0.972,B_需要肉眼确认,mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall_20260611_111253.asset,Art/ShapeReveal/shape_transition_ocean_diving_mask_tall.png,,
293,地标01（需人工确认）,shape_transition_wide_landmark01_tall,TransitionWideLandmark01Tall,Landmark,landmark,119,119,34,50,882,0.519,0.532,0.976,C_重点复核,中文名泛化;形象复杂或命名不够具体;mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall_20260611_111830.asset,Art/ShapeReveal/shape_transition_wide_landmark01_tall.png,,
298,宝箱,shape_main_treasure_chest_tall,MainTreasureChestTall,Magic,object,122,122,30,42,973,0.772,0.787,0.982,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_43_long_maskproceduralvertical_30x42-maintreasurechesttall_20260611_110904.asset,Art/ShapeReveal/shape_main_treasure_chest_tall.png,,
303,斜塔,shape_main_leaning_tower_tall,MainLeaningTowerTall,Landmark,landmark,120,120,30,44,809,0.613,0.629,0.975,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_31_onion_maskproceduralvertical_30x44-mainleaningtowertall_20260611_110752.asset,Art/ShapeReveal/shape_main_leaning_tower_tall.png,,
307,海龟,shape_transition_ocean_sea_turtle_tall,TransitionOceanSeaTurtleTall,Ocean,creature,122,122,36,48,871,0.504,0.516,0.976,B_需要肉眼确认,mask覆盖偏低,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_72_onion_maskproceduralvertical_36x48-transitionoceanseaturtletall_20260611_111302.asset,Art/ShapeReveal/shape_transition_ocean_sea_turtle_tall.png,,
313,黑胶唱片,shape_main_music_vinyl_record_tall,MainMusicVinylRecordTall,Music,object,121,121,30,42,784,0.622,0.636,0.979,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_06_onion_maskfinalsupplement_30x42-mainmusicvinylrecordtall_20260611_124312.asset,Art/ShapeReveal/shape_main_music_vinyl_record_tall.png,,
318,兔子,shape_main_bunny_tall,MainBunnyTall,Character,character,126,126,30,42,885,0.702,0.714,0.983,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_38_onion_maskproceduralvertical_30x42-mainbunnytall_20260611_110835.asset,Art/ShapeReveal/shape_main_bunny_tall.png,,
323,螃蟹,shape_transition_distinct_crab_tall,TransitionDistinctCrabTall,Ocean,creature,124,124,36,44,825,0.521,0.534,0.975,A_一眼可读候选,mask覆盖中等;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_113_onion_maskproceduralvertical_36x44-transitiondistinctcrabtall_20260611_111724.asset,Art/ShapeReveal/shape_transition_distinct_crab_tall.png,,
327,地标06（需人工确认）,shape_transition_wide_landmark06_tall,TransitionWideLandmark06Tall,Landmark,landmark,131,131,38,52,1082,0.548,0.561,0.976,C_重点复核,中文名泛化;形象复杂或命名不够具体;mask覆盖中等,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_129_long_maskproceduralvertical_38x52-transitionwidelandmark06tall_20260611_111853.asset,Art/ShapeReveal/shape_transition_wide_landmark06_tall.png,,
333,氧气瓶,shape_transition_ocean_oxygen_tank_tall,TransitionOceanOxygenTankTall,Ocean,equipment,131,131,34,50,1158,0.681,0.695,0.98,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_70_long_maskproceduralvertical_34x50-transitionoceanoxygentanktall_20260611_111257.asset,Art/ShapeReveal/shape_transition_ocean_oxygen_tank_tall.png,,
338,地标05（需人工确认）,shape_transition_wide_landmark05_tall,TransitionWideLandmark05Tall,Landmark,landmark,134,134,36,50,1153,0.641,0.653,0.98,C_重点复核,中文名泛化;形象复杂或命名不够具体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_128_long_maskproceduralvertical_36x50-transitionwidelandmark05tall_20260611_111840.asset,Art/ShapeReveal/shape_transition_wide_landmark05_tall.png,,
343,经典肖像,shape_main_classic_portrait_tall,MainClassicPortraitTall,Art,character,135,135,30,42,1096,0.87,0.889,0.979,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_26_long_maskproceduralvertical_30x42-mainclassicportraittall_20260611_110534.asset,Art/ShapeReveal/shape_main_classic_portrait_tall.png,,
348,宝塔,shape_transition_pagoda_tall,TransitionPagodaTall,Landmark,landmark,132,132,36,50,1069,0.594,0.604,0.983,A_一眼可读候选,强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_52_long_maskproceduralvertical_36x50-transitionpagodatall_20260611_111118.asset,Art/ShapeReveal/shape_transition_pagoda_tall.png,,
353,骑士头盔,shape_transition_magic_knight_helmet_tall,TransitionMagicKnightHelmetTall,Magic,object,141,141,36,50,1105,0.614,0.621,0.988,A_一眼可读候选,,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_89_long_maskproceduralvertical_36x50-transitionmagicknighthelmettall_20260611_111411.asset,Art/ShapeReveal/shape_transition_magic_knight_helmet_tall.png,,
358,龙虾,shape_transition_ocean_lobster_tall,TransitionOceanLobsterTall,Ocean,creature,137,137,38,50,949,0.499,0.514,0.972,B_需要肉眼确认,mask覆盖偏低;强轮廓物体,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_73_onion_maskproceduralvertical_38x50-transitionoceanlobstertall_20260611_111305.asset,Art/ShapeReveal/shape_transition_ocean_lobster_tall.png,,
