order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality
25,normal,170,lock,153.1,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,21,35,98,0.990,0.991,13,9.42,23,520,direct_normal:lock_buckle:g16,ok,True,190.5,ok
26,normal,43,hole_rescue,239,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,hole_combined_20260613,18,26,42,0.972,0.969,10,0.238,13,0.336,hole_combined:SectionUnlock:tall_18x26_section,hole10_v4:SectionUnlock:keep,True,239,hole10_v4_keep
27,shape,48,shape_object,220,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset,shape_final_with_supplement,28,42,80,0.54,0.96,0,,,,shape_final_with_supplement:Object:MainHourglassTall,shape_recognition_v4:front:hourglass,True,220,shape_recognition_v4
28,normal,122,maze,213.0,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_pure_topup_slice02_candidates,17,29,63,0.988,1.000,7,5.06,11,259,direct_refresh:maze_long_chain:g5,ok,True,186.5,ok
29,normal,201,dense,145.4,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,20,34,99,0.982,0.981,21,9.72,18,363,direct_normal:dense_weave:g19,ok,True,189.4,ok
30,normal,129,lock,199.2,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal_topup_candidates,23,37,106,0.981,1.000,8,5.26,24,598,direct_normal:core_burst:g8,ok,True,191.0,ok
31,refresh,517,sweep,152.1,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_pure_topup_slice01_candidates,14,28,61,0.972,0.988,18,9.16,10,142,direct_refresh:sweep:g0,ok,True,184.2,ok
32,refresh,2,shape_magic,228,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape_final_with_supplement,28,40,83,,,,,,,shape_magic:Magic:2,MagicShape,True,228,MagicShape
33,refresh,40,dense,172.9,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_slice04_candidates,19,33,78,0.986,0.990,14,7.19,14,305,asset:direct_pure_topup_04_17_direct_n,ok,True,187.6,ok
34,refresh,510,lock,153.4,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_pure_topup_slice04_candidates,20,37,93,0.980,0.982,17,7.33,20,448,direct_normal:lock_buckle:g6,ok,True,188.5,ok
35,refresh,501,dense,154.7,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_pure_topup_slice01_candidates,17,29,65,0.982,0.989,18,8.38,12,201,direct_refresh:dense_weave:g1,ok,True,185.6,ok
36,normal,121,lock,218.6,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,19,33,83,0.984,1.000,7,5.73,18,330,direct_normal:core_burst:g16,ok,True,188.5,ok
37,normal,8,hole_rescue,239,hole_candidate_009_std_20x22_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset,hole_combined_20260613,20,22,41,0.97,0.961,9,0.22,13,0.24,hole_combined:LockBuckle:std_20x22_lock,hole10_v4:LockBuckle:keep,True,239,hole10_v4_keep
38,shape,6,shape_magic,224,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape_final_with_supplement,30,42,88,0.574,,12,10.00,,0.12,shape:Magic:SpecialShape,NoRisk,True,224,MagicShape
39,normal,157,lock,176.1,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal_candidates,22,35,101,0.988,1.000,16,7.28,21,493,direct_normal:core_burst:g0,ok,True,191.1,ok
40,normal,10,lock,199.1,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_pure_topup_slice05_candidates,22,33,103,0.988,1.000,13,5.09,22,527,direct_normal:lock_buckle:g10,ok;front40-hard-peak,True,191.2,ok
41,refresh,73,dense,165.1,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,direct_pure_topup_slice03_candidates,14,28,62,0.974,0.975,13,8.23,12,164,asset:direct_pure_topup_03_17_direct_r,ok,True,184.0,ok
42,refresh,0,dense,146.7,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,direct_pure_topup_slice04_candidates,19,33,80,0.986,0.990,18,9.93,14,249,direct_normal:dense_weave:g7,ok,True,187.9,ok
43,refresh,79,shape_magic,231,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,shape_final_with_supplement,32,42,87,,,,,,,shape_magic:Magic:79,MagicShape,True,231,MagicShape
44,normal,22,section,185.8,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,20,32,86,0.981,1.000,12,6.00,21,343,direct_normal:quasi_symmetry:g15,ok,True,188.6,ok
45,refresh,64,lock,167.3,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,direct_pure_topup_slice05_candidates,19,32,74,0.974,0.980,15,7.88,13,239,direct_normal:lock_buckle:g9,ok,True,185.6,ok
46,normal,16,hole_rescue,240,hole_candidate_017_std_20x26_maze,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset,hole_combined_20260613,20,26,43,0.975,0.952,9,0.209,12,0.248,hole_combined:MazeLongChain:std_20x26_maze,hole10_v4:MazeLongChain:keep,True,240,hole10_v4_keep
47,normal,189,lock,149.8,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,direct_normal_candidates,23,40,118,0.982,1.000,12,8.01,25,603,direct_normal:lock_buckle:g1,ok,True,192.5,ok
48,refresh,80,shape_magic,233,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,shape_final_with_supplement,32,44,88,,,,,,,shape_magic:Magic:80,MagicShape,True,233,MagicShape
49,normal,21,section,186.3,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,20,34,89,0.984,0.990,13,6.10,20,387,direct_normal:quasi_symmetry:g17,ok,True,188.8,ok
50,refresh,72,sweep,165.4,nomask_style_expansion_35_zig_river_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,no_mask_style_expansion_preview,18,30,67,0.976,0.978,12,8.07,13,184,motif:zig_river,ok,True,184.9,long-straight-run
51,refresh,0,maze,126.4,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_pure_topup_slice06_candidates,18,34,85,0.962,0.940,22,10.68,11,280,direct_normal:maze_long_chain:g6,ok,True,184.1,too-open
52,refresh,0,lock,138.1,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,direct_pure_topup_slice06_candidates,22,31,87,0.977,0.980,18,9.17,13,358,asset:direct_pure_topup_06_17_direct_n,ok,True,187.4,long-straight-run
53,normal,1,shape_space,248,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape_final_with_supplement,30,42,86,0.981,,12,10.32,,10.9,shape:Space:sci-fi:vehicle:procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,True,248,Normal
54,normal,72,hole_rescue,240,hole_topup_001_topup_tall_18x26_dense,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset,hole_combined_20260613,18,26,43,0.98,0.981,7,0.163,9,0.301,hole_combined:DenseWeave:topup_tall_18x26_dense,hole10_v4:DenseWeave:keep,True,240,hole10_v4_keep
55,normal,0,section,139.0,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,20,35,94,0.977,1.000,20,12.49,19,362,direct_normal:dual_zone:g16,ok,True,189.2,ok
56,refresh,0,dense,141.3,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,direct_pure_topup_slice05_candidates,22,34,96,0.981,0.981,18,8.06,21,416,asset:direct_pure_topup_05_01_direct_n,ok,True,189.0,long-straight-run
57,refresh,0,section,145.7,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,direct_pure_topup_slice06_candidates,18,34,84,0.982,1.000,15,8.02,17,279,direct_normal:section_unlock:g8,ok,True,188.5,ok
58,normal,94,shape_symbol,243,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape_final_with_supplement,30,42,87,0.988,,12,10.32,,11.1,shape:Symbol:letters-symbols:symbol:procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,True,243,Normal
59,refresh,61,lock,167.5,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,direct_pure_topup_slice04_candidates,18,38,89,0.982,0.991,14,6.21,20,455,direct_normal:lock_buckle:g7,ok,True,188.7,ok
60,refresh,0,section,136.5,nomask_style_06_stair_ladder,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset,no_mask_style_preview,16,24,59,0.964,0.947,18,10.07,7,120,motif:stair_ladder,ok,True,181.4,ok
61,normal,42,hole_rescue,240,hole_candidate_057_tall_18x26_lock,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset,hole_combined_20260613,18,26,43,0.975,0.981,12,0.279,7,0.287,hole_combined:LockBuckle:tall_18x26_lock,hole10_v4:LockBuckle:keep,True,240,hole10_v4_keep
62,refresh,21,dense,180.6,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,direct_pure_topup_slice02_candidates,17,24,63,0.966,1.000,17,6.27,10,136,asset:direct_pure_topup_02_01_direct_r,ok,True,184.5,ok
63,shape,110,shape_nature,243,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,shape_final_with_supplement,32,42,90,0.545,,13,11.18,,0.162,shape:Nature:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,243,Normal
64,refresh,0,maze,139.4,nomask_style_expansion_20_long_corridor_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_20_long_corridor_b.asset,no_mask_style_expansion_preview,20,28,66,0.984,1.000,15,11.44,14,200,motif:long_corridor,ok,True,186.5,long-straight-run
65,normal,144,lock,156.6,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,direct_normal_candidates,22,37,104,0.986,1.000,18,9.99,25,508,direct_normal:lock_buckle:g2,ok,True,191.3,ok
66,refresh,0,sweep,148.0,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset,direct_pure_topup_slice04_candidates,18,37,89,0.979,1.000,19,8.79,18,357,direct_normal:sweep:g8,ok,True,188.8,long-straight-run
67,normal,19,shape_symbol,249,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,shape_final_with_supplement,30,40,86,0.97,,12,10.32,,10.9,shape:Symbol:letters-symbols:symbol:procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,True,249,Normal
68,refresh,41,lock,172.8,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08.asset,direct_pure_topup_slice03_candidates,15,25,59,0.981,0.987,15,7.68,12,150,direct_refresh:core_burst:g1,ok,True,184.8,ok
69,refresh,0,section,128.6,direct_normal_48_direct_normal_rect_stair_push_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_48_direct_normal_rect_stair_push_g4_v05.asset,direct_normal_candidates,22,35,100,0.987,0.991,18,6.86,23,557,direct_normal:stair_push:g4,ok,True,190.4,ok
70,normal,0,section,130.6,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14.asset,direct_normal_candidates,21,36,103,0.980,0.991,19,14.17,18,364,direct_normal:quasi_symmetry:g1,ok,True,190.2,ok
