order,stage,currentDifficulty,proposedDifficulty,difficultyDelta,reviewWarnings,evidenceScore,chainPctInStage,dependencyPctInStage,openerPressure,choicePressure,levelType,type,slotRole,relativeDifficulty,chains,score,openers,avgChoices,dependencyBlocks,validationMatched,validationStatus,validationFlags,shapeId,levelId,proposalReason,sourceAsset
23,1-50,2,1,-1,NeedRevalidate,0.411,0.68,0.061,0.647,0.0,普通,shape_magic,FixedFront40,Normal,80,220.0,12.0,10.0,0.12,0,Missing,Missing,shape_main_magic_quill_tall,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,shape_can_carry_stage_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset
24,1-50,2,2,0,,0.62,0.7,0.697,0.559,0.576,普通,section,FixedFront40,Normal,82,160.4,14.0,6.27,330.0,1,Green,None,,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset
25,1-50,3,3,0,,0.757,0.9,0.909,0.765,0.152,普通,lock,FixedFront40,Normal,98,153.1,13.0,9.42,520.0,1,Green,PeakTooFlat,,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,stage_chain_top10;dependency_top10;few_openers_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset
26,1-50,1,1,0,NeedRevalidate,0.199,0.3,0.152,0.206,0.909,hole,hole_rescue,HoleRescue,Mechanic,42,239.0,10.0,0.238,0.336,0,Missing,Missing,,hole_candidate_058_tall_18x26_section,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset
27,1-50,2,1,-1,NeedRevalidate,0.547,0.68,0.45,0.971,0.45,普通,shape_object,Shape,Novelty,80,220.0,0.0,,,0,Missing,Missing,shape_main_hourglass_tall,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset
28,1-50,1,2,1,NeedRevalidate,0.562,0.54,0.606,0.853,0.848,普通,maze,FixedFront40,Normal,63,213.0,7.0,5.06,259.0,0,Missing,Missing,,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,few_openers_relative;low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset
29,1-50,3,2,-1,NeedRevalidate,0.689,0.92,0.758,0.324,0.091,普通,dense,FixedFront40,Normal,99,145.4,21.0,9.72,363.0,0,Missing,Missing,,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,stage_chain_top10;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset
30,1-50,4,4,0,NeedRevalidate,0.85,0.98,0.97,0.941,0.758,普通,lock,FixedFront40,Normal,106,199.2,8.0,5.26,598.0,0,Missing,Missing,,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,stage_chain_top10;dependency_top10;few_openers_relative;low_choice_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset
31,1-50,1,1,0,NeedRevalidate,0.379,0.5,0.333,0.029,0.212,普通,sweep,FixedFront40,Normal,61,152.1,18.0,9.16,142.0,0,Missing,Missing,,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset
32,1-50,2,2,0,,0.554,0.74,0.45,0.45,0.45,普通,shape_magic,FixedFront40,Normal,83,228.0,,,,1,Green,BottleneckHeavy,shape_main_shield_tall,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset
33,1-50,2,2,0,,0.562,0.62,0.636,0.5,0.515,普通,dense,FixedFront40,Normal,78,172.9,14.0,7.19,305.0,1,Green,None,,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset
34,1-50,3,3,0,NeedRevalidate,0.717,0.86,0.848,0.471,0.455,普通,lock,FixedFront40,Normal,93,153.4,17.0,7.33,448.0,0,Missing,Missing,,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,stage_chain_top25;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset
35,1-50,1,1,0,,0.462,0.56,0.515,0.059,0.303,普通,dense,FixedFront40,Normal,65,154.7,18.0,8.38,201.0,1,Green,None,,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset
36,1-50,2,2,0,NeedRevalidate,0.668,0.74,0.697,0.912,0.697,普通,lock,FixedFront40,Normal,83,218.6,7.0,5.73,330.0,0,Missing,Missing,,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset
37,1-50,1,1,0,NeedRevalidate,0.173,0.26,0.091,0.294,0.939,hole,hole_rescue,HoleRescue,Mechanic,41,239.0,9.0,0.22,0.24,0,Missing,Missing,,hole_candidate_009_std_20x22_lock,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset
38,1-50,2,1,-1,NeedRevalidate,0.476,0.82,0.061,0.735,0.0,普通,shape_magic,FixedFront40,Normal,88,224.0,12.0,10.0,0.12,0,Missing,Missing,shape_main_key_tall,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,stage_chain_top25;shape_can_carry_stage_pressure;needs_revalidation,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset
39,1-50,3,3,0,NeedRevalidate,0.771,0.94,0.879,0.618,0.485,普通,lock,FixedFront40,Normal,101,176.1,16.0,7.28,493.0,0,Missing,Missing,,direct_normal_06_direct_normal_rect_core_burst_g0_v01,stage_chain_top10;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset
40,1-50,4,3,-1,,0.824,0.96,0.939,0.794,0.788,普通,lock,FixedFront40,Normal,103,199.1,13.0,5.09,527.0,1,Green,None,,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,stage_chain_top10;dependency_top10;few_openers_relative;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset
41,1-50,1,1,0,NeedRevalidate,0.339,0.52,0.424,0.353,0.333,普通,dense,Recovery,Recovery,62,165.1,13.0,8.23,164.0,0,Missing,Missing,,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,slot=Recovery;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset
42,1-50,1,1,0,NeedRevalidate,0.517,0.68,0.576,0.235,0.061,普通,dense,Normal,Normal,80,146.7,18.0,9.93,249.0,0,Missing,Missing,,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset
43,1-50,1,2,1,,0.553,0.78,0.45,0.45,0.45,普通,shape_magic,Shape,Novelty,87,231.0,,,,1,Green,None,shape_main_magic_bat_tall,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,slot=Shape;stage_chain_top25;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset
44,1-50,2,2,0,NeedRevalidate,0.717,0.76,0.727,0.706,0.667,普通,section,Pressure,Hard,86,185.8,12.0,6.0,343.0,0,Missing,Missing,,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,rhythm=Hard;slot=Pressure;stage_chain_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset
45,1-50,1,1,0,NeedRevalidate,0.416,0.6,0.545,0.412,0.424,普通,lock,Recovery,Recovery,74,167.3,15.0,7.88,239.0,0,Missing,Missing,,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,slot=Recovery;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset
46,1-50,1,1,0,NeedRevalidate,0.214,0.32,0.121,0.382,0.97,hole,hole_rescue,HoleRescue,Mechanic,43,240.0,9.0,0.209,0.248,0,Missing,Missing,,hole_candidate_017_std_20x26_maze,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset
47,1-50,3,4,1,NeedRevalidate,1.004,1.0,1.0,0.882,0.394,普通,lock,Peak,VeryHard,118,149.8,12.0,8.01,603.0,0,Missing,Missing,,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,rhythm=VeryHard;slot=Peak;stage_chain_top10;dependency_top10;few_openers_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset
48,1-50,1,2,1,,0.569,0.82,0.45,0.45,0.45,普通,shape_magic,Shape,Novelty,88,233.0,,,,1,Green,None,shape_main_magic_black_cat_tall,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,slot=Shape;stage_chain_top25;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset
49,1-50,2,3,1,NeedRevalidate,0.764,0.84,0.788,0.676,0.636,普通,section,Pressure,Hard,89,186.3,13.0,6.1,387.0,0,Missing,Missing,,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25;needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset
50,1-50,1,1,0,,0.387,0.58,0.455,0.529,0.364,普通,sweep,Recovery,Recovery,67,165.4,12.0,8.07,184.0,1,Green,None,,nomask_style_expansion_35_zig_river_tall,slot=Recovery,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset
51,51-100,1,1,0,,0.288,0.36,0.56,0.1,0.24,普通,maze,Recovery,Recovery,85,126.4,22.0,10.68,280.0,1,Green,None,,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,slot=Recovery,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset
52,51-100,2,1,-1,,0.527,0.46,0.64,0.26,0.5,普通,lock,Pressure,Hard,87,138.1,18.0,9.17,358.0,1,Green,None,,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,rhythm=Hard;slot=Pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset
53,51-100,1,1,0,,0.346,0.4,0.2,0.88,0.3,普通,shape_space,Shape,Novelty,86,248.0,12.0,10.32,10.9,1,Green,None,shape_main_rocket_tall,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset
54,51-100,1,1,0,NeedRevalidate,0.12,0.04,0.12,0.72,0.98,hole,hole_rescue,HoleRescue,Mechanic,43,240.0,7.0,0.163,0.301,0,Missing,Missing,,hole_topup_001_topup_tall_18x26_dense,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset
55,51-100,1,1,0,,0.555,0.72,0.66,0.24,0.02,普通,section,Normal,Normal,94,139.0,20.0,12.49,362.0,1,Green,None,,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,stage_quota_relative,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset
56,51-100,2,2,0,,0.705,0.76,0.78,0.36,0.62,普通,dense,Pressure,Hard,96,141.3,18.0,8.06,416.0,1,Green,None,,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,rhythm=Hard;slot=Pressure;stage_chain_top25;dependency_top25,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset
57,51-100,1,1,0,NeedRevalidate,0.409,0.34,0.54,0.46,0.64,普通,section,Normal,Normal,84,145.7,15.0,8.02,279.0,0,Missing,Missing,,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,needs_revalidation,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset
58,51-100,1,1,0,,0.397,0.46,0.28,0.94,0.3,普通,shape_symbol,Shape,Novelty,87,243.0,12.0,10.32,11.1,1,Green,None,shape_main_distinct_puzzle_tall,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset
59,51-100,3,2,-1,,0.779,0.54,0.84,0.76,0.82,普通,lock,Peak,VeryHard,89,167.5,14.0,6.21,455.0,1,Green,None,,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,rhythm=VeryHard;slot=Peak;dependency_top25;few_openers_relative;low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset
60,51-100,1,1,0,,0.193,0.26,0.36,0.04,0.38,普通,section,Recovery,Recovery,59,136.5,18.0,10.07,120.0,1,Green,PeakTooFlat,,nomask_style_06_stair_ladder,slot=Recovery,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset
61,51-100,1,1,0,NeedRevalidate,0.064,0.04,0.1,0.06,0.9,hole,hole_rescue,HoleRescue,Mechanic,43,240.0,12.0,0.279,0.287,0,Missing,Missing,,hole_candidate_057_tall_18x26_lock,slot=HoleRescue;low_choice_pressure;hole_stage_relative;needs_revalidation,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset
62,51-100,1,1,0,,0.328,0.3,0.38,0.08,0.8,普通,dense,Normal,Normal,63,180.6,17.0,6.27,136.0,1,Green,None,,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,low_choice_pressure,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset
63,51-100,1,1,0,,0.353,0.58,0.02,0.78,0.08,普通,shape_nature,Shape,Novelty,90,243.0,13.0,11.18,0.162,1,Green,PeakTooFlat,shape_main_leaf09_tall,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,slot=Shape;few_openers_relative;shape_can_carry_stage_pressure,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset
