order,experienceRole,oldLevelId,newLevelId,newAssetPath,sourcePool,gateClass,sourceClass,sourceOrder,style,chain,band,coverage,maxChoices,local,near,sts,collapse,copyRequired,sourceRoot
25,FixedFront40,c5hole_lowchoice_v1_h01r_08_nutation_strict_mixed_hard_v1_rect_s03_o025_v01_strictmixedhard_strict_hard_chain_hf1,c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,115,,patch_chain,NormalFlow,0.991,9,6,6,0.908,0.057,False,
28,FixedFront40,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_74_nutation_flow_rail_v1_rect_s20_o197_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,197,,rail_chain,NormalFlow,0.987,10,6,3,0.913,0.111,False,
29,FixedFront40,c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain,campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,134,,rail_chain,NormalFlow,0.988,9,3,3,0.915,0.144,False,
30,FixedFront40,direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01,campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,230,,rail_chain,NormalFlow,0.996,10,4,2,0.915,0.141,False,
31,FixedFront40,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_30_nutation_flow_rail_v1_rect_s22_o220_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,220,,curve_chain,NormalFlow,0.985,10,4,1,0.898,0.183,False,
33,FixedFront40,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,161,,rail_chain,NormalFlow,0.991,9,2,2,0.908,0.089,False,
34,FixedFront40,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,266,,patch_chain,NormalFlow,0.992,10,4,4,0.926,0.056,False,
35,FixedFront40,campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain,campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_36_nutation_flow_rail_v1_rect_s24_o234_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,234,,patch_chain,NormalFlow,0.995,10,4,2,0.89,0.187,False,
36,FixedFront40,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,41,,rail_chain,NormalFlow,0.995,8,6,3,0.878,0.163,False,
39,FixedFront40,c5hole_lowchoice_v1_h01r_19_nutation_strict_mixed_peak_v1_rect_s04_o039_v00_strictmixedpeak_strict_peak_chain_hf1,c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,175,,patch_chain,NormalFlow,0.991,9,6,4,0.898,0.091,False,
40,FixedFront40,nutation_longchain_candidate80_holefix_s3_v1_06_nutation_longchain_rail_v1_rect_c80hf3_02_d1_maze_rail,campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,22,,patch_chain,NormalFlow,0.994,8,4,4,0.828,0.16,False,
41,Recovery,campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain,campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_07_nutation_flow_rail_v1_rect_s09_o081_v00_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,81,,patch_chain,NormalFlow,0.993,8,4,3,0.905,0.181,False,
42,Normal,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_53_nutation_mixed_neutral_v1_rect_s18_o174_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,174,,mixed_chain,NormalNeutral,0.973,9,5,5,0.926,0.092,False,
44,Pressure,c5nep_w9smh_06_nutation_strict_mixed_hard_v1_rect_s05_o044_v01_strictmixedhard_mixed_chain,c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h01r/c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,56,,,,0.989,7,6,4,0.893,0.159,False,
45,Recovery,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,374,,mixed_chain,NormalNeutral,0.986,6,5,5,0.866,0.208,False,
47,Peak,c5hole_lowchoice_v1_h01r_36_nutation_strict_mixed_peak_v1_rect_s05_o047_v05_strictmixedpeak_strict_peak_chain_hf1,c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_34_nutation_strict_mixed_peak_v1_rect_s09_o089_v03_strictmixedpeak_strict_peak_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,89,,,,0.989,9,6,3,0.926,0.076,False,
49,Pressure,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h02r/c5hole_lowchoice_v1_h02r_10_nutation_strict_mixed_hard_v1_rect_s07_o070_v03_strictmixedhard_strict_hard_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,70,,,,0.98,7,5,5,0.885,0.205,False,
50,Recovery,campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,60,,patch_chain,NormalFlow,0.995,7,4,4,0.866,0.115,False,
51,Recovery,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,92,,curve_chain,NormalFlow,0.984,7,6,4,0.907,0.042,False,
52,Pressure,campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain,nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationHubMixedV1Strict30TransformWidePool/nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset,ExternalHardGateDedupFront300,CampaignHardGateDedupSupplementFront300,hub,,HubMixed,,HubMixed,0.935,10,6,5,0.82,0.277,False,
55,Normal,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_137_nutation_mixed_neutral_v1_rect_s25_o250_v01_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,250,,mixed_chain,NormalNeutral,0.986,8,5,3,0.85,0.214,False,
56,Pressure,c5hole_lowchoice_v1_h01r_37_nutation_strict_mixed_choiceclamp_v1_rect_s06_o056_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1,c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h04r/c5hole_lowchoice_v1_h04r_25_nutation_strict_mixed_choiceclamp_v1_rect_s18_o172_v00_strictmixedchoiceclamp_choice_clamp_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,172,,,,0.982,7,6,6,0.845,0.254,False,
57,Normal,campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain,campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_150_nutation_mixed_neutral_v1_rect_s26_o260_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,260,,mixed_chain,NormalNeutral,0.977,8,6,5,0.83,0.236,False,
59,Peak,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_67_nutation_peel_rail_v1_rect_s06_o052_v00_peelmid_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,52,,rail_chain,Hard,0.991,10,5,3,0.851,0.139,False,
60,Recovery,campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain,campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_27_nutation_flow_rail_v1_rect_s29_o281_v02_flowrail_rail_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,flow,281,,rail_chain,NormalFlow,0.985,10,3,3,0.906,0.147,False,
62,Normal,campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain,campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_90_nutation_mixed_neutral_v1_rect_s08_o079_v02_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,50,,mixed_chain,NormalNeutral,0.989,10,7,5,0.872,0.178,False,
64,Normal,nomask_style_expansion_20_long_corridor_b,campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_28_nutation_mixed_neutral_v1_rect_s29_o282_v00_neutralmixed_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,282,,mixed_chain,NormalNeutral,0.985,8,6,5,0.829,0.208,False,
65,Pressure,c5nep_w9smp_06_nutation_strict_mixed_peak_v1_rect_s07_o065_v01_strictmixedpeak_mixed_chain,c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_11_nutation_strict_mixed_peak_v1_rect_s12_o112_v04_strictmixedpeak_strict_peak_chain_hf1.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,hardgate_hard,112,,,,0.982,8,5,4,0.919,0.117,False,
66,Recovery,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s46_s50_tail/campaign500_normal_full_v1_s46_s50_tail_09_nutation_mixed_neutral_v1_rect_s46_o457_v02_neutralmixed_mixed_chain.asset,Campaign500NormalFullV1UnusedStrict,CampaignStrictSupplementFront300,flow,441,flow_continuous,patch_chain,NormalFlow,0.976,10,4,4,0.805,0.178,False,
68,Normal,campaign500_normal_early_plus_v1_topup_fastlane1_04_nutation_flow_rail_v1_rect_s07_o068_v00_flowrail_mixed_chain,c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain,Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset,Campaign500_HardGateUntil0910,CampaignHardGateFront300Priority,neutral,339,,mixed_chain,NormalNeutral,0.986,8,6,4,0.933,0.094,False,
