"order","oldLevelId","newLevelId","oldAssetPath","newAssetPath","copiedAssetPath","oldGuid","newGuid","oldChains","newChains","oldMaxChainLength","newMaxChainLength","newCategory","newType","newRelativeDifficulty","newSlotRole","newStatus","newFlags","newShapeId","newShapeNameZh"
"53","r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall","r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L053_r2_outer_strong_005_r2_006_a401_maskonlyb09_38_com.asset","f1b9417388bfe4c47a529d25ae76107e","3e2e9d726cb5f2147af5d4fc32309376","86","75","13","24","shape","shape_space","Novelty","Shape","Green","None","camera","相机"
"58","r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall","r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L058_bicycle_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L058_r2_outer_strong_005_r2_006_a401_maskonlyb04_06_mai.asset","69baf15ac762f224396372900cc42a77","a946328c8f1e4b04092524ba267e3324","87","108","13","13","shape","shape_symbol","Novelty","Shape","Green","BottleneckHeavy","bicycle","自行车"
"63","r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall","r2_outer_strong_005_r2_006_a401_maskonlyb03_03_main_sailboat","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L063_maskonlyb03_03_main_sailboat_20260614_200052.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L063_r2_outer_strong_005_r2_006_a401_maskonlyb03_03_mai.asset","a543f338e8cc1f146aade4e4cfbb9ca7","8814f08a479818c4e95e5901ee029ab4","90","72","17","13","shape","shape_nature","Novelty","Shape","Green","ShapeLowFill","sailboat","帆船"
"67","r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall","r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L067_pager_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L067_r2_outer_strong_005_r2_006_a401_maskonlyb06_02_mai.asset","070a100516438934c9d51a4b11c4546b","49433cfa51b045e42a44a9282027234b","86","104","13","13","shape","shape_symbol","Novelty","Shape","Green","None","pager","寻呼机"
"73","r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L073_r2_outer_strong_005_r2_006_a401_maskonlyb08_06_com.asset","4f9d4e46b9695b54184cac67b47a8264","c27608691b37de3449510e2c6e26b377","90","82","13","24","shape","shape_symbol","Novelty","Shape","Green","BottleneckHeavy","windmill","风车"
"78","r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall","r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L078_r2_outer_strong_005_r2_006_a401_maskonlyb05_14_lar.asset","550ffb64e9bbaa44fb20e6d07e5b4e41","509f8ff63cf462c43903d305199b60b0","92","87","13","17","shape","shape_music","Novelty","Shape","Green","ShapeLowFill","pencil","铅笔"
"83","r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall","r2_outer_strong_005_r2_006_a401_maskonlyb06_09_main_ballmouse","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_11_onion_maskproceduralvertical_30x40-mainhearttall_20260611_110447.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L083_ballmouse_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L083_r2_outer_strong_005_r2_006_a401_maskonlyb06_09_mai.asset","e448c67178702344088fbff4e13e15a5","dcbf8d0f95cb9534da719873924ffc04","91","103","13","13","shape","shape_symbol","Novelty","Shape","Green","None","ballmouse","轨迹球鼠标"
"87","r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall","r2_outer_strong_005_r2_006_a401_maskonlyb07_06_main_racingkart","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall_20260611_110916.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L087_maskonlyb07_06_main_racingkart_20260615_225216.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L087_r2_outer_strong_005_r2_006_a401_maskonlyb07_06_mai.asset","1820c913bb832a549a781d69f477ad9b","94b2a571bba7e6c4a8732b21f4fc7114","95","107","17","13","shape","shape_object","Novelty","Shape","Green","None","racingkart","卡丁车"
"93","r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall","r2_outer_strong_005_r2_006_a401_maskonlyb02_10_large_wrappedcandy","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall_20260611_110450.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L093_wrappedcandy_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L093_r2_outer_strong_005_r2_006_a401_maskonlyb02_10_lar.asset","9b100f7db3cf8fb40b00c8747be8b764","911f8161cb043114b806fc6d3526eb89","92","86","13","17","shape","shape_symbol","Novelty","Shape","Yellow","GrindyLowClear","wrappedcandy","糖果"
"98","r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall","r2_outer_strong_005_r2_006_a401_maskonlyb04_16_main_phonehandset","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall_20260611_110914.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L098_phonehandset_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L098_r2_outer_strong_005_r2_006_a401_maskonlyb04_16_mai.asset","e60e8c66e5520d84cbeacc7e3f9b7af6","61579aec3b4969c428b2df9fbcf954d9","94","87","17","13","shape","shape_music","Novelty","Shape","Green","ShapeLowFill","phonehandset","电话听筒"
"100","direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02","direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L100_direct_diff120_24_direct_diff_refresh_dag_unlock_z.asset","3e284f852c01ca0419e484399f8ca1ff","a8381b24a09ec204a8afcc906b210e46","51","49","15","44","normal","lock","Normal","Normal","Green","None","",""
"103","r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall","r2_outer_strong_005_r2_006_a401_maskonlyb02_01_large_paperplane","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall_20260611_111240.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L103_paperplane_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L103_r2_outer_strong_005_r2_006_a401_maskonlyb02_01_lar.asset","4d807800dc5fc1c468b2ce08c87d96b1","77941184af864f94fa42dcae05954e94","93","102","13","17","shape","shape_ocean","Novelty","Shape","Yellow","GrindyLowClear","paperplane","纸飞机"
"105","direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06","direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_81_direct_diff_hard_long_spine_hui_spiral_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L105_direct_diff120_81_direct_diff_hard_long_spine_hui_.asset","e328b8d7bf5d7c84cbf2ee41fdfb8987","909bad2ecce057d4ab9e44b231701f6d","108","117","13","13","normal","maze","Recovery","Recovery","Green","None","",""
"108","r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall","r2_outer_strong_005_r2_006_a401_maskonlyb05_08_main_hammer","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall_20260611_115702.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L108_hammer_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L108_r2_outer_strong_005_r2_006_a401_maskonlyb05_08_mai.asset","b4d14a54a5d33604eaf2dbe6e1897e1f","bf56637f6ea290c4890ee16f50d7dadf","93","89","13","13","shape","shape_symbol","Novelty","Shape","Green","ShapeLowFill","hammer","锤子"
"113","r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall","r2_outer_strong_005_r2_006_a401_maskonlyb09_23_large_lightningbolt","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L113_lightningbolt_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L113_r2_outer_strong_005_r2_006_a401_maskonlyb09_23_lar.asset","11ee0c3dd57d2504db6cc123d0126c8b","6cf063ad896ba3045a728b1dd406081e","98","97","16","17","shape","shape_magic","Novelty","Shape","Yellow","GrindyLowClear","lightningbolt","闪电"
"118","r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall","r2_outer_strong_005_r2_006_a401_maskonlyb02_12_large_carrot","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall_20260611_111459.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L118_carrot_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L118_r2_outer_strong_005_r2_006_a401_maskonlyb02_12_lar.asset","3b7bdf411485be3439dcd0d1e5a1e9d9","2292f66331c83af4eafc08e995215e21","96","95","17","17","shape","shape_ocean","Novelty","Shape","Green","None","carrot","胡萝卜"
"123","r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall","r2_outer_strong_005_r2_006_a401_maskonlyb04_08_main_car","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L123_car_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L123_r2_outer_strong_005_r2_006_a401_maskonlyb04_08_mai.asset","e2dbeb0505ba0664a95b13be7b94fa10","79501bada43793c48825eb06d77d0eca","92","90","17","13","shape","shape_magic","Novelty","Shape","Green","None","car","汽车"
"124","direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10","direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_56_direct_diff_normal_dag_unlock_center_cross_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L124_direct_diff120_56_direct_diff_normal_dag_unlock_ce.asset","2d7c29083afb4784bbe68052caa90226","082ae869a38a53d4fa2017487f617f03","105","96","13","13","normal","section","Normal","Normal","Green","None","",""
"127","r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall","r2_outer_strong_005_r2_006_a401_maskonlyb01_01_main_mushroom","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_36_long_maskproceduralvertical_30x42-mainowltall_20260611_110820.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV8/shape_refresh_v8_L127_maskonlyb01_01_main_mushroom_20260614_170705.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L127_r2_outer_strong_005_r2_006_a401_maskonlyb01_01_mai.asset","0cedea654e9cc234f92ee1f8908a7207","d1fe3ebb2b9ffc142bddcc6d6b7d408e","99","96","17","13","shape","shape_character","Novelty","Shape","Green","None","mushroom",""
"128","direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07","direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L128_direct_pure_normal_extra_01_02_direct_normal_pure_.asset","3af2cf83874b00345bda6089af7b6e77","e395ae4f3cb0cdd4ab1402143220e06f","79","80","13","13","normal","lock","Normal","Normal","Green","None","",""
"133","r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall","r2_outer_strong_005_r2_006_a401_maskonlyb01_05_large_musicnote","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L133_musicnote_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L133_r2_outer_strong_005_r2_006_a401_maskonlyb01_05_lar.asset","37a9f372fc3f8cd4bb1740d260620ea1","bc890f2701c97a540b3226d0de8dff1d","95","94","13","17","shape","shape_magic","Novelty","Shape","Green","ShapeLowFill","musicnote","音符"
"138","r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall","r2_outer_strong_005_r2_006_a401_maskonlyb05_03_main_bowlingpin","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall_20260611_124233.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L138_bowlingpin_main.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L138_r2_outer_strong_005_r2_006_a401_maskonlyb05_03_mai.asset","412080433a3270c47baa102441b9c809","e11c004d91a350b48a3ffe322f831088","96","99","13","13","shape","shape_space","Novelty","Shape","Green","None","bowlingpin","保龄球瓶"
"143","r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall","r2_outer_strong_005_r2_006_a401_maskonlyb05_19_large_watermelonslice","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L143_watermelonslice_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L143_r2_outer_strong_005_r2_006_a401_maskonlyb05_19_lar.asset","312522ad088dadb4a8df096938195f33","b21aee2f86e682446ae8aa6852499cfc","91","87","13","17","shape","shape_magic","Novelty","Shape","Green","None","watermelonslice","西瓜片"
"147","r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall","r2_outer_strong_005_r2_006_a401_maskonlyb08_09_large_caveentrance","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall_20260611_110545.asset","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L147_caveentrance_large.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L147_r2_outer_strong_005_r2_006_a401_maskonlyb08_09_lar.asset","c7797d5182b40124fabe8624c63baadf","9280c6dee70c1c54baf007f8f12e8f15","101","100","17","17","shape","shape_landmark","Novelty","Shape","Green","None","caveentrance","洞口"
