packLabel,packPath,indexInPack,campaignOrder,status,leakScore,hardeningBudget,flags,recommendedOperators,levelId,assetPath,bucket,type,relativeDifficulty,slotRole,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,avgChainLength,maxChainLength,greedySolved,greedySteps,tuningDifficultyScore,initialClearableChains,openingChoices,openingGoodMoves,openingGoodMoveRatio,avgChoices,maxChoices,earlyAvgChoices,earlyMaxChoices,bottleneckRatio,forcedMoveRatio,avgClearPerMove,avgNewUnlocksPerMove,largestUnlockBurst,choiceWaveStdDev,averageStepsToNextUnlock,dependencyDepthProxy,directOuterExits,directClearableOuterExits,directOuterExitRatio,directClearableOuterExitRatio,longRayOuterExits,edgeShortChains,edgeShortDirectOuterExits,boundaryStraightOuterExits,earlyEntropyClass,entropyCurve,details
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,18,18,Ok,240,0,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,normal,normal,,,18,25,53,439,0,0.976,0.976,8.283,56,True,53,572,13,13,4,0.308,6.736,13,10.6,13,0.34,0.075,8.283,0.755,3,2.96,1.725,1.725,13,13,0.245,0.245,0,0,0,0,front_loaded_flat,13>12>12>11>11>10>10>9>9>9>8>8>8>9>9>8>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,19,19,LowLeak,267,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,very_hard,lock,,,19,37,94,693,0,0.986,0.986,7.372,13,True,94,909,11,11,5,0.455,9.447,15,12,13,0.266,0.011,7.372,0.883,4,3.201,1.518,1.518,11,11,0.117,0.117,0,0,0,0,front_loaded_flat,11>13>12>12>11>11>12>13>13>12>13>13>12>12>12>14>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,20,20,Ok,214,0,BoundaryLeak|DirectEscapeLeak|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,refresh,shell,,,15,22,41,327,0,0.991,0.991,7.976,13,True,41,489,8,8,5,0.625,5.537,9,7.6,9,0.22,0.024,7.976,0.805,4,1.754,1.97,1.97,8,8,0.195,0.195,0,1,1,2,controlled,8>8>7>7>7>9>8>7>8>7>6>5>4>3>6>5>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,21,21,Ok,121,0,BoundaryLeak|DirectEscapeLeak|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|inject_region_gate,direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset,refresh,sweep,Normal,FixedFront40,17,24,59,398,0,0.975,0.975,6.746,11,True,59,613,7,7,4,0.571,7.864,11,7.4,10,0.271,0.017,6.746,0.881,3,2.213,1.558,1.558,7,7,0.119,0.119,0,1,0,0,wide_open,7>6>7>6>5>7>9>10>9>8>9>8>8>8>7>6>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,22,22,LowLeak,340,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,refresh,section,Normal,FixedFront40,16,24,55,379,0,0.987,0.987,6.891,13,True,55,511,14,14,6,0.429,8.527,14,12.3,14,0.236,0.018,6.891,0.745,3,3.622,1.78,1.78,14,14,0.255,0.255,0,3,2,2,front_loaded_flat,14>13>13>13>13>12>12>11>11>11>12>11>10>9>11>10>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,23,23,Ok,167,0,BoundaryLeak|DirectEscapeLeak|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset,shape,shape_magic,Normal,FixedFront40,37,29,69,728,0,0.678,0.678,10.551,24,True,69,928,9,9,4,0.444,6.783,11,8.3,9,0.333,0.014,10.551,0.87,4,1.856,1.55,1.55,9,9,0.13,0.13,8,0,0,0,controlled,9>8>8>9>9>9>9>8>7>7>6>5>6>7>7>6>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,24,24,LowLeak,255,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion,redirect_outer_heads|gate_opening_choices,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,refresh,section,Normal,FixedFront40,18,37,82,655,0,0.983,0.983,7.988,13,True,82,825,14,14,7,0.5,6.268,14,11.5,14,0.256,0.012,7.988,0.829,5,2.842,1.765,1.765,14,14,0.171,0.171,0,0,0,0,front_loaded_flat,14>14>13>13>12>11>10>9>10>9>9>8>8>7>8>7>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,25,25,LowLeak,292,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|WeakDependency,redirect_outer_heads|gate_opening_choices|inject_region_gate,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,normal,lock,Normal,FixedFront40,21,35,98,728,0,0.99,0.99,7.429,13,True,98,932,13,13,5,0.385,9.418,15,11.1,13,0.316,0.031,7.429,0.867,4,3.76,1.788,1.788,13,13,0.133,0.133,0,0,0,1,front_loaded_flat,13>12>13>12>11>12>11>10>9>8>9>10>11>12>15>15>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,26,26,LowLeak,263,3,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|ChoiceExplosion|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices,hole_candidate_058_tall_18x26_section,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset,normal,hole_rescue,Mechanic,HoleRescue,18,26,42,385,72,0.823,0.972,9.167,18,True,42,530,10,10,6,0.6,9.548,17,11.5,15,0.214,0.024,9.167,0.762,5,4.199,2.031,2.031,10,10,0.238,0.238,0,2,1,1,front_loaded_flat,10>9>11>10>9>11>11>15>14>15>14>15>15>17>16>15>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,27,27,LowLeak,274,3,BoundaryLeak|DirectEscapeLeak|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|gate_opening_choices|inject_region_gate,r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset,shape,shape_object,Novelty,Shape,36,29,68,585,0,0.56,0.56,8.603,23,True,68,784,9,9,5,0.556,10.324,19,11.4,14,0.382,0.015,8.603,0.868,4,5.505,1.61,1.61,9,9,0.132,0.132,9,0,0,0,front_loaded_flat,9>11>11>12>12>11>11>11>12>14>17>16>16>17>16>18>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,28,28,Ok,89,0,BoundaryLeak|DirectEscapeLeak|TooManyGoodOpeners,redirect_outer_heads,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,normal,maze,Normal,FixedFront40,17,29,63,487,0,0.988,0.988,7.73,13,True,63,715,7,7,5,0.714,5.063,9,7.2,9,0.349,0.048,7.73,0.889,5,2.167,1.589,1.589,7,7,0.111,0.111,0,0,0,0,controlled,7>7>7>7>6>5>9>8>8>8>9>8>8>7>7>7>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,29,29,Ok,25,0,WeakDependency,redirect_outer_heads|inject_region_gate,sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri,Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset,normal,dense,Normal,FixedFront40,22,35,98,770,0,1,1,7.857,17,True,98,1210,5,5,2,0.4,7.786,13,6.5,9,0.347,0.01,7.857,0.949,6,2.666,1.613,1.613,5,5,0.051,0.051,0,2,1,1,wide_open,5>5>4>4>9>9>8>7>7>7>7>6>8>7>8>8>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,30,30,MediumLeak,488,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset,normal,lock,Normal,FixedFront40,20,32,92,632,0,0.988,0.988,6.87,10,True,92,760,23,23,8,0.348,8.62,23,21.5,23,0.337,0.011,6.87,0.75,3,6.716,1.594,1.594,23,23,0.25,0.25,0,4,2,3,front_loaded_flat,23>23>23>22>21>22>21>20>20>20>19>20>19>18>18>18>...,
final,Assets/ArrowMagic/SOData/Packs/Campaign500/Campaign500FinalPack.asset,31,31,MediumLeak,455,4,BoundaryLeak|DirectEscapeLeak|OuterExitHeavy|BoundaryStraightLeak|ChoiceExplosion|WeakDependency|TooManyGoodOpeners,redirect_outer_heads|wrap_boundary_straights|gate_opening_choices|inject_region_gate,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,refresh,sweep,Normal,FixedFront40,14,28,61,381,0,0.972,0.972,6.246,9,True,61,505,18,18,10,0.556,9.164,18,16,18,0.197,0.033,6.246,0.705,4,3.939,1.86,1.86,18,18,0.295,0.295,0,2,2,3,front_loaded_flat,18>17>17>16>15>15>17>16>15>14>13>12>11>11>11>10>...,
