"order","slotRole","relativeDifficulty","target","bucket","type","chains","levelId","note"
"37","HoleRescue","Mechanic","rescue-animal","normal","hole_rescue","51","r1_ab_041_above300_level_473_final_holeblock_multiseed_final","hole_mask_early_front"
"38","Normal","Normal","after-hole-normal","normal","dense","99","direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05","direct_pure_normal_extra_slice02_candidates"
"39","Pressure","Hard","sweep-hard","normal","sweep","110","direct_normal_155_direct_normal_rect_sweep_g3_v16","direct_normal_candidates"
"40","Peak","VeryHard","very-hard-small-peak","hard","section","122","direct_normal_138_direct_normal_rect_stair_push_g1_v14","direct_normal_candidates"
"41","Normal","Normal","lock-normal","refresh","lock","100","direct_normal_topup_02_direct_normal_topup_rect_lock_buckle_g6_v01","direct_normal_topup_candidates"
"42","Pressure","Hard","section-hard","normal","section","115","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","direct_normal_topup_candidates"
"43","MagicShape","Novelty","magic-series","refresh","shape_magic","87","r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall","shape_final_with_supplement"
"44","Pressure","Hard","maze-hard","normal","maze","112","direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01","direct_polish_clean_candidates"
"45","Recovery","Recovery","dip-before-peak","normal","section","94","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","direct_pure_normal_extra_slice02_candidates"
"46","Peak","VeryHard","very-hard-small-peak","hard","lock","126","direct_normal_136_direct_normal_rect_core_burst_g1_v14","direct_normal_candidates"
"47","Recovery","Recovery","post-peak","normal","maze","100","direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01","direct_pure_normal_extra_slice01_candidates"
"48","MagicShape","Novelty","magic-series","refresh","shape_magic","88","r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall","shape_final_with_supplement"
"49","Normal","Normal","section-normal","normal","section","108","direct_normal_42_direct_normal_rect_section_unlock_g4_v05","direct_normal_candidates"
"50","Peak","RelativeExtreme","front50-relative-extreme","hard","section","139","direct_pure_topup_10_13_direct_polish_hard_pure_rect_dual_zone_g11_v09","direct_pure_topup_slice10_candidates"
"51","Recovery","Recovery","post-50-bonus-dip","refresh","section","96","direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07","direct_pure_topup_slice06_candidates"
"52","Normal","Normal","lock-normal","normal","lock","105","direct_normal_53_direct_normal_rect_lock_buckle_g5_v06","direct_normal_candidates"
"53","Pressure","Hard","section-hard","hard","section","120","direct_normal_157_direct_normal_rect_dual_zone_g3_v16","direct_normal_candidates"
"54","MagicShape","Novelty","magic-series","refresh","shape_magic","88","r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall","shape_final_with_supplement"
"55","Normal","Normal","normal","normal","section","105","direct_normal_08_direct_normal_rect_stair_push_g0_v01","direct_normal_candidates"
"56","Normal","Normal","dense-normal","normal","dense","112","direct_normal_101_direct_normal_rect_outer_shell_g4_v11","direct_normal_candidates"
"57","Pressure","Hard","sweep-hard","hard","sweep","126","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","direct_pure_topup_slice10_candidates"
"58","Recovery","Recovery","maze-dip","refresh","maze","100","direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03","direct_normal_candidates"
"59","Pressure","VeryHard","lock-very-hard","hard","lock","130","direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01","direct_polish_clean_candidates"
"60","Peak","VeryHard","local-very-hard-peak","hard","section","141","direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10","direct_pure_topup_slice10_candidates"
"61","HoleRescue","Mechanic","rescue-animal","hard","hole_rescue","66","r1_ab_159_above300_level_677_final_holeblock_multiseed_final","hole_mask_early_front"
"62","Recovery","Recovery","after-hole-dip","refresh","section","100","direct_normal_137_direct_normal_rect_dual_zone_g1_v14","direct_normal_candidates"
"63","Normal","Normal","section-normal","normal","section","110","direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10","direct_normal_topup_candidates"
"64","Pressure","Hard","dense-hard","hard","dense","127","direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01","direct_polish_clean_candidates"
"65","Normal","Normal","maze-normal","normal","maze","104","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","direct_normal_candidates"
"66","MagicShape","Novelty","magic-series","normal","shape_magic","91","r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall","shape_final_with_supplement"
"67","Pressure","Hard","sweep-hard","hard","sweep","130","direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08","direct_pure_topup_slice10_candidates"
"68","Normal","Normal","lock-normal","normal","lock","112","direct_normal_56_direct_normal_rect_core_burst_g5_v06","direct_normal_candidates"
"69","Pressure","Hard","section-hard","hard","section","134","direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02","direct_polish_clean_candidates"
"70","Peak","VeryHard","local-very-hard-peak","hard","section","148","direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09","direct_pure_topup_slice10_candidates"
"71","Recovery","Recovery","post-70-dip","normal","maze","106","direct_normal_50_direct_normal_rect_maze_long_chain_g4_v05","direct_normal_candidates"
"72","Normal","Normal","sweep-normal","normal","sweep","111","direct_normal_131_direct_normal_rect_outer_shell_g1_v14","direct_normal_candidates"
"73","Pressure","Hard","lock-hard","hard","lock","132","direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07","direct_pure_topup_slice09_candidates"
"74","Normal","Normal","section-normal","normal","section","115","direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06","direct_normal_topup_candidates"
"75","Peak","VeryHard","pre-shape-very-hard","hard","section","147","direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02","direct_polish_clean_candidates"
"76","MagicShape","Novelty","magic-series","normal","shape_magic","92","r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall","shape_final_with_supplement"
"77","Recovery","Recovery","post-shape-normal","normal","maze","110","direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11","direct_normal_candidates"
"78","Pressure","Hard","dense-hard","hard","dense","143","direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08","direct_pure_topup_slice10_candidates"
"79","Normal","Normal","section-normal","normal","section","115","direct_normal_38_direct_normal_rect_stair_push_g3_v04","direct_normal_candidates"
"80","Peak","VeryHard","chapter-very-hard","hard","sweep","154","direct_pure_topup_08_14_direct_polish_hard_pure_rect_sweep_g12_v04","direct_pure_topup_slice08_candidates"
"81","Recovery","Recovery","post-80-dip","normal","lock","108","direct_normal_46_direct_normal_rect_core_burst_g4_v05","direct_normal_candidates"
"82","HoleRescue","Mechanic","rescue-animal","hard","hole_rescue","74","r1_ab_178_above300_level_716_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added55_rotation_vflip_holeblock_multiseed_final","hole_mask_early_front"
"83","Normal","Normal","after-hole-normal","normal","section","114","direct_normal_147_direct_normal_rect_dual_zone_g2_v15","direct_normal_candidates"
"84","Pressure","Hard","section-hard","hard","section","141","direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04","direct_pure_topup_slice08_candidates"
"85","Recovery","Recovery","pre-shape-dip","normal","maze","109","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","direct_normal_candidates"
"86","MagicShape","Novelty","magic-series","normal","shape_magic","96","r2_outer_strong_005_r2_006_a401_procmask_12_lock_maskproceduralvertical_30x40-maingemtall","shape_final_with_supplement"
"87","Pressure","Hard","dense-hard","hard","dense","145","direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09","direct_pure_topup_slice10_candidates"
"88","Normal","Normal","sweep-normal","normal","sweep","115","direct_normal_105_direct_normal_rect_sweep_g4_v11","direct_normal_candidates"
"89","Build","Hard","pre-peak-build","hard","section","126","direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01","direct_polish_clean_candidates"
"90","Peak","VeryHard","very-hard-peak","hard","section","159","direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06","direct_pure_topup_slice09_candidates"
"91","Recovery","Recovery","post-90-dip","normal","section","110","direct_normal_107_direct_normal_rect_dual_zone_g4_v11","direct_normal_candidates"
"92","MagicShape","Novelty","magic-series","normal","shape_magic","113","r2_outer_strong_005_r2_006_a401_procmask_78_onion_maskproceduralvertical_30x42-mainmagicscrolltall","shape_final_with_supplement"
"93","Pressure","Hard","lock-hard","hard","lock","146","direct_polish_clean_11_direct_polish_normal_rect_lock_buckle_g1_v02","direct_polish_clean_candidates"
"94","Normal","Normal","section-normal","normal","section","117","direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16","direct_normal_candidates"
"95","Pressure","Hard","sweep-hard","hard","sweep","150","direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05","direct_pure_topup_slice09_candidates"
"96","Normal","Normal","maze-normal","normal","maze","118","direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14","direct_normal_candidates"
"97","Peak","VeryHard","very-hard-small-peak","hard","dense","159","direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06","direct_pure_topup_slice09_candidates"
"98","Build","Hard","pre-100-build","hard","lock","147","direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06","direct_pure_topup_slice09_candidates"
"99","Recovery","Recovery","pre-100-dip","normal","section","114","direct_normal_18_direct_normal_rect_stair_push_g1_v02","direct_normal_candidates"
"100","Peak","RelativeExtreme","level100-relative-extreme","very_hard","lock","172","direct_polish_hard_04_direct_polish_hard_rect_core_burst_g4_v01","direct_polish_hard_candidates"
