order,isSpecialShape,specialShapeId,maskName,theme,subtheme,campaignType,levelId,suggestedRevealPng,suggestedThumbPng,suggestedNameKey
23,1,shape_main_magic_quill_tall,MainMagicQuillTall,Magic,academy,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Art/ShapeReveal/shape_main_magic_quill_tall.png,Art/ShapeRevealThumb/shape_main_magic_quill_tall_thumb.png,shape.name.shape_main_magic_quill_tall
24,0,,,,,,,,,
25,0,,,,,,,,,
26,0,,,,,,,,,
27,1,shape_main_hourglass_tall,MainHourglassTall,Object,tools-items,shape_object,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,Art/ShapeReveal/shape_main_hourglass_tall.png,Art/ShapeRevealThumb/shape_main_hourglass_tall_thumb.png,shape.name.shape_main_hourglass_tall
28,0,,,,,,,,,
29,0,,,,,,,,,
30,0,,,,,,,,,
31,0,,,,,,,,,
32,1,shape_main_shield_tall,MainShieldTall,Magic,adventure-relic,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Art/ShapeReveal/shape_main_shield_tall.png,Art/ShapeRevealThumb/shape_main_shield_tall_thumb.png,shape.name.shape_main_shield_tall
33,0,,,,,,,,,
34,0,,,,,,,,,
35,0,,,,,,,,,
36,0,,,,,,,,,
37,0,,,,,,,,,
38,1,shape_main_key_tall,MainKeyTall,Magic,adventure-relic,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Art/ShapeReveal/shape_main_key_tall.png,Art/ShapeRevealThumb/shape_main_key_tall_thumb.png,shape.name.shape_main_key_tall
39,0,,,,,,,,,
40,0,,,,,,,,,
41,0,,,,,,,,,
42,0,,,,,,,,,
43,1,shape_main_magic_bat_tall,MainMagicBatTall,Magic,creature,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Art/ShapeReveal/shape_main_magic_bat_tall.png,Art/ShapeRevealThumb/shape_main_magic_bat_tall_thumb.png,shape.name.shape_main_magic_bat_tall
44,0,,,,,,,,,
45,0,,,,,,,,,
46,0,,,,,,,,,
47,0,,,,,,,,,
48,1,shape_main_magic_black_cat_tall,MainMagicBlackCatTall,Magic,creature,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Art/ShapeReveal/shape_main_magic_black_cat_tall.png,Art/ShapeRevealThumb/shape_main_magic_black_cat_tall_thumb.png,shape.name.shape_main_magic_black_cat_tall
49,0,,,,,,,,,
50,0,,,,,,,,,
51,0,,,,,,,,,
52,0,,,,,,,,,
53,1,shape_main_rocket_tall,MainRocketTall,Space,sci-fi,shape_space,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Art/ShapeReveal/shape_main_rocket_tall.png,Art/ShapeRevealThumb/shape_main_rocket_tall_thumb.png,shape.name.shape_main_rocket_tall
54,0,,,,,,,,,
55,0,,,,,,,,,
56,0,,,,,,,,,
57,0,,,,,,,,,
58,1,shape_main_distinct_puzzle_tall,MainDistinctPuzzleTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Art/ShapeReveal/shape_main_distinct_puzzle_tall.png,Art/ShapeRevealThumb/shape_main_distinct_puzzle_tall_thumb.png,shape.name.shape_main_distinct_puzzle_tall
59,0,,,,,,,,,
60,0,,,,,,,,,
61,0,,,,,,,,,
62,0,,,,,,,,,
63,1,shape_main_leaf09_tall,MainLeaf09Tall,Nature,plants-creatures,shape_nature,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Art/ShapeReveal/shape_main_leaf09_tall.png,Art/ShapeRevealThumb/shape_main_leaf09_tall_thumb.png,shape.name.shape_main_leaf09_tall
64,0,,,,,,,,,
65,0,,,,,,,,,
66,0,,,,,,,,,
67,1,shape_main_star_tall,MainStarTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Art/ShapeReveal/shape_main_star_tall.png,Art/ShapeRevealThumb/shape_main_star_tall_thumb.png,shape.name.shape_main_star_tall
68,0,,,,,,,,,
69,0,,,,,,,,,
70,0,,,,,,,,,
71,0,,,,,,,,,
72,0,,,,,,,,,
73,1,shape_main_distinct_crescent_tall,MainDistinctCrescentTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,Art/ShapeReveal/shape_main_distinct_crescent_tall.png,Art/ShapeRevealThumb/shape_main_distinct_crescent_tall_thumb.png,shape.name.shape_main_distinct_crescent_tall
74,0,,,,,,,,,
75,0,,,,,,,,,
76,0,,,,,,,,,
77,0,,,,,,,,,
78,1,shape_main_distinct_music_note_tall,MainDistinctMusicNoteTall,Music,stage,shape_music,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,Art/ShapeReveal/shape_main_distinct_music_note_tall.png,Art/ShapeRevealThumb/shape_main_distinct_music_note_tall_thumb.png,shape.name.shape_main_distinct_music_note_tall
79,0,,,,,,,,,
80,0,,,,,,,,,
81,0,,,,,,,,,
82,0,,,,,,,,,
83,1,shape_main_heart_tall,MainHeartTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,Art/ShapeReveal/shape_main_heart_tall.png,Art/ShapeRevealThumb/shape_main_heart_tall_thumb.png,shape.name.shape_main_heart_tall
84,0,,,,,,,,,
85,0,,,,,,,,,
86,0,,,,,,,,,
87,1,shape_main_paint_palette_tall,MainPaintPaletteTall,Art,studio,shape_object,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,Art/ShapeReveal/shape_main_paint_palette_tall.png,Art/ShapeRevealThumb/shape_main_paint_palette_tall_thumb.png,shape.name.shape_main_paint_palette_tall
88,0,,,,,,,,,
89,0,,,,,,,,,
90,0,,,,,,,,,
91,0,,,,,,,,,
92,0,,,,,,,,,
93,1,shape_main_lightning_tall,MainLightningTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,Art/ShapeReveal/shape_main_lightning_tall.png,Art/ShapeRevealThumb/shape_main_lightning_tall_thumb.png,shape.name.shape_main_lightning_tall
94,0,,,,,,,,,
95,0,,,,,,,,,
96,0,,,,,,,,,
97,0,,,,,,,,,
98,1,shape_main_microphone_tall,MainMicrophoneTall,Music,stage,shape_music,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,Art/ShapeReveal/shape_main_microphone_tall.png,Art/ShapeRevealThumb/shape_main_microphone_tall_thumb.png,shape.name.shape_main_microphone_tall
99,0,,,,,,,,,
100,0,,,,,,,,,
101,0,,,,,,,,,
102,0,,,,,,,,,
103,1,shape_main_ocean_drift_bottle_tall,MainOceanDriftBottleTall,Ocean,nautical,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,Art/ShapeReveal/shape_main_ocean_drift_bottle_tall.png,Art/ShapeRevealThumb/shape_main_ocean_drift_bottle_tall_thumb.png,shape.name.shape_main_ocean_drift_bottle_tall
104,0,,,,,,,,,
105,0,,,,,,,,,
106,0,,,,,,,,,
107,0,,,,,,,,,
108,1,shape_main_distinct_digit2_tall,MainDistinctDigit2Tall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,Art/ShapeReveal/shape_main_distinct_digit2_tall.png,Art/ShapeRevealThumb/shape_main_distinct_digit2_tall_thumb.png,shape.name.shape_main_distinct_digit2_tall
109,0,,,,,,,,,
110,0,,,,,,,,,
111,0,,,,,,,,,
112,0,,,,,,,,,
113,1,shape_main_magic_rune_stone_tall,MainMagicRuneStoneTall,Magic,academy,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Art/ShapeReveal/shape_main_magic_rune_stone_tall.png,Art/ShapeRevealThumb/shape_main_magic_rune_stone_tall_thumb.png,shape.name.shape_main_magic_rune_stone_tall
114,0,,,,,,,,,
115,0,,,,,,,,,
116,0,,,,,,,,,
117,0,,,,,,,,,
118,1,shape_main_distinct_jellyfish_tall,MainDistinctJellyfishTall,Ocean,sea-creature,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,Art/ShapeReveal/shape_main_distinct_jellyfish_tall.png,Art/ShapeRevealThumb/shape_main_distinct_jellyfish_tall_thumb.png,shape.name.shape_main_distinct_jellyfish_tall
119,0,,,,,,,,,
120,0,,,,,,,,,
121,0,,,,,,,,,
122,0,,,,,,,,,
123,1,shape_main_magic_dragon_egg_tall,MainMagicDragonEggTall,Magic,creature,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Art/ShapeReveal/shape_main_magic_dragon_egg_tall.png,Art/ShapeRevealThumb/shape_main_magic_dragon_egg_tall_thumb.png,shape.name.shape_main_magic_dragon_egg_tall
124,0,,,,,,,,,
125,0,,,,,,,,,
126,0,,,,,,,,,
127,1,shape_main_owl_tall,MainOwlTall,Character,animals-mascots,shape_character,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,Art/ShapeReveal/shape_main_owl_tall.png,Art/ShapeRevealThumb/shape_main_owl_tall_thumb.png,shape.name.shape_main_owl_tall
128,0,,,,,,,,,
129,0,,,,,,,,,
130,0,,,,,,,,,
131,0,,,,,,,,,
132,0,,,,,,,,,
133,1,shape_main_knight_mascot_tall,MainKnightMascotTall,Magic,adventure-relic,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Art/ShapeReveal/shape_main_knight_mascot_tall.png,Art/ShapeRevealThumb/shape_main_knight_mascot_tall_thumb.png,shape.name.shape_main_knight_mascot_tall
134,0,,,,,,,,,
135,0,,,,,,,,,
136,0,,,,,,,,,
137,0,,,,,,,,,
138,1,shape_main_space_comet_icon_tall,MainSpaceCometIconTall,Space,sci-fi,shape_space,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,Art/ShapeReveal/shape_main_space_comet_icon_tall.png,Art/ShapeRevealThumb/shape_main_space_comet_icon_tall_thumb.png,shape.name.shape_main_space_comet_icon_tall
139,0,,,,,,,,,
140,0,,,,,,,,,
141,0,,,,,,,,,
142,0,,,,,,,,,
143,1,shape_main_magic_hat_tall,MainMagicHatTall,Magic,academy,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Art/ShapeReveal/shape_main_magic_hat_tall.png,Art/ShapeRevealThumb/shape_main_magic_hat_tall_thumb.png,shape.name.shape_main_magic_hat_tall
144,0,,,,,,,,,
145,0,,,,,,,,,
146,0,,,,,,,,,
147,1,shape_main_liberty_statue_tall,MainLibertyStatueTall,Landmark,architecture,shape_landmark,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,Art/ShapeReveal/shape_main_liberty_statue_tall.png,Art/ShapeRevealThumb/shape_main_liberty_statue_tall_thumb.png,shape.name.shape_main_liberty_statue_tall
148,0,,,,,,,,,
149,0,,,,,,,,,
150,0,,,,,,,,,
151,0,,,,,,,,,
152,0,,,,,,,,,
153,1,shape_main_raised_hand_mascot_tall,MainRaisedHandMascotTall,Character,animals-mascots,shape_character,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,Art/ShapeReveal/shape_main_raised_hand_mascot_tall.png,Art/ShapeRevealThumb/shape_main_raised_hand_mascot_tall_thumb.png,shape.name.shape_main_raised_hand_mascot_tall
154,0,,,,,,,,,
155,0,,,,,,,,,
156,0,,,,,,,,,
157,0,,,,,,,,,
158,1,shape_main_distinct_letter_mtall,MainDistinctLetterMTall,Symbol,letters-symbols,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Art/ShapeReveal/shape_main_distinct_letter_mtall.png,Art/ShapeRevealThumb/shape_main_distinct_letter_mtall_thumb.png,shape.name.shape_main_distinct_letter_mtall
159,0,,,,,,,,,
160,0,,,,,,,,,
161,0,,,,,,,,,
162,0,,,,,,,,,
163,1,shape_main_ocean_pufferfish_tall,MainOceanPufferfishTall,Ocean,sea-creature,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_66_onion_maskproceduralvertical_32x42-mainoceanpufferfishtall,Art/ShapeReveal/shape_main_ocean_pufferfish_tall.png,Art/ShapeRevealThumb/shape_main_ocean_pufferfish_tall_thumb.png,shape.name.shape_main_ocean_pufferfish_tall
164,0,,,,,,,,,
165,0,,,,,,,,,
166,0,,,,,,,,,
167,0,,,,,,,,,
168,1,shape_main_distinct_boot_tall,MainDistinctBootTall,Object,tools-items,shape_object,r2_outer_strong_005_r2_006_a401_procmask_102_onion_maskproceduralvertical_28x42-maindistinctboottall,Art/ShapeReveal/shape_main_distinct_boot_tall.png,Art/ShapeRevealThumb/shape_main_distinct_boot_tall_thumb.png,shape.name.shape_main_distinct_boot_tall
169,0,,,,,,,,,
170,0,,,,,,,,,
171,0,,,,,,,,,
172,0,,,,,,,,,
173,1,shape_main_candle_tall,MainCandleTall,Magic,alchemy,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Art/ShapeReveal/shape_main_candle_tall.png,Art/ShapeRevealThumb/shape_main_candle_tall_thumb.png,shape.name.shape_main_candle_tall
174,0,,,,,,,,,
175,0,,,,,,,,,
176,0,,,,,,,,,
177,0,,,,,,,,,
178,1,shape_main_painter_bust_tall,MainPainterBustTall,Art,studio,shape_art,r2_outer_strong_005_r2_006_a401_procmask_27_onion_maskproceduralvertical_30x42-mainpainterbusttall,Art/ShapeReveal/shape_main_painter_bust_tall.png,Art/ShapeRevealThumb/shape_main_painter_bust_tall_thumb.png,shape.name.shape_main_painter_bust_tall
179,0,,,,,,,,,
180,0,,,,,,,,,
181,0,,,,,,,,,
182,0,,,,,,,,,
183,1,shape_main_ocean_shell_tall,MainOceanShellTall,Ocean,shoreline,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_60_onion_maskproceduralvertical_28x42-mainoceanshelltall,Art/ShapeReveal/shape_main_ocean_shell_tall.png,Art/ShapeRevealThumb/shape_main_ocean_shell_tall_thumb.png,shape.name.shape_main_ocean_shell_tall
184,0,,,,,,,,,
185,0,,,,,,,,,
186,0,,,,,,,,,
187,1,shape_main_clock_tower_tall,MainClockTowerTall,Landmark,architecture,shape_landmark,r2_outer_strong_005_r2_006_a401_procmask_33_onion_maskproceduralvertical_30x44-mainclocktowertall,Art/ShapeReveal/shape_main_clock_tower_tall.png,Art/ShapeRevealThumb/shape_main_clock_tower_tall_thumb.png,shape.name.shape_main_clock_tower_tall
188,0,,,,,,,,,
189,0,,,,,,,,,
190,0,,,,,,,,,
191,0,,,,,,,,,
192,0,,,,,,,,,
193,1,shape_main_ocean_starfish_tall,MainOceanStarfishTall,Ocean,shoreline,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_61_onion_maskproceduralvertical_30x40-mainoceanstarfishtall,Art/ShapeReveal/shape_main_ocean_starfish_tall.png,Art/ShapeRevealThumb/shape_main_ocean_starfish_tall_thumb.png,shape.name.shape_main_ocean_starfish_tall
194,0,,,,,,,,,
195,0,,,,,,,,,
196,0,,,,,,,,,
197,0,,,,,,,,,
198,1,shape_main_distinct_plug_tall,MainDistinctPlugTall,Object,tools-items,shape_object,r2_outer_strong_005_r2_006_a401_procmask_104_onion_maskproceduralvertical_30x42-maindistinctplugtall,Art/ShapeReveal/shape_main_distinct_plug_tall.png,Art/ShapeRevealThumb/shape_main_distinct_plug_tall_thumb.png,shape.name.shape_main_distinct_plug_tall
199,0,,,,,,,,,
200,0,,,,,,,,,
201,0,,,,,,,,,
202,0,,,,,,,,,
203,1,shape_main_ocean_flippers_tall,MainOceanFlippersTall,Ocean,diving-gear,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_63_onion_maskproceduralvertical_30x42-mainoceanflipperstall,Art/ShapeReveal/shape_main_ocean_flippers_tall.png,Art/ShapeRevealThumb/shape_main_ocean_flippers_tall_thumb.png,shape.name.shape_main_ocean_flippers_tall
204,0,,,,,,,,,
205,0,,,,,,,,,
206,0,,,,,,,,,
207,1,shape_main_music_headphones_tall,MainMusicHeadphonesTall,Music,stage,shape_music,r2_outer_strong_005_r2_006_a401_procmask_supp_05_onion_maskfinalsupplement_30x42-mainmusicheadphonestall,Art/ShapeReveal/shape_main_music_headphones_tall.png,Art/ShapeRevealThumb/shape_main_music_headphones_tall_thumb.png,shape.name.shape_main_music_headphones_tall
208,0,,,,,,,,,
209,0,,,,,,,,,
210,0,,,,,,,,,
211,0,,,,,,,,,
212,0,,,,,,,,,
213,1,shape_main_cactus_tall,MainCactusTall,Nature,plants-creatures,shape_nature,r2_outer_strong_005_r2_006_a401_procmask_07_onion_maskproceduralvertical_30x42-maincactustall,Art/ShapeReveal/shape_main_cactus_tall.png,Art/ShapeRevealThumb/shape_main_cactus_tall_thumb.png,shape.name.shape_main_cactus_tall
214,0,,,,,,,,,
215,0,,,,,,,,,
216,0,,,,,,,,,
217,0,,,,,,,,,
218,1,shape_main_train_front_tall,MainTrainFrontTall,Vehicle,transport,shape_vehicle,r2_outer_strong_005_r2_006_a401_procmask_16_onion_maskproceduralvertical_30x42-maintrainfronttall,Art/ShapeReveal/shape_main_train_front_tall.png,Art/ShapeRevealThumb/shape_main_train_front_tall_thumb.png,shape.name.shape_main_train_front_tall
219,0,,,,,,,,,
220,0,,,,,,,,,
221,0,,,,,,,,,
222,0,,,,,,,,,
223,1,shape_main_music_drum_tall,MainMusicDrumTall,Music,stage,shape_music,r2_outer_strong_005_r2_006_a401_procmask_supp_08_onion_maskfinalsupplement_30x42-mainmusicdrumtall,Art/ShapeReveal/shape_main_music_drum_tall.png,Art/ShapeRevealThumb/shape_main_music_drum_tall_thumb.png,shape.name.shape_main_music_drum_tall
224,0,,,,,,,,,
225,0,,,,,,,,,
226,0,,,,,,,,,
227,0,,,,,,,,,
228,1,shape_main_distinct_ghost_tall,MainDistinctGhostTall,Magic,creature,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall,Art/ShapeReveal/shape_main_distinct_ghost_tall.png,Art/ShapeRevealThumb/shape_main_distinct_ghost_tall_thumb.png,shape.name.shape_main_distinct_ghost_tall
229,0,,,,,,,,,
230,0,,,,,,,,,
231,0,,,,,,,,,
232,0,,,,,,,,,
233,1,shape_transition_distinct_scissors_tall,TransitionDistinctScissorsTall,Object,tools-items,shape_object,r2_outer_strong_005_r2_006_a401_procmask_110_onion_maskproceduralvertical_34x46-transitiondistinctscissorstall,Art/ShapeReveal/shape_transition_distinct_scissors_tall.png,Art/ShapeRevealThumb/shape_transition_distinct_scissors_tall_thumb.png,shape.name.shape_transition_distinct_scissors_tall
234,0,,,,,,,,,
235,0,,,,,,,,,
236,0,,,,,,,,,
237,0,,,,,,,,,
238,1,shape_main_snowman_tall,MainSnowmanTall,Character,animals-mascots,shape_character,r2_outer_strong_005_r2_006_a401_procmask_15_onion_maskproceduralvertical_30x42-mainsnowmantall,Art/ShapeReveal/shape_main_snowman_tall.png,Art/ShapeRevealThumb/shape_main_snowman_tall_thumb.png,shape.name.shape_main_snowman_tall
239,0,,,,,,,,,
240,0,,,,,,,,,
241,0,,,,,,,,,
242,0,,,,,,,,,
243,1,shape_main_astronaut_mascot_tall,MainAstronautMascotTall,Space,sci-fi,shape_space,r2_outer_strong_005_r2_006_a401_procmask_23_onion_maskproceduralvertical_30x42-mainastronautmascottall,Art/ShapeReveal/shape_main_astronaut_mascot_tall.png,Art/ShapeRevealThumb/shape_main_astronaut_mascot_tall_thumb.png,shape.name.shape_main_astronaut_mascot_tall
244,0,,,,,,,,,
245,0,,,,,,,,,
246,0,,,,,,,,,
247,1,shape_main_distinct_mitten_tall,MainDistinctMittenTall,Object,tools-items,shape_object,r2_outer_strong_005_r2_006_a401_procmask_103_onion_maskproceduralvertical_28x42-maindistinctmittentall,Art/ShapeReveal/shape_main_distinct_mitten_tall.png,Art/ShapeRevealThumb/shape_main_distinct_mitten_tall_thumb.png,shape.name.shape_main_distinct_mitten_tall
248,0,,,,,,,,,
249,0,,,,,,,,,
250,0,,,,,,,,,
251,0,,,,,,,,,
252,0,,,,,,,,,
253,1,shape_main_space_saturn_icon_tall,MainSpaceSaturnIconTall,Space,sci-fi,shape_space,r2_outer_strong_005_r2_006_a401_procmask_supp_01_onion_maskfinalsupplement_30x42-mainspacesaturnicontall,Art/ShapeReveal/shape_main_space_saturn_icon_tall.png,Art/ShapeRevealThumb/shape_main_space_saturn_icon_tall_thumb.png,shape.name.shape_main_space_saturn_icon_tall
254,0,,,,,,,,,
255,0,,,,,,,,,
256,0,,,,,,,,,
257,0,,,,,,,,,
258,1,shape_main_ocean_seaweed_tall,MainOceanSeaweedTall,Ocean,shoreline,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_64_onion_maskproceduralvertical_28x44-mainoceanseaweedtall,Art/ShapeReveal/shape_main_ocean_seaweed_tall.png,Art/ShapeRevealThumb/shape_main_ocean_seaweed_tall_thumb.png,shape.name.shape_main_ocean_seaweed_tall
259,0,,,,,,,,,
260,0,,,,,,,,,
261,0,,,,,,,,,
262,0,,,,,,,,,
263,1,shape_main_ui_camera_tall,MainUiCameraTall,ToolUI,digital-tools,shape_toolui,r2_outer_strong_005_r2_006_a401_procmask_supp_13_long_maskfinalsupplement_30x42-mainuicameratall,Art/ShapeReveal/shape_main_ui_camera_tall.png,Art/ShapeRevealThumb/shape_main_ui_camera_tall_thumb.png,shape.name.shape_main_ui_camera_tall
264,0,,,,,,,,,
265,0,,,,,,,,,
266,0,,,,,,,,,
267,0,,,,,,,,,
268,1,shape_transition_magic_broom_tall,TransitionMagicBroomTall,Magic,alchemy,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_87_onion_maskproceduralvertical_34x50-transitionmagicbroomtall,Art/ShapeReveal/shape_transition_magic_broom_tall.png,Art/ShapeRevealThumb/shape_transition_magic_broom_tall_thumb.png,shape.name.shape_transition_magic_broom_tall
269,0,,,,,,,,,
270,0,,,,,,,,,
271,0,,,,,,,,,
272,0,,,,,,,,,
273,1,shape_main_ui_chat_bubble_tall,MainUiChatBubbleTall,ToolUI,digital-tools,shape_toolui,r2_outer_strong_005_r2_006_a401_procmask_supp_14_onion_maskfinalsupplement_30x42-mainuichatbubbletall,Art/ShapeReveal/shape_main_ui_chat_bubble_tall.png,Art/ShapeRevealThumb/shape_main_ui_chat_bubble_tall_thumb.png,shape.name.shape_main_ui_chat_bubble_tall
274,0,,,,,,,,,
275,0,,,,,,,,,
276,0,,,,,,,,,
277,0,,,,,,,,,
278,1,shape_main_distinct_octopus_tall,MainDistinctOctopusTall,Ocean,sea-creature,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_98_long_maskproceduralvertical_32x44-maindistinctoctopustall,Art/ShapeReveal/shape_main_distinct_octopus_tall.png,Art/ShapeRevealThumb/shape_main_distinct_octopus_tall_thumb.png,shape.name.shape_main_distinct_octopus_tall
279,0,,,,,,,,,
280,0,,,,,,,,,
281,0,,,,,,,,,
282,0,,,,,,,,,
283,1,shape_main_tool_battery_tall,MainToolBatteryTall,ToolUI,digital-tools,shape_toolui,r2_outer_strong_005_r2_006_a401_procmask_supp_10_long_maskfinalsupplement_28x42-maintoolbatterytall,Art/ShapeReveal/shape_main_tool_battery_tall.png,Art/ShapeRevealThumb/shape_main_tool_battery_tall_thumb.png,shape.name.shape_main_tool_battery_tall
284,0,,,,,,,,,
285,0,,,,,,,,,
286,0,,,,,,,,,
287,0,,,,,,,,,
288,1,shape_transition_ocean_diving_mask_tall,TransitionOceanDivingMaskTall,Ocean,diving-gear,shape_ocean,r2_outer_strong_005_r2_006_a401_procmask_69_onion_maskproceduralvertical_34x48-transitionoceandivingmasktall,Art/ShapeReveal/shape_transition_ocean_diving_mask_tall.png,Art/ShapeRevealThumb/shape_transition_ocean_diving_mask_tall_thumb.png,shape.name.shape_transition_ocean_diving_mask_tall
289,0,,,,,,,,,
290,0,,,,,,,,,
291,0,,,,,,,,,
292,0,,,,,,,,,
293,1,shape_transition_wide_landmark01_tall,TransitionWideLandmark01Tall,Landmark,architecture,shape_landmark,r2_outer_strong_005_r2_006_a401_procmask_125_onion_maskproceduralvertical_34x50-transitionwidelandmark01tall,Art/ShapeReveal/shape_transition_wide_landmark01_tall.png,Art/ShapeRevealThumb/shape_transition_wide_landmark01_tall_thumb.png,shape.name.shape_transition_wide_landmark01_tall
294,0,,,,,,,,,
295,0,,,,,,,,,
296,0,,,,,,,,,
297,0,,,,,,,,,
