order,slotRole,relativeDifficulty,template,bucket,type,styleKey,chains,score,openers,avgChoices,dependencyBlocks,levelId,path,families,qualityFlags,portableQuality
11,FixedFront40,Recovery,FixedFront40,front20,normal,normal,31,128,,,,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30
12,FixedFront40,Normal,FixedFront40,refresh,normal,normal_campaign500,50,153,,,,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,fixed_front20:normal_campaign500:63,fixed_front20,fixed_front20
13,FixedFront40,Novelty,FixedFront40,refresh,shape,shape_early_prop,37,130,,,,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,fixed_front20:shape_early_prop:4,fixed_front20,fixed_front20
14,FixedFront40,Recovery,FixedFront40,refresh,normal,normal_campaign500,42,121,,,,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,fixed_front20:normal_campaign500:83,fixed_front20,fixed_front20
15,FixedFront40,Pressure,FixedFront40,refresh,section,direct_refresh,53,147,13,9.32,120,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,front20_replace:direct_refresh:dual_zone:g4,fixed_front20_replace,ok
16,FixedFront40,Pressure,FixedFront40,normal,lock,direct_refresh,54,180,12,4.87,148,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,front20_replace:direct_refresh:core_burst:g3,fixed_front20_replace,ok
17,FixedFront40,Mechanic,FixedFront40,front20,hole_rescue,hole_rescue,37,91,,,,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,early30to40-hole-17,early30to40-hole-17,early30to40-hole-17
18,FixedFront40,Normal,FixedFront40,normal,normal,normal_campaign500,53,155,,,,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,fixed_front20:normal_campaign500:13,fixed_front20,fixed_front20
19,FixedFront40,VeryHard,FixedFront40,very_hard,lock,direct_normal,94,386,11,9.45,426,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,front20_replace:direct_normal:lock_buckle:g8,fixed_front20_replace,ok
20,FixedFront40,Recovery,FixedFront40,refresh,shell,asset,41,112,8,5.54,103,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,front20_replace:asset:nomask_01_outer_shell,fixed_front20_replace,ok
21,FixedFront40,Normal,FixedFront40,refresh,sweep,snake_spine,44,181.1,12,6.25,72,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,motif:snake_spine,ok,ok
22,FixedFront40,Normal,FixedFront40,refresh,section,stair_ladder,55,150.5,14,8.53,154,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,motif:stair_ladder,ok,ok
23,FixedFront40,Normal,FixedFront40,shape,shape_magic,Magic,80,220,12,10.00,0.12,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,shape:Magic:SpecialShape,NoRisk,MagicShape
24,FixedFront40,Normal,FixedFront40,refresh,section,section_unlock,82,160.4,14,6.27,330,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,direct_normal:section_unlock:g9,ok,long-straight-run
25,FixedFront40,Normal,FixedFront40,normal,lock,lock_buckle,98,153.1,13,9.42,520,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_normal:lock_buckle:g16,ok,ok
26,FixedFront40,Normal,FixedFront40,refresh,sweep,sweep,83,160.0,17,8.23,306,direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08.asset,direct_normal:sweep:g7,ok,ok
27,FixedFront40,Normal,FixedFront40,shape,shape_magic,Magic,60,160,0,,0,r1_outer_strong_051_r1_089_a565_maskpatch,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/tallfit_04_masktallfit_22x32-torchtall_r1_outer_strong_051_r1_089_a565_MaskTallFit_22x32-TorchTall_20260610_204127.asset,shape:Magic:TorchTall:tallfit,LightShape,ShapeLight
28,FixedFront40,Normal,FixedFront40,normal,maze,maze_long_chain,63,213.0,7,5.06,259,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_refresh:maze_long_chain:g5,ok,ok
29,FixedFront40,Normal,FixedFront40,normal,dense,dense_weave,99,145.4,21,9.72,363,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_normal:dense_weave:g19,ok,ok
30,FixedFront40,Normal,FixedFront40,normal,lock,core_burst,106,199.2,8,5.26,598,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal:core_burst:g8,ok,ok
31,FixedFront40,Normal,FixedFront40,refresh,sweep,sweep,61,152.1,18,9.16,142,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_refresh:sweep:g0,ok,ok
32,FixedFront40,Normal,FixedFront40,refresh,shape_magic,Magic,83,228,,,,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape_magic:Magic:2,MagicShape,MagicShape
33,FixedFront40,Normal,FixedFront40,refresh,dense,direct_pure_topup_04_17_direct_n,78,172.9,14,7.19,305,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,asset:direct_pure_topup_04_17_direct_n,ok,ok
34,FixedFront40,Normal,FixedFront40,refresh,lock,lock_buckle,93,153.4,17,7.33,448,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_normal:lock_buckle:g6,ok,ok
35,FixedFront40,Normal,FixedFront40,refresh,dense,dense_weave,65,154.7,18,8.38,201,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_refresh:dense_weave:g1,ok,ok
36,FixedFront40,Normal,FixedFront40,normal,lock,core_burst,83,218.6,7,5.73,330,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_normal:core_burst:g16,ok,ok
37,FixedFront40,Normal,FixedFront40,normal,hole_rescue,6,51,249,0,,,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset,hole_mask_early_front:6,non-procedural-hole,hole_mask
38,FixedFront40,Normal,FixedFront40,shape,shape_magic,Magic,88,224,12,10.00,0.12,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape:Magic:SpecialShape,NoRisk,MagicShape
39,FixedFront40,Normal,FixedFront40,normal,lock,core_burst,101,176.1,16,7.28,493,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal:core_burst:g0,ok,ok
40,FixedFront40,Normal,FixedFront40,normal,lock,lock_buckle,103,199.1,13,5.09,527,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_normal:lock_buckle:g10,ok;front40-hard-peak,ok
41,Recovery,Recovery,B_peak7_end_calm_front50,refresh,maze,maze_long_chain,85,126,22,10.68,280,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_normal:maze_long_chain:g6,ok|yellow_replacement:GrindyLowClear,too-open
42,Normal,Normal,B_peak7_end_calm_front50,normal,dense,dense_weave,84,173.6,15,7.32,340,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,direct_normal:dense_weave:g20,ok;rel:Recovery:Recovery,ok
43,Shape,Novelty,B_peak7_end_calm_front50,shape,shape_nature,Nature,90,243,13,11.18,0.162,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,shape:Nature:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,Normal
44,Pressure,Hard,B_peak7_end_calm_front50,normal,section,stair_push,102,162.9,18,9.37,496,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04.asset,direct_normal:stair_push:g9,ok;rel:Normal:Normal,ok
45,Recovery,Recovery,B_peak7_end_calm_front50,normal,sweep,direct_normal_121_direct_normal_,103,142.7,21,9.58,421,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_121_direct_normal_rect_outer_shell_g0_v13.asset,asset:direct_normal_121_direct_normal_,ok;rel:Normal:Normal,ok
46,Normal,Normal,B_peak7_end_calm_front50,normal,section,dual_zone,104,151.7,20,8.55,449,direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06.asset,direct_normal:dual_zone:g11,ok;rel:Normal:Normal,ok
47,Peak,VeryHard,B_peak7_end_calm_front50,normal,lock,core_burst,102,169.2,17,6.80,552,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03.asset,direct_normal:core_burst:g8,ok;rel:Recovery:Recovery,ok
48,Shape,Novelty,B_peak7_end_calm_front50,normal,shape_space,Space,86,248,12,10.32,10.9,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape:Space:sci-fi:vehicle:procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,Normal
49,Pressure,Hard,B_peak7_end_calm_front50,normal,section,section_unlock,106,150.8,20,10.05,577,direct_normal_topup_49_direct_normal_topup_rect_section_unlock_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_49_direct_normal_topup_rect_section_unlock_g6_v07.asset,direct_normal:section_unlock:g6,ok;rel:Normal:Normal,ok
50,Recovery,Recovery,B_peak7_end_calm_front50,normal,lock,lock_buckle,106,138.5,25,11.70,386,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,direct_normal:lock_buckle:g1,ok;rel:Normal:Normal,ok
51,Recovery,Recovery,B_peak7_end_calm,normal,maze,maze_long_chain,95,153.0,21,8.78,435,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,direct_normal:maze_long_chain:g19,ok;rel:Normal:Normal,ok
52,Normal,Normal,B_peak7_end_calm,refresh,dense,dense_weave,95,144,17,9.2,387,direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_04_direct_normal_pure_rect_dense_weave_g6_v07.asset,direct_normal:dense_weave:g6,ok|yellow_replacement:GrindyLowClear,ok
53,Shape,Novelty,B_peak7_end_calm,normal,shape_symbol,Symbol,87,243,12,10.32,11.1,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape:Symbol:letters-symbols:symbol:procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,Normal
54,Pressure,Hard,B_peak7_end_calm,normal,lock,core_burst,108,159.6,18,7.99,525,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09.asset,direct_normal:core_burst:g8,ok;rel:Normal:Normal,ok
55,Recovery,Recovery,B_peak7_end_calm,normal,sweep,sweep,106,165.7,22,7.86,471,direct_normal_65_direct_normal_rect_sweep_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_65_direct_normal_rect_sweep_g0_v07.asset,direct_normal:sweep:g0,ok;rel:Normal:Normal,ok
56,Normal,Normal,B_peak7_end_calm,normal,section,section_unlock,108,149.4,22,10.00,504,direct_normal_42_direct_normal_rect_section_unlock_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_42_direct_normal_rect_section_unlock_g4_v05.asset,direct_normal:section_unlock:g4,ok,ok
57,Peak,VeryHard,B_peak7_end_calm,refresh,lock,lock_buckle,89,167.5,14,6.21,455,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,direct_normal:lock_buckle:g7,ok;rel:Recovery:Recovery,ok
58,Shape,Novelty,B_peak7_end_calm,refresh,shape_magic,Magic,87,231,,,,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,shape_magic:Magic:79,MagicShape,MagicShape
59,Pressure,Hard,B_peak7_end_calm,normal,section,stair_push,106,152.4,18,8.48,546,direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_22_direct_normal_topup_rect_stair_push_g8_v03.asset,direct_normal:stair_push:g8,ok;rel:Normal:Normal,ok
60,Recovery,Recovery,B_peak7_end_calm,normal,section,dual_zone,94,139,20,12.49,362,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,direct_normal:dual_zone:g16,ok|yellow_replacement:GrindyLowClear,ok
61,HoleRescue,Mechanic,C_double_wave,normal,hole_rescue,standard_20x24_small,65,255,64,64,39.8,hole_proc_standard_20x24_small_917275_20x24_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_917275_20x24_c65.asset,hole_procedural:standard_20x24_small,procedural_hole_standard,procedural_hole_standard
62,Pressure,Hard,C_double_wave,normal,maze,maze_long_chain,109,139.9,19,10.67,608,direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15.asset,direct_normal:maze_long_chain:g2,ok,ok
63,Shape,Novelty,C_double_wave,normal,shape_symbol,Symbol,86,249,12,10.32,10.9,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,shape:Symbol:letters-symbols:symbol:procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,Normal
64,Recovery,Recovery,C_double_wave,normal,sweep,sweep,109,140.5,21,8.61,506,direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03.asset,direct_normal:sweep:g8,ok;rel:Normal:Normal,ok
65,Normal,Normal,C_double_wave,normal,section,quasi_symmetry,107,145,22,9.3,531,direct_normal_109_direct_normal_rect_quasi_symmetry_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_109_direct_normal_rect_quasi_symmetry_g4_v11.asset,direct_normal:quasi_symmetry:g4,ok|yellow_replacement:GrindyLowClear,ok
66,Pressure,Hard,C_double_wave,normal,lock,lock_buckle,104,156.6,18,9.99,508,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset,direct_normal:lock_buckle:g2,ok;rel:Recovery:Recovery,ok
67,Normal,Normal,C_double_wave,refresh,section,dual_zone,100,136.5,17,7.75,505,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,direct_normal:dual_zone:g1,ok,ok
68,Shape,Novelty,C_double_wave,refresh,shape_magic,Magic,88,233,,,,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,shape_magic:Magic:80,MagicShape,MagicShape
69,Peak,VeryHard,C_double_wave,normal,lock,core_burst,93,191.4,14,6.54,486,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03.asset,direct_normal:core_burst:g17,ok;rel:Recovery:Recovery,ok
70,Recovery,Recovery,C_double_wave,normal,dense,dense_weave,108,146.4,21,12.45,409,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,direct_normal:dense_weave:g6,ok;rel:Normal:Normal,ok
71,Recovery,Recovery,D_visual_middle,normal,maze,maze_long_chain,106,144.7,20,10.48,405,direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_90_direct_normal_rect_maze_long_chain_g2_v09.asset,direct_normal:maze_long_chain:g2,ok;rel:Normal:Normal,ok
72,Normal,Normal,D_visual_middle,refresh,dense,direct_pure_topup_05_01_direct_n,96,141,18,8.06,416,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,asset:direct_pure_topup_05_01_direct_n,ok|yellow_replacement:GrindyLowClear,long-straight-run
