rank,status,profile,blocker,levelId,path,width,height,chains,arrowTiles,blockTiles,boardFill,playableFill,openingMoves,avgClearPerOpening,maxChain,seed,score,details
1,accepted,standard_16x18_early,standard_8x9_center,hole_proc_standard_16x18_early_911009_16x18_c52,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_911009_16x18_c52.asset,16,18,52,216,72,0.75,1,52,4.154,5,911009,243.231,ok; blocker=standard_8x9_center; blockCells=72; rect=4:4:8:9; framePeelChains=52; desiredSegment=4; baseChains=0
12,accepted,standard_24x32_late,standard_8x9_center,hole_proc_standard_24x32_late_922515_24x32_c91,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset,24,32,91,696,72,0.906,1,80,8.075,12,922515,261.4,ok; blocker=standard_8x9_center; blockCells=72; rect=8:11:8:9; framePeelChains=91; desiredSegment=7; baseChains=0
13,accepted,standard_26x34_late,standard_8x9_center,hole_proc_standard_26x34_late_923561_26x34_c118,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_26x34_late_923561_26x34_c118.asset,26,34,118,812,72,0.919,1,84,8.393,13,923561,274.743,ok; blocker=standard_8x9_center; blockCells=72; rect=9:12:8:9; framePeelChains=118; desiredSegment=7; baseChains=0
14,accepted,standard_28x36_late,standard_8x9_center,hole_proc_standard_28x36_late_924607_28x36_c147,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_28x36_late_924607_28x36_c147.asset,28,36,147,936,72,0.929,1,88,8.159,14,924607,252.473,ok; blocker=standard_8x9_center; blockCells=72; rect=10:13:8:9; framePeelChains=147; desiredSegment=7; baseChains=0
15,accepted,standard_16x18_early,standard_8x9_center,hole_proc_standard_16x18_early_911527_16x18_c52,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_911527_16x18_c52.asset,16,18,52,216,72,0.75,1,52,4.154,5,911527,243.231,ok; blocker=standard_8x9_center; blockCells=72; rect=4:4:8:9; framePeelChains=52; desiredSegment=4; baseChains=0
16,accepted,standard_17x19_early,standard_8x9_center,hole_proc_standard_17x19_early_912573_17x19_c54,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_17x19_early_912573_17x19_c54.asset,17,19,54,251,72,0.777,1,54,4.648,5,912573,245.985,ok; blocker=standard_8x9_center; blockCells=72; rect=4:5:8:9; framePeelChains=54; desiredSegment=5; baseChains=0
17,accepted,standard_18x20_early,standard_8x9_center,hole_proc_standard_18x20_early_913619_18x20_c56,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_913619_18x20_c56.asset,18,20,56,288,72,0.8,1,56,5.143,6,913619,248.743,ok; blocker=standard_8x9_center; blockCells=72; rect=5:5:8:9; framePeelChains=56; desiredSegment=5; baseChains=0
18,accepted,standard_18x22_small,standard_8x9_center,hole_proc_standard_18x22_small_914665_18x22_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_914665_18x22_c62.asset,18,22,62,324,72,0.818,1,60,5.333,7,914665,252.667,ok; blocker=standard_8x9_center; blockCells=72; rect=5:6:8:9; framePeelChains=62; desiredSegment=5; baseChains=0
19,accepted,standard_19x23_small,standard_8x9_center,hole_proc_standard_19x23_small_915711_19x23_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_915711_19x23_c62.asset,19,23,62,365,72,0.835,1,62,5.887,7,915711,252.297,ok; blocker=standard_8x9_center; blockCells=72; rect=5:7:8:9; framePeelChains=62; desiredSegment=6; baseChains=0
20,accepted,standard_20x24_small,standard_8x9_center,hole_proc_standard_20x24_small_916757_20x24_c66,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_916757_20x24_c66.asset,20,24,66,408,72,0.85,1,64,6.281,8,916757,255.45,ok; blocker=standard_8x9_center; blockCells=72; rect=6:7:8:9; framePeelChains=66; desiredSegment=6; baseChains=0
21,accepted,standard_21x25_small,standard_8x9_center,hole_proc_standard_21x25_small_917803_21x25_c71,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_917803_21x25_c71.asset,21,25,71,453,72,0.863,1,66,6.667,8,917803,259.733,ok; blocker=standard_8x9_center; blockCells=72; rect=6:8:8:9; framePeelChains=71; desiredSegment=6; baseChains=0
22,accepted,standard_22x26_mid,standard_8x9_center,hole_proc_standard_22x26_mid_918849_22x26_c74,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_918849_22x26_c74.asset,22,26,74,500,72,0.874,1,68,7.103,9,918849,262.024,ok; blocker=standard_8x9_center; blockCells=72; rect=7:8:8:9; framePeelChains=74; desiredSegment=6; baseChains=0
23,accepted,standard_23x28_mid,standard_8x9_center,hole_proc_standard_23x28_mid_919895_23x28_c79,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_919895_23x28_c79.asset,23,28,79,572,72,0.888,1,72,7.681,10,919895,263.044,ok; blocker=standard_8x9_center; blockCells=72; rect=7:9:8:9; framePeelChains=79; desiredSegment=7; baseChains=0
24,accepted,standard_24x28_mid,standard_8x9_center,hole_proc_standard_24x28_mid_920941_24x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920941_24x28_c81.asset,24,28,81,600,72,0.893,1,72,8.014,10,920941,263.311,ok; blocker=standard_8x9_center; blockCells=72; rect=8:9:8:9; framePeelChains=81; desiredSegment=7; baseChains=0
25,accepted,standard_24x30_mid,standard_8x9_center,hole_proc_standard_24x30_mid_921987_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_921987_24x30_c82.asset,24,30,82,648,72,0.9,1,76,8.237,11,921987,259.095,ok; blocker=standard_8x9_center; blockCells=72; rect=8:10:8:9; framePeelChains=82; desiredSegment=7; baseChains=0
26,accepted,standard_24x32_late,standard_8x9_center,hole_proc_standard_24x32_late_923033_24x32_c86,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923033_24x32_c86.asset,24,32,86,696,72,0.906,1,80,8.375,12,923033,257.8,ok; blocker=standard_8x9_center; blockCells=72; rect=8:11:8:9; framePeelChains=86; desiredSegment=7; baseChains=0
27,accepted,standard_26x34_late,standard_8x9_center,hole_proc_standard_26x34_late_924079_26x34_c113,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_26x34_late_924079_26x34_c113.asset,26,34,113,812,72,0.919,1,84,8.464,13,924079,274.114,ok; blocker=standard_8x9_center; blockCells=72; rect=9:12:8:9; framePeelChains=113; desiredSegment=7; baseChains=0
28,accepted,standard_28x36_late,standard_8x9_center,hole_proc_standard_28x36_late_925125_28x36_c133,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_28x36_late_925125_28x36_c133.asset,28,36,133,936,72,0.929,1,88,8.83,14,925125,274.636,ok; blocker=standard_8x9_center; blockCells=72; rect=10:13:8:9; framePeelChains=133; desiredSegment=7; baseChains=0
29,accepted,standard_16x18_early,standard_8x9_center,hole_proc_standard_16x18_early_912045_16x18_c52,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_912045_16x18_c52.asset,16,18,52,216,72,0.75,1,52,4.154,5,912045,243.231,ok; blocker=standard_8x9_center; blockCells=72; rect=4:4:8:9; framePeelChains=52; desiredSegment=4; baseChains=0
30,accepted,standard_17x19_early,standard_8x9_center,hole_proc_standard_17x19_early_913091_17x19_c54,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_17x19_early_913091_17x19_c54.asset,17,19,54,251,72,0.777,1,54,4.648,5,913091,245.985,ok; blocker=standard_8x9_center; blockCells=72; rect=4:5:8:9; framePeelChains=54; desiredSegment=5; baseChains=0
31,accepted,standard_18x20_early,standard_8x9_center,hole_proc_standard_18x20_early_914137_18x20_c56,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_914137_18x20_c56.asset,18,20,56,288,72,0.8,1,56,5.143,6,914137,248.743,ok; blocker=standard_8x9_center; blockCells=72; rect=5:5:8:9; framePeelChains=56; desiredSegment=5; baseChains=0
32,accepted,standard_18x22_small,standard_8x9_center,hole_proc_standard_18x22_small_915183_18x22_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_915183_18x22_c65.asset,18,22,65,324,72,0.818,1,60,5.2,7,915183,248,ok; blocker=standard_8x9_center; blockCells=72; rect=5:6:8:9; framePeelChains=65; desiredSegment=5; baseChains=0
33,accepted,standard_19x23_small,standard_8x9_center,hole_proc_standard_19x23_small_916229_19x23_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_916229_19x23_c62.asset,19,23,62,365,72,0.835,1,62,5.887,7,916229,252.297,ok; blocker=standard_8x9_center; blockCells=72; rect=5:7:8:9; framePeelChains=62; desiredSegment=6; baseChains=0
34,accepted,standard_20x24_small,standard_8x9_center,hole_proc_standard_20x24_small_917275_20x24_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_917275_20x24_c65.asset,20,24,65,408,72,0.85,1,64,6.344,8,917275,254.75,ok; blocker=standard_8x9_center; blockCells=72; rect=6:7:8:9; framePeelChains=65; desiredSegment=6; baseChains=0
35,accepted,standard_21x25_small,standard_8x9_center,hole_proc_standard_21x25_small_918321_21x25_c69,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_918321_21x25_c69.asset,21,25,69,453,72,0.863,1,66,6.758,8,918321,258.061,ok; blocker=standard_8x9_center; blockCells=72; rect=6:8:8:9; framePeelChains=69; desiredSegment=6; baseChains=0
36,accepted,standard_22x26_mid,standard_8x9_center,hole_proc_standard_22x26_mid_919367_22x26_c77,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_919367_22x26_c77.asset,22,26,77,500,72,0.874,1,68,6.912,9,919367,264.094,ok; blocker=standard_8x9_center; blockCells=72; rect=7:8:8:9; framePeelChains=77; desiredSegment=6; baseChains=0
37,accepted,standard_23x28_mid,standard_8x9_center,hole_proc_standard_23x28_mid_920413_23x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_920413_23x28_c81.asset,23,28,81,572,72,0.888,1,72,7.611,10,920413,264.889,ok; blocker=standard_8x9_center; blockCells=72; rect=7:9:8:9; framePeelChains=81; desiredSegment=7; baseChains=0
38,accepted,standard_24x28_mid,standard_8x9_center,hole_proc_standard_24x28_mid_921459_24x28_c77,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_921459_24x28_c77.asset,24,28,77,600,72,0.893,1,72,8.194,10,921459,259.956,ok; blocker=standard_8x9_center; blockCells=72; rect=8:9:8:9; framePeelChains=77; desiredSegment=7; baseChains=0
39,accepted,standard_24x30_mid,standard_8x9_center,hole_proc_standard_24x30_mid_922505_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_922505_24x30_c82.asset,24,30,82,648,72,0.9,1,76,8.25,11,922505,259.2,ok; blocker=standard_8x9_center; blockCells=72; rect=8:10:8:9; framePeelChains=82; desiredSegment=7; baseChains=0
40,accepted,standard_24x32_late,standard_8x9_center,hole_proc_standard_24x32_late_923551_24x32_c91,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923551_24x32_c91.asset,24,32,91,696,72,0.906,1,80,8.138,12,923551,261.9,ok; blocker=standard_8x9_center; blockCells=72; rect=8:11:8:9; framePeelChains=91; desiredSegment=7; baseChains=0
41,accepted,standard_26x34_late,standard_8x9_center,hole_proc_standard_26x34_late_924597_26x34_c109,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_26x34_late_924597_26x34_c109.asset,26,34,109,812,72,0.919,1,84,8.69,13,924597,271.124,ok; blocker=standard_8x9_center; blockCells=72; rect=9:12:8:9; framePeelChains=109; desiredSegment=7; baseChains=0
42,accepted,standard_28x36_late,standard_8x9_center,hole_proc_standard_28x36_late_925643_28x36_c139,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_28x36_late_925643_28x36_c139.asset,28,36,139,936,72,0.929,1,88,8.602,14,925643,265.618,ok; blocker=standard_8x9_center; blockCells=72; rect=10:13:8:9; framePeelChains=139; desiredSegment=7; baseChains=0
43,accepted,standard_16x18_early,standard_8x9_center,hole_proc_standard_16x18_early_912563_16x18_c52,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_16x18_early_912563_16x18_c52.asset,16,18,52,216,72,0.75,1,52,4.154,5,912563,243.231,ok; blocker=standard_8x9_center; blockCells=72; rect=4:4:8:9; framePeelChains=52; desiredSegment=4; baseChains=0
44,accepted,standard_17x19_early,standard_8x9_center,hole_proc_standard_17x19_early_913609_17x19_c54,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_17x19_early_913609_17x19_c54.asset,17,19,54,251,72,0.777,1,54,4.648,5,913609,245.985,ok; blocker=standard_8x9_center; blockCells=72; rect=4:5:8:9; framePeelChains=54; desiredSegment=5; baseChains=0
45,accepted,standard_18x20_early,standard_8x9_center,hole_proc_standard_18x20_early_914655_18x20_c56,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x20_early_914655_18x20_c56.asset,18,20,56,288,72,0.8,1,56,5.143,6,914655,248.743,ok; blocker=standard_8x9_center; blockCells=72; rect=5:5:8:9; framePeelChains=56; desiredSegment=5; baseChains=0
46,accepted,standard_18x22_small,standard_8x9_center,hole_proc_standard_18x22_small_915701_18x22_c61,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_915701_18x22_c61.asset,18,22,61,324,72,0.818,1,60,5.35,7,915701,251.6,ok; blocker=standard_8x9_center; blockCells=72; rect=5:6:8:9; framePeelChains=61; desiredSegment=5; baseChains=0
47,accepted,standard_19x23_small,standard_8x9_center,hole_proc_standard_19x23_small_916747_19x23_c62,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_19x23_small_916747_19x23_c62.asset,19,23,62,365,72,0.835,1,62,5.887,7,916747,252.297,ok; blocker=standard_8x9_center; blockCells=72; rect=5:7:8:9; framePeelChains=62; desiredSegment=6; baseChains=0
48,accepted,standard_20x24_small,standard_8x9_center,hole_proc_standard_20x24_small_917793_20x24_c67,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_917793_20x24_c67.asset,20,24,67,408,72,0.85,1,64,6.25,8,917793,256.4,ok; blocker=standard_8x9_center; blockCells=72; rect=6:7:8:9; framePeelChains=67; desiredSegment=6; baseChains=0
49,accepted,standard_21x25_small,standard_8x9_center,hole_proc_standard_21x25_small_918839_21x25_c69,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_918839_21x25_c69.asset,21,25,69,453,72,0.863,1,66,6.758,8,918839,258.061,ok; blocker=standard_8x9_center; blockCells=72; rect=6:8:8:9; framePeelChains=69; desiredSegment=6; baseChains=0
50,accepted,standard_22x26_mid,standard_8x9_center,hole_proc_standard_22x26_mid_919885_22x26_c74,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_919885_22x26_c74.asset,22,26,74,500,72,0.874,1,68,7.103,9,919885,262.024,ok; blocker=standard_8x9_center; blockCells=72; rect=7:8:8:9; framePeelChains=74; desiredSegment=6; baseChains=0
