"order","slotRole","target","bucket","type","chains","levelId","assetName","note"
"31","Recovery","post-peak-dip","refresh","dense","78","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","normal procedural"
"32","MagicShape","magic-series","refresh","shape_magic","83","r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall","MainShieldTall","Magic series shape"
"33","Normal","sweep-normal","normal","sweep","108","direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04","direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04","normal procedural"
"34","Pressure","dense-pressure","hard","dense","127","direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01","direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01","normal procedural"
"35","Recovery","maze-dip","refresh","maze","83","direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06","direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06","normal procedural"
"36","Peak","lock-peak","hard","lock","137","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03","normal procedural"
"37","HoleRescue","rescue-animal","normal","hole_rescue","51","r1_ab_041_above300_level_473_final_holeblock_multiseed_final","hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832","Hole rescue side mechanic"
"38","Normal","after-hole-normal","normal","dense","108","direct_normal_124_direct_normal_rect_dense_weave_g0_v13","direct_normal_124_direct_normal_rect_dense_weave_g0_v13","normal procedural"
"39","Pressure","sweep-pressure","hard","sweep","126","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09","normal procedural"
"40","Bridge","bridge","normal","maze","110","direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11","direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11","normal procedural"
"41","Normal","lock-normal","normal","lock","108","direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09","direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09","normal procedural"
"42","Pressure","section-pressure","hard","section","134","direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02","direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02","normal procedural"
"43","MagicShape","magic-series","refresh","shape_magic","87","r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall","MainMagicBatTall","Magic series shape"
"44","Pressure","maze-pressure","hard","maze","129","direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02","direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02","normal procedural"
"45","Recovery","dip-before-peak","normal","section","99","direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02","direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02","normal procedural"
"46","Peak","front50-peak","hard","lock","154","direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01","direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01","normal procedural"
"47","Recovery","post-peak","normal","maze","108","direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13","direct_normal_130_direct_normal_rect_maze_long_chain_g0_v13","normal procedural"
"48","MagicShape","magic-series","refresh","shape_magic","88","r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall","MainMagicBlackCatTall","Magic series shape"
"49","Normal","section-normal","normal","section","114","direct_normal_18_direct_normal_rect_stair_push_g1_v02","direct_normal_18_direct_normal_rect_stair_push_g1_v02","normal procedural"
"50","BridgePeak","chapter-bridge","hard","section","136","direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04","direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04","normal procedural"
"51","Recovery","post-50-dip","normal","section","101","direct_normal_topup_70_direct_normal_topup_rect_stair_push_g8_v09","direct_normal_topup_70_direct_normal_topup_rect_stair_push_g8_v09","normal procedural"
"52","Normal","lock-normal","normal","lock","115","direct_normal_31_direct_normal_rect_outer_shell_g3_v04","direct_normal_31_direct_normal_rect_outer_shell_g3_v04","normal procedural"
"53","Pressure","section-pressure","hard","section","141","direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10","direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10","normal procedural"
"54","MagicShape","magic-series","refresh","shape_magic","88","r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall","MainKeyTall","Magic series shape"
"55","Normal","normal","normal","section","115","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08","normal procedural"
"56","Normal","dense-normal","normal","dense","118","direct_normal_94_direct_normal_rect_dense_weave_g3_v10","direct_normal_94_direct_normal_rect_dense_weave_g3_v10","normal procedural"
"57","Pressure","sweep-pressure","hard","sweep","141","direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06","direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06","normal procedural"
"58","Recovery","maze-dip","normal","maze","104","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07","normal procedural"
"59","Pressure","lock-pressure","hard","lock","150","direct_polish_clean_22_direct_polish_normal_rect_core_burst_g2_v03","direct_polish_clean_22_direct_polish_normal_rect_core_burst_g2_v03","normal procedural"
"60","Peak","local-peak","hard","section","155","direct_pure_topup_07_07_direct_polish_hard_pure_rect_quasi_symmetry_g9_v01","direct_pure_topup_07_07_direct_polish_hard_pure_rect_quasi_symmetry_g9_v01","normal procedural"
"61","HoleRescue","rescue-animal","hard","hole_rescue","66","r1_ab_159_above300_level_677_final_holeblock_multiseed_final","hole_prod_22x26_standard_r02_r1_ab_159_above300_level_677_final_20260610_113938","Hole rescue side mechanic"
"62","Recovery","after-hole-dip","normal","section","110","direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10","direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10","normal procedural"
"63","Normal","section-normal","normal","section","117","direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16","direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16","normal procedural"
"64","Pressure","dense-pressure","hard","dense","145","direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09","direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09","normal procedural"
"65","Normal","maze-normal","normal","maze","114","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","direct_pure_topup_05_16_direct_normal_pure_rect_maze_long_chain_g10_v05","normal procedural"
"66","MagicShape","magic-series","normal","shape_magic","91","r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall","MainMagicHatTall","Magic series shape"
"67","Pressure","sweep-pressure","hard","sweep","150","direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05","direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05","normal procedural"
"68","Normal","lock-normal","normal","lock","118","direct_normal_73_direct_normal_rect_lock_buckle_g1_v08","direct_normal_73_direct_normal_rect_lock_buckle_g1_v08","normal procedural"
"69","Pressure","section-pressure","hard","section","159","direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06","direct_pure_topup_09_07_direct_polish_hard_pure_rect_dual_zone_g14_v06","normal procedural"
"70","Peak","local-peak","hard","section","165","direct_pure_topup_10_19_direct_polish_hard_pure_rect_section_unlock_g12_v10","direct_pure_topup_10_19_direct_polish_hard_pure_rect_section_unlock_g12_v10","normal procedural"
"71","Recovery","post-70-dip","normal","maze","109","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15","normal procedural"
"72","Normal","sweep-normal","normal","sweep","117","direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09","direct_normal_topup_72_direct_normal_topup_rect_sweep_g8_v09","normal procedural"
"73","Pressure","lock-pressure","hard","lock","156","direct_pure_topup_08_10_direct_polish_hard_pure_rect_core_burst_g12_v04","direct_pure_topup_08_10_direct_polish_hard_pure_rect_core_burst_g12_v04","normal procedural"
"74","Normal","section-normal","normal","section","119","direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10","direct_normal_topup_77_direct_normal_topup_rect_dual_zone_g9_v10","normal procedural"
"75","Peak","pre-bonus-peak","hard","section","168","direct_pure_topup_07_16_direct_polish_hard_pure_rect_stair_push_g10_v02","direct_pure_topup_07_16_direct_polish_hard_pure_rect_stair_push_g10_v02","normal procedural"
"76","MagicShape","magic-series","normal","shape_magic","92","r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall","MainMagicDragonEggTall","Magic series shape"
"77","Recovery","post-shape-normal","normal","maze","118","direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14","direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14","normal procedural"
"78","Pressure","dense-pressure","hard","dense","159","direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06","direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06","normal procedural"
"79","Normal","section-normal","normal","section","119","direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03","direct_polish_clean_19_direct_polish_normal_rect_section_unlock_g2_v03","normal procedural"
"80","BridgePeak","chapter-bridge","hard","sweep","165","direct_pure_topup_07_08_direct_polish_hard_pure_rect_sweep_g9_v01","direct_pure_topup_07_08_direct_polish_hard_pure_rect_sweep_g9_v01","normal procedural"
"81","Recovery","post-80-dip","normal","lock","115","direct_normal_33_direct_normal_rect_lock_buckle_g3_v04","direct_normal_33_direct_normal_rect_lock_buckle_g3_v04","normal procedural"
"82","HoleRescue","rescue-animal","hard","hole_rescue","74","r1_ab_178_above300_level_716_final_take_refill_v2_p2_delta16_occ16_addcells_rewrite_v2_v2_l2_added55_rotation_vflip_holeblock_multiseed_final","hole_prod_24x28_standard_r01_r1_ab_178_above300_level_716_final_take_refi_20260610_114046","Hole rescue side mechanic"
"83","Normal","after-hole-normal","hard","section","122","direct_normal_138_direct_normal_rect_stair_push_g1_v14","direct_normal_138_direct_normal_rect_stair_push_g1_v14","normal procedural"
"84","Pressure","section-pressure","hard","section","165","direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03","direct_polish_hard_24_direct_polish_hard_rect_stair_push_g6_v03","normal procedural"
"85","Recovery","pre-shape-dip","normal","maze","113","direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01","direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01","normal procedural"
"86","MagicShape","magic-series","normal","shape_magic","96","r2_outer_strong_005_r2_006_a401_procmask_12_lock_maskproceduralvertical_30x40-maingemtall","MainGemTall","Magic series shape"
"87","Pressure","dense-pressure","hard","sweep","168","direct_pure_topup_07_18_direct_polish_hard_pure_rect_sweep_g10_v02","direct_pure_topup_07_18_direct_polish_hard_pure_rect_sweep_g10_v02","normal procedural"
"88","Normal","sweep-normal","normal","sweep","116","direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10","direct_normal_topup_80_direct_normal_topup_rect_sweep_g9_v10","normal procedural"
"89","Build","pre-peak-build","hard","lock","126","direct_normal_136_direct_normal_rect_core_burst_g1_v14","direct_normal_136_direct_normal_rect_core_burst_g1_v14","normal procedural"
"90","Peak","first-very-hard-relative","very_hard","section","176","direct_polish_hard_10_direct_polish_hard_rect_section_unlock_g5_v02","direct_polish_hard_10_direct_polish_hard_rect_section_unlock_g5_v02","normal procedural"
"91","Recovery","post-90-dip","normal","section","117","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","direct_polish_clean_05_direct_polish_normal_rect_dual_zone_g0_v01","normal procedural"
"92","MagicShape","magic-series","normal","shape_magic","113","r2_outer_strong_005_r2_006_a401_procmask_78_onion_maskproceduralvertical_30x42-mainmagicscrolltall","MainMagicScrollTall","Magic series shape"
"93","Pressure","lock-pressure","hard","lock","163","direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08","direct_pure_topup_10_02_direct_polish_hard_pure_rect_core_burst_g10_v08","normal procedural"
"94","Normal","section-normal","normal","section","117","direct_normal_122_direct_normal_rect_section_unlock_g0_v13","direct_normal_122_direct_normal_rect_section_unlock_g0_v13","normal procedural"
"95","Pressure","sweep-pressure","hard","sweep","166","direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01","direct_pure_topup_07_10_direct_polish_hard_pure_rect_outer_shell_g9_v01","normal procedural"
"96","Normal","maze-normal","normal","dense","118","direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02","direct_polish_clean_12_direct_polish_normal_rect_dense_weave_g1_v02","normal procedural"
"97","Pressure","dense-pressure","hard","dense","163","direct_pure_topup_08_09_direct_polish_hard_pure_rect_dense_weave_g12_v04","direct_pure_topup_08_09_direct_polish_hard_pure_rect_dense_weave_g12_v04","normal procedural"
"98","Build","pre-100-build","hard","section","126","direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01","direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01","normal procedural"
"99","Recovery","pre-100-dip","normal","section","115","direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06","direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06","normal procedural"
"100","Peak","level100-peak","very_hard","lock","181","direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02","direct_pure_topup_07_14_direct_polish_hard_pure_rect_core_burst_g10_v02","normal procedural"
