"Bucket","Order","Mask","Theme","Subtheme","Role","Band","W","H","Chains","MaskCoverage","BoardFill","Path"
"Magic<=100","25","MainKnightMascotTall","Magic","adventure-relic","object","main","30","42","95","0.555","0.535","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset"
"Magic<=100","12","MainGemTall","Magic","adventure-relic","object","main","30","40","96","0.597","0.588","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_12_lock_maskproceduralvertical_30x40-maingemtall_20260611_110450.asset"
"Magic<=100","78","MainMagicRuneStoneTall","Magic","academy","object","main","28","42","98","0.703","0.694","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset"
"AnyShape55-80","77","MainMagicQuillTall","Magic","academy","object","main","30","44","80","0.517","0.503","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset"
"AnyShape55-80","66","MainOceanSharkFinTall","Ocean","shoreline","object","main","28","42","80","0.537","0.526","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_67_long_maskproceduralvertical_28x42-mainoceansharkfintall_20260611_111236.asset"
"AnyShape55-80","48","MainHourglassTall","Object","tools-items","object","main","28","42","80","0.544","0.54","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset"
"MainShape80-90","77","MainMagicQuillTall","Magic","academy","object","main","30","44","80","0.517","0.503","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset"
"MainShape80-90","48","MainHourglassTall","Object","tools-items","object","main","28","42","80","0.544","0.54","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset"
"MainShape80-90","66","MainOceanSharkFinTall","Ocean","shoreline","object","main","28","42","80","0.537","0.526","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_67_long_maskproceduralvertical_28x42-mainoceansharkfintall_20260611_111236.asset"
"MainShape80-90","39","MainFoxTall","Character","animals-mascots","character","main","30","42","81","0.555","0.542","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_39_long_maskproceduralvertical_30x42-mainfoxtall_20260611_110837.asset"
"MainShape80-90","41","MainAnchorTall","Ocean","nautical","object","main","30","42","81","0.527","0.516","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_41_long_maskproceduralvertical_30x42-mainanchortall_20260611_110857.asset"
"MainShape80-90","32","MainPyramidTall","Landmark","architecture","landmark","main","30","42","82","0.494","0.481","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_32_onion_maskproceduralvertical_30x42-mainpyramidtall_20260611_110754.asset"
"MainShape80-90","34","MainWindmillTall","Landmark","architecture","landmark","main","30","42","82","0.592","0.577","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_34_long_maskproceduralvertical_30x42-mainwindmilltall_20260611_110802.asset"
"MainShape80-90","40","MainWhaleTall","Ocean","sea-creature","creature","main","30","40","82","0.497","0.488","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_40_onion_maskproceduralvertical_30x40-mainwhaletall_20260611_110841.asset"
"MainShape80-90","2","MainShieldTall","Magic","adventure-relic","object","main","28","40","83","0.609","0.6","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset"
"MainShape80-90","50","MainWaterDropTall","Ocean","shoreline","object","main","28","42","83","0.604","0.591","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_50_long_maskproceduralvertical_28x42-mainwaterdroptall_20260611_111111.asset"
"MainShape80-90","62","MainOceanLifeBuoyTall","Ocean","shoreline","object","main","30","42","83","0.542","0.534","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_62_long_maskproceduralvertical_30x42-mainoceanlifebuoytall_20260611_111222.asset"
"MainShape80-90","114","MainLeaf03Tall","Nature","plants-creatures","natural","main","32","42","84","0.580","0.566","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_118_long_maskproceduralvertical_32x42-mainleaf03tall_20260611_111813.asset"
"MainShape80-90","5","MainTrophyTall","Object","tools-items","object","main","30","40","84","0.618","0.608","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_05_long_maskproceduralvertical_30x40-maintrophytall_20260611_110422.asset"
"MainShape80-90","144","MainToolWrenchTall","ToolUI","digital-tools","object","main","30","42","84","0.494","0.487","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_11_onion_maskfinalsupplement_30x42-maintoolwrenchtall_20260611_124348.asset"
"MainShape80-90","37","MainPenguinTall","Character","animals-mascots","character","main","30","42","85","0.513","0.499","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_37_onion_maskproceduralvertical_30x42-mainpenguintall_20260611_110822.asset"
"MainShape80-90","140","MainMusicSpeakerTall","Music","stage","object","main","30","42","85","0.541","0.528","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_07_long_maskfinalsupplement_30x42-mainmusicspeakertall_20260611_124315.asset"
"MainShape80-90","105","MainDistinctLetterXTall","Symbol","letters-symbols","symbol","main","30","42","85","0.502","0.497","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_107_onion_maskproceduralvertical_30x42-maindistinctletterxtall_20260611_111549.asset"
"MainShape80-90","145","MainUiWifiTall","ToolUI","digital-tools","object","main","30","42","85","0.484","0.471","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_12_onion_maskfinalsupplement_30x42-mainuiwifitall_20260611_124356.asset"
"MainShape80-90","28","MainIronTowerTall","Landmark","architecture","landmark","main","30","44","86","0.480","0.473","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_28_onion_maskproceduralvertical_30x44-mainirontowertall_20260611_110540.asset"
"MainShape80-90","3","MainPineTreeTall","Nature","plants-creatures","natural","main","30","42","86","0.504","0.491","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_03_onion_maskproceduralvertical_30x42-mainpinetreetall_20260611_110411.asset"
"MainShape80-90","136","MainSpaceSatelliteIconTall","Space","sci-fi","vehicle","main","30","44","86","0.537","0.529","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_03_long_maskfinalsupplement_30x44-mainspacesatelliteicontall_20260611_124232.asset"
"MainShape80-90","135","MainSpaceUfoIconTall","Space","sci-fi","vehicle","main","32","42","86","0.567","0.553","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_supp_02_long_maskfinalsupplement_32x42-mainspaceufoicontall_20260611_124215.asset"
"MainShape80-90","22","MainRobotMascotTall","Space","sci-fi","character","main","30","42","86","0.594","0.583","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_22_long_maskproceduralvertical_30x42-mainrobotmascottall_20260611_110518.asset"
"MainShape80-90","1","MainRocketTall","Space","sci-fi","vehicle","main","30","42","86","0.492","0.483","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset"
"MainShape80-90","92","MainDistinctQuestionTall","Symbol","letters-symbols","symbol","main","28","42","86","0.564","0.55","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_qd_94_onion_maskproceduralvertical_28x42-maindistinctquestiontall_20260611_115650.asset"
"MainShape80-90","19","MainStarTall","Symbol","letters-symbols","symbol","main","30","40","86","0.525","0.509","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset"
"MainShape80-90","79","MainMagicBatTall","Magic","creature","creature","main","32","42","87","0.573","0.56","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset"
"MainShape80-90","44","MainGuitarTall","Music","stage","object","main","30","44","87","0.557","0.549","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_44_long_maskproceduralvertical_30x44-mainguitartall_20260611_110910.asset"
"MainShape80-90","14","MainHouseTall","Object","tools-items","object","main","30","42","87","0.584","0.575","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_14_long_maskproceduralvertical_30x42-mainhousetall_20260611_110453.asset"
"MainShape80-90","94","MainDistinctPuzzleTall","Symbol","letters-symbols","symbol","main","30","42","87","0.525","0.518","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset"
"MainShape80-90","20","MainBeanMascotTall","Character","animals-mascots","character","main","30","42","88","0.624","0.607","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_20_long_maskproceduralvertical_30x42-mainbeanmascottall_20260611_110513.asset"
"MainShape80-90","6","MainKeyTall","Magic","adventure-relic","object","main","30","42","88","0.582","0.574","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset"
"MainShape80-90","80","MainMagicBlackCatTall","Magic","creature","creature","main","32","44","88","0.544","0.538","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset"
"MainShape80-90","117","MainLeaf09Tall","Nature","plants-creatures","natural","main","32","42","90","0.556","0.545","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset"
"MainShape80-90","90","MainDistinctCrescentTall","Symbol","letters-symbols","symbol","main","28","42","90","0.553","0.542","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall_20260611_111431.asset"
"MainShape80-90","107","MainDistinctDigit5Tall","Symbol","letters-symbols","symbol","main","28","42","90","0.523","0.514","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_109_onion_maskproceduralvertical_28x42-maindistinctdigit5tall_20260611_111610.asset"
