order,bucket,type,chains,score,levelId,path,packs,families,qualityFlags,coverage,openers,avgChoices
11,front20,normal,31,128,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,normal_campaign500,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30,0.968,,
12,refresh,normal,50,153,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,normal_campaign500,fixed_front20:normal_campaign500:63,fixed_front20,,,
13,refresh,shape,37,130,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,shape_early_prop,fixed_front20:shape_early_prop:4,fixed_front20,,,
14,refresh,normal,42,121,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,normal_campaign500,fixed_front20:normal_campaign500:83,fixed_front20,,,
15,refresh,section,53,147,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,direct_pure_topup_slice02_candidates,front20_replace:direct_refresh:dual_zone:g4,fixed_front20_replace,0.975,13,9.32
16,normal,lock,54,180,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,direct_pure_topup_slice02_candidates,front20_replace:direct_refresh:core_burst:g3,fixed_front20_replace,0.979,12,4.87
17,front20,hole_rescue,37,91,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,hole_mask_early_30_40,early30to40-hole-17,early30to40-hole-17,0.542,,
18,normal,normal,53,155,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,normal_campaign500,fixed_front20:normal_campaign500:13,fixed_front20,,,
19,very_hard,lock,94,386,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,direct_pure_topup_slice06_candidates,front20_replace:direct_normal:lock_buckle:g8,fixed_front20_replace,0.986,11,9.45
20,refresh,shell,41,112,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,no_mask_type_preview,front20_replace:asset:nomask_01_outer_shell,fixed_front20_replace,0.991,8,5.54
21,refresh,sweep,67,165.4,nomask_style_expansion_35_zig_river_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,no_mask_style_expansion_preview,motif:zig_river,ok,0.976,12,8.07
22,refresh,dense,68,161.9,nomask_style_expansion_15_dense_kernel_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_15_dense_kernel_mid.asset,no_mask_style_expansion_preview,motif:dense_kernel,ok,0.983,16,7.72
23,normal,section,88,158.7,direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_14_direct_normal_pure_extra_rect_stair_push_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,direct_normal:stair_push:g19,ok,0.988,17,9.09
24,normal,dense,89,141.3,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,direct_normal:dense_weave:g17,ok,0.984,15,13.01
25,normal,lock,108,186.6,direct_normal_46_direct_normal_rect_core_burst_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset,direct_normal_candidates,direct_normal:core_burst:g4,ok,0.985,16,6.64
26,refresh,section,72,172.6,direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,direct_normal:section_unlock:g15,ok,0.984,16,7.67
27,normal,section,94,165.1,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset,direct_pure_normal_extra_slice02_candidates,direct_normal:stair_push:g18,ok,0.985,16,8.69
28,normal,maze,100,177.8,direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_08_direct_normal_pure_extra_rect_maze_long_chain_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,direct_normal:maze_long_chain:g15,ok,0.982,15,6.86
29,normal,section,104,152.7,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_72_direct_normal_rect_section_unlock_g1_v08.asset,direct_normal_candidates,direct_normal:section_unlock:g1,ok,0.979,25,9.63
30,hard,section,124,176.6,direct_normal_117_direct_normal_rect_dual_zone_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_117_direct_normal_rect_dual_zone_g5_v12.asset,direct_normal_candidates,direct_normal:dual_zone:g5,ok,0.989,24,7.13
31,refresh,dense,78,172.9,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_slice04_candidates,asset:direct_pure_topup_04_17_direct_n,ok,0.986,14,7.19
32,normal,lock,101,176.1,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal_candidates,direct_normal:core_burst:g0,ok,0.988,16,7.28
33,normal,sweep,108,166.0,direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04.asset,direct_normal_topup_candidates,direct_normal:sweep:g9,ok,0.984,13,7.91
34,hard,dense,127,165.3,direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01.asset,direct_polish_clean_candidates,direct_polish:dense_weave:g0,ok,0.982,19,9.58
35,refresh,maze,83,156.9,direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06.asset,direct_pure_topup_slice05_candidates,direct_normal:maze_long_chain:g11,ok,0.982,14,6.92
36,hard,lock,137,161.0,direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_20_direct_polish_normal_rect_lock_buckle_g2_v03.asset,direct_polish_clean_candidates,direct_polish:lock_buckle:g2,ok,0.976,17,8.25
37,normal,section,104,151.7,direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_45_direct_normal_topup_rect_dual_zone_g11_v06.asset,direct_normal_topup_candidates,direct_normal:dual_zone:g11,ok,0.985,20,8.55
38,normal,dense,108,161.6,direct_normal_124_direct_normal_rect_dense_weave_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_124_direct_normal_rect_dense_weave_g0_v13.asset,direct_normal_candidates,direct_normal:dense_weave:g0,ok,0.982,13,7.95
39,hard,sweep,126,164.4,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,direct_pure_topup_slice10_candidates,asset:direct_pure_topup_10_18_direct_p,ok,0.974,20,10.44
40,normal,maze,110,157.8,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset,direct_normal_candidates,direct_normal:maze_long_chain:g4,ok,0.983,19,8.69
41,normal,lock,108,169.3,direct_normal_topup_36_direct_normal_topup_rect_core_burst_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_36_direct_normal_topup_rect_core_burst_g10_v05.asset,direct_normal_topup_candidates,direct_normal:core_burst:g10,ok,0.984,16,6.87
42,hard,section,133,150.8,direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01.asset,direct_polish_clean_candidates,direct_polish:stair_push:g0,ok,0.980,22,13.05
43,normal,sweep,111,142.4,direct_normal_131_direct_normal_rect_outer_shell_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_131_direct_normal_rect_outer_shell_g1_v14.asset,direct_normal_candidates,asset:direct_normal_131_direct_normal_,ok,0.987,16,10.79
44,hard,maze,129,168.9,direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_18_direct_polish_normal_rect_maze_long_chain_g1_v02.asset,direct_polish_clean_candidates,direct_polish:maze_long_chain:g1,ok,0.974,13,8.55
45,normal,section,99,162.5,direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_14_direct_normal_pure_extra_rect_stair_push_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,direct_normal:stair_push:g16,ok,0.986,15,6.79
46,hard,lock,154,162.9,direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_02_direct_polish_hard_pure_rect_lock_buckle_g9_v01.asset,direct_pure_topup_slice07_candidates,direct_polish:lock_buckle:g9,ok,0.976,25,15.40
47,normal,maze,108,167.9,direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,direct_normal:maze_long_chain:g17,ok,0.988,20,7.52
48,hard,sweep,130,158.9,direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08.asset,direct_pure_topup_slice10_candidates,direct_polish:sweep:g10,ok,0.965,22,9.25
49,normal,section,114,166.1,direct_normal_17_direct_normal_rect_dual_zone_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_17_direct_normal_rect_dual_zone_g1_v02.asset,direct_normal_candidates,direct_normal:dual_zone:g1,ok,0.982,21,6.89
50,hard,section,136,160.2,direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_11_direct_polish_hard_pure_rect_dual_zone_g12_v04.asset,direct_pure_topup_slice08_candidates,direct_polish:dual_zone:g12,ok,0.978,18,11.64
