order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,slotRole,relativeDifficulty,template,styleKey,pressureScore
11,front20,11,normal,128,level3_thirty_03_level3_thirty_mini_maze_30,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset,normal_campaign500,12,18,31,0.968,,,,,,level3-thirty-mini-maze-30,level3-thirty-mini-maze-30,True,128,level3-thirty-mini-maze-30,FixedFront40,Recovery,FixedFront40,normal,54.0
12,refresh,12,normal,153,nomask_style_expansion_23_center_cross_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset,normal_campaign500,17,24,50,,,,,,,fixed_front20:normal_campaign500:63,fixed_front20,True,153,fixed_front20,FixedFront40,Normal,FixedFront40,normal_campaign500,77.5
13,refresh,13,shape,130,r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset,shape_early_prop,24,24,37,,,,,,,fixed_front20:shape_early_prop:4,fixed_front20,True,130,fixed_front20,FixedFront40,Novelty,FixedFront40,shape_early_prop,29.2
14,refresh,14,normal,121,nomask_06_sweep,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset,normal_campaign500,15,21,42,,,,,,,fixed_front20:normal_campaign500:83,fixed_front20,True,121,fixed_front20,FixedFront40,Recovery,FixedFront40,normal_campaign500,63.8
15,refresh,15,section,147,direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset,direct_pure_topup_slice02_candidates,14,26,53,0.975,0.961,13,9.32,9,120,front20_replace:direct_refresh:dual_zone:g4,fixed_front20_replace,True,182.4,ok,FixedFront40,Pressure,FixedFront40,direct_refresh,48.7
16,normal,16,lock,180,direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset,direct_pure_topup_slice02_candidates,15,29,54,0.979,1.000,12,4.87,12,148,front20_replace:direct_refresh:core_burst:g3,fixed_front20_replace,True,184.6,ok,FixedFront40,Pressure,FixedFront40,direct_refresh,66.0
17,front20,17,hole_rescue,91,r1_ab_091_above300_level_571_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset,hole_mask_early_30_40,18,20,37,0.542,,,,,,early30to40-hole-17,early30to40-hole-17,True,91,early30to40-hole-17,FixedFront40,Mechanic,FixedFront40,hole_rescue,53.4
18,normal,18,normal,155,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,normal_campaign500,18,25,53,,,,,,,fixed_front20:normal_campaign500:13,fixed_front20,True,155,fixed_front20,FixedFront40,Normal,FixedFront40,normal_campaign500,80.9
19,very_hard,19,lock,386,direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset,direct_pure_topup_slice06_candidates,19,37,94,0.986,1.000,11,9.45,20,426,front20_replace:direct_normal:lock_buckle:g8,fixed_front20_replace,True,190.0,ok,FixedFront40,VeryHard,FixedFront40,direct_normal,146.0
20,refresh,20,shell,112,nomask_01_outer_shell,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset,no_mask_type_preview,15,22,41,0.991,1.000,8,5.54,9,103,front20_replace:asset:nomask_01_outer_shell,fixed_front20_replace,True,180.9,ok,FixedFront40,Recovery,FixedFront40,asset,43.6
21,refresh,17,sweep,181.1,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,no_mask_style_preview,16,24,44,0.997,1.000,12,6.25,7,72,motif:snake_spine,ok,True,185.0,ok,FixedFront40,Normal,FixedFront40,snake_spine,51.1
22,refresh,522,section,150.5,nomask_style_expansion_26_stair_ladder_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset,no_mask_style_expansion_preview,16,24,55,0.987,1.000,14,8.53,10,154,motif:stair_ladder,ok,True,185.4,ok,FixedFront40,Normal,FixedFront40,stair_ladder,52.5
23,shape,77,shape_magic,220,r2_outer_strong_005_r2_006_a401_procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_79_long_maskproceduralvertical_30x44-mainmagicquilltall_20260611_111340.asset,shape_final_with_supplement,30,44,80,0.503,,12,10.00,,0.12,shape:Magic:SpecialShape,NoRisk,True,220,MagicShape,FixedFront40,Normal,FixedFront40,Magic,84.8
24,refresh,94,section,160.4,direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset,direct_pure_topup_slice05_candidates,18,37,82,0.983,1.000,14,6.27,18,330,direct_normal:section_unlock:g9,ok,True,188.4,long-straight-run,FixedFront40,Normal,FixedFront40,section_unlock,91.5
25,normal,170,lock,153.1,direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,21,35,98,0.990,0.991,13,9.42,23,520,direct_normal:lock_buckle:g16,ok,True,190.5,ok,FixedFront40,Normal,FixedFront40,lock_buckle,108.6
26,refresh,98,sweep,160.0,direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08.asset,direct_pure_topup_slice06_candidates,18,34,83,0.975,0.990,17,8.23,15,306,direct_normal:sweep:g7,ok,True,187.3,ok,FixedFront40,Normal,FixedFront40,sweep,83.9
27,shape,4,shape_magic,160,r1_outer_strong_051_r1_089_a565_maskpatch,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/tallfit_04_masktallfit_22x32-torchtall_r1_outer_strong_051_r1_089_a565_MaskTallFit_22x32-TorchTall_20260610_204127.asset,tall_fit_shape_preview_pack,22,32,60,0.942,,0,,,0,shape:Magic:TorchTall:tallfit,LightShape,True,160,ShapeLight,FixedFront40,Normal,FixedFront40,Magic,57.6
28,normal,122,maze,213.0,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_pure_topup_slice02_candidates,17,29,63,0.988,1.000,7,5.06,11,259,direct_refresh:maze_long_chain:g5,ok,True,186.5,ok,FixedFront40,Normal,FixedFront40,maze_long_chain,91.5
29,normal,201,dense,145.4,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,20,34,99,0.982,0.981,21,9.72,18,363,direct_normal:dense_weave:g19,ok,True,189.4,ok,FixedFront40,Normal,FixedFront40,dense_weave,91.0
30,normal,129,lock,199.2,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal_topup_candidates,23,37,106,0.981,1.000,8,5.26,24,598,direct_normal:core_burst:g8,ok,True,191.0,ok,FixedFront40,Normal,FixedFront40,core_burst,142.1
31,refresh,517,sweep,152.1,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_pure_topup_slice01_candidates,14,28,61,0.972,0.988,18,9.16,10,142,direct_refresh:sweep:g0,ok,True,184.2,ok,FixedFront40,Normal,FixedFront40,sweep,51.7
32,refresh,2,shape_magic,228,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape_final_with_supplement,28,40,83,,,,,,,shape_magic:Magic:2,MagicShape,True,228,MagicShape,FixedFront40,Normal,FixedFront40,Magic,92.8
33,refresh,40,dense,172.9,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_slice04_candidates,19,33,78,0.986,0.990,14,7.19,14,305,asset:direct_pure_topup_04_17_direct_n,ok,True,187.6,ok,FixedFront40,Normal,FixedFront40,direct_pure_topup_04_17_direct_n,87.3
34,refresh,510,lock,153.4,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_pure_topup_slice04_candidates,20,37,93,0.980,0.982,17,7.33,20,448,direct_normal:lock_buckle:g6,ok,True,188.5,ok,FixedFront40,Normal,FixedFront40,lock_buckle,99.3
35,refresh,501,dense,154.7,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_pure_topup_slice01_candidates,17,29,65,0.982,0.989,18,8.38,12,201,direct_refresh:dense_weave:g1,ok,True,185.6,ok,FixedFront40,Normal,FixedFront40,dense_weave,59.6
36,normal,121,lock,218.6,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,19,33,83,0.984,1.000,7,5.73,18,330,direct_normal:core_burst:g16,ok,True,188.5,ok,FixedFront40,Normal,FixedFront40,core_burst,113.8
37,normal,6,hole_rescue,249,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset,hole_mask_early_front,20,24,51,0.623,,0,,,,hole_mask_early_front:6,non-procedural-hole,True,249,hole_mask,FixedFront40,Normal,FixedFront40,6,95.8
38,shape,6,shape_magic,224,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape_final_with_supplement,30,42,88,0.574,,12,10.00,,0.12,shape:Magic:SpecialShape,NoRisk,True,224,MagicShape,FixedFront40,Normal,FixedFront40,Magic,93.5
39,normal,157,lock,176.1,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal_candidates,22,35,101,0.988,1.000,16,7.28,21,493,direct_normal:core_burst:g0,ok,True,191.1,ok,FixedFront40,Normal,FixedFront40,core_burst,114.4
40,normal,10,lock,199.1,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_pure_topup_slice05_candidates,22,33,103,0.988,1.000,13,5.09,22,527,direct_normal:lock_buckle:g10,ok;front40-hard-peak,True,191.2,ok,FixedFront40,Normal,FixedFront40,lock_buckle,129.9
41,refresh,73,dense,165.1,direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset,direct_pure_topup_slice03_candidates,14,28,62,0.974,0.975,13,8.23,12,164,asset:direct_pure_topup_03_17_direct_r,ok,True,184.0,ok,Recovery,Recovery,B_peak7_front50_manual,direct_pure_topup_03_17_direct_r,64.4
42,refresh,0,dense,146.7,direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset,direct_pure_topup_slice04_candidates,19,33,80,0.986,0.990,18,9.93,14,249,direct_normal:dense_weave:g7,ok,True,187.9,ok,Normal,Normal,B_peak7_front50_manual,dense_weave,72.0
43,refresh,79,shape_magic,231,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,shape_final_with_supplement,32,42,87,,,,,,,shape_magic:Magic:79,MagicShape,True,231,MagicShape,Shape,Novelty,B_peak7_front50_manual,Magic,97.4
44,normal,22,section,185.8,direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,20,32,86,0.981,1.000,12,6.00,21,343,direct_normal:quasi_symmetry:g15,ok,True,188.6,ok,Pressure,Hard,B_peak7_front50_manual,quasi_symmetry,103.8
45,refresh,64,lock,167.3,direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset,direct_pure_topup_slice05_candidates,19,32,74,0.974,0.980,15,7.88,13,239,direct_normal:lock_buckle:g9,ok,True,185.6,ok,Recovery,Recovery,B_peak7_front50_manual,lock_buckle,77.3
46,refresh,49,section,170.2,direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09.asset,direct_pure_topup_slice06_candidates,18,33,73,0.993,1.000,16,7.73,14,238,direct_normal:dual_zone:g8,ok,True,188.2,ok,Normal,Normal,B_peak7_front50_manual,dual_zone,75.7
47,normal,189,lock,149.8,direct_normal_73_direct_normal_rect_lock_buckle_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset,direct_normal_candidates,23,40,118,0.982,1.000,12,8.01,25,603,direct_normal:lock_buckle:g1,ok,True,192.5,ok,Peak,VeryHard,B_peak7_front50_manual,lock_buckle,134.9
48,refresh,80,shape_magic,233,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,shape_final_with_supplement,32,44,88,,,,,,,shape_magic:Magic:80,MagicShape,True,233,MagicShape,Shape,Novelty,B_peak7_front50_manual,Magic,98.7
49,normal,21,section,186.3,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset,direct_pure_normal_extra_slice01_candidates,20,34,89,0.984,0.990,13,6.10,20,387,direct_normal:quasi_symmetry:g17,ok,True,188.8,ok,Pressure,Hard,B_peak7_front50_manual,quasi_symmetry,106.9
50,refresh,72,sweep,165.4,nomask_style_expansion_35_zig_river_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset,no_mask_style_expansion_preview,18,30,67,0.976,0.978,12,8.07,13,184,motif:zig_river,ok,True,184.9,long-straight-run,Recovery,Recovery,B_peak7_front50_manual,zig_river,71.9
51,refresh,0,maze,126.4,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_pure_topup_slice06_candidates,18,34,85,0.962,0.940,22,10.68,11,280,direct_normal:maze_long_chain:g6,ok,True,184.1,too-open,Recovery,Recovery,C_double_wave,maze_long_chain,67.5
52,refresh,0,lock,138.1,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset,direct_pure_topup_slice06_candidates,22,31,87,0.977,0.980,18,9.17,13,358,asset:direct_pure_topup_06_17_direct_n,ok,True,187.4,long-straight-run,Pressure,Hard,C_double_wave,direct_pure_topup_06_17_direct_n,82.7
53,normal,1,shape_space,248,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape_final_with_supplement,30,42,86,0.981,,12,10.32,,10.9,shape:Space:sci-fi:vehicle:procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,True,248,Normal,Shape,Novelty,C_double_wave,Space,95.6
54,refresh,0,sweep,122.3,direct_pure_topup_06_01_direct_normal_pure_rect_outer_shell_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_01_direct_normal_pure_rect_outer_shell_g6_v07.asset,direct_pure_topup_slice06_candidates,21,37,97,0.981,0.964,25,10.37,15,320,asset:direct_pure_topup_06_01_direct_n,ok,True,188.3,too-open|long-straight-run,Recovery,Recovery,C_double_wave,direct_pure_topup_06_01_direct_n,76.5
55,normal,0,section,139.0,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,20,35,94,0.977,1.000,20,12.49,19,362,direct_normal:dual_zone:g16,ok,True,189.2,ok,Normal,Normal,C_double_wave,dual_zone,81.2
56,refresh,0,dense,141.3,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset,direct_pure_topup_slice05_candidates,22,34,96,0.981,0.981,18,8.06,21,416,asset:direct_pure_topup_05_01_direct_n,ok,True,189.0,long-straight-run,Pressure,Hard,C_double_wave,direct_pure_topup_05_01_direct_n,96.3
57,refresh,0,section,145.7,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset,direct_pure_topup_slice06_candidates,18,34,84,0.982,1.000,15,8.02,17,279,direct_normal:section_unlock:g8,ok,True,188.5,ok,Normal,Normal,C_double_wave,section_unlock,84.6
58,normal,94,shape_symbol,243,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape_final_with_supplement,30,42,87,0.988,,12,10.32,,11.1,shape:Symbol:letters-symbols:symbol:procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,True,243,Normal,Shape,Novelty,C_double_wave,Symbol,95.7
59,refresh,61,lock,167.5,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset,direct_pure_topup_slice04_candidates,18,38,89,0.982,0.991,14,6.21,20,455,direct_normal:lock_buckle:g7,ok,True,188.7,ok,Peak,VeryHard,C_double_wave,lock_buckle,104.3
60,refresh,0,section,136.5,nomask_style_06_stair_ladder,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset,no_mask_style_preview,16,24,59,0.964,0.947,18,10.07,7,120,motif:stair_ladder,ok,True,181.4,ok,Recovery,Recovery,C_double_wave,stair_ladder,44.4
