order,slotRole,relativeDifficulty,target,bucket,type,chains,levelId,note
48,Shape,Novelty,B_peak7_front50_manual,refresh,shape_magic,88,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,shape_final_with_supplement;Magic;rhythm-v3
49,Pressure,Hard,B_peak7_front50_manual,normal,section,89,direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03,direct_pure_normal_extra_slice01_candidates;quasi_symmetry;rhythm-v3
50,Recovery,Recovery,B_peak7_front50_manual,refresh,sweep,67,nomask_style_expansion_35_zig_river_tall,no_mask_style_expansion_preview;zig_river;rhythm-v3
51,Recovery,Recovery,C_double_wave,refresh,maze,85,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,direct_pure_topup_slice06_candidates;maze_long_chain;rhythm-v3
52,Pressure,Hard,C_double_wave,refresh,lock,87,direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09,direct_pure_topup_slice06_candidates;direct_pure_topup_06_17_direct_n;rhythm-v3
53,Shape,Novelty,C_double_wave,normal,shape_space,86,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,shape_final_with_supplement;Space;rhythm-v3
54,HoleRescue,Mechanic,hole10_block_51_60,normal,hole_rescue,43,hole_topup_001_topup_tall_18x26_dense,direct_pure_topup_slice06_candidates;direct_pure_topup_06_01_direct_n;rhythm-v3;hole10-v4|DenseWeave|old=sweep:direct_pure_topup_06_01_direct_normal_pure_rect_outer_shell_g6_v07
55,Normal,Normal,C_double_wave,normal,section,94,direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02,direct_pure_normal_extra_slice01_candidates;dual_zone;rhythm-v3
56,Pressure,Hard,C_double_wave,refresh,dense,96,direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04,direct_pure_topup_slice05_candidates;direct_pure_topup_05_01_direct_n;rhythm-v3
57,Normal,Normal,C_double_wave,refresh,section,84,direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09,direct_pure_topup_slice06_candidates;section_unlock;rhythm-v3
58,Shape,Novelty,C_double_wave,normal,shape_symbol,87,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,shape_final_with_supplement;Symbol;rhythm-v3
59,Peak,VeryHard,C_double_wave,refresh,lock,89,direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02,direct_pure_topup_slice04_candidates;lock_buckle;rhythm-v3
60,Recovery,Recovery,C_double_wave,refresh,section,59,nomask_style_06_stair_ladder,no_mask_style_preview;stair_ladder;rhythm-v3
61,HoleRescue,Mechanic,hole10_block_61_70,normal,hole_rescue,43,hole_candidate_057_tall_18x26_lock,hole_procedural_candidates;standard_20x24_small;rhythm-v3;hole10-v4|LockBuckle|old=hole_rescue:hole_proc_standard_20x24_small_917275_20x24_c65
62,Normal,Normal,D_visual_middle,refresh,dense,63,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,direct_pure_topup_slice02_candidates;direct_pure_topup_02_01_direct_r;rhythm-v3
63,Shape,Novelty,D_visual_middle,shape,shape_nature,90,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,shape_final_with_supplement;Nature;rhythm-v3
64,Normal,Normal,D_visual_middle,refresh,maze,66,nomask_style_expansion_20_long_corridor_b,no_mask_style_expansion_preview;long_corridor;rhythm-v3
65,Pressure,Hard,D_visual_middle,normal,lock,104,direct_normal_23_direct_normal_rect_lock_buckle_g2_v03,direct_normal_candidates;lock_buckle;rhythm-v3
66,Recovery,Recovery,D_visual_middle,refresh,sweep,89,direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03,direct_pure_topup_slice04_candidates;sweep;rhythm-v3
67,Shape,Novelty,D_visual_middle,normal,shape_symbol,86,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,shape_final_with_supplement;Symbol;rhythm-v3
68,Normal,Normal,D_visual_middle,refresh,lock,59,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,direct_pure_topup_slice03_candidates;core_burst;rhythm-v3
69,Pressure,Hard,D_visual_middle,refresh,section,100,direct_normal_48_direct_normal_rect_stair_push_g4_v05,direct_normal_candidates;stair_push;rhythm-v3
70,Normal,Normal,D_visual_middle,normal,section,103,direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14,direct_normal_candidates;quasi_symmetry;rhythm-v3
71,HoleRescue,Mechanic,hole10_block_71_80,normal,hole_rescue,45,hole_candidate_019_std_22x24_section,direct_pure_topup_slice03_candidates;direct_pure_topup_03_09_direct_r;rhythm-v3;hole10-v4|SectionUnlock|old=dense:direct_pure_topup_03_09_direct_refresh_topup_rect_outer_shell_g1_v08
72,Pressure,Hard,E_early_peak,normal,lock,104,direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09,direct_normal_topup_candidates;lock_buckle;rhythm-v3
73,Shape,Novelty,E_early_peak,normal,shape_symbol,90,r2_outer_strong_005_r2_006_a401_procmask_92_onion_maskproceduralvertical_28x42-maindistinctcrescenttall,shape_final_with_supplement;Symbol;rhythm-v3
74,Normal,Normal,E_early_peak,normal,section,87,direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03,direct_pure_normal_extra_slice01_candidates;dual_zone;rhythm-v3
75,Recovery,Recovery,E_early_peak,normal,sweep,103,direct_normal_121_direct_normal_rect_outer_shell_g0_v13,direct_normal_candidates;direct_normal_121_direct_normal_;rhythm-v3
76,Peak,VeryHard,E_early_peak,normal,section,94,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,direct_pure_normal_extra_slice02_candidates;stair_push;rhythm-v3
77,Normal,Normal,E_early_peak,refresh,lock,48,nomask_style_expansion_33_double_room_lock_tall,no_mask_style_expansion_preview;double_room_lock;rhythm-v3
78,Shape,Novelty,E_early_peak,normal,shape_music,92,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,shape_final_with_supplement;Music;rhythm-v3
79,Recovery,Recovery,E_early_peak,refresh,maze,58,nomask_style_expansion_19_long_corridor_a,no_mask_style_expansion_preview;long_corridor;rhythm-v3
80,Normal,Normal,E_early_peak,refresh,section,89,direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07,direct_pure_topup_slice06_candidates;section_unlock;rhythm-v3
81,Recovery,Recovery,A_peak9,refresh,sweep,46,nomask_style_expansion_04_snake_spine_a,no_mask_style_expansion_preview;snake_spine;rhythm-v3
82,HoleRescue,Mechanic,hole10_block_81_90,normal,hole_rescue,45,hole_candidate_018_std_22x24_lock,hole_procedural_candidates;standard_21x25_small;rhythm-v3;hole10-v4|LockBuckle|old=hole_rescue:hole_proc_standard_21x25_small_918321_21x25_c69
83,Shape,Novelty,A_peak9,normal,shape_symbol,91,r2_outer_strong_005_r2_006_a401_procmask_11_onion_maskproceduralvertical_30x40-mainhearttall,shape_final_with_supplement;Symbol;rhythm-v3
84,Pressure,Hard,A_peak9,normal,lock,88,direct_pure_normal_extra_01_04_direct_normal_pure_extra_rect_core_burst_g15_v01,direct_pure_normal_extra_slice01_candidates;core_burst;rhythm-v3
85,Recovery,Recovery,A_peak9,refresh,maze,92,direct_pure_topup_04_08_direct_normal_pure_rect_maze_long_chain_g6_v01,direct_pure_topup_slice04_candidates;maze_long_chain;rhythm-v3
86,Normal,Normal,A_peak9,refresh,dense,55,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,direct_pure_topup_slice01_candidates;direct_pure_topup_01_17_direct_r;rhythm-v3
87,Shape,Novelty,A_peak9,shape,shape_object,95,r2_outer_strong_005_r2_006_a401_procmask_46_long_maskproceduralvertical_30x40-mainpaintpalettetall,shape_final_with_supplement;Art;rhythm-v3
88,Pressure,Hard,A_peak9,normal,section,101,direct_normal_28_direct_normal_rect_stair_push_g2_v03,direct_normal_candidates;stair_push;rhythm-v3
89,Peak,VeryHard,A_peak9,refresh,lock,100,direct_normal_topup_34_direct_normal_topup_rect_lock_buckle_g10_v05,direct_normal_topup_candidates;lock_buckle;rhythm-v3
90,Normal,Normal,A_peak9,refresh,section,98,direct_pure_topup_04_15_direct_normal_pure_rect_dual_zone_g7_v02,direct_pure_topup_slice04_candidates;dual_zone;rhythm-v3
91,HoleRescue,Mechanic,hole10_block_91_100,normal,hole_rescue,47,hole_candidate_071_wide_26x22_maze,no_mask_style_expansion_preview;long_corridor;rhythm-v3;hole10-v4|MazeLongChain|old=maze:nomask_style_expansion_21_long_corridor_mid
92,Normal,Normal,F_chapter_breath,refresh,lock,48,nomask_style_expansion_30_vertical_gate_a,no_mask_style_expansion_preview;vertical_gate;rhythm-v3
93,Shape,Novelty,F_chapter_breath,normal,shape_symbol,92,r2_outer_strong_005_r2_006_a401_procmask_13_onion_maskproceduralvertical_28x42-mainlightningtall,shape_final_with_supplement;Symbol;rhythm-v3
94,Pressure,Hard,F_chapter_breath,normal,section,107,direct_normal_112_direct_normal_rect_section_unlock_g5_v12,direct_normal_candidates;section_unlock;rhythm-v3
95,Normal,Normal,F_chapter_breath,refresh,dense,61,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,direct_pure_topup_slice02_candidates;dense_weave;rhythm-v3
96,Peak,VeryHard,F_chapter_breath,normal,section,110,direct_normal_topup_13_direct_normal_topup_rect_dual_zone_g7_v02,direct_normal_topup_candidates;dual_zone;rhythm-v3
97,Recovery,Recovery,F_chapter_breath,normal,sweep,102,direct_pure_topup_05_05_direct_normal_pure_rect_sweep_g9_v04,direct_pure_topup_slice05_candidates;sweep;rhythm-v3
98,Shape,Novelty,F_chapter_breath,normal,shape_music,94,r2_outer_strong_005_r2_006_a401_procmask_45_long_maskproceduralvertical_28x42-mainmicrophonetall,shape_final_with_supplement;Music;rhythm-v3
99,Normal,Normal,F_chapter_breath,normal,section,101,direct_normal_topup_07_direct_normal_topup_rect_quasi_symmetry_g6_v01,direct_normal_topup_candidates;quasi_symmetry;rhythm-v3
100,Normal,Normal,F_chapter_breath,refresh,lock,51,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,direct_pure_topup_slice01_candidates;lock_buckle;rhythm-v3
101,HoleRescue,Mechanic,hole10_block_101_110,normal,hole_rescue,47,hole_candidate_020_std_22x24_dense,no_mask_style_expansion_preview;zig_river;rhythm-v3;hole10-v4|DenseWeave|old=sweep:nomask_style_expansion_18_zig_river_mid
102,Normal,Normal,B_peak7_end_calm,refresh,dense,57,direct_pure_topup_01_09_direct_refresh_topup_rect_outer_shell_g1_v02,direct_pure_topup_slice01_candidates;direct_pure_topup_01_09_direct_r;rhythm-v3
103,Shape,Novelty,B_peak7_end_calm,shape,shape_ocean,93,r2_outer_strong_005_r2_006_a401_procmask_68_onion_maskproceduralvertical_30x42-mainoceandriftbottletall,shape_final_with_supplement;Ocean;rhythm-v3
104,Pressure,Hard,B_peak7_end_calm,normal,lock,102,direct_normal_topup_20_direct_normal_topup_rect_core_burst_g8_v03,direct_normal_topup_candidates;core_burst;rhythm-v3
105,Recovery,Recovery,B_peak7_end_calm,normal,maze,108,direct_normal_60_direct_normal_rect_maze_long_chain_g5_v06,direct_normal_candidates;maze_long_chain;rhythm-v3
106,Normal,Normal,B_peak7_end_calm,refresh,section,86,direct_pure_topup_05_07_direct_normal_pure_rect_dual_zone_g9_v04,direct_pure_topup_slice05_candidates;dual_zone;rhythm-v3
107,Peak,VeryHard,B_peak7_end_calm,normal,lock,105,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,direct_normal_candidates;lock_buckle;rhythm-v3
108,Shape,Novelty,B_peak7_end_calm,normal,shape_symbol,93,r2_outer_strong_005_r2_006_a401_procmask_qd_108_onion_maskproceduralvertical_28x42-maindistinctdigit2tall,shape_final_with_supplement;Symbol;rhythm-v3
109,Pressure,Hard,B_peak7_end_calm,normal,section,108,direct_normal_topup_31_direct_normal_topup_rect_quasi_symmetry_g9_v04,direct_normal_topup_candidates;quasi_symmetry;rhythm-v3
110,Recovery,Recovery,B_peak7_end_calm,normal,section,104,direct_normal_72_direct_normal_rect_section_unlock_g1_v08,direct_normal_candidates;section_unlock;rhythm-v3
111,Recovery,Recovery,C_double_wave,refresh,dense,89,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,direct_pure_topup_slice05_candidates;dense_weave;rhythm-v3
112,Pressure,Hard,C_double_wave,normal,lock,108,direct_pure_topup_06_22_direct_normal_pure_rect_core_burst_g8_v09,direct_pure_topup_slice06_candidates;core_burst;rhythm-v3
113,Shape,Novelty,C_double_wave,shape,shape_magic,98,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,shape_final_with_supplement;Magic;rhythm-v3
114,Recovery,Recovery,C_double_wave,refresh,maze,94,direct_pure_topup_04_16_direct_normal_pure_rect_maze_long_chain_g7_v02,direct_pure_topup_slice04_candidates;maze_long_chain;rhythm-v3
115,Normal,Normal,C_double_wave,refresh,section,74,direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02,direct_pure_normal_extra_slice01_candidates;quasi_symmetry;rhythm-v3
116,Pressure,Hard,C_double_wave,refresh,lock,89,direct_pure_topup_05_19_direct_normal_pure_rect_lock_buckle_g11_v06,direct_pure_topup_slice05_candidates;lock_buckle;rhythm-v3
117,HoleRescue,Mechanic,hole10_block_111_120,normal,hole_rescue,49,hole_topup_018_topup_std_22x26_dual,hole_procedural_candidates;standard_22x26_mid;rhythm-v3;hole10-v4|DualZone|old=hole_rescue:hole_proc_standard_22x26_mid_918849_22x26_c74
118,Shape,Novelty,C_double_wave,normal,shape_ocean,96,r2_outer_strong_005_r2_006_a401_procmask_99_long_maskproceduralvertical_30x44-maindistinctjellyfishtall,shape_final_with_supplement;Ocean;rhythm-v3
119,Peak,VeryHard,C_double_wave,normal,section,102,direct_normal_32_direct_normal_rect_section_unlock_g3_v04,direct_normal_candidates;section_unlock;rhythm-v3
120,Recovery,Recovery,C_double_wave,normal,sweep,106,direct_normal_65_direct_normal_rect_sweep_g0_v07,direct_normal_candidates;sweep;rhythm-v3
121,Recovery,Recovery,D_visual_middle,refresh,maze,51,nomask_04_maze_long_chain,no_mask_type_preview;maze_long_chain;rhythm-v3
122,Normal,Normal,D_visual_middle,normal,dense,89,direct_pure_normal_extra_01_19_direct_normal_pure_extra_rect_dense_weave_g17_v03,direct_pure_normal_extra_slice01_candidates;dense_weave;rhythm-v3
123,Shape,Novelty,D_visual_middle,normal,shape_magic,92,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,shape_final_with_supplement;Magic;rhythm-v3
124,Normal,Normal,D_visual_middle,normal,section,105,direct_normal_topup_79_direct_normal_topup_rect_quasi_symmetry_g9_v10,direct_normal_topup_candidates;quasi_symmetry;rhythm-v3
125,Pressure,Hard,D_visual_middle,normal,lock,93,direct_pure_normal_extra_01_20_direct_normal_pure_extra_rect_core_burst_g17_v03,direct_pure_normal_extra_slice01_candidates;core_burst;rhythm-v3
126,HoleRescue,Mechanic,hole10_block_121_130,normal,hole_rescue,50,hole_candidate_016_std_20x26_section,direct_normal_topup_candidates;sweep;rhythm-v3;hole10-v4|SectionUnlock|old=sweep:direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03
127,Shape,Novelty,D_visual_middle,normal,shape_character,99,r2_outer_strong_005_r2_006_a401_procmask_36_long_maskproceduralvertical_30x42-mainowltall,shape_final_with_supplement;Character;rhythm-v3
128,Normal,Normal,D_visual_middle,refresh,lock,79,direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07,direct_pure_topup_slice06_candidates;lock_buckle;rhythm-v3
129,Pressure,Hard,D_visual_middle,normal,section,102,direct_normal_topup_30_direct_normal_topup_rect_stair_push_g9_v04,direct_normal_topup_candidates;stair_push;rhythm-v3
130,Normal,Normal,D_visual_middle,refresh,section,96,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,direct_pure_topup_slice06_candidates;dual_zone;rhythm-v3
131,Normal,Normal,E_early_peak,refresh,dense,81,direct_pure_topup_04_01_direct_normal_pure_rect_outer_shell_g6_v01,direct_pure_topup_slice04_candidates;direct_pure_topup_04_01_direct_n;rhythm-v3
132,Pressure,Hard,E_early_peak,refresh,lock,86,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,direct_pure_topup_slice04_candidates;core_burst;rhythm-v3
133,Shape,Novelty,E_early_peak,shape,shape_magic,95,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,shape_final_with_supplement;Magic;rhythm-v3
134,Normal,Normal,E_early_peak,refresh,maze,56,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,direct_pure_topup_slice01_candidates;maze_long_chain;rhythm-v3
135,HoleRescue,Mechanic,hole10_block_131_140,normal,hole_rescue,52,hole_topup_012_topup_tall_20x30_shell,direct_normal_candidates;sweep;rhythm-v3;hole10-v4|OuterShell|old=sweep:direct_normal_45_direct_normal_rect_sweep_g4_v05
136,Peak,VeryHard,E_early_peak,normal,section,113,direct_normal_39_direct_normal_rect_quasi_symmetry_g3_v04,direct_normal_candidates;quasi_symmetry;rhythm-v3
137,Normal,Normal,E_early_peak,refresh,lock,80,direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03,direct_pure_topup_slice04_candidates;lock_buckle;rhythm-v3
138,Shape,Novelty,E_early_peak,normal,shape_space,96,r2_outer_strong_005_r2_006_a401_procmask_supp_04_onion_maskfinalsupplement_30x42-mainspacecometicontall,shape_final_with_supplement;Space;rhythm-v3
139,Recovery,Recovery,E_early_peak,normal,section,101,direct_normal_68_direct_normal_rect_stair_push_g0_v07,direct_normal_candidates;stair_push;rhythm-v3
140,Normal,Normal,E_early_peak,normal,section,102,direct_normal_92_direct_normal_rect_section_unlock_g3_v10,direct_normal_candidates;section_unlock;rhythm-v3
141,Recovery,Recovery,A_peak9,normal,sweep,114,direct_normal_35_direct_normal_rect_sweep_g3_v04,direct_normal_candidates;sweep;rhythm-v3
142,HoleRescue,Mechanic,hole10_block_141_150,normal,hole_rescue,50,hole_candidate_038_std_26x24_dual,hole_procedural_candidates;standard_24x28_mid;rhythm-v3;hole10-v4|DualZone|old=hole_rescue:hole_proc_standard_24x28_mid_920423_24x28_c76
143,Shape,Novelty,A_peak9,normal,shape_magic,91,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,shape_final_with_supplement;Magic;rhythm-v3
144,Pressure,Hard,A_peak9,normal,lock,113,direct_normal_103_direct_normal_rect_lock_buckle_g4_v11,direct_normal_candidates;lock_buckle;rhythm-v3
145,Recovery,Recovery,A_peak9,normal,maze,95,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,direct_pure_normal_extra_slice02_candidates;maze_long_chain;rhythm-v3
146,Normal,Normal,A_peak9,refresh,dense,95,direct_pure_topup_06_12_direct_normal_pure_rect_dense_weave_g7_v08,direct_pure_topup_slice06_candidates;dense_weave;rhythm-v3
147,Shape,Novelty,A_peak9,shape,shape_landmark,101,r2_outer_strong_005_r2_006_a401_procmask_29_long_maskproceduralvertical_30x44-mainlibertystatuetall,shape_final_with_supplement;Landmark;rhythm-v3
148,Pressure,Hard,A_peak9,normal,section,105,direct_normal_08_direct_normal_rect_stair_push_g0_v01,direct_normal_candidates;stair_push;rhythm-v3
149,Peak,VeryHard,A_peak9,normal,lock,114,direct_normal_126_direct_normal_rect_core_burst_g0_v13,direct_normal_candidates;core_burst;rhythm-v3
150,Normal,Normal,A_peak9,normal,section,104,direct_normal_topup_65_direct_normal_topup_rect_section_unlock_g8_v09,direct_normal_topup_candidates;section_unlock;rhythm-v3
151,HoleRescue,Mechanic,hole10_block_151_160,normal,hole_rescue,51,hole_candidate_060_tall_20x28_lock,direct_normal_candidates;maze_long_chain;rhythm-v3;hole10-v4|LockBuckle|old=maze:direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03
152,Normal,Normal,F_chapter_breath,normal,lock,106,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,direct_normal_candidates;lock_buckle;rhythm-v3
153,Shape,Novelty,F_chapter_breath,normal,shape_character,101,r2_outer_strong_005_r2_006_a401_procmask_21_long_maskproceduralvertical_30x42-mainraisedhandmascottall,shape_final_with_supplement;Character;rhythm-v3
154,Pressure,Hard,F_chapter_breath,normal,section,113,direct_normal_98_direct_normal_rect_stair_push_g3_v10,direct_normal_candidates;stair_push;rhythm-v3
155,Normal,Normal,F_chapter_breath,normal,dense,84,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,direct_pure_normal_extra_slice02_candidates;dense_weave;rhythm-v3
156,Peak,VeryHard,F_chapter_breath,normal,section,108,direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03,direct_normal_candidates;quasi_symmetry;rhythm-v3
157,Recovery,Recovery,F_chapter_breath,refresh,sweep,84,direct_pure_topup_06_05_direct_normal_pure_rect_sweep_g6_v07,direct_pure_topup_slice06_candidates;sweep;rhythm-v3
158,Shape,Novelty,F_chapter_breath,normal,shape_symbol,100,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,shape_final_with_supplement;Symbol;rhythm-v3
159,Normal,Normal,F_chapter_breath,refresh,section,100,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,direct_normal_candidates;dual_zone;rhythm-v3
160,Normal,Normal,F_chapter_breath,refresh,lock,76,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,direct_pure_topup_slice04_candidates;core_burst;rhythm-v3
