"Slot","OrderHint","LevelId","Type","Chains","Width","Height","Score","PortableScore","Flags","Families","Path"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03","dense","55","16","28","182.5","185.4","ok","asset:direct_pure_topup_01_17_direct_r","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset"
"22-Observe","replace/keep current 65-chain dense","nomask_style_expansion_26_stair_ladder_a","section","55","16","24","150.5","185.4","ok","motif:stair_ladder","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_01_04_direct_refresh_topup_rect_dense_weave_g0_v01","dense","55","16","27","168.3","184.8","ok","direct_refresh:dense_weave:g0","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_04_direct_refresh_topup_rect_dense_weave_g0_v01.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_01_14_direct_refresh_topup_rect_core_burst_g1_v02","lock","55","17","25","162.0","184.6","ok","direct_refresh:core_burst:g1","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_14_direct_refresh_topup_rect_core_burst_g1_v02.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_02_23_direct_refresh_topup_rect_dual_zone_g5_v06","section","55","15","28","172.2","184.6","ok","direct_refresh:dual_zone:g5","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_23_direct_refresh_topup_rect_dual_zone_g5_v06.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_02_19_direct_refresh_topup_rect_lock_buckle_g5_v06","lock","55","15","24","163.1","183.1","ok","direct_refresh:lock_buckle:g5","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_19_direct_refresh_topup_rect_lock_buckle_g5_v06.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_03_18_direct_refresh_topup_rect_section_unlock_g2_v09","section","56","16","29","177.6","185.2","ok","direct_refresh:section_unlock:g2","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_18_direct_refresh_topup_rect_section_unlock_g2_v09.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_03_07_direct_refresh_topup_rect_dual_zone_g0_v07","section","56","16","24","204.2","185.2","ok","direct_refresh:dual_zone:g0","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_07_direct_refresh_topup_rect_dual_zone_g0_v07.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_01_20_direct_refresh_topup_rect_dense_weave_g2_v03","dense","56","14","25","176.4","183.5","ok","direct_refresh:dense_weave:g2","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_20_direct_refresh_topup_rect_dense_weave_g2_v03.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_03_01_direct_refresh_topup_rect_outer_shell_g0_v07","section","56","16","24","169.7","183.2","ok","asset:direct_pure_topup_03_01_direct_r","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_01_direct_refresh_topup_rect_outer_shell_g0_v07.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_03_24_direct_refresh_topup_rect_maze_long_chain_g2_v09","maze","56","16","29","168.9","183.2","ok","direct_refresh:maze_long_chain:g2","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_24_direct_refresh_topup_rect_maze_long_chain_g2_v09.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_02_18_direct_refresh_topup_rect_section_unlock_g5_v06","section","56","17","29","146.2","182.5","ok","direct_refresh:section_unlock:g5","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_18_direct_refresh_topup_rect_section_unlock_g5_v06.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_02_11_direct_refresh_topup_rect_lock_buckle_g4_v05","lock","56","14","28","153.9","181.5","ok","direct_refresh:lock_buckle:g4","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_11_direct_refresh_topup_rect_lock_buckle_g4_v05.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03","maze","56","14","29","176.7","179.7","ok","direct_refresh:maze_long_chain:g2","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset"
"22-Observe","replace/keep current 65-chain dense","direct_pure_topup_03_02_direct_refresh_topup_rect_section_unlock_g0_v07","section","57","14","25","185.3","185.6","ok","direct_refresh:section_unlock:g0","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_02_direct_refresh_topup_rect_section_unlock_g0_v07.asset"
"22-Observe","replace/keep current 65-chain dense","nomask_style_expansion_17_zig_river_b","sweep","57","18","27","153.8","185.2","ok","motif:zig_river","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_17_zig_river_b.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09","section","73","18","33","170.2","188.2","ok","direct_normal:dual_zone:g8","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_23_direct_normal_pure_rect_dual_zone_g8_v09.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02","section","74","18","33","164.9","187.4","ok","direct_normal:quasi_symmetry:g16","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_15_direct_normal_pure_extra_rect_quasi_symmetry_g16_v02.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04","lock","74","19","32","167.3","185.6","ok","direct_normal:lock_buckle:g9","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02","lock","76","21","31","177.5","186.0","ok","direct_normal:core_burst:g7","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04","maze","77","19","31","184.1","187.5","ok","direct_normal:maze_long_chain:g9","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_02_23_direct_normal_pure_extra_rect_quasi_symmetry_g20_v06","section","78","18","33","182.7","188.3","ok","direct_normal:quasi_symmetry:g20","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_23_direct_normal_pure_extra_rect_quasi_symmetry_g20_v06.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_01_17_direct_normal_pure_extra_rect_section_unlock_g17_v03","section","78","18","34","188.8","187.6","ok","direct_normal:section_unlock:g17","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_17_direct_normal_pure_extra_rect_section_unlock_g17_v03.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","dense","78","19","33","172.9","187.6","ok","asset:direct_pure_topup_04_17_direct_n","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_05_13_direct_normal_pure_rect_sweep_g10_v05","sweep","79","19","31","167.6","188.9","ok","direct_normal:sweep:g10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_13_direct_normal_pure_rect_sweep_g10_v05.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_05_18_direct_normal_pure_rect_section_unlock_g11_v06","section","79","19","31","151.7","188.3","ok","direct_normal:section_unlock:g11","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_18_direct_normal_pure_rect_section_unlock_g11_v06.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07","lock","79","18","35","153.2","187.2","ok","direct_normal:lock_buckle:g6","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_03_direct_normal_pure_rect_lock_buckle_g6_v07.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01","lock","80","19","34","172.7","188.8","ok","direct_normal:lock_buckle:g15","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02","dense","80","19","33","146.7","187.9","ok","direct_normal:dense_weave:g7","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03","lock","80","21","31","169.7","187.5","ok","direct_normal:lock_buckle:g8","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_19_direct_normal_pure_rect_lock_buckle_g8_v03.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_02_10_direct_normal_pure_extra_rect_lock_buckle_g19_v05","lock","80","19","32","202.1","186.8","ok","direct_normal:lock_buckle:g19","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_10_direct_normal_pure_extra_rect_lock_buckle_g19_v05.asset"
"24-30-SoftPool","use if smoothing 24-30","direct_pure_normal_extra_01_22_direct_normal_pure_extra_rect_stair_push_g17_v03","section","81","19","32","168.4","188.5","ok","direct_normal:stair_push:g17","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_22_direct_normal_pure_extra_rect_stair_push_g17_v03.asset"
