order,type,levelId,path,width,height,chains,bucket,families,qualityFlags
267,hole_rescue,hole_proc_standard_24x32_late_923033_24x32_c86,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923033_24x32_c86.asset,24,32,86,normal,hole_procedural:standard_24x32_late,procedural_hole_standard
292,hole_rescue,hole_proc_standard_24x32_late_923551_24x32_c91,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_923551_24x32_c91.asset,24,32,91,normal,hole_procedural:standard_24x32_late,procedural_hole_standard
317,hole_rescue,hole_proc_standard_24x30_mid_922505_24x30_c82,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x30_mid_922505_24x30_c82.asset,24,30,82,normal,hole_procedural:standard_24x30_mid,procedural_hole_standard
342,hole_rescue,hole_proc_standard_23x28_mid_920413_23x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_23x28_mid_920413_23x28_c81.asset,23,28,81,normal,hole_procedural:standard_23x28_mid,procedural_hole_standard
367,hole_rescue,hole_proc_standard_24x28_mid_920941_24x28_c81,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x28_mid_920941_24x28_c81.asset,24,28,81,normal,hole_procedural:standard_24x28_mid,procedural_hole_standard
392,hole_rescue,hole_proc_standard_22x26_mid_919367_22x26_c77,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_22x26_mid_919367_22x26_c77.asset,22,26,77,normal,hole_procedural:standard_22x26_mid,procedural_hole_standard
417,hole_rescue,hole_proc_standard_21x25_small_917285_21x25_c74,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_21x25_small_917285_21x25_c74.asset,21,25,74,normal,hole_procedural:standard_21x25_small,procedural_hole_standard
442,hole_rescue,hole_proc_standard_24x32_late_922515_24x32_c91,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_24x32_late_922515_24x32_c91.asset,24,32,91,normal,hole_procedural:standard_24x32_late,procedural_hole_standard
467,hole_rescue,hole_proc_standard_20x24_small_916239_20x24_c68,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_20x24_small_916239_20x24_c68.asset,20,24,68,normal,hole_procedural:standard_20x24_small,procedural_hole_standard
492,hole_rescue,hole_proc_standard_18x22_small_914147_18x22_c65,Assets/ArrowMagic/SOData/Levels/Production/HoleProcedural/Candidates/hole_proc_standard_18x22_small_914147_18x22_c65.asset,18,22,65,normal,hole_procedural:standard_18x22_small,procedural_hole_standard
