rank,selected,selectRank,selectStatus,bucket,type,score,levelId,path,packs,width,height,chains,tiles,coverage,aspect,outer1,outer2,maxOuterEmptyRun,holeScore,localEmpty8,centerEmpty,openers,avgChoices,minChoices,maxChoices,unlockBursts,maxUnlockBurst,keyLockSteps,firstOuter,lastOuter,endingShort,avgChain,maxChain,regionSwitches,dependencyBlocks,dependencyCycles,dependencyLayerStuck,dependencyMaxRayBlockers,edgeShort,edgeLong,maxEdgeRun,families,qualityFlags,portableValid,portableSolved,portableOpeners,portableScore,portableQuality,details
11,1,11,selected,refresh,section,184.5,nomask_09_stair_push,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_09_stair_push.asset,no_mask_type_preview,15,23,47,339,0.983,0.652,1.000,0.978,0,9.7,0.063,0.009,9,6.66,1,11,8,4,4,0.917,0.250,0.300,7.21,13,24,135,0,0,9,2,1,10,motif:stair_push,ok,True,True,9,184.1,ok,type=section; play=100.3; deps=135/0/0
12,1,12,selected,refresh,maze,184.1,direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_08_direct_normal_pure_rect_maze_long_chain_g9_v04.asset,direct_pure_topup_slice05_candidates,19,31,77,581,0.986,0.613,0.990,0.978,1,7.9,0.047,0.005,15,5.74,1,15,18,5,4,0.850,0.100,0.375,7.55,13,43,291,0,0,12,1,0,9,direct_normal:maze_long_chain:g9,ok,True,True,15,187.5,ok,type=dense; play=104.3; deps=291/0/0
13,1,13,selected,refresh,dense,182.5,direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_17_direct_refresh_topup_rect_outer_shell_g2_v03.asset,direct_pure_topup_slice01_candidates,16,28,55,442,0.987,0.571,1.000,1.000,0,10.0,0.047,0.021,10,5.82,1,12,13,3,4,0.929,0.071,0.273,8.04,13,41,163,0,0,11,1,2,12,asset:direct_pure_topup_01_17_direct_r,ok,True,True,10,185.4,ok,type=dense; play=106.0; deps=163/0/0
14,1,14,selected,refresh,dense,181.9,direct_pure_topup_02_20_direct_refresh_topup_rect_dense_weave_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_20_direct_refresh_topup_rect_dense_weave_g5_v06.asset,direct_pure_topup_slice02_candidates,17,25,53,418,0.984,0.680,0.988,0.993,1,12.0,0.063,0.029,13,6.51,1,13,8,3,2,0.857,0.286,0.455,7.89,13,34,126,0,0,8,3,0,9,direct_refresh:dense_weave:g5,ok,True,True,13,184.3,ok,type=dense; play=93.1; deps=126/0/0
15,1,15,selected,refresh,lock,181.7,direct_pure_topup_01_19_direct_refresh_topup_rect_lock_buckle_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_19_direct_refresh_topup_rect_lock_buckle_g2_v03.asset,direct_pure_topup_slice01_candidates,16,24,59,378,0.984,0.667,0.987,0.993,1,10.0,0.047,0.016,13,7.05,1,13,9,4,2,0.800,0.000,0.167,6.41,9,32,184,0,0,10,3,0,8,direct_refresh:lock_buckle:g2,ok,True,True,13,185.1,ok,type=dense; play=94.0; deps=184/0/0
16,1,16,selected,refresh,section,181.1,direct_pure_topup_02_10_direct_refresh_topup_rect_section_unlock_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_10_direct_refresh_topup_rect_section_unlock_g4_v05.asset,direct_pure_topup_slice02_candidates,16,27,52,421,0.975,0.593,0.988,0.994,1,17.0,0.094,0.035,11,6.15,1,11,11,4,2,0.769,0.000,0.273,8.10,13,36,139,0,0,10,0,2,12,direct_refresh:section_unlock:g4,ok,True,True,11,183.4,ok,type=dense; play=103.0; deps=139/0/0
17,1,17,selected,refresh,sweep,181.1,nomask_style_02_snake_spine,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_02_snake_spine.asset,no_mask_style_preview,16,24,44,383,0.997,0.667,1.000,1.000,0,3.2,0.016,0.008,12,6.25,1,12,7,5,2,0.909,0.727,0.333,8.70,117,30,72,0,0,12,6,0,9,motif:snake_spine,ok,True,True,12,185.0,ok,type=section; play=89.3; deps=72/0/0
18,1,18,selected,refresh,lock,181.0,direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_11_direct_refresh_topup_rect_lock_buckle_g1_v02.asset,direct_pure_topup_slice01_candidates,15,28,51,415,0.988,0.536,0.976,0.981,1,6.7,0.031,0.007,9,6.71,1,10,11,4,3,0.846,0.538,0.091,8.14,15,31,160,0,0,12,2,0,6,direct_refresh:lock_buckle:g1,ok,True,True,9,184.0,ok,type=dense; play=94.8; deps=160/0/0
19,1,19,selected,refresh,section,180.9,direct_pure_topup_01_02_direct_refresh_topup_rect_section_unlock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_02_direct_refresh_topup_rect_section_unlock_g0_v01.asset,direct_pure_topup_slice01_candidates,16,25,63,388,0.970,0.640,1.000,0.986,0,19.9,0.094,0.056,10,6.14,1,11,11,4,4,0.688,0.063,0.462,6.16,9,33,188,0,0,10,5,0,9,direct_refresh:section_unlock:g0,ok,True,True,10,184.9,ok,type=dense; play=99.5; deps=188/0/0
20,1,20,selected,refresh,dense,180.9,nomask_05_dense_weave,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_05_dense_weave.asset,no_mask_type_preview,16,22,45,346,0.983,0.727,1.000,0.993,0,8.5,0.047,0.009,9,6.13,1,9,11,3,1,0.750,0.417,0.333,7.69,13,29,127,0,0,9,3,1,10,motif:dense_weave,ok,True,True,9,183.9,ok,type=dense; play=99.9; deps=127/0/0
21,1,21,selected,refresh,dense,180.6,direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset,direct_pure_topup_slice02_candidates,17,24,63,394,0.966,0.708,1.000,0.993,0,17.7,0.078,0.050,17,6.27,1,17,10,3,4,0.938,0.063,0.000,6.25,9,39,136,0,0,7,7,0,7,asset:direct_pure_topup_02_01_direct_r,ok,True,True,17,184.5,ok,type=dense; play=101.8; deps=136/0/0
22,1,22,selected,refresh,sweep,179.7,nomask_style_10_zig_river,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset,no_mask_style_preview,18,25,53,439,0.976,0.720,0.976,0.962,1,12.9,0.063,0.029,13,6.74,1,13,8,3,2,0.857,0.071,0.364,8.28,56,38,161,0,0,11,2,1,10,motif:zig_river,ok,True,True,13,183.1,long-straight-run,type=dense; play=95.2; deps=161/0/0
23,1,23,selected,refresh,section,179.3,direct_pure_topup_02_07_direct_refresh_topup_rect_dual_zone_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_07_direct_refresh_topup_rect_dual_zone_g3_v04.asset,direct_pure_topup_slice02_candidates,17,24,61,392,0.961,0.708,0.987,0.966,1,15.5,0.063,0.043,8,6.69,1,9,17,3,4,0.813,0.313,0.538,6.43,11,30,180,0,0,10,5,0,6,direct_refresh:dual_zone:g3,ok,True,True,8,183.2,ok,type=dense; play=99.3; deps=180/0/0
24,1,24,selected,refresh,sweep,179.0,direct_pure_topup_03_05_direct_refresh_topup_rect_sweep_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_05_direct_refresh_topup_rect_sweep_g0_v07.asset,direct_pure_topup_slice03_candidates,16,28,57,438,0.978,0.571,1.000,0.981,0,10.7,0.047,0.014,9,6.40,1,11,13,4,5,0.800,0.200,0.333,7.68,13,37,164,0,0,8,3,1,12,direct_refresh:sweep:g0,ok,True,True,9,184.8,ok,type=dense; play=99.5; deps=164/0/0
25,1,25,selected,refresh,dense,179.0,nomask_style_expansion_14_dense_kernel_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_14_dense_kernel_b.asset,no_mask_style_expansion_preview,19,27,53,503,0.981,0.704,1.000,1.000,0,11.4,0.063,0.011,15,7.15,1,15,12,3,4,1.000,0.286,0.364,9.49,121,35,130,0,0,9,3,1,10,motif:dense_kernel,ok,True,True,15,184.6,ok,type=maze; play=94.9; deps=130/0/0
26,1,26,selected,refresh,dense,178.5,direct_pure_topup_03_04_direct_refresh_topup_rect_dense_weave_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_04_direct_refresh_topup_rect_dense_weave_g0_v07.asset,direct_pure_topup_slice03_candidates,14,27,57,367,0.971,0.519,0.974,0.966,1,12.5,0.047,0.031,14,7.58,1,14,12,3,3,0.867,0.133,0.083,6.44,9,33,140,0,0,8,2,0,7,direct_refresh:dense_weave:g0,ok,True,True,14,183.1,ok,type=dense; play=92.4; deps=140/0/0
27,1,27,selected,refresh,section,178.4,nomask_style_expansion_27_stair_ladder_b,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_27_stair_ladder_b.asset,no_mask_style_expansion_preview,17,25,58,410,0.965,0.680,0.975,0.967,1,14.6,0.063,0.036,15,7.02,1,15,11,3,2,1.000,0.333,0.083,7.07,13,28,161,0,0,12,3,0,9,motif:stair_ladder,ok,True,True,15,182.7,ok,type=section; play=94.5; deps=161/0/0
28,1,28,selected,refresh,lock,178.1,nomask_style_expansion_07_double_room_lock_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_07_double_room_lock_a.asset,no_mask_style_expansion_preview,17,23,38,384,0.982,0.739,0.961,0.972,1,8.6,0.047,0.008,8,5.53,1,10,10,4,3,0.900,0.700,0.375,10.11,90,23,87,0,0,7,10,0,8,motif:double_room_lock,ok,True,True,8,177.4,long-straight-run,type=maze; play=98.7; deps=87/0/0
29,1,29,selected,refresh,lock,177.7,nomask_style_expansion_33_double_room_lock_tall,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_33_double_room_lock_tall.asset,no_mask_style_expansion_preview,18,29,48,516,0.989,0.621,1.000,0.988,0,5.0,0.031,0.000,9,5.92,1,10,8,6,2,1.000,0.667,0.600,10.75,120,24,112,0,0,6,6,1,12,motif:double_room_lock,ok,True,True,9,176.4,long-straight-run,type=maze; play=95.8; deps=112/0/0
30,1,30,selected,refresh,section,177.6,direct_pure_topup_01_23_direct_refresh_topup_rect_dual_zone_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_23_direct_refresh_topup_rect_dual_zone_g2_v03.asset,direct_pure_topup_slice01_candidates,16,28,53,436,0.973,0.571,1.000,0.994,0,16.7,0.078,0.049,8,7.00,1,11,10,3,5,0.857,0.143,0.455,8.23,13,34,158,0,0,7,3,2,12,direct_refresh:dual_zone:g2,ok,True,True,8,183.9,ok,type=dense; play=102.0; deps=158/0/0
31,1,31,selected,refresh,section,177.6,direct_pure_topup_03_18_direct_refresh_topup_rect_section_unlock_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_18_direct_refresh_topup_rect_section_unlock_g2_v09.asset,direct_pure_topup_slice03_candidates,16,29,56,456,0.983,0.552,1.000,0.994,0,13.2,0.063,0.026,14,6.86,1,14,10,2,0,0.857,0.143,0.083,8.14,13,30,193,0,0,11,2,2,13,direct_refresh:section_unlock:g2,ok,True,True,14,185.2,long-straight-run,type=dense; play=101.5; deps=193/0/0
32,1,32,selected,refresh,lock,177.5,direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_14_direct_normal_pure_rect_core_burst_g7_v02.asset,direct_pure_topup_slice04_candidates,21,31,76,638,0.980,0.677,0.970,0.979,1,9.4,0.047,0.019,12,6.68,1,12,17,3,4,0.895,0.000,0.125,8.39,13,47,272,0,0,8,0,2,13,direct_normal:core_burst:g7,ok,True,True,12,186.0,long-straight-run,type=dense; play=101.1; deps=272/0/0
33,1,33,selected,refresh,maze,176.7,direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_24_direct_refresh_topup_rect_maze_long_chain_g2_v03.asset,direct_pure_topup_slice01_candidates,14,29,56,399,0.983,0.483,0.976,0.981,1,9.3,0.047,0.000,7,6.55,1,12,12,4,6,0.714,0.500,0.333,7.13,11,36,182,0,0,12,7,0,5,direct_refresh:maze_long_chain:g2,ok,True,True,7,179.7,ok,type=dense; play=98.2; deps=182/0/0
34,1,34,selected,refresh,dense,176.4,direct_pure_topup_01_20_direct_refresh_topup_rect_dense_weave_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_20_direct_refresh_topup_rect_dense_weave_g2_v03.asset,direct_pure_topup_slice01_candidates,14,25,56,340,0.971,0.560,0.986,0.993,1,19.7,0.094,0.054,11,6.50,1,12,14,4,3,0.929,0.357,0.167,6.07,9,35,145,0,0,10,7,0,9,direct_refresh:dense_weave:g2,ok,True,True,11,183.5,ok,type=dense; play=92.4; deps=145/0/0
35,1,35,selected,refresh,section,176.0,direct_pure_topup_04_02_direct_normal_pure_rect_section_unlock_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_02_direct_normal_pure_rect_section_unlock_g6_v01.asset,direct_pure_topup_slice04_candidates,19,34,84,633,0.980,0.559,1.000,1.000,0,18.6,0.109,0.032,13,6.00,1,13,15,4,5,0.857,0.000,0.235,7.54,13,47,334,0,0,14,3,2,13,direct_normal:section_unlock:g6,ok,True,True,13,188.3,long-straight-run,type=section; play=102.8; deps=334/0/0
36,1,36,selected,refresh,sweep,175.1,direct_pure_topup_03_21_direct_refresh_topup_rect_sweep_g2_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_21_direct_refresh_topup_rect_sweep_g2_v09.asset,direct_pure_topup_slice03_candidates,14,26,52,354,0.973,0.538,0.947,0.951,1,12.2,0.063,0.008,8,7.10,1,11,13,4,1,0.923,0.308,0.455,6.81,11,39,145,0,0,11,5,0,4,direct_refresh:sweep:g2,ok,True,True,8,181.4,ok,type=dense; play=93.4; deps=145/0/0
37,1,37,selected,refresh,sweep,175.0,direct_pure_topup_05_21_direct_normal_pure_rect_sweep_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_21_direct_normal_pure_rect_sweep_g11_v06.asset,direct_pure_topup_slice05_candidates,22,32,87,694,0.986,0.688,1.000,0.995,0,9.6,0.047,0.012,13,5.72,1,13,17,5,8,0.773,0.136,0.222,7.98,13,42,309,0,0,12,3,3,13,direct_normal:sweep:g11,ok,True,True,13,189.2,long-straight-run,type=dense; play=106.7; deps=309/0/0
38,1,38,selected,refresh,lock,174.5,direct_pure_topup_03_11_direct_refresh_topup_rect_lock_buckle_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_11_direct_refresh_topup_rect_lock_buckle_g1_v08.asset,direct_pure_topup_slice03_candidates,17,28,57,466,0.979,0.607,1.000,0.994,0,14.2,0.078,0.038,14,6.81,1,14,13,3,3,0.867,0.267,0.250,8.18,13,35,168,0,0,8,2,2,13,direct_refresh:lock_buckle:g1,ok,True,True,14,184.9,long-straight-run,type=section; play=95.7; deps=168/0/0
39,1,39,selected,refresh,section,173.9,nomask_08_dual_zone,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_08_dual_zone.asset,no_mask_type_preview,16,22,46,347,0.986,0.727,0.986,0.993,1,10.4,0.047,0.026,13,7.46,1,13,7,3,3,0.917,0.333,0.600,7.54,13,34,115,0,0,8,3,0,9,motif:dual_zone,ok,True,True,13,183.6,ok,type=shell; play=84.4; deps=115/0/0
40,1,40,selected,refresh,dense,172.9,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_slice04_candidates,19,33,78,618,0.986,0.576,0.990,0.990,1,8.5,0.047,0.014,14,7.19,1,14,14,4,6,0.950,0.000,0.188,7.92,13,38,305,0,0,11,0,3,12,asset:direct_pure_topup_04_17_direct_n,ok,True,True,14,187.6,ok,type=dense; play=97.8; deps=305/0/0
41,1,41,selected,refresh,lock,172.8,direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08.asset,direct_pure_topup_slice03_candidates,15,25,59,368,0.981,0.600,0.987,0.986,1,9.6,0.047,0.024,15,7.68,1,15,12,3,3,0.800,0.000,0.333,6.24,9,37,150,0,0,10,3,0,9,direct_refresh:core_burst:g1,ok,True,True,15,184.8,ok,type=dense; play=87.9; deps=150/0/0
42,1,42,selected,refresh,section,172.6,direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_01_direct_normal_pure_extra_rect_section_unlock_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,18,32,72,567,0.984,0.563,1.000,0.995,0,11.8,0.063,0.026,16,7.67,1,16,12,4,3,0.944,0.167,0.267,7.88,13,39,260,0,0,13,2,0,9,direct_normal:section_unlock:g15,ok,True,True,16,187.2,ok,type=dense; play=92.7; deps=260/0/0
43,1,43,selected,refresh,dense,172.5,direct_pure_topup_02_17_direct_refresh_topup_rect_outer_shell_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_17_direct_refresh_topup_rect_outer_shell_g5_v06.asset,direct_pure_topup_slice02_candidates,15,28,54,412,0.981,0.536,0.976,0.987,1,11.8,0.047,0.042,10,7.59,1,13,13,4,3,1.000,0.286,0.364,7.63,13,36,155,0,0,9,2,1,13,asset:direct_pure_topup_02_17_direct_r,ok,True,True,10,183.7,long-straight-run,type=dense; play=89.1; deps=155/0/0
44,1,44,selected,refresh,section,172.2,direct_pure_topup_02_23_direct_refresh_topup_rect_dual_zone_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_23_direct_refresh_topup_rect_dual_zone_g5_v06.asset,direct_pure_topup_slice02_candidates,15,28,55,413,0.983,0.536,0.988,0.974,1,8.4,0.047,0.007,14,6.82,1,16,10,3,2,0.929,0.143,0.364,7.51,13,27,195,0,0,11,1,2,13,direct_refresh:dual_zone:g5,ok,True,True,14,184.6,long-straight-run,type=dense; play=95.4; deps=195/0/0
45,1,45,selected,refresh,dense,172.1,direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_04_direct_refresh_topup_rect_dense_weave_g3_v04.asset,direct_pure_topup_slice02_candidates,15,27,61,391,0.965,0.556,0.988,0.967,1,18.1,0.094,0.035,10,7.56,1,12,13,3,5,0.938,0.313,0.231,6.41,9,37,157,0,0,8,3,0,9,direct_refresh:dense_weave:g3,ok,True,True,10,183.6,ok,type=dense; play=88.0; deps=157/0/0
46,1,46,selected,refresh,lock,171.0,nomask_style_03_double_room_lock,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_03_double_room_lock.asset,no_mask_style_preview,17,23,34,386,0.987,0.739,1.000,0.979,0,6.4,0.031,0.000,12,7.18,1,12,6,4,3,0.778,0.778,0.714,11.35,90,20,61,0,0,6,6,0,6,motif:double_room_lock,ok,True,True,12,182.9,long-straight-run,type=maze; play=79.3; deps=61/0/0
47,1,47,selected,refresh,section,170.9,direct_pure_topup_01_07_direct_refresh_topup_rect_dual_zone_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_07_direct_refresh_topup_rect_dual_zone_g0_v01.asset,direct_pure_topup_slice01_candidates,14,24,47,322,0.958,0.583,0.931,0.963,1,20.2,0.094,0.036,9,5.85,1,12,7,5,4,0.917,0.500,0.000,6.85,11,26,125,0,0,12,6,0,6,direct_refresh:dual_zone:g0,weak-outer,True,True,9,178.8,weak-outer,type=dense; play=98.1; deps=125/0/0
