"order","status","severity","flags","bucket","type","relativeDifficulty","slotRole","width","height","chains","levelId","assetPath"
"278","Yellow","26","BottleneckHeavy|GrindyLowClear","normal","shape_magic","VeryHard","ShapePeak","40","58","180","r2_outer_strong_005_r2_006_a401_procmask_91_long_maskproceduralvertical_40x58-bigmagictowerdoortall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_91_long_maskproceduralvertical_40x58-bigmagictowerdoortall_20260611_111420.asset"
"279","Yellow","16","StartFakeWide","normal","maze","Normal","Normal","21","36","108","direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_24_direct_normal_pure_extra_rect_maze_long_chain_g17_v03.asset"
"281","Yellow","16","StartFakeWide","refresh","sweep","Recovery","Recovery","18","34","83","direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_13_direct_normal_pure_rect_sweep_g7_v08.asset"
"285","Yellow","16","StartFakeWide","refresh","lock","Recovery","Recovery","18","35","86","direct_pure_topup_05_22_direct_normal_pure_rect_core_burst_g11_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_22_direct_normal_pure_rect_core_burst_g11_v06.asset"
"296","Yellow","18","GrindyLowClear","hard","maze","Hard","Pressure","24","41","161","direct_pure_topup_09_11_direct_polish_hard_pure_rect_maze_long_chain_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_11_direct_polish_hard_pure_rect_maze_long_chain_g14_v06.asset"
"298","Yellow","18","GrindyLowClear","normal","shape_magic","VeryHard","ShapePeak","40","56","180","r2_outer_strong_005_r2_006_a401_procmask_90_onion_maskproceduralvertical_40x56-bigmagicdragonclawtall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_90_onion_maskproceduralvertical_40x56-bigmagicdragonclawtall_20260611_111414.asset"
"307","Yellow","16","StartFakeWide","hard","section","Normal","Normal","23","40","124","direct_normal_117_direct_normal_rect_dual_zone_g5_v12","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_117_direct_normal_rect_dual_zone_g5_v12.asset"
"309","Yellow","18","GrindyLowClear","very_hard","lock","VeryHard","Peak","26","50","203","direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_17_direct_advanced_veryhard_rect_lock_buckle_g2_v03.asset"
"316","Yellow","18","GrindyLowClear","normal","dense","Normal","Normal","21","39","114","direct_normal_154_direct_normal_rect_dense_weave_g3_v16","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_154_direct_normal_rect_dense_weave_g3_v16.asset"
"323","Yellow","18","GrindyLowClear","normal","shape_landmark","Hard","ShapePressure","30","42","129","r2_outer_strong_005_r2_006_a401_procmask_09_onion_maskproceduralvertical_30x42-maintowertall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_09_onion_maskproceduralvertical_30x42-maintowertall_20260611_110441.asset"
"333","Yellow","30","StartFakeWide|BottleneckHeavy","normal","shape_nature","Novelty","ShapeVisual","30","44","98","r2_outer_strong_005_r2_006_a401_procmask_122_onion_maskproceduralvertical_30x44-mainleaf08tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_122_onion_maskproceduralvertical_30x44-mainleaf08tall_20260611_111825.asset"
"340","Yellow","26","BottleneckHeavy|GrindyLowClear","normal","shape_nature","VeryHard","ShapePeak","44","58","186","r2_outer_strong_005_r2_006_a401_procmask_148_long_maskproceduralvertical_44x58-biggrove03tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_148_long_maskproceduralvertical_44x58-biggrove03tall_20260611_112558.asset"
"344","Yellow","18","GrindyLowClear","normal","shape_nature","Hard","ShapePressure","36","48","133","r2_outer_strong_005_r2_006_a401_procmask_112_onion_maskproceduralvertical_36x48-transitiondistinctscorpiontall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_112_onion_maskproceduralvertical_36x48-transitiondistinctscorpiontall_20260611_111713.asset"
"359","Yellow","26","BottleneckHeavy|GrindyLowClear","hard","sweep","Normal","Normal","23","42","120","direct_normal_115_direct_normal_rect_sweep_g5_v12","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_115_direct_normal_rect_sweep_g5_v12.asset"
"364","Yellow","18","GrindyLowClear","very_hard","section","VeryHard","Peak","28","45","206","direct_advanced_38_direct_advanced_veryhard_rect_quasi_symmetry_g0_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_38_direct_advanced_veryhard_rect_quasi_symmetry_g0_v05.asset"
"369","Yellow","16","StartFakeWide","hard","sweep","Normal","Normal","23","40","120","direct_normal_75_direct_normal_rect_sweep_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_75_direct_normal_rect_sweep_g1_v08.asset"
"380","Yellow","26","BottleneckHeavy|GrindyLowClear","normal","shape_landmark","VeryHard","ShapePeak","44","58","195","r2_outer_strong_005_r2_006_a401_procmask_138_long_maskproceduralvertical_44x58-bigmegamonument03tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_138_long_maskproceduralvertical_44x58-bigmegamonument03tall_20260611_112022.asset"
"382","Yellow","18","GrindyLowClear","normal","lock","Normal","Normal","23","40","118","direct_normal_73_direct_normal_rect_lock_buckle_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_73_direct_normal_rect_lock_buckle_g1_v08.asset"
"386","Yellow","18","GrindyLowClear","normal","dense","Normal","Normal","23","40","118","direct_normal_94_direct_normal_rect_dense_weave_g3_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_94_direct_normal_rect_dense_weave_g3_v10.asset"
"396","Yellow","18","GrindyLowClear","hard","lock","Normal","Normal","21","40","134","direct_pure_topup_09_24_direct_polish_hard_pure_rect_lock_buckle_g10_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_24_direct_polish_hard_pure_rect_lock_buckle_g10_v08.asset"
"398","Yellow","18","GrindyLowClear","normal","shape_ocean","VeryHard","ShapePeak","42","58","196","r2_outer_strong_005_r2_006_a401_procmask_75_onion_maskproceduralvertical_42x58-bigoceanshipwrecktall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_75_onion_maskproceduralvertical_42x58-bigoceanshipwrecktall_20260611_111311.asset"
"400","Yellow","18","GrindyLowClear","extreme","section","RelativeExtreme","Peak","31","56","286","direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_69_direct_advanced_extreme_rect_stair_push_g6_v03.asset"
"404","Yellow","18","GrindyLowClear","hard","dense","Normal","Normal","21","41","135","direct_pure_topup_10_21_direct_polish_hard_pure_rect_dense_weave_g12_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_21_direct_polish_hard_pure_rect_dense_weave_g12_v10.asset"
"420","Yellow","26","BottleneckHeavy|GrindyLowClear","normal","shape_magic","VeryHard","ShapePeak","40","58","186","r2_outer_strong_005_r2_006_a401_procmask_59_long_maskproceduralvertical_40x58-bigcathedraltall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_59_long_maskproceduralvertical_40x58-bigcathedraltall_20260611_111206.asset"
"435","Yellow","16","StartFakeWide","hard","section","Hard","Pressure","23","45","168","direct_pure_topup_07_16_direct_polish_hard_pure_rect_stair_push_g10_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice07/direct_pure_topup_07_16_direct_polish_hard_pure_rect_stair_push_g10_v02.asset"
"436","Yellow","18","GrindyLowClear","hard","section","Normal","Normal","24","40","157","direct_pure_topup_10_24_direct_polish_hard_pure_rect_stair_push_g12_v10","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_24_direct_polish_hard_pure_rect_stair_push_g12_v10.asset"
"443","Yellow","24","StartFakeWide|BottleneckHeavy","normal","shape_magic","Hard","ShapePressure","34","48","148","r2_outer_strong_005_r2_006_a401_procmask_85_onion_maskproceduralvertical_34x48-transitionmagiccrystalballtall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_85_onion_maskproceduralvertical_34x48-transitionmagiccrystalballtall_20260611_111358.asset"
"456","Yellow","18","GrindyLowClear","very_hard","lock","Hard","Pressure","27","50","214","direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/AdvancedCandidates/direct_advanced_35_direct_advanced_veryhard_rect_core_burst_g0_v05.asset"
"466","Yellow","18","GrindyLowClear","hard","section","Normal","Normal","22","44","158","direct_pure_topup_09_09_direct_polish_hard_pure_rect_quasi_symmetry_g14_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_09_direct_polish_hard_pure_rect_quasi_symmetry_g14_v06.asset"
"478","Yellow","18","GrindyLowClear","normal","shape_landmark","VeryHard","ShapePeak","44","58","201","r2_outer_strong_005_r2_006_a401_procmask_142_long_maskproceduralvertical_44x58-bigmegamonument15tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_142_long_maskproceduralvertical_44x58-bigmegamonument15tall_20260611_112528.asset"
"481","Yellow","18","GrindyLowClear","normal","section","Recovery","Recovery","22","34","108","direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_29_direct_normal_rect_quasi_symmetry_g2_v03.asset"
"484","Yellow","18","GrindyLowClear","hard","lock","Normal","Normal","23","42","157","direct_pure_topup_08_08_direct_polish_hard_pure_rect_lock_buckle_g12_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_08_direct_polish_hard_pure_rect_lock_buckle_g12_v04.asset"
"486","Yellow","16","StartFakeWide","normal","shape_nature","Novelty","ShapeVisual","28","44","99","r2_outer_strong_005_r2_006_a401_procmask_119_onion_maskproceduralvertical_28x44-mainleaf04tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_119_onion_maskproceduralvertical_28x44-mainleaf04tall_20260611_111814.asset"
"493","Yellow","18","GrindyLowClear","normal","shape_landmark","Novelty","ShapeVisual","36","50","142","r2_outer_strong_005_r2_006_a401_procmask_133_long_maskproceduralvertical_36x50-transitionwidelandmark17tall","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_133_long_maskproceduralvertical_36x50-transitionwidelandmark17tall_20260611_111922.asset"
