previewOrder,originalOrder,type,levelId,path,chains
33,35,maze,direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_24_direct_normal_pure_rect_maze_long_chain_g11_v06.asset,83
34,36,lock,direct_pure_topup_06_06_direct_normal_pure_rect_core_burst_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_06_direct_normal_pure_rect_core_burst_g6_v07.asset,94
35,38,dense,direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_04_direct_normal_pure_rect_dense_weave_g9_v04.asset,89
36,39,sweep,direct_normal_155_direct_normal_rect_sweep_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_155_direct_normal_rect_sweep_g3_v16.asset,110
37,40,section,direct_normal_138_direct_normal_rect_stair_push_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_138_direct_normal_rect_stair_push_g1_v14.asset,122
38,41,lock,direct_normal_topup_02_direct_normal_topup_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_02_direct_normal_topup_rect_lock_buckle_g6_v01.asset,100
39,42,section,direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_62_direct_normal_topup_rect_stair_push_g7_v08.asset,115
40,43,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_81_long_maskproceduralvertical_32x42-mainmagicbattall_20260611_111351.asset,87
41,44,maze,direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_09_direct_polish_normal_rect_maze_long_chain_g0_v01.asset,112
42,45,section,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset,94
43,46,lock,direct_normal_136_direct_normal_rect_core_burst_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_136_direct_normal_rect_core_burst_g1_v14.asset,126
44,47,maze,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,85
45,48,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_82_long_maskproceduralvertical_32x44-mainmagicblackcattall_20260611_111352.asset,88
46,49,section,direct_normal_42_direct_normal_rect_section_unlock_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_42_direct_normal_rect_section_unlock_g4_v05.asset,108
47,50,section,direct_pure_topup_10_13_direct_polish_hard_pure_rect_dual_zone_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_13_direct_polish_hard_pure_rect_dual_zone_g11_v09.asset,139
48,51,section,direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_07_direct_normal_pure_rect_dual_zone_g6_v07.asset,96
49,52,lock,direct_normal_53_direct_normal_rect_lock_buckle_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_53_direct_normal_rect_lock_buckle_g5_v06.asset,105
50,53,section,direct_normal_157_direct_normal_rect_dual_zone_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_157_direct_normal_rect_dual_zone_g3_v16.asset,120
51,54,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_80_long_maskproceduralvertical_28x42-mainmagicrunestonetall_20260611_111341.asset,98
52,55,section,direct_normal_68_direct_normal_rect_stair_push_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_68_direct_normal_rect_stair_push_g0_v07.asset,101
53,56,dense,direct_normal_101_direct_normal_rect_outer_shell_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_101_direct_normal_rect_outer_shell_g4_v11.asset,112
54,57,sweep,direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_18_direct_polish_hard_pure_rect_outer_shell_g11_v09.asset,126
55,58,maze,direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03.asset,100
56,59,lock,direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_02_direct_polish_normal_rect_lock_buckle_g0_v01.asset,130
57,60,section,direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_23_direct_polish_hard_pure_rect_dual_zone_g12_v10.asset,141
58,62,section,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,100
59,63,section,direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_73_direct_normal_topup_rect_section_unlock_g9_v10.asset,110
60,64,dense,direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_03_direct_polish_normal_rect_dense_weave_g0_v01.asset,127
61,65,maze,direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_70_direct_normal_rect_maze_long_chain_g0_v07.asset,104
62,66,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_76_onion_maskproceduralvertical_30x42-mainmagichattall_20260611_111314.asset,91
63,67,sweep,direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08.asset,130
64,68,lock,direct_normal_56_direct_normal_rect_core_burst_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_56_direct_normal_rect_core_burst_g5_v06.asset,112
65,69,section,direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_14_direct_polish_normal_rect_dual_zone_g1_v02.asset,134
66,70,section,direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_09_direct_polish_hard_pure_rect_section_unlock_g11_v09.asset,148
67,71,maze,direct_normal_50_direct_normal_rect_maze_long_chain_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_50_direct_normal_rect_maze_long_chain_g4_v05.asset,106
68,72,sweep,direct_normal_131_direct_normal_rect_outer_shell_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_131_direct_normal_rect_outer_shell_g1_v14.asset,111
69,73,lock,direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_16_direct_polish_hard_pure_rect_core_burst_g9_v07.asset,132
70,74,section,direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_41_direct_normal_topup_rect_section_unlock_g11_v06.asset,115
71,75,section,direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_15_direct_polish_normal_rect_stair_push_g1_v02.asset,147
72,76,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_83_long_maskproceduralvertical_30x42-mainmagicdragoneggtall_20260611_111354.asset,92
73,77,maze,direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_110_direct_normal_rect_maze_long_chain_g4_v11.asset,110
74,78,dense,direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_01_direct_polish_hard_pure_rect_dense_weave_g10_v08.asset,143
75,79,section,direct_normal_38_direct_normal_rect_stair_push_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_38_direct_normal_rect_stair_push_g3_v04.asset,115
76,80,sweep,direct_pure_topup_08_14_direct_polish_hard_pure_rect_sweep_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_14_direct_polish_hard_pure_rect_sweep_g12_v04.asset,154
77,81,lock,direct_normal_46_direct_normal_rect_core_burst_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_46_direct_normal_rect_core_burst_g4_v05.asset,108
78,83,section,direct_normal_147_direct_normal_rect_dual_zone_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_147_direct_normal_rect_dual_zone_g2_v15.asset,114
79,84,section,direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice08/direct_pure_topup_08_13_direct_polish_hard_pure_rect_quasi_symmetry_g12_v04.asset,141
80,85,maze,direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_150_direct_normal_rect_maze_long_chain_g2_v15.asset,109
81,86,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_25_onion_maskproceduralvertical_30x42-mainknightmascottall_20260611_110528.asset,95
82,87,dense,direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice10/direct_pure_topup_10_11_direct_polish_hard_pure_rect_dense_weave_g11_v09.asset,145
83,88,sweep,direct_normal_105_direct_normal_rect_sweep_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_105_direct_normal_rect_sweep_g4_v11.asset,115
84,89,section,direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_07_direct_polish_normal_rect_quasi_symmetry_g0_v01.asset,126
85,90,section,direct_normal_109_direct_normal_rect_quasi_symmetry_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_109_direct_normal_rect_quasi_symmetry_g4_v11.asset,107
86,91,section,direct_normal_107_direct_normal_rect_dual_zone_g4_v11,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_107_direct_normal_rect_dual_zone_g4_v11.asset,110
87,92,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_08_onion_maskproceduralvertical_28x40-maincandletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_08_onion_maskproceduralvertical_28x40-maincandletall_20260611_110439.asset,104
88,93,lock,direct_polish_clean_11_direct_polish_normal_rect_lock_buckle_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_11_direct_polish_normal_rect_lock_buckle_g1_v02.asset,146
89,94,section,direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_159_direct_normal_rect_quasi_symmetry_g3_v16.asset,117
90,95,sweep,direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05.asset,150
91,96,maze,direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_140_direct_normal_rect_maze_long_chain_g1_v14.asset,118
92,97,dense,direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_05_direct_polish_hard_pure_rect_dense_weave_g14_v06.asset,159
93,98,lock,direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_06_direct_polish_hard_pure_rect_core_burst_g14_v06.asset,147
94,99,section,direct_normal_18_direct_normal_rect_stair_push_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_18_direct_normal_rect_stair_push_g1_v02.asset,114
95,100,lock,direct_polish_hard_04_direct_polish_hard_rect_core_burst_g4_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishHardCandidates/direct_polish_hard_04_direct_polish_hard_rect_core_burst_g4_v01.asset,172
96,101,section,direct_pure_normal_extra_02_13_direct_normal_pure_extra_rect_dual_zone_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_13_direct_normal_pure_extra_rect_dual_zone_g19_v05.asset,84
97,102,lock,direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_18_direct_normal_pure_extra_rect_lock_buckle_g20_v06.asset,95
98,103,shape_music,r2_outer_strong_005_r2_006_a401_procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_95_onion_maskproceduralvertical_28x42-maindistinctmusicnotetall_20260611_111451.asset,92
99,104,shape_magic,r2_outer_strong_005_r2_006_a401_procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_97_long_maskproceduralvertical_30x42-maindistinctghosttall_20260611_111455.asset,109
100,105,sweep,nomask_style_expansion_06_snake_spine_mid,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_06_snake_spine_mid.asset,61
101,106,maze,direct_normal_20_direct_normal_rect_maze_long_chain_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_20_direct_normal_rect_maze_long_chain_g1_v02.asset,103
102,107,section,direct_normal_128_direct_normal_rect_stair_push_g0_v13,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_128_direct_normal_rect_stair_push_g0_v13.asset,114
103,108,lock,direct_normal_133_direct_normal_rect_lock_buckle_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_133_direct_normal_rect_lock_buckle_g1_v14.asset,106
104,109,dense,direct_pure_topup_09_15_direct_polish_hard_pure_rect_dense_weave_g9_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice09/direct_pure_topup_09_15_direct_polish_hard_pure_rect_dense_weave_g9_v07.asset,152
105,110,section,direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_19_direct_normal_rect_quasi_symmetry_g1_v02.asset,110
106,111,sweep,direct_pure_topup_02_21_direct_refresh_topup_rect_sweep_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_21_direct_refresh_topup_rect_sweep_g5_v06.asset,62
107,112,maze,direct_pure_normal_extra_01_16_direct_normal_pure_extra_rect_maze_long_chain_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_16_direct_normal_pure_extra_rect_maze_long_chain_g16_v02.asset,85
108,113,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_19_onion_maskproceduralvertical_30x40-mainstartall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_19_onion_maskproceduralvertical_30x40-mainstartall_20260611_110510.asset,86
109,114,lock,direct_normal_116_direct_normal_rect_core_burst_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_116_direct_normal_rect_core_burst_g5_v12.asset,106
110,115,section,direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PolishCleanCandidates/direct_polish_clean_06_direct_polish_normal_rect_stair_push_g0_v01.asset,133
111,116,section,direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_38_direct_normal_topup_rect_stair_push_g10_v05.asset,101
112,118,shape_symbol,r2_outer_strong_005_r2_006_a401_procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_106_onion_maskproceduralvertical_30x42-maindistinctlettermtall_20260611_111521.asset,100
113,119,dense,direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_51_direct_normal_topup_rect_dense_weave_g6_v07.asset,102
114,120,lock,direct_normal_113_direct_normal_rect_lock_buckle_g5_v12,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_113_direct_normal_rect_lock_buckle_g5_v12.asset,107
