order,block,action,oldType,oldLevelId,oldChains,newType,newLevelId,newChains,structure,width,height,coverage,outer1,openers,score,reason,path
126,121-130,insert_missing_hole_ideal127,sweep,direct_normal_topup_24_direct_normal_topup_rect_sweep_g8_v03,109,hole_rescue,hole_candidate_016_std_20x26_section,50,SectionUnlock,20,26,0.98,0.976,8,1122,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_016_std_20x26_section.asset
135,131-140,insert_missing_hole_ideal136,sweep,direct_normal_45_direct_normal_rect_sweep_g4_v05,105,hole_rescue,hole_topup_012_topup_tall_20x30_shell,52,OuterShell,20,30,0.966,0.962,5,1113.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_012_topup_tall_20x30_shell.asset
142,141-150,replace_existing_hole,hole_rescue,hole_proc_standard_24x28_mid_920423_24x28_c76,76,hole_rescue,hole_candidate_038_std_26x24_dual,50,DualZone,26,24,0.971,0.962,6,1108.7,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_038_std_26x24_dual.asset
151,151-160,insert_missing_hole_ideal152,maze,direct_normal_30_direct_normal_rect_maze_long_chain_g2_v03,100,hole_rescue,hole_candidate_060_tall_20x28_lock,51,LockBuckle,20,28,0.975,0.966,12,1132.4,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_060_tall_20x28_lock.asset
167,161-170,replace_existing_hole,hole_rescue,hole_proc_standard_23x28_mid_919377_23x28_c78,78,hole_rescue,hole_topup_043_topup_wide_26x22_maze,53,MazeLongChain,26,22,0.974,0.972,14,1030.4,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_043_topup_wide_26x22_maze.asset
177,171-180,insert_missing_hole_ideal177,section,direct_pure_topup_04_23_direct_normal_pure_rect_dual_zone_g8_v03,91,hole_rescue,hole_candidate_074_wide_28x22_dense,52,DenseWeave,28,22,0.972,0.973,9,1096.3,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_074_wide_28x22_dense.asset
184,181-190,insert_missing_hole_ideal187,dense,direct_pure_normal_extra_01_03_direct_normal_pure_extra_rect_dense_weave_g15_v01,96,hole_rescue,hole_topup_024_topup_std_24x28_dual,55,DualZone,24,28,0.972,0.974,8,1120.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_024_topup_std_24x28_dual.asset
192,191-200,replace_existing_hole,hole_rescue,hole_proc_standard_24x30_mid_921469_24x30_c82,82,hole_rescue,hole_candidate_063_tall_20x30_lock,54,LockBuckle,20,30,0.968,0.957,13,1102.3,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_063_tall_20x30_lock.asset
201,201-210,insert_missing_hole_ideal202,maze,nomask_style_12_long_corridor,49,hole_rescue,hole_candidate_037_std_26x24_section,56,SectionUnlock,26,24,0.975,0.973,9,1090.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_037_std_26x24_section.asset
217,211-220,replace_existing_hole,hole_rescue,hole_proc_standard_24x32_late_923033_24x32_c86,86,hole_rescue,hole_candidate_072_wide_28x22_lock,56,LockBuckle,28,22,0.993,0.989,12,1156.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_072_wide_28x22_lock.asset
225,221-230,insert_missing_hole_ideal227,maze,direct_normal_80_direct_normal_rect_maze_long_chain_g1_v08,111,hole_rescue,hole_topup_022_topup_std_22x28_maze,57,MazeLongChain,22,28,0.969,0.973,13,1049.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_022_topup_std_22x28_maze.asset
235,231-240,insert_missing_hole_ideal235,dense,direct_normal_44_direct_normal_rect_dense_weave_g4_v05,102,hole_rescue,hole_topup_045_topup_wide_28x22_dual,58,DualZone,28,22,0.98,0.973,9,1128.7,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_045_topup_wide_28x22_dual.asset
242,241-250,replace_existing_hole,hole_rescue,hole_proc_standard_24x32_late_923551_24x32_c91,91,hole_rescue,hole_candidate_073_wide_28x22_section,58,SectionUnlock,28,22,0.972,0.962,5,1107,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_073_wide_28x22_section.asset
251,251-260,insert_missing_hole_ideal252,maze,direct_pure_topup_04_24_direct_normal_pure_rect_maze_long_chain_g8_v03,101,hole_rescue,hole_candidate_047_std_28x24_shell,59,OuterShell,28,24,0.983,0.979,8,1127.4,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_047_std_28x24_shell.asset
267,261-270,replace_existing_hole,hole_rescue,hole_proc_standard_24x30_mid_922505_24x30_c82,82,hole_rescue,hole_candidate_025_std_22x28_section,61,SectionUnlock,22,28,0.98,0.984,7,1159,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_025_std_22x28_section.asset
277,271-280,insert_missing_hole_ideal277,sweep,direct_pure_topup_10_06_direct_polish_hard_pure_rect_sweep_g10_v08,130,hole_rescue,hole_topup_030_topup_std_26x26_dual,61,DualZone,26,26,0.97,0.938,4,1081.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_030_topup_std_26x26_dual.asset
285,281-290,insert_missing_hole_ideal287,maze,direct_normal_10_direct_normal_rect_maze_long_chain_g0_v01,113,hole_rescue,hole_topup_025_topup_std_24x28_maze,62,MazeLongChain,24,28,0.978,0.964,12,1062.4,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_025_topup_std_24x28_maze.asset
292,291-300,replace_existing_hole,hole_rescue,hole_proc_standard_23x28_mid_920413_23x28_c81,81,hole_rescue,hole_candidate_040_std_26x26_section,62,SectionUnlock,26,26,0.983,0.984,11,1114.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_040_std_26x26_section.asset
301,301-310,insert_missing_hole_ideal302,sweep,direct_pure_topup_09_10_direct_polish_hard_pure_rect_sweep_g14_v06,141,hole_rescue,hole_topup_033_topup_std_26x28_dual,65,DualZone,26,28,0.979,0.97,11,1131,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_033_topup_std_26x28_dual.asset
317,311-320,replace_existing_hole,hole_rescue,hole_proc_standard_24x28_mid_920941_24x28_c81,81,hole_rescue,hole_candidate_053_std_28x28_maze,65,MazeLongChain,28,28,0.975,0.962,13,1143.8,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_053_std_28x28_maze.asset
325,321-330,insert_missing_hole_ideal327,sweep,direct_pure_topup_09_02_direct_polish_hard_pure_rect_outer_shell_g13_v05,150,hole_rescue,hole_candidate_044_std_26x28_dense,66,DenseWeave,26,28,0.982,0.97,9,1089.8,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_044_std_26x28_dense.asset
335,331-340,insert_missing_hole_ideal335,dense,direct_normal_91_direct_normal_rect_outer_shell_g3_v10,105,hole_rescue,hole_topup_049_topup_wide_30x24_maze,67,MazeLongChain,30,24,0.98,0.99,4,1013.4,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_049_topup_wide_30x24_maze.asset
342,341-350,replace_existing_hole,hole_rescue,hole_proc_standard_22x26_mid_919367_22x26_c77,77,hole_rescue,hole_topup_026_topup_std_24x30_dense,67,DenseWeave,24,30,0.974,0.97,10,1083.2,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_026_topup_std_24x30_dense.asset
351,351-360,insert_missing_hole_ideal352,sweep,direct_polish_clean_17_direct_polish_normal_rect_sweep_g1_v02,139,hole_rescue,hole_candidate_080_wide_30x26_dual,70,DualZone,30,26,0.976,0.962,8,1082.2,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_080_wide_30x26_dual.asset
367,361-370,replace_existing_hole,hole_rescue,hole_proc_standard_21x25_small_917285_21x25_c74,74,hole_rescue,hole_candidate_078_wide_30x26_lock,72,LockBuckle,30,26,0.975,0.971,17,1112,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_078_wide_30x26_lock.asset
377,371-380,insert_missing_hole_ideal377,dense,direct_normal_111_direct_normal_rect_outer_shell_g5_v12,103,hole_rescue,hole_candidate_085_wide_32x24_section,72,SectionUnlock,32,24,0.967,0.913,10,1057.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_085_wide_32x24_section.asset
385,381-390,insert_missing_hole_ideal387,sweep,direct_pure_topup_07_08_direct_polish_hard_pure_rect_sweep_g9_v01,165,hole_rescue,hole_candidate_068_tall_28x30_dual,72,DualZone,28,30,0.971,0.963,8,1041.7,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_068_tall_28x30_dual.asset
392,391-400,replace_existing_hole,hole_rescue,hole_proc_standard_24x32_late_922515_24x32_c91,91,hole_rescue,hole_candidate_042_std_26x28_lock,75,LockBuckle,26,28,0.982,0.975,10,1062.2,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_042_std_26x28_lock.asset
401,401-410,insert_missing_hole_ideal402,sweep,direct_pure_topup_09_12_direct_polish_hard_pure_rect_outer_shell_g14_v06,169,hole_rescue,hole_candidate_088_wide_32x26_section,73,SectionUnlock,32,26,0.976,0.977,7,1046.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_088_wide_32x26_section.asset
417,411-420,replace_existing_hole,hole_rescue,hole_proc_standard_20x24_small_916239_20x24_c68,68,hole_rescue,hole_topup_016_topup_tall_28x30_shell,75,OuterShell,28,30,0.978,0.977,10,1086.8,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_016_topup_tall_28x30_shell.asset
426,421-430,insert_missing_hole_ideal427,sweep,direct_advanced_39_direct_advanced_veryhard_rect_sweep_g0_v05,182,hole_rescue,hole_topup_050_topup_wide_30x26_dense,77,DenseWeave,30,26,0.972,0.971,7,1083.1,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_050_topup_wide_30x26_dense.asset
435,431-440,insert_missing_hole_ideal436,sweep,direct_normal_topup_32_direct_normal_topup_rect_sweep_g9_v04,108,hole_rescue,hole_candidate_096_wide_34x26_lock,79,LockBuckle,34,26,0.973,0.951,8,1050.6,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_096_wide_34x26_lock.asset
442,441-450,replace_existing_hole,hole_rescue,hole_proc_standard_18x22_small_914147_18x22_c65,65,hole_rescue,hole_candidate_101_wide_34x28_shell,81,OuterShell,34,28,0.969,0.957,11,1126.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_101_wide_34x28_shell.asset
451,451-460,insert_missing_hole_ideal452,dense,direct_pure_topup_10_21_direct_polish_hard_pure_rect_dense_weave_g12_v10,135,hole_rescue,hole_candidate_030_std_24x28_lock,64,LockBuckle,24,28,0.98,0.974,14,1112.2,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_030_std_24x28_lock.asset
467,461-470,replace_existing_hole,hole_rescue,hole_proc_standard_19x23_small_915193_19x23_c62,62,hole_rescue,hole_topup_031_topup_std_26x26_maze,63,MazeLongChain,26,26,0.978,0.969,8,1050.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_031_topup_std_26x26_maze.asset
477,471-480,insert_missing_hole_ideal477,dense,direct_pure_topup_09_15_direct_polish_hard_pure_rect_dense_weave_g9_v07,152,hole_rescue,hole_candidate_032_std_24x28_dense,60,DenseWeave,24,28,0.98,0.974,5,1098.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_032_std_24x28_dense.asset
484,481-490,insert_missing_hole_ideal487,dense,direct_pure_topup_08_09_direct_polish_hard_pure_rect_dense_weave_g12_v04,163,hole_rescue,hole_candidate_103_notch_24x28_section_b,62,SectionUnlock,24,28,0.97,0.833,11,1037.5,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_103_notch_24x28_section_b.asset
492,491-500,replace_existing_hole,hole_rescue,hole_proc_standard_18x22_small_915701_18x22_c61,61,hole_rescue,hole_candidate_041_std_26x26_maze,63,MazeLongChain,26,26,0.974,0.964,9,1024.9,,Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_041_std_26x26_maze.asset
27,21-30,replace_low_recognition_shape,shape_magic,r1_outer_strong_051_r1_089_a565_maskpatch,60,shape_object,r2_outer_strong_005_r2_006_a401_procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall,80,MainHourglassTall,28,42,0.54,0.96,0,220,front shape should be recognizable,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_48_long_maskproceduralvertical_28x42-mainhourglasstall_20260611_111009.asset
