order,bucket,bucketRank,type,score,levelId,path,packs,width,height,chains,coverage,outer1,openers,avgChoices,unlockBursts,dependencyBlocks,families,qualityFlags,portableSolved,portableScore,portableQuality,order_i,chains_i,score_f,openers_i,avgChoices_f,dep_i,_style,_pressure,slotRole,relativeDifficulty,template,styleKey,pressureScore
27,shape,4,shape_magic,160,r1_outer_strong_051_r1_089_a565_maskpatch,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/tallfit_04_masktallfit_22x32-torchtall_r1_outer_strong_051_r1_089_a565_MaskTallFit_22x32-TorchTall_20260610_204127.asset,tall_fit_shape_preview_pack,22,32,60,0.942,,0,,,0,shape:Magic:TorchTall:tallfit,LightShape,True,160,ShapeLight,27,60,160.0,0,0.0,0,Magic,57.6,FixedFront40,Normal,FixedFront40,Magic,57.6
28,normal,122,maze,213.0,direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset,direct_pure_topup_slice02_candidates,17,29,63,0.988,1.000,7,5.06,11,259,direct_refresh:maze_long_chain:g5,ok,True,186.5,ok,28,63,213.0,7,5.06,259,maze_long_chain,91.497,FixedFront40,Normal,FixedFront40,maze_long_chain,91.5
29,normal,201,dense,145.4,direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_11_direct_normal_pure_extra_rect_dense_weave_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,20,34,99,0.982,0.981,21,9.72,18,363,direct_normal:dense_weave:g19,ok,True,189.4,ok,29,99,145.4,21,9.72,363,dense_weave,90.981,FixedFront40,Normal,FixedFront40,dense_weave,91.0
30,normal,129,lock,199.2,direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_68_direct_normal_topup_rect_core_burst_g8_v09.asset,direct_normal_topup_candidates,23,37,106,0.981,1.000,8,5.26,24,598,direct_normal:core_burst:g8,ok,True,191.0,ok,30,106,199.2,8,5.26,598,core_burst,142.11800000000002,FixedFront40,Normal,FixedFront40,core_burst,142.1
31,refresh,517,sweep,152.1,direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset,direct_pure_topup_slice01_candidates,14,28,61,0.972,0.988,18,9.16,10,142,direct_refresh:sweep:g0,ok,True,184.2,ok,31,61,152.1,18,9.16,142,sweep,51.66,FixedFront40,Normal,FixedFront40,sweep,51.7
32,refresh,2,shape_magic,228,r2_outer_strong_005_r2_006_a401_procmask_02_long_maskproceduralvertical_28x40-mainshieldtall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_02_long_maskproceduralvertical_28x40-mainshieldtall_20260611_110409.asset,shape_final_with_supplement,28,40,83,,,,,,,shape_magic:Magic:2,MagicShape,True,228,MagicShape,32,83,228.0,0,0.0,0,Magic,92.83999999999999,FixedFront40,Normal,FixedFront40,Magic,92.8
33,refresh,40,dense,172.9,direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset,direct_pure_topup_slice04_candidates,19,33,78,0.986,0.990,14,7.19,14,305,asset:direct_pure_topup_04_17_direct_n,ok,True,187.6,ok,33,78,172.9,14,7.19,305,direct_pure_topup_04_17_direct_n,87.255,FixedFront40,Normal,FixedFront40,direct_pure_topup_04_17_direct_n,87.3
34,refresh,510,lock,153.4,direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset,direct_pure_topup_slice04_candidates,20,37,93,0.980,0.982,17,7.33,20,448,direct_normal:lock_buckle:g6,ok,True,188.5,ok,34,93,153.4,17,7.33,448,lock_buckle,99.298,FixedFront40,Normal,FixedFront40,lock_buckle,99.3
35,refresh,501,dense,154.7,direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset,direct_pure_topup_slice01_candidates,17,29,65,0.982,0.989,18,8.38,12,201,direct_refresh:dense_weave:g1,ok,True,185.6,ok,35,65,154.7,18,8.38,201,dense_weave,59.596999999999994,FixedFront40,Normal,FixedFront40,dense_weave,59.6
36,normal,121,lock,218.6,direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset,direct_pure_normal_extra_slice01_candidates,19,33,83,0.984,1.000,7,5.73,18,330,direct_normal:core_burst:g16,ok,True,188.5,ok,36,83,218.6,7,5.73,330,core_burst,113.78399999999999,FixedFront40,Normal,FixedFront40,core_burst,113.8
37,normal,6,hole_rescue,249,r1_ab_041_above300_level_473_final_holeblock_multiseed_final,Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Candidates/hole_prod_20x24_standard_r14_r1_ab_041_above300_level_473_final_20260610_113832.asset,hole_mask_early_front,20,24,51,0.623,,0,,,,hole_mask_early_front:6,non-procedural-hole,True,249,hole_mask,37,51,249.0,0,0.0,0,6,95.82,FixedFront40,Normal,FixedFront40,6,95.8
38,shape,6,shape_magic,224,r2_outer_strong_005_r2_006_a401_procmask_06_long_maskproceduralvertical_30x42-mainkeytall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_06_long_maskproceduralvertical_30x42-mainkeytall_20260611_110435.asset,shape_final_with_supplement,30,42,88,0.574,,12,10.00,,0.12,shape:Magic:SpecialShape,NoRisk,True,224,MagicShape,38,88,224.0,12,10.0,0,Magic,93.52,FixedFront40,Normal,FixedFront40,Magic,93.5
39,normal,157,lock,176.1,direct_normal_06_direct_normal_rect_core_burst_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset,direct_normal_candidates,22,35,101,0.988,1.000,16,7.28,21,493,direct_normal:core_burst:g0,ok,True,191.1,ok,39,101,176.1,16,7.28,493,core_burst,114.449,FixedFront40,Normal,FixedFront40,core_burst,114.4
40,normal,10,lock,199.1,direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset,direct_pure_topup_slice05_candidates,22,33,103,0.988,1.000,13,5.09,22,527,direct_normal:lock_buckle:g10,ok;front40-hard-peak,True,191.2,ok,40,103,199.1,13,5.09,527,lock_buckle,129.921,FixedFront40,Normal,FixedFront40,lock_buckle,129.9
41,refresh,36,maze,126,direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset,direct_pure_topup_slice06_candidates,18,34,85,0.962,0.991,22,10.68,11,280,direct_normal:maze_long_chain:g6,ok|yellow_replacement:GrindyLowClear,True,184,too-open,41,85,126.0,22,10.68,280,maze_long_chain,67.456,Recovery,Recovery,B_peak7_end_calm_front50,maze_long_chain,67.5
42,normal,47,dense,173.6,direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_19_direct_normal_pure_extra_rect_dense_weave_g20_v06.asset,direct_pure_normal_extra_slice02_candidates,18,35,84,0.976,0.990,15,7.32,15,340,direct_normal:dense_weave:g20,ok;rel:Recovery:Recovery,True,187.5,ok,42,84,173.6,15,7.32,340,dense_weave,92.972,Normal,Normal,B_peak7_end_calm_front50,dense_weave,93.0
43,shape,110,shape_nature,243,r2_outer_strong_005_r2_006_a401_procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_123_long_maskproceduralvertical_32x42-mainleaf09tall_20260611_111828.asset,shape_final_with_supplement,32,42,90,0.545,,13,11.18,,0.162,shape:Nature:SpecialShape,NoRisk|yellow_replacement:GrindyLowClear,True,243,Normal,43,90,243.0,13,11.18,0,Nature,95.41600000000001,Shape,Novelty,B_peak7_end_calm_front50,Nature,95.4
44,normal,190,section,149.4,direct_normal_28_direct_normal_rect_stair_push_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_28_direct_normal_rect_stair_push_g2_v03.asset,direct_normal_candidates,20,38,101,0.982,0.982,18,9.58,26,507,direct_normal:stair_push:g2,ok;rel:Recovery:Recovery,True,189.7,ok,44,101,149.4,18,9.58,507,stair_push,103.193,Pressure,Hard,B_peak7_end_calm_front50,stair_push,103.2
45,refresh,33,maze,153,nomask_style_expansion_19_long_corridor_a,Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset,no_mask_style_expansion_preview,19,27,58,0.982,0.984,19,8.38,12,144,motif:long_corridor,ok|yellow_replacement:GrindyLowClear,True,184,long-straight-run,45,58,153.0,19,8.38,144,long_corridor,48.896,Recovery,Recovery,B_peak7_end_calm_front50,long_corridor,48.9
46,normal,52,lock,172.7,direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_02_direct_normal_pure_extra_rect_lock_buckle_g15_v01.asset,direct_pure_normal_extra_slice01_candidates,19,34,80,0.991,1.000,13,6.26,14,318,direct_normal:lock_buckle:g15,ok;rel:Recovery:Recovery,True,188.8,ok,46,80,172.7,13,6.26,318,lock_buckle,92.74799999999999,Normal,Normal,B_peak7_end_calm_front50,lock_buckle,92.7
47,refresh,0,section,136.5,direct_normal_137_direct_normal_rect_dual_zone_g1_v14,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_137_direct_normal_rect_dual_zone_g1_v14.asset,direct_normal_candidates,21,37,100,0.986,1.000,17,7.75,21,505,direct_normal:dual_zone:g1,ok,True,190.7,ok,47,100,136.5,17,7.75,505,dual_zone,104.495,Peak,VeryHard,B_peak7_end_calm_front50,dual_zone,104.5
48,normal,1,shape_space,248,r2_outer_strong_005_r2_006_a401_procmask_01_onion_maskproceduralvertical_30x42-mainrockettall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406.asset,shape_final_with_supplement,30,42,86,0.981,,12,10.32,,10.9,shape:Space:sci-fi:vehicle:procmask_01_onion_maskproceduralvertical_30x42-mainrockettall_20260611_110406,rel:Novelty:ShapeVisual:Shape:Space:sci-fi:vehicle:main,True,248,Normal,48,86,248.0,12,10.32,10,Space,95.61399999999998,Shape,Novelty,B_peak7_end_calm_front50,Space,95.6
49,normal,92,section,165.1,direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset,direct_pure_normal_extra_slice02_candidates,21,34,94,0.985,1.000,16,8.69,13,478,direct_normal:stair_push:g18,ok,True,189.9,ok,49,94,165.1,16,8.69,478,stair_push,102.40599999999998,Pressure,Hard,B_peak7_end_calm_front50,stair_push,102.4
50,normal,198,dense,146.4,direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_03_direct_normal_topup_rect_dense_weave_g6_v01.asset,direct_normal_topup_candidates,22,38,108,0.974,0.991,21,12.45,21,409,direct_normal:dense_weave:g6,ok;rel:Normal:Normal,True,190.2,ok,50,108,146.4,21,12.45,409,dense_weave,96.857,Recovery,Recovery,B_peak7_end_calm_front50,dense_weave,96.9
51,normal,171,maze,153.0,direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_16_direct_normal_pure_extra_rect_maze_long_chain_g19_v05.asset,direct_pure_normal_extra_slice02_candidates,21,34,95,0.986,1.000,21,8.78,18,435,direct_normal:maze_long_chain:g19,ok;rel:Normal:Normal,True,190.1,ok,51,95,153.0,21,8.78,435,maze_long_chain,92.56099999999998,Recovery,Recovery,B_peak7_end_calm,maze_long_chain,92.6
52,refresh,103,lock,158.9,direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_22_direct_normal_pure_rect_core_burst_g8_v03.asset,direct_pure_topup_slice04_candidates,19,32,86,0.987,0.980,15,6.90,19,377,direct_normal:core_burst:g8,ok;rel:Recovery:Recovery,True,188.2,ok,52,86,158.9,15,6.9,377,core_burst,94.37700000000001,Normal,Normal,B_peak7_end_calm,core_burst,94.4
53,normal,94,shape_symbol,243,r2_outer_strong_005_r2_006_a401_procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452.asset,shape_final_with_supplement,30,42,87,0.988,,12,10.32,,11.1,shape:Symbol:letters-symbols:symbol:procmask_96_onion_maskproceduralvertical_30x42-maindistinctpuzzletall_20260611_111452,rel:Novelty:ShapeVisual:Shape:Symbol:letters-symbols:symbol:main,True,243,Normal,53,87,243.0,12,10.32,11,Symbol,95.749,Shape,Novelty,B_peak7_end_calm,Symbol,95.7
