"order","section10","category","difficultyCode","difficultyLabel","replacementMark","changedFromOriginalTemplate","changedFromC5V4FSC","originalTemplateAssetPath","originalTemplateCopiedAssetPath","baseC5V4FSCAssetPath","finalAssetPath","finalGuid","projectionReason","linkedOrder","rhythmBucket","sourcePool","productionLane","chainLanguage","originalTargetChains","baseChain","finalChain","canvasAdjustedChain","chainDeltaVsBase","chainDeltaVsInitial","note"
"11","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L011_level3_thirty_03_level3_thirty_mini_maze_30.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_72_l092_long_normal_a_lock_s10_slot_headmix_outerclean.asset","08a6f780142c19142962ceb8f59e5b52","v11_review_target","284","Ordinary","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","31","34","29","29","-5","-2","s2 ordinary 34->29"
"12","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L012_nomask_style_expansion_23_center_cross_b.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_50_l064_long_normal_b_maze_s07_slot_headmix_outerclean.asset","15752237b68b25244a4b832b03562ed3","v11_review_target","148","Ordinary","SeedV5LongChain30Front300","slot_headmix_outerclean","family_profile_chain","50","48","34","35","-14","-16","s2 ordinary 48->34"
"13","2","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L013_r2_outer_strong_005_r2_006_a401_earlyprop_04_early.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","fd689808545c7f74aba24f8da94c56e5","keep_current","","Shape","ShapeMaskInventory","","","37","60","60","60","0","23",""
"14","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L014_nomask_06_sweep.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_129_l161_long_normal_a_sweep_s17_slot_seedmaze_section_weave.asset","ffcdd2b1324bc2441ad96c41e42b0e74","v11_review_target","104","Ordinary","SeedV5LongChain30Front300","slot_seedmaze_section_weave","family_profile_chain","42","54","36","36","-18","-6","s2 ordinary 54->36"
"15","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L015_direct_pure_topup_02_15_direct_refresh_topup_rect_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_03_nutation_flow_rail_v1_rect_s06_o060_v02_flowrail_patch_chain.asset","e9eda0e3b60352e42b887b0fc4fea45d","v11_review_target","297","Ordinary","Campaign500_HardGateUntil0910","FlowPatch","patch_chain","53","55","38","38","-17","-15","s2 ordinary 55->38"
"16","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L016_direct_pure_topup_02_06_direct_refresh_topup_rect_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_10_nutation_flow_rail_v1_rect_s26_o254_v00_flowrail_rail_chain.asset","4254d069b890cec47aa568d707f30796","v11_review_target","134","Hard","Campaign500NormalFullV1UnusedStrict","FlowRail","rail_chain","54","56","50","50","-6","-4","s2 hard 56->50"
"17","2","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L017_r1_ab_091_above300_level_571_final_holeblock_multi.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","91c65810f3519934da8552fd7cd504a1","keep_current","","HoleRescue","","","","37","37","37","37","0","0","final: kept as original hole slot; no chain downshift applied"
"18","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L018_nomask_style_10_zig_river.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_02_nutation_flow_rail_v1_rect_s14_o134_v01_flowrail_rail_chain.asset","6fbda651b7888d64bab5c2ab6bdd7001","v11_review_target","289","Ordinary","Campaign500_HardGateUntil0910","FlowRail","rail_chain","53","47","39","39","-8","-14","s2 ordinary 47->39"
"19","2","normal","3","????3","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L019_direct_pure_topup_06_19_direct_normal_pure_rect_lo.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_16_nutation_longchain_spine_v1_rect_c80hf_04_d1_core_spine.asset","661b7d09f00b07245912818f2dc68f9c","v11_review_target","227","Peak","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","94","79","60","66","-19","-34","s2 order19 benchmark 79->60"
"20","2","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L020_nomask_01_outer_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_13_nutation_flow_rail_v1_rect_s02_o011_v00_flowrail_rail_chain.asset","69dc4408c31742b4fbe137341abc93d4","v11_review_target","291","Ordinary","Campaign500_HardGateUntil0910","FlowCurve","rail_chain","41","38","40","40","2","-1","s2 ordinary 38->40"
"21","3","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L021_direct_diff120_04_direct_diff_refresh_dag_unlock_s.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500LongChainProd200PoolV1/campaign500_longchain_prod200_pool_v1_164_l212_long_normal_b_maze_s22_slot_seedmaze_chamber_corridor.asset","30331b7e9131df84684f2734f344ed0d","v11_review_target","129","Ordinary","SeedV5LongChain30Front300","slot_seedmaze_chamber_corridor","family_profile_chain","59","60","42","45","-18","-17","s3 ordinary 60->42"
"22","3","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L022_nomask_style_expansion_26_stair_ladder_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80V1/nutation_longchain_candidate80_v1_08_nutation_longchain_spine_v1_rect_c80_02_d1_maze_spine.asset","aec13838f3baaea4cb6aa1222a5dd7e7","v11_review_target","281","Ordinary","NutationLongChainStrict60Front300","maze_long_chain","spine_chain","55","58","43","47","-15","-12","s3 ordinary 58->43"
"23","3","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L023_r2_outer_strong_005_r2_006_a401_maskonlyb04_01_com.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","9f2bda30d1d97484a9c98b1e3e7039b0","keep_current","","FixedFront40","ShapeMaskInventory","","","69","87","87","87","0","18",""
"24","3","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L024_direct_pure_topup_05_02_direct_normal_pure_rect_se.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_33_nutation_flow_rail_v1_rect_s23_o230_v02_flowrail_rail_chain.asset","f2fc3fedddb06914b80ae15098d8be7f","v11_review_target","121","Ordinary","Campaign500_HardGateUntil0910","FlowRail","rail_chain","82","79","45","45","-34","-37","s3 ordinary 79->45"
"25","3","normal","2","??2","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L025_direct_pure_normal_extra_01_10_direct_normal_pure_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","96a7518bf91909e4c9ee5a40342b780e","v11_review_target","232","Hard","NutationLongChainStrict60Front300","maze_long_chain","patch_chain","98","89","64","67","-25","-34","s3 hard 89->64"
"26","3","hole","1","??1","KEPT_ORIGINAL_TEMPLATE","False","False","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L026_hole_candidate_058_tall_18x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","cbf7398778e0d2b4da618201fb4b2383","keep_current","","HoleRescue","","","","42","42","42","42","0","0",""
"27","3","shape","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L027_r2_outer_strong_005_r2_006_a401_maskonlyb09_09_com.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","940d4bf35338d604ebeb2f799b3fb904","keep_current","","Shape","ShapeMaskInventory","","","68","72","72","72","0","4",""
"28","3","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L028_direct_pure_topup_02_24_direct_refresh_topup_rect_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_52_nutation_flow_rail_v1_rect_s48_o471_v00_flowrail_curve_chain.asset","3590208550bd829439ee02e0e09ddfa6","v11_review_target","471","Ordinary","Campaign500HardGateUntil0910After300Reclaimed","FlowCurve","curve_chain","63","59","46","46","-13","-17","s3 ordinary 59->46"
"29","3","normal","4","??4","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L029_sgp_merged_final_outer_repair_quality_filtered26_h.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","e013be978a31c7b40b77f8605098837b","v11_review_target","389","Peak","NutationLongChainStrict60","PressurePeak","mixed_chain","98","90","75","81","-15","-23","s3 peak 90->75"
"30","3","normal","1","??1","V5_FRONT100_TARGET_REPLACED","True","True","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L030_direct_diff120_42_direct_diff_normal_room_gate_dou.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_40_nutation_flow_rail_v1_rect_s32_o311_v00_flowrail_rail_chain.asset","5fbaa52a6b43d74439c9a17858003afd","v11_review_target","161","Ordinary","Campaign500_HardGateUntil0910","FlowRail","rail_chain","92","78","47","47","-31","-45","s3 ordinary 78->47"
"31","4","normal","1","??1","KEPT_C5V4FSC_REPLACEMENT","True","False","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500FinalV11/L031_direct_pure_topup_01_05_direct_refresh_topup_rect_.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","d20256f0b0c39cf439a0e99601d6c7fa","keep_current","","Ordinary","Campaign500_HardGateUntil0910","FlowCurve","curve_chain","61","55","55","55","0","-6",""
