"order","levelId","assetPath","guid","category","type","relativeDifficulty","slotRole","status","flags","width","height","chains","arrowTiles","maxChainLength","shapeId","shapeNameZh"
"11","level3_thirty_03_level3_thirty_mini_maze_30","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/Level3ThirtyPreview/level3_thirty_03_level3_thirty_mini_maze_30.asset","7defae96a9c44e24caa0c3510808f0ff","normal","normal","","","Green","None","12","18","31","209","11","",""
"12","nomask_style_expansion_23_center_cross_b","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_23_center_cross_b.asset","a23d560b6ece363499161d6134ecd889","normal","normal","","","Green","None","17","24","50","400","13","",""
"13","r2_outer_strong_005_r2_006_a401_earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand","Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/earlyprop_04_earlypeel_v5_maskearlyprop_24x24-earlyprop04magicwand_20260611_143452.asset","4d4e7f2bac459454dbc3602de7442266","shape","shape","","","Green","ShapeLowFill","24","24","37","201","11","magicwand","魔法杖"
"14","nomask_06_sweep","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","796937ed0ddf7b749a3eb2297be51eaa","normal","normal","","","Green","None","15","21","42","310","12","",""
"15","direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset","3d51c921f7599414fbd52fdfec68a225","normal","section","","","Green","None","14","26","53","355","11","",""
"16","direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","fa7752e9d59e1f843b5f550bf211e280","normal","lock","","","Green","None","15","29","54","426","13","",""
"17","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","91c65810f3519934da8552fd7cd504a1","hole","hole_rescue","","","Green","BottleneckHeavy","18","20","37","195","11","",""
"18","nomask_style_10_zig_river","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","bedf8c508f8438442bf31fc6cba1fadf","normal","normal","","","Green","None","18","25","53","439","56","",""
"19","direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","e8b47791cebd93b44a1c6b005336820e","normal","lock","","","Green","PeakTooFlat","19","37","94","693","13","",""
"20","nomask_01_outer_shell","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","7f6c9dd16b56752468feec834db6b733","normal","shell","","","Green","None","15","22","41","327","13","",""
"21","direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","66ce4bb2d14b93a4182111c0a466c97f","normal","sweep","Normal","FixedFront40","Green","None","17","24","59","398","11","",""
"22","nomask_style_expansion_26_stair_ladder_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset","4256fa7637e2f8b43b19f862f1ce0e2c","normal","section","Normal","FixedFront40","Green","None","16","24","55","379","13","",""
"23","r2_outer_strong_005_r2_006_a401_maskonlyb04_01_compact_train","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset","223dd96a5c5126445b6b87084cffa934","shape","shape_magic","Normal","FixedFront40","Green","None","37","29","69","728","24","train","火车"
"24","direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset","a0673711b897c2c4e897efdb4eeb9659","normal","section","Normal","FixedFront40","Green","None","18","37","82","655","13","",""
"25","direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset","912fdf5a98c036d4091bc234e5456ccb","normal","lock","Normal","FixedFront40","Green","None","21","35","98","728","13","",""
"26","hole_candidate_058_tall_18x26_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","cbf7398778e0d2b4da618201fb4b2383","hole","hole_rescue","Mechanic","HoleRescue","Green","None","18","26","42","385","18","",""
"27","r2_outer_strong_005_r2_006_a401_maskonlyb09_09_compact_crownvarianta","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset","fa67cdc654e97734e897e651ad9b412a","shape","shape_object","Novelty","Shape","Green","None","36","29","68","585","23","crownvarianta","皇冠"
"28","direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset","9762391c447caad419d8c7feedc26312","normal","maze","Normal","FixedFront40","Green","None","17","29","63","487","13","",""
"29","sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework_maze_01_sgp_linework_maze_bluepri","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","dc706f3b210b1464ebbd468c7ca6ae87","normal","dense","Normal","FixedFront40","Green","None","22","35","98","770","17","",""
"30","direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","03a84fb18fe271443bdc372888313004","normal","lock","Normal","FixedFront40","Green","None","20","32","92","632","10","",""
"31","direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset","f3c811ca47540d849919b63430d73ce1","normal","sweep","Normal","FixedFront40","Green","None","14","28","61","381","9","",""
"32","r2_outer_strong_005_r2_006_a401_maskonlyb08_03_compact_wavecrest","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset","7de586b1c8ba9f241b50f1e9cdb84571","shape","shape_magic","Normal","FixedFront40","Green","None","36","36","67","673","24","wavecrest","浪花"
"33","direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset","c16d570edc0b87b438b04b42b8269484","normal","dense","Normal","FixedFront40","Green","None","19","33","78","618","13","",""
"34","direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset","d751ab1a3b2daa840b3289d36aa9a33d","normal","lock","Normal","FixedFront40","Green","None","20","37","93","725","13","",""
"35","direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset","af05bd9213c2b3842be44b1485f5a3fa","normal","dense","Normal","FixedFront40","Green","None","17","29","65","484","13","",""
"36","direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset","cb8534fe4ab66f543bb38f2b00fa9149","normal","lock","Normal","FixedFront40","Green","None","19","33","83","617","13","",""
"37","hole_candidate_009_std_20x22_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","271922d79e908d1499f309879c21042f","hole","hole_rescue","Mechanic","HoleRescue","Green","None","20","22","41","357","18","",""
"38","r2_outer_strong_005_r2_006_a401_maskonlyb08_07_main_suspensionbridge","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset","3405b365ef91a4743a2604e044596b56","shape","shape_magic","Normal","FixedFront40","Green","None","40","32","100","706","13","suspensionbridge","悬索桥"
"39","direct_normal_06_direct_normal_rect_core_burst_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset","0e3021ea9587a2f4d89e4eb519a18325","normal","lock","Normal","FixedFront40","Green","None","22","35","101","761","13","",""
"40","direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset","3187483f0c7f34846ba9fa1f06efea19","normal","lock","Normal","FixedFront40","Green","None","22","33","103","717","13","",""
"41","direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset","c84e00de04962004592989130cdbac42","normal","dense","Recovery","Recovery","Green","None","14","28","62","382","9","",""
"42","direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset","9c731985c61051e40b11c67c34717167","normal","dense","Normal","Normal","Green","None","19","33","80","618","13","",""
"43","r2_outer_strong_005_r2_006_a401_maskonlyb05_17_large_sunglasses","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L043_sunglasses_large.asset","b8f874907acefdb41b584351ee1aa524","shape","shape_magic","Novelty","Shape","Green","None","35","27","80","648","17","sunglasses","太阳镜"
"44","direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset","ed3351ee28199c44bbb9f3660dbd6fc4","normal","section","Hard","Pressure","Green","PeakTooFlat","20","32","86","628","13","",""
"45","direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset","96e56cffda09c5b42a648443c252197d","normal","lock","Recovery","Recovery","Green","None","19","32","74","592","13","",""
"46","hole_candidate_017_std_20x26_maze","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","7ae14667f6e7b4644814ed2947249b08","hole","hole_rescue","Mechanic","HoleRescue","Green","None","20","26","43","437","21","",""
"47","direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","a45328d90f86a434ca3fbc731ea88a58","normal","lock","VeryHard","Peak","Green","PeakTooFlat","24","40","117","940","15","",""
"48","r2_outer_strong_005_r2_006_a401_maskonlyb02_15_large_kite","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L048_kite_large.asset","119df48d75b731247ad9d98d1a58b2e8","shape","shape_magic","Novelty","Shape","Green","ShapeLowFill","34","49","78","623","16","kite","风筝"
"49","direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset","7ae5e7ca36f406e41b6c6e5d6379f6b7","normal","section","Hard","Pressure","Green","PeakTooFlat","20","34","89","669","13","",""
"50","nomask_style_expansion_35_zig_river_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset","aed6723c67d6ac446a9b7cda333f9565","normal","sweep","Recovery","Recovery","Green","None","18","30","67","527","57","",""
"51","direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset","31b29dc8286423e49943c327f90dc7b6","normal","maze","Recovery","Recovery","Green","None","18","34","85","589","13","",""
"52","direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset","93d9d61f5f842524da539b38e49d2647","normal","lock","Hard","Pressure","Green","PeakTooFlat","22","31","87","666","13","",""
"53","r2_outer_strong_005_r2_006_a401_maskonlyb09_38_compact_camera","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset","3e2e9d726cb5f2147af5d4fc32309376","shape","shape_space","Novelty","Shape","Green","None","36","29","75","809","24","camera","相机"
"54","hole_topup_001_topup_tall_18x26_dense","Assets/ArrowMagic/SOData/Levels/HoleProcedural/TopupCandidates/hole_topup_001_topup_tall_18x26_dense.asset","2a8cbd13e1efdce4eb2756001da378ac","hole","hole_rescue","Mechanic","HoleRescue","Green","None","18","26","43","388","18","",""
"55","direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_13_direct_normal_pure_extra_rect_dual_zone_g16_v02.asset","50890a8751d0c5c469b9042abcec18f2","normal","section","Normal","Normal","Green","None","20","35","94","684","13","",""
"56","direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_01_direct_normal_pure_rect_outer_shell_g9_v04.asset","2f14683bd38904447918964a1bf73864","normal","dense","Hard","Pressure","Green","PeakTooFlat","22","34","96","734","13","",""
"57","direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_18_direct_normal_pure_rect_section_unlock_g8_v09.asset","42a5c27880bbff848a90b4a0f8d027c4","normal","section","Normal","Normal","Green","None","18","34","84","601","13","",""
"58","r2_outer_strong_005_r2_006_a401_maskonlyb04_06_main_bicycle","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L058_bicycle_main.asset","a946328c8f1e4b04092524ba267e3324","shape","shape_symbol","Novelty","Shape","Green","BottleneckHeavy","42","34","108","743","13","bicycle","自行车"
"59","direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_11_direct_normal_pure_rect_lock_buckle_g7_v02.asset","fe0875e15f428b247838336a8e666a21","normal","lock","VeryHard","Peak","Green","PeakTooFlat","18","38","89","672","13","",""
"60","nomask_style_06_stair_ladder","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_06_stair_ladder.asset","d76ea3da4d5801c45b2a40662fd24c5e","normal","section","Recovery","Recovery","Green","None","16","24","59","370","11","",""
"61","hole_candidate_057_tall_18x26_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_057_tall_18x26_lock.asset","0fdc751653356004d8a977ee7ca7f379","hole","hole_rescue","Mechanic","HoleRescue","Green","None","18","26","43","386","18","",""
"62","direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_01_direct_refresh_topup_rect_outer_shell_g3_v04.asset","0ea78119d8baf6f41aed11eb3fe6ecda","normal","dense","Normal","Normal","Green","None","17","24","63","394","9","",""
"63","r2_outer_strong_005_r2_006_a401_maskonlyb03_03_main_sailboat","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV3/shape_refresh_v3_L063_maskonlyb03_03_main_sailboat_20260614_200052.asset","8814f08a479818c4e95e5901ee029ab4","shape","shape_nature","Novelty","Shape","Green","ShapeLowFill","38","38","72","508","13","sailboat","帆船"
"64","nomask_style_expansion_20_long_corridor_b","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_20_long_corridor_b.asset","f93051a61cf48514f8d736f07376f4d8","normal","maze","Normal","Normal","Green","None","20","28","66","551","17","",""
"65","direct_normal_23_direct_normal_rect_lock_buckle_g2_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_23_direct_normal_rect_lock_buckle_g2_v03.asset","56a2d7f57ca8e284aa457b35cb417f15","normal","lock","Hard","Pressure","Green","PeakTooFlat","22","37","104","803","13","",""
"66","direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_21_direct_normal_pure_rect_sweep_g8_v03.asset","4cd27ddf0e91e7b40bd26cc6e9c03a80","normal","sweep","Recovery","Recovery","Green","None","18","37","89","652","13","",""
"67","r2_outer_strong_005_r2_006_a401_maskonlyb06_02_main_pager","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L067_pager_main.asset","49433cfa51b045e42a44a9282027234b","shape","shape_symbol","Novelty","Shape","Green","None","38","30","104","752","13","pager","寻呼机"
"68","direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_14_direct_refresh_topup_rect_core_burst_g1_v08.asset","ba28920fc3b5ed149896cc44faf2280a","normal","lock","Normal","Normal","Green","None","15","25","59","368","9","",""
"69","direct_normal_48_direct_normal_rect_stair_push_g4_v05","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_48_direct_normal_rect_stair_push_g4_v05.asset","037f4351c6fe31d489d68ed11d4e4a63","normal","section","Hard","Pressure","Green","PeakTooFlat","22","35","100","760","13","",""
"70","direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_139_direct_normal_rect_quasi_symmetry_g1_v14.asset","9f91f421f9e491d459a8b3ec53a7180b","normal","section","Normal","Normal","Green","None","21","36","103","741","13","",""
"71","hole_candidate_019_std_22x24_section","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_019_std_22x24_section.asset","9f62c2305d1d87741ab8b75a1464a1b5","hole","hole_rescue","Mechanic","HoleRescue","Green","None","22","24","45","447","20","",""
"72","direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalTopupCandidates/direct_normal_topup_66_direct_normal_topup_rect_lock_buckle_g8_v09.asset","80929e9f86b6e64408c27b4aeb3d3f35","normal","lock","Hard","Pressure","Green","PeakTooFlat","21","39","104","802","13","",""
"73","r2_outer_strong_005_r2_006_a401_maskonlyb08_06_compact_windmill","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L073_windmill_compact.asset","c27608691b37de3449510e2c6e26b377","shape","shape_symbol","Novelty","Shape","Green","BottleneckHeavy","36","36","82","737","24","windmill","风车"
"74","direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_21_direct_normal_pure_extra_rect_dual_zone_g17_v03.asset","7617f8df9298fdf41951cf0070f187df","normal","section","Normal","Normal","Green","None","18","36","87","642","13","",""
"75","direct_normal_121_direct_normal_rect_outer_shell_g0_v13","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_121_direct_normal_rect_outer_shell_g0_v13.asset","c6ecc88f716cb194fb29b4081eb4a787","normal","sweep","Recovery","Recovery","Green","None","20","38","103","746","13","",""
"76","direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice02/direct_pure_normal_extra_02_06_direct_normal_pure_extra_rect_stair_push_g18_v04.asset","b602572217880cc42b912a0f43c65a13","normal","section","VeryHard","Peak","Green","PeakTooFlat","21","34","94","703","13","",""
"77","nomask_style_expansion_33_double_room_lock_tall","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_33_double_room_lock_tall.asset","feb9f0905318b8c4fa93ce9954674534","normal","lock","Normal","Normal","Green","None","18","29","48","516","120","",""
"78","r2_outer_strong_005_r2_006_a401_maskonlyb05_14_large_pencil","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L078_pencil_large.asset","509f8ff63cf462c43903d305199b60b0","shape","shape_music","Novelty","Shape","Green","ShapeLowFill","38","49","87","697","17","pencil","铅笔"
"79","nomask_style_expansion_19_long_corridor_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_19_long_corridor_a.asset","25697afb2597cf242a8396199ed42316","normal","maze","Recovery","Recovery","Green","None","19","27","58","504","16","",""
"80","direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_02_direct_normal_pure_rect_section_unlock_g6_v07.asset","2de97d3e29d89b941949d8f7a95e4516","normal","section","Normal","Normal","Green","None","22","32","89","689","13","",""
"81","nomask_style_expansion_04_snake_spine_a","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_04_snake_spine_a.asset","86395ff462c95494fb7fdd91f8409576","normal","sweep","Recovery","Recovery","Green","None","16","24","46","380","117","",""
"82","hole_candidate_018_std_22x24_lock","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_018_std_22x24_lock.asset","35252a2e77ab14142b14789b38700df2","hole","hole_rescue","Mechanic","HoleRescue","Green","None","22","24","45","441","22","",""
