Attempt,SelectedIndex,Band,Structure,Motif,BuildMode,Spec,LevelId,AssetPath,Width,Height,Chains,TargetChains,Arrows,Coverage,TargetCoverage,OuterBandCoverage,InitialMovableChains,EdgeHeadChains,ShortChains,GreedyMoves,AvgChain,MaxChain,Straightness,BlockLinks,PortableSolved,PortableOpeners,PortableScore,PortableQuality,Attempts,Status
11,11,refresh_30_60,near_square,DenseKernel,motif,direct_diff_refresh_near_square_dense_kernel_g2_v03,direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_11_direct_diff_refresh_near_square_dense_kernel_g2_v03.asset,19,20,48,51,376,0.989,0.982,0.979,12,12,16,48,7.83,117,0.661,101,True,12,183.4,long-straight-run,48,Motif=Direct Diff refresh near_square dense_kernel 03 | Style=Onion | Score=43804 | MotifCells=119 | TargetInitial=9 | OpeningRatio=0.250 | MotifPeel motif=direct_diff_refresh_near_square_dense_kernel_g2_v03 style=Onion seed=1951675 fill=376/380(0.989) motifCells=119 chains=48 remaining=4 rejectedShort=0 failedPeels=1 | Motif=DenseKernel motifCells=119
12,12,refresh_30_60,dag_unlock,FourPockets,motif,direct_diff_refresh_dag_unlock_four_pockets_g2_v03,direct_diff120_12_direct_diff_refresh_dag_unlock_four_pockets_g2_v03,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_12_direct_diff_refresh_dag_unlock_four_pockets_g2_v03.asset,16,25,58,49,392,0.980,0.982,0.973,18,18,14,58,6.76,11,0.413,162,True,18,184.6,ok,131,Motif=Direct Diff refresh dag_unlock four_pockets 03 | Style=Lock | Score=38268 | MotifCells=36 | TargetInitial=8 | OpeningRatio=0.310 | MotifPeel motif=direct_diff_refresh_dag_unlock_four_pockets_g2_v03 style=Lock seed=4496642 fill=392/400(0.980) motifCells=36 chains=58 remaining=8 rejectedShort=0 failedPeels=1 | Motif=FourPockets motifCells=36
13,13,refresh_30_60,long_spine,ZigRiver,motif,direct_diff_refresh_long_spine_zig_river_g3_v04,direct_diff120_13_direct_diff_refresh_long_spine_zig_river_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_13_direct_diff_refresh_long_spine_zig_river_g3_v04.asset,15,27,60,50,395,0.975,0.982,0.987,18,18,14,60,6.58,45,0.575,140,True,18,184.4,ok,58,Motif=Direct Diff refresh long_spine zig_river 04 | Style=Onion | Score=39394 | MotifCells=45 | TargetInitial=11 | OpeningRatio=0.300 | MotifPeel motif=direct_diff_refresh_long_spine_zig_river_g3_v04 style=Onion seed=3026278 fill=395/405(0.975) motifCells=45 chains=60 remaining=10 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=45
14,14,refresh_30_60,room_gate,VerticalGate,motif,direct_diff_refresh_room_gate_vertical_gate_g3_v04,direct_diff120_14_direct_diff_refresh_room_gate_vertical_gate_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_14_direct_diff_refresh_room_gate_vertical_gate_g3_v04.asset,16,23,58,52,356,0.967,0.982,0.993,11,11,14,58,6.14,17,0.675,167,True,11,182.0,long-straight-run,74,Motif=Direct Diff refresh room_gate vertical_gate 04 | Style=Onion | Score=36381 | MotifCells=37 | TargetInitial=10 | OpeningRatio=0.190 | MotifPeel motif=direct_diff_refresh_room_gate_vertical_gate_g3_v04 style=Onion seed=4715145 fill=356/368(0.967) motifCells=37 chains=58 remaining=12 rejectedShort=0 failedPeels=1 | Motif=VerticalGate motifCells=37
15,15,refresh_30_60,near_square,StairLadder,peel_fallback,direct_diff_refresh_near_square_stair_ladder_g3_v04,direct_diff120_15_direct_diff_refresh_near_square_stair_ladder_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_15_direct_diff_refresh_near_square_stair_ladder_g3_v04.asset,20,22,55,53,437,0.993,0.982,1.000,15,15,7,55,7.95,13,0.517,156,True,15,186.0,ok,35,fallback-after-motif-fail | Style=Onion | Score=43115 | TargetInitial=10 | OpeningRatio=0.273 | Peel style=Onion seed=1421732 fill=437/440(0.993) chains=55 remaining=3 rejectedShort=0 failedPeels=1
16,16,refresh_30_60,dag_unlock,CenterCross,peel_fallback,direct_diff_refresh_dag_unlock_center_cross_g3_v04,direct_diff120_16_direct_diff_refresh_dag_unlock_center_cross_g3_v04,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_16_direct_diff_refresh_dag_unlock_center_cross_g3_v04.asset,17,28,58,51,467,0.981,0.982,0.988,13,13,10,58,8.05,13,0.453,219,True,13,184.7,ok,54,fallback-after-motif-fail | Style=Onion | Score=44170 | TargetInitial=10 | OpeningRatio=0.224 | Peel style=Onion seed=3420787 fill=467/476(0.981) chains=58 remaining=9 rejectedShort=0 failedPeels=1
17,17,refresh_30_60,long_spine,HuiSpiral,peel_fallback,direct_diff_refresh_long_spine_hui_spiral_g4_v05,direct_diff120_17_direct_diff_refresh_long_spine_hui_spiral_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_17_direct_diff_refresh_long_spine_hui_spiral_g4_v05.asset,16,24,59,52,375,0.977,0.982,0.979,7,7,13,59,6.36,11,0.284,167,True,7,185.0,ok,116,fallback-after-motif-fail | Style=Lock | Score=34130 | TargetInitial=8 | OpeningRatio=0.119 | Peel style=Lock seed=5439011 fill=375/384(0.977) chains=59 remaining=9 rejectedShort=0 failedPeels=1
18,18,refresh_30_60,room_gate,DoubleRoomLock,peel_fallback,direct_diff_refresh_room_gate_double_room_lock_g4_v05,direct_diff120_18_direct_diff_refresh_room_gate_double_room_lock_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_18_direct_diff_refresh_room_gate_double_room_lock_g4_v05.asset,18,24,54,54,427,0.988,0.982,0.993,10,10,6,54,7.91,13,0.545,152,True,10,185.4,ok,59,fallback-after-motif-fail | Style=Onion | Score=43532 | TargetInitial=10 | OpeningRatio=0.185 | Peel style=Onion seed=3963741 fill=427/432(0.988) chains=54 remaining=5 rejectedShort=0 failedPeels=1
19,19,refresh_30_60,near_square,CenterCross,motif,direct_diff_refresh_near_square_center_cross_g4_v05,direct_diff120_19_direct_diff_refresh_near_square_center_cross_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_19_direct_diff_refresh_near_square_center_cross_g4_v05.asset,17,20,53,55,333,0.979,0.982,0.977,16,16,12,53,6.28,9,0.674,108,True,16,184.5,ok,64,Motif=Direct Diff refresh near_square center_cross 05 | Style=Onion | Score=34293 | MotifCells=30 | TargetInitial=10 | OpeningRatio=0.302 | MotifPeel motif=direct_diff_refresh_near_square_center_cross_g4_v05 style=Onion seed=3734773 fill=333/340(0.979) motifCells=30 chains=53 remaining=7 rejectedShort=0 failedPeels=1 | Motif=CenterCross motifCells=30
20,20,refresh_30_60,dag_unlock,StairLadder,motif,direct_diff_refresh_dag_unlock_stair_ladder_g4_v05,direct_diff120_20_direct_diff_refresh_dag_unlock_stair_ladder_g4_v05,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_20_direct_diff_refresh_dag_unlock_stair_ladder_g4_v05.asset,15,26,61,53,377,0.967,0.982,0.973,9,9,18,61,6.18,11,0.349,171,True,9,180.4,ok,146,Motif=Direct Diff refresh dag_unlock stair_ladder 05 | Style=Lock | Score=36828 | MotifCells=36 | TargetInitial=8 | OpeningRatio=0.148 | MotifPeel motif=direct_diff_refresh_dag_unlock_stair_ladder_g4_v05 style=Lock seed=6175011 fill=377/390(0.967) motifCells=36 chains=61 remaining=13 rejectedShort=0 failedPeels=1 | Motif=StairLadder motifCells=36
21,21,refresh_30_60,long_spine,SnakeSpine,motif,direct_diff_refresh_long_spine_snake_spine_g0_v06,direct_diff120_21_direct_diff_refresh_long_spine_snake_spine_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_21_direct_diff_refresh_long_spine_snake_spine_g0_v06.asset,14,25,48,44,346,0.989,0.982,0.986,5,5,14,48,7.21,60,0.372,136,True,5,183.5,ok,144,Motif=Direct Diff refresh long_spine snake_spine 06 | Style=Lock | Score=37343 | MotifCells=60 | TargetInitial=6 | OpeningRatio=0.104 | MotifPeel motif=direct_diff_refresh_long_spine_snake_spine_g0_v06 style=Lock seed=5979661 fill=346/350(0.989) motifCells=60 chains=48 remaining=4 rejectedShort=0 failedPeels=1 | Motif=SnakeSpine motifCells=60
22,22,refresh_30_60,room_gate,KeyDoor,motif,direct_diff_refresh_room_gate_key_door_g0_v06,direct_diff120_22_direct_diff_refresh_room_gate_key_door_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_22_direct_diff_refresh_room_gate_key_door_g0_v06.asset,17,25,48,46,420,0.988,0.982,0.987,9,9,9,48,8.75,60,0.627,123,True,9,180.7,long-straight-run,68,Motif=Direct Diff refresh room_gate key_door 06 | Style=Onion | Score=48194 | MotifCells=81 | TargetInitial=9 | OpeningRatio=0.188 | MotifPeel motif=direct_diff_refresh_room_gate_key_door_g0_v06 style=Onion seed=4194205 fill=420/425(0.988) motifCells=81 chains=48 remaining=5 rejectedShort=0 failedPeels=1 | Motif=KeyDoor motifCells=81
23,23,refresh_30_60,near_square,DoubleShell,motif,direct_diff_refresh_near_square_double_shell_g0_v06,direct_diff120_23_direct_diff_refresh_near_square_double_shell_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_23_direct_diff_refresh_near_square_double_shell_g0_v06.asset,20,21,44,47,414,0.986,0.982,0.980,12,12,6,44,9.41,60,0.488,121,True,12,182.3,long-straight-run,46,Motif=Direct Diff refresh near_square double_shell 06 | Style=Onion | Score=48136 | MotifCells=94 | TargetInitial=8 | OpeningRatio=0.273 | MotifPeel motif=direct_diff_refresh_near_square_double_shell_g0_v06 style=Onion seed=1903368 fill=414/420(0.986) motifCells=94 chains=44 remaining=6 rejectedShort=0 failedPeels=1 | Motif=DoubleShell motifCells=94
24,24,refresh_30_60,dag_unlock,ZigRiver,motif,direct_diff_refresh_dag_unlock_zig_river_g0_v06,direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_24_direct_diff_refresh_dag_unlock_zig_river_g0_v06.asset,16,24,49,45,378,0.984,0.982,0.979,13,13,12,49,7.71,44,0.368,131,True,13,183.3,ok,137,Motif=Direct Diff refresh dag_unlock zig_river 06 | Style=Lock | Score=39295 | MotifCells=44 | TargetInitial=6 | OpeningRatio=0.265 | MotifPeel motif=direct_diff_refresh_dag_unlock_zig_river_g0_v06 style=Lock seed=5286167 fill=378/384(0.984) motifCells=44 chains=49 remaining=6 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=44
25,25,refresh_30_60,long_spine,LongCorridor,motif,direct_diff_refresh_long_spine_long_corridor_g1_v07,direct_diff120_25_direct_diff_refresh_long_spine_long_corridor_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_25_direct_diff_refresh_long_spine_long_corridor_g1_v07.asset,15,26,62,46,383,0.982,0.982,0.986,15,15,13,62,6.18,11,0.610,190,True,15,185.8,ok,72,Motif=Direct Diff refresh long_spine long_corridor 07 | Style=Onion | Score=36934 | MotifCells=33 | TargetInitial=11 | OpeningRatio=0.242 | MotifPeel motif=direct_diff_refresh_long_spine_long_corridor_g1_v07 style=Onion seed=4653635 fill=383/390(0.982) motifCells=33 chains=62 remaining=7 rejectedShort=0 failedPeels=1 | Motif=LongCorridor motifCells=33
26,26,refresh_30_60,room_gate,FourPockets,motif,direct_diff_refresh_room_gate_four_pockets_g1_v07,direct_diff120_26_direct_diff_refresh_room_gate_four_pockets_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_26_direct_diff_refresh_room_gate_four_pockets_g1_v07.asset,16,26,60,48,404,0.971,0.982,0.961,17,17,13,60,6.73,11,0.394,163,True,17,183.5,ok,121,Motif=Direct Diff refresh room_gate four_pockets 07 | Style=Lock | Score=39333 | MotifCells=36 | TargetInitial=8 | OpeningRatio=0.283 | MotifPeel motif=direct_diff_refresh_room_gate_four_pockets_g1_v07 style=Lock seed=3637814 fill=404/416(0.971) motifCells=36 chains=60 remaining=12 rejectedShort=0 failedPeels=1 | Motif=FourPockets motifCells=36
27,27,refresh_30_60,near_square,DenseKernel,motif,direct_diff_refresh_near_square_dense_kernel_g1_v07,direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_27_direct_diff_refresh_near_square_dense_kernel_g1_v07.asset,19,20,47,49,375,0.987,0.982,0.979,13,13,12,47,7.98,99,0.633,125,True,13,184.5,ok,75,Motif=Direct Diff refresh near_square dense_kernel 07 | Style=Onion | Score=43584 | MotifCells=101 | TargetInitial=8 | OpeningRatio=0.277 | MotifPeel motif=direct_diff_refresh_near_square_dense_kernel_g1_v07 style=Onion seed=4994226 fill=375/380(0.987) motifCells=101 chains=47 remaining=5 rejectedShort=0 failedPeels=1 | Motif=DenseKernel motifCells=101
28,28,refresh_30_60,dag_unlock,FourPockets,peel_fallback,direct_diff_refresh_dag_unlock_four_pockets_g1_v07,direct_diff120_28_direct_diff_refresh_dag_unlock_four_pockets_g1_v07,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_28_direct_diff_refresh_dag_unlock_four_pockets_g1_v07.asset,17,27,58,47,450,0.980,0.982,0.994,12,12,8,58,7.76,13,0.473,192,True,12,183.5,ok,58,fallback-after-motif-fail | Style=Onion | Score=42442 | TargetInitial=10 | OpeningRatio=0.207 | Peel style=Onion seed=3952842 fill=450/459(0.980) chains=58 remaining=9 rejectedShort=0 failedPeels=1
29,29,refresh_30_60,long_spine,ZigRiver,motif,direct_diff_refresh_long_spine_zig_river_g2_v08,direct_diff120_29_direct_diff_refresh_long_spine_zig_river_g2_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_29_direct_diff_refresh_long_spine_zig_river_g2_v08.asset,16,27,50,48,424,0.981,0.982,0.987,12,12,8,50,8.48,45,0.667,127,True,12,184.3,long-straight-run,49,Motif=Direct Diff refresh long_spine zig_river 08 | Style=Onion | Score=46015 | MotifCells=45 | TargetInitial=9 | OpeningRatio=0.240 | MotifPeel motif=direct_diff_refresh_long_spine_zig_river_g2_v08 style=Onion seed=2298585 fill=424/432(0.981) motifCells=45 chains=50 remaining=8 rejectedShort=0 failedPeels=1 | Motif=ZigRiver motifCells=45
30,30,refresh_30_60,room_gate,VerticalGate,peel_fallback,direct_diff_refresh_room_gate_vertical_gate_g2_v08,direct_diff120_30_direct_diff_refresh_room_gate_vertical_gate_g2_v08,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_30_direct_diff_refresh_room_gate_vertical_gate_g2_v08.asset,18,23,63,50,407,0.983,0.982,0.973,7,7,18,63,6.46,11,0.256,157,True,7,186.0,ok,104,fallback-after-motif-fail | Style=Lock | Score=34203 | TargetInitial=8 | OpeningRatio=0.111 | Peel style=Lock seed=4304604 fill=407/414(0.983) chains=63 remaining=7 rejectedShort=0 failedPeels=1
41,31,normal_60_100,long_spine,HuiSpiral,peel_fallback,direct_diff_normal_long_spine_hui_spiral_g0_v01,direct_diff120_41_direct_diff_normal_long_spine_hui_spiral_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_41_direct_diff_normal_long_spine_hui_spiral_g0_v01.asset,19,32,78,78,599,0.985,0.980,0.984,17,17,10,78,7.68,13,0.549,328,True,17,187.1,ok,48,fallback-after-motif-fail | Style=Onion | Score=58906 | TargetInitial=14 | OpeningRatio=0.218 | Peel style=Onion seed=3028708 fill=599/608(0.985) chains=78 remaining=9 rejectedShort=0 failedPeels=1
42,32,normal_60_100,room_gate,DoubleRoomLock,motif,direct_diff_normal_room_gate_double_room_lock_g0_v01,direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset,20,32,92,80,632,0.988,0.980,0.964,23,23,17,92,6.87,10,0.730,348,True,23,188.1,ok,41,Motif=Direct Diff normal room_gate double_room_lock 01 | Style=MediumNormal | Score=71826 | MotifCells=367 | TargetInitial=9 | OpeningRatio=0.250 | MotifPeel motif=direct_diff_normal_room_gate_double_room_lock_g0_v01 style=MediumNormal seed=5045643 fill=632/640(0.988) motifCells=367 chains=92 remaining=8 rejectedShort=0 failedPeels=1 | Motif=DoubleRoomLock motifCells=367
43,33,normal_60_100,near_square,CenterCross,peel_fallback,direct_diff_normal_near_square_center_cross_g0_v01,direct_diff120_43_direct_diff_normal_near_square_center_cross_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_43_direct_diff_normal_near_square_center_cross_g0_v01.asset,25,26,84,81,633,0.974,0.980,0.973,17,17,11,84,7.54,13,0.445,305,True,17,185.9,ok,38,fallback-after-motif-fail | Style=Onion | Score=61398 | TargetInitial=15 | OpeningRatio=0.202 | Peel style=Onion seed=1999820 fill=633/650(0.974) chains=84 remaining=17 rejectedShort=0 failedPeels=1
44,34,normal_60_100,dag_unlock,StairLadder,peel_fallback,direct_diff_normal_dag_unlock_stair_ladder_g0_v01,direct_diff120_44_direct_diff_normal_dag_unlock_stair_ladder_g0_v01,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_44_direct_diff_normal_dag_unlock_stair_ladder_g0_v01.asset,21,32,80,79,660,0.982,0.980,0.990,13,13,7,80,8.25,13,0.436,298,True,13,187.1,ok,43,fallback-after-motif-fail | Style=Onion | Score=66123 | TargetInitial=14 | OpeningRatio=0.163 | Peel style=Onion seed=2532669 fill=660/672(0.982) chains=80 remaining=12 rejectedShort=0 failedPeels=1
45,35,normal_60_100,long_spine,SnakeSpine,peel_fallback,direct_diff_normal_long_spine_snake_spine_g1_v02,direct_diff120_45_direct_diff_normal_long_spine_snake_spine_g1_v02,Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_45_direct_diff_normal_long_spine_snake_spine_g1_v02.asset,20,33,77,82,649,0.983,0.980,0.969,10,10,12,77,8.43,15,0.224,326,True,10,186.0,ok,103,fallback-after-motif-fail | Style=Lock | Score=62443 | TargetInitial=10 | OpeningRatio=0.130 | Peel style=Lock seed=4341435 fill=649/660(0.983) chains=77 remaining=11 rejectedShort=0 failedPeels=1
