"chokeClass","chokeScore","levelId","order","category","difficultyCode","sampleRole","chains","arrows","solved","processTier","avgChoices","choiceP80","maxChoices","remoteChokes","remoteScore","compositeBreakWindows","afterLocalFrontierBreaks","switchFrontierBreaks","choiceChokeWindows","meaningfulOptionRate","localOnlyRate","usefulTensionRate","flatConsequenceRate","branchDivergenceAvg","localRun","nearOuterRun","depFollowRun","sts","collapse","riskTags","assetPath","sourceFile"
"StrongChokeReview","39.174","nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch","25","normal","2","early_hard_read","64","626","True","B","4.62","6","8","2","0","1","0","0","3","0","0","0","0","0","5","5","3","0.833","0.184","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_03_nutation_longchain_patch_v1_rect_c80hf_01_d1_lock_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"ChokeSignalRisky","38.637","rdsb_01_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwa","","","","","58","","True","Drop","7.24","11","13","4","0.97","0","0","0","3","0.208","0.298","0","0.526","5.065","4","3","3","0.903","0.151","choicePeakHigh;localOnlyHigh;flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_01_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwa.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"ChokeReview","37.021","sgp_rdcm_v2_s03_05_t42_c5","","","","","66","","True","A","4.92","7","9","1","0.383","0","0","1","4","0.446","0.079","0.127","0.556","4.741","4","3","4","0.766","0.34","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_05_t42_c5.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeReview","37.014","sgp_rdcm_v2_s01_03_c27","","","","","","","","B","4.58","6","8","1","0.548","0","0","0","0","0.397","0.161","0.161","0.375","5.571","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_03_c27.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeReview","36.931","sgp_rdcm_v2_s03_09_c5","","","","","66","","True","A","4.86","7","9","1","0.383","0","0","1","4","0.446","0.079","0.143","0.587","4.664","4","3","4","0.802","0.308","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_09_c5.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeReview","36.685","sgp_rdcm_v2_s01_02_c22","","","","","","","","B","4.61","6","8","1","0.548","0","0","0","0","0.392","0.161","0.161","0.375","5.519","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_02_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_04_rfp55_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_04_rfp55_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_01_rfp55_t36_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_01_rfp55_t36_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_06_rfp55_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_06_rfp55_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","30.885","sgp_rdcm_v2_s04_02_c51","","","","","64","","True","B","4.73","6","8","0","0","1","0","0","2","0.616","0.048","0.097","0.403","5.5","5","3","4","0.921","0.147","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_02_c51.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choice_value_v2_review5_diag_metrics.csv"
"ChokeReview","29.777","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","47","normal","4","early_extreme_hub","94","667","True","B","5.99","8","10","2","0","1","0","0","3","0","0","0","0","0","6","5","5","0.82","0.277","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationHubMixedV1Strict30TransformWidePool\nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"StrongChokeReview","27.753","sgp_rdcm_v2_s04_06_t12","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.585","0.065","0.129","0.403","5.631","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_06_t12.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_trace1_review_v1_review_keep.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_01_rfp55_rfp52_t36","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_01_rfp55_rfp52_t36.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_05_rfp55_c22","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_05_rfp55_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_03_rfp55_rfp52","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_03_rfp55_rfp52.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_03_rfp55_c22","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_03_rfp55_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_05_rfp55","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_05_rfp55.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_02_rfp55_t36","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_02_rfp55_t36.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","26.936","sgp_rdcm_v2_s02_02_c16","","","","","","","","B","4.62","6","8","2","0.867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_02_c16.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_break_wrapper_smoke2_remote_metrics_ranked.csv"
"StrongChokeReview","25.63","sgp_rdcm_v2_s04_04_t51_t12","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.589","0.065","0.081","0.403","5.409","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_04_t51_t12.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeReview","25.577","campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier","3","normal","1","scale_intro_control","15","181","True","A","4.07","7","8","1","0","1","0","0","1","0","0","0","0","0","3","3","1","0.924","0.123","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500LongChainProd200PoolV1\campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"StrongChokeReview","25.566","sgp_rdcm_v2_s04_03_t51","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.585","0.065","0.081","0.403","5.409","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_03_t51.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeReview","24.266","nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch","29","normal","4","early_extreme_peak","75","772","True","B","6.17","8","10","2","0","0","0","0","2","0","0","0","0","0","4","4","3","0.907","0.141","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\campaign500_trace_v2_calibration30_metrics_partial20_joined_selection.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2_s04_03_t51_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_03_t51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak5_composite_review_v1_srcapped4_ranked.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2_s04_01_t51_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_01_t51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_residual2_review_v1_ranked.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2rp_r03_01_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r03_01_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","23.668","sgp_rdcm_v2_s04_01_c51_c54","","","","","64","","","A","4.53","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.917","0.154","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_01_c51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak5_composite_review_v1_srcapped4_ranked.csv"
"StrongChokeReview","23.668","sgp_rdcm_v2_s04_05_c51_c54","","","","","64","","","A","4.53","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.917","0.154","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_05_c51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_residual2_review_v1_ranked.csv"
"ChokeSignalRisky","22.841","sgp_rdcm_v2_s03_01_t42_c48","","","","","66","","True","B","4.67","7","8","0","0","0","0","1","3","0.443","0.079","0.127","0.54","4.904","5","5","4","0.879","0.194","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_01_t42_c48.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeSignalRisky","22.806","sgp_rdcm_v2_s03_06_c48","","","","","66","","True","B","4.65","7","8","0","0","0","0","1","3","0.441","0.079","0.143","0.556","4.92","4","4","4","0.879","0.196","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_06_c48.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choice_value_v2_review5_diag_metrics.csv"
"ChokeSignalRisky","22.593","rdsb_02_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_cba","","","","","57","","True","Drop","6.86","9","13","2","0.802","0","0","0","2","0.363","0.107","0.054","0.482","5.484","3","3","5","0.869","0.115","choicePeakHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_02_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_cba.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"ChokeReview","21.588","sgp_rdcm_v2_s01_08_c25","","","","","57","","","A","4.51","6","8","0","0","1","0","0","5","0","0","0","0","0","3","3","4","0.897","0.204","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_08_c25.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak5_composite_review_v1_srcapped4_ranked.csv"
