section10,levels,score,avgChain,minChain,maxChain,normalAvg,hardAvg,peakAvg,code1,code2,code3,code4,shape,hole,styleDiversity,findingCount,sectionRole,playerExperience,topRisk
18,171-180,100,99.5,81.0,127.0,91.2,104.0,124.0,7,1,2,0,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
19,181-190,100,98.5,83.0,123.0,95.2,112.0,123.0,8,1,1,0,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
20,191-200,100,99.2,84.0,145.0,93.0,0.0,145.0,9,0,0,1,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
21,201-210,100,105.6,86.0,140.0,98.5,113.7,140.0,6,3,0,1,2,1,9,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
22,211-220,100,109.6,86.0,147.0,95.5,117.7,135.5,5,3,1,1,2,1,9,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
23,221-230,100,109.3,92.0,135.0,101.0,114.8,135.0,5,4,0,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
24,231-240,100,109.5,88.0,143.0,95.8,119.0,133.0,6,2,1,1,2,1,10,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
25,241-250,100,106.4,88.0,130.0,100.4,116.0,129.0,7,1,2,0,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
26,251-260,100,108.5,90.0,150.0,99.2,117.0,137.0,7,1,1,1,2,1,10,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
27,261-270,100,109.6,90.0,145.0,100.0,129.0,136.5,7,1,1,1,2,1,9,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
28,271-280,100,110.5,91.0,152.0,99.6,130.0,140.5,7,1,1,1,2,1,10,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
29,281-290,100,114.9,92.0,140.0,101.2,123.3,135.0,5,3,1,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
30,291-300,100,113.9,93.0,148.0,100.4,125.5,143.5,6,2,1,1,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
31,301-310,100,113.2,94.0,148.0,106.8,118.0,141.0,7,1,1,1,2,1,9,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
32,311-320,100,113.3,94.0,155.0,103.4,130.0,142.0,7,1,1,1,2,1,10,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
33,321-330,100,118.6,94.0,150.0,104.0,120.0,141.3,5,2,2,1,2,1,7,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
34,331-340,100,119.3,98.0,156.0,103.8,118.0,145.0,5,2,2,1,2,1,10,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
35,341-350,100,121.4,102.0,144.0,110.0,122.7,138.0,4,3,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
36,351-360,100,119.7,97.0,151.0,105.5,127.0,141.3,5,2,2,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
37,361-370,100,111.8,96.0,138.0,105.2,0.0,137.0,8,0,2,0,2,1,7,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
38,371-380,100,112.7,97.0,158.0,105.8,120.0,158.0,8,1,0,1,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
39,381-390,100,119.8,98.0,152.0,106.0,122.0,144.7,6,1,2,1,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
40,391-400,100,118.3,98.0,159.0,105.6,128.0,147.5,6,2,1,1,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
41,401-410,100,121.7,99.0,146.0,109.0,127.2,141.0,4,4,1,1,2,1,8,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
42,411-420,100,122.1,99.0,154.0,107.0,128.5,144.3,5,2,2,1,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
43,421-430,100,117.2,99.0,155.0,106.8,123.0,147.0,7,1,1,1,2,1,10,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
44,431-440,100,117.9,99.0,160.0,105.8,126.3,160.0,6,3,0,1,2,1,9,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
45,441-450,100,121.4,100.0,155.0,108.0,129.0,146.3,6,1,2,1,2,1,8,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
46,451-460,100,118.0,101.0,160.0,107.8,128.0,149.0,7,1,1,1,2,1,9,0,章节回落/新主题入口,从上一段峰值释放，并引入本50关主味道,
47,461-470,100,113.2,100.0,141.0,107.4,128.0,141.0,8,1,1,0,2,1,8,0,主语言练习,让玩家稳定练习本段主风格，建立熟悉感,
48,471-480,100,118.4,101.0,156.0,108.5,130.0,146.0,7,1,1,1,2,1,9,0,变化与轻读题,换风格/链条语言/画布手感，开始让玩家停一下,
49,481-490,100,112.4,101.0,142.0,109.0,0.0,142.0,9,0,1,0,2,1,8,0,压力上坡,困难位拉开差距，重点是区域切换和反局部连消,
50,491-500,100,113.0,102.0,146.0,108.7,0.0,146.0,9,0,1,0,2,1,9,0,小峰值/章节记忆点,形成本50关记忆点，随后必须释放,
