status,batch,order,variant,icon,theme,levelPath,reason
accepted,maskonlyb01,05,main,musicnote,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_main_musicnote_20260614_170828.asset,
accepted,maskonlyb01,05,large,musicnote,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_05_large_musicnote_20260614_170850.asset,
accepted,maskonlyb01,06,compact,snowflake,Winter,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_compact_snowflake_20260614_170851.asset,
accepted,maskonlyb01,06,main,snowflake,Winter,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_main_snowflake_20260614_170857.asset,
accepted,maskonlyb01,06,large,snowflake,Winter,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_06_large_snowflake_20260614_170859.asset,
accepted,maskonlyb01,07,compact,starfish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_compact_starfish_20260614_170859.asset,
accepted,maskonlyb01,07,main,starfish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_main_starfish_20260614_170900.asset,
accepted,maskonlyb01,07,large,starfish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_07_large_starfish_20260614_170901.asset,
accepted,maskonlyb01,08,compact,hourglass,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_compact_hourglass_20260614_170901.asset,
accepted,maskonlyb01,08,main,hourglass,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_main_hourglass_20260614_170902.asset,
accepted,maskonlyb01,08,large,hourglass,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_08_large_hourglass_20260614_170904.asset,
accepted,maskonlyb01,09,compact,clover,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_compact_clover_20260614_170904.asset,
accepted,maskonlyb01,09,main,clover,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_main_clover_20260614_170905.asset,
accepted,maskonlyb01,09,large,clover,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_09_large_clover_20260614_170906.asset,
accepted,maskonlyb01,10,compact,sun,Weather,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_compact_sun_20260614_170907.asset,
accepted,maskonlyb01,10,main,sun,Weather,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_main_sun_20260614_170907.asset,
accepted,maskonlyb01,10,large,sun,Weather,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_10_large_sun_20260614_170909.asset,
accepted,maskonlyb01,11,compact,shell,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_compact_shell_20260614_170910.asset,
accepted,maskonlyb01,11,main,shell,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_main_shell_20260614_170910.asset,
accepted,maskonlyb01,11,large,shell,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb01_11_large_shell_20260614_170911.asset,
accepted,maskonlyb02,01,compact,paperplane,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_compact_paperplane_20260614_171854.asset,
accepted,maskonlyb02,01,main,paperplane,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_main_paperplane_20260614_171855.asset,
accepted,maskonlyb02,01,large,paperplane,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_01_large_paperplane_20260614_171856.asset,
accepted,maskonlyb02,02,compact,apple,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_compact_apple_20260614_171856.asset,
accepted,maskonlyb02,02,main,apple,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_main_apple_20260614_171857.asset,
accepted,maskonlyb02,02,large,apple,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_02_large_apple_20260614_171859.asset,
accepted,maskonlyb02,03,compact,banana,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_compact_banana_20260614_171859.asset,
accepted,maskonlyb02,03,main,banana,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_main_banana_20260614_171904.asset,
accepted,maskonlyb02,03,large,banana,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_03_large_banana_20260614_171905.asset,
accepted,maskonlyb02,04,compact,potionbottle,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_04_compact_potionbottle_20260614_171906.asset,
accepted,maskonlyb02,04,main,potionbottle,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_04_main_potionbottle_20260614_171907.asset,
accepted,maskonlyb02,04,large,potionbottle,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_04_large_potionbottle_20260614_171908.asset,
accepted,maskonlyb02,05,compact,icecreamcone,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_05_compact_icecreamcone_20260614_171908.asset,
accepted,maskonlyb02,05,main,icecreamcone,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_05_main_icecreamcone_20260614_171909.asset,
accepted,maskonlyb02,05,large,icecreamcone,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_05_large_icecreamcone_20260614_171910.asset,
accepted,maskonlyb02,06,compact,hotairballoon,Travel,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_06_compact_hotairballoon_20260614_171911.asset,
accepted,maskonlyb02,06,main,hotairballoon,Travel,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_06_main_hotairballoon_20260614_171912.asset,
accepted,maskonlyb02,06,large,hotairballoon,Travel,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_06_large_hotairballoon_20260614_171913.asset,
accepted,maskonlyb02,07,compact,wizardhat,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_compact_wizardhat_20260614_171913.asset,
accepted,maskonlyb02,07,main,wizardhat,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_main_wizardhat_20260614_171914.asset,
accepted,maskonlyb02,07,large,wizardhat,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_07_large_wizardhat_20260614_171915.asset,
accepted,maskonlyb02,08,compact,magicbook,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_08_compact_magicbook_20260614_171916.asset,
accepted,maskonlyb02,08,main,magicbook,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_08_main_magicbook_20260614_171918.asset,
accepted,maskonlyb02,08,large,magicbook,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_08_large_magicbook_20260614_171919.asset,
accepted,maskonlyb02,09,compact,fish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_09_compact_fish_20260614_171920.asset,
accepted,maskonlyb02,09,main,fish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_09_main_fish_20260614_171921.asset,
accepted,maskonlyb02,09,large,fish,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_09_large_fish_20260614_171922.asset,
accepted,maskonlyb02,10,compact,wrappedcandy,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_10_compact_wrappedcandy_20260614_171922.asset,
accepted,maskonlyb02,10,main,wrappedcandy,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_10_main_wrappedcandy_20260614_171923.asset,
accepted,maskonlyb02,10,large,wrappedcandy,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_10_large_wrappedcandy_20260614_171924.asset,
accepted,maskonlyb02,11,compact,cupcake,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_11_compact_cupcake_20260614_171924.asset,
accepted,maskonlyb02,11,main,cupcake,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_11_main_cupcake_20260614_171925.asset,
accepted,maskonlyb02,11,large,cupcake,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_11_large_cupcake_20260614_171927.asset,
accepted,maskonlyb02,12,compact,carrot,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_12_compact_carrot_20260614_171927.asset,
accepted,maskonlyb02,12,main,carrot,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_12_main_carrot_20260614_171928.asset,
accepted,maskonlyb02,12,large,carrot,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_12_large_carrot_20260614_171936.asset,
excluded,maskonlyb02,13,compact,ghost,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_13_compact_ghost_20260614_171936.asset,needs_mask_eye_rework
excluded,maskonlyb02,13,main,ghost,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_13_main_ghost_20260614_171937.asset,needs_mask_eye_rework
excluded,maskonlyb02,13,large,ghost,Magic,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_13_large_ghost_20260614_171938.asset,needs_mask_eye_rework
accepted,maskonlyb02,14,compact,strawberry,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_14_compact_strawberry_20260614_171939.asset,
accepted,maskonlyb02,14,main,strawberry,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_14_main_strawberry_20260614_171940.asset,
accepted,maskonlyb02,14,large,strawberry,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_14_large_strawberry_20260614_171941.asset,
accepted,maskonlyb02,15,compact,kite,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_15_compact_kite_20260614_171941.asset,
accepted,maskonlyb02,15,main,kite,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_15_main_kite_20260614_171942.asset,
accepted,maskonlyb02,15,large,kite,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_15_large_kite_20260614_171956.asset,
accepted,maskonlyb02,16,compact,pumpkin,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_16_compact_pumpkin_20260614_171956.asset,
accepted,maskonlyb02,16,main,pumpkin,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_16_main_pumpkin_20260614_171957.asset,
accepted,maskonlyb02,16,large,pumpkin,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_16_large_pumpkin_20260614_171959.asset,
accepted,maskonlyb02,17,compact,butterfly,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_compact_butterfly_20260614_171959.asset,
accepted,maskonlyb02,17,main,butterfly,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_main_butterfly_20260614_172001.asset,
accepted,maskonlyb02,17,large,butterfly,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_17_large_butterfly_20260614_172002.asset,
accepted,maskonlyb02,18,compact,lollipop,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_18_compact_lollipop_20260614_172002.asset,
accepted,maskonlyb02,18,main,lollipop,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_18_main_lollipop_20260614_172003.asset,
accepted,maskonlyb02,18,large,lollipop,Food,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb02_18_large_lollipop_20260614_172004.asset,
accepted,maskonlyb03,01,compact,house,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_01_compact_house_20260614_200046.asset,
accepted,maskonlyb03,01,main,house,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_01_main_house_20260614_200047.asset,
accepted,maskonlyb03,01,large,house,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_01_large_house_20260614_200048.asset,
accepted,maskonlyb03,02,compact,guitar,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_02_compact_guitar_20260614_200048.asset,
accepted,maskonlyb03,02,main,guitar,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_02_main_guitar_20260614_200050.asset,
accepted,maskonlyb03,02,large,guitar,Music,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_02_large_guitar_20260614_200050.asset,
accepted,maskonlyb03,03,compact,sailboat,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_03_compact_sailboat_20260614_200051.asset,
accepted,maskonlyb03,03,main,sailboat,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_03_main_sailboat_20260614_200052.asset,
accepted,maskonlyb03,03,large,sailboat,Ocean,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_03_large_sailboat_20260614_200100.asset,
accepted,maskonlyb03,04,compact,gamepad,Digital,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_04_compact_gamepad_20260614_200100.asset,
accepted,maskonlyb03,04,main,gamepad,Digital,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_04_main_gamepad_20260614_200101.asset,
accepted,maskonlyb03,04,large,gamepad,Digital,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb03_04_large_gamepad_20260614_200102.asset,
accepted,maskonlyb04,01,compact,train,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_01_compact_train_20260615_154532.asset,
accepted,maskonlyb04,01,main,train,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_01_main_train_20260615_154533.asset,
accepted,maskonlyb04,01,large,train,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_01_large_train_20260615_154535.asset,
accepted,maskonlyb04,02,compact,tree,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_02_compact_tree_20260615_154535.asset,
accepted,maskonlyb04,02,main,tree,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_02_main_tree_20260615_154536.asset,
accepted,maskonlyb04,02,large,tree,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_02_large_tree_20260615_154538.asset,
accepted,maskonlyb04,03,compact,waterdrop,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_03_compact_waterdrop_20260615_154538.asset,
accepted,maskonlyb04,03,main,waterdrop,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_03_main_waterdrop_20260615_154539.asset,
accepted,maskonlyb04,03,large,waterdrop,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_03_large_waterdrop_20260615_154540.asset,
accepted,maskonlyb04,04,compact,airplane,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_compact_airplane_20260615_154540.asset,
accepted,maskonlyb04,04,main,airplane,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_main_airplane_20260615_154542.asset,
accepted,maskonlyb04,04,large,airplane,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_04_large_airplane_20260615_154548.asset,
accepted,maskonlyb04,05,compact,alarmclock,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_compact_alarmclock_20260615_154549.asset,
accepted,maskonlyb04,05,main,alarmclock,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_main_alarmclock_20260615_154550.asset,
accepted,maskonlyb04,05,large,alarmclock,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_05_large_alarmclock_20260615_154552.asset,
accepted,maskonlyb04,06,compact,bicycle,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_compact_bicycle_20260615_154553.asset,
accepted,maskonlyb04,06,main,bicycle,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_main_bicycle_20260615_154554.asset,
accepted,maskonlyb04,06,large,bicycle,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_06_large_bicycle_20260615_154555.asset,
accepted,maskonlyb04,07,compact,cactus,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_compact_cactus_20260615_154556.asset,
accepted,maskonlyb04,07,main,cactus,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_main_cactus_20260615_154558.asset,
accepted,maskonlyb04,07,large,cactus,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_07_large_cactus_20260615_154559.asset,
accepted,maskonlyb04,08,compact,car,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_compact_car_20260615_154600.asset,
accepted,maskonlyb04,08,main,car,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_main_car_20260615_154601.asset,
accepted,maskonlyb04,08,large,car,Vehicle,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_08_large_car_20260615_154601.asset,
accepted,maskonlyb04,09,compact,flag,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_09_compact_flag_20260615_154602.asset,
accepted,maskonlyb04,09,main,flag,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_09_main_flag_20260615_154603.asset,
accepted,maskonlyb04,09,large,flag,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_09_large_flag_20260615_154604.asset,
accepted,maskonlyb04,10,compact,flame,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_10_compact_flame_20260615_154605.asset,
accepted,maskonlyb04,10,main,flame,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_10_main_flame_20260615_154606.asset,
accepted,maskonlyb04,10,large,flame,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_10_large_flame_20260615_154608.asset,
accepted,maskonlyb04,11,compact,flower,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_11_compact_flower_20260615_154608.asset,
accepted,maskonlyb04,11,main,flower,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_11_main_flower_20260615_154609.asset,
accepted,maskonlyb04,11,large,flower,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_11_large_flower_20260615_154611.asset,
accepted,maskonlyb04,12,compact,gear,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_12_compact_gear_20260615_154611.asset,
accepted,maskonlyb04,12,main,gear,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_12_main_gear_20260615_154612.asset,
accepted,maskonlyb04,12,large,gear,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_12_large_gear_20260615_154616.asset,
accepted,maskonlyb04,13,compact,leaf,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_13_compact_leaf_20260615_154616.asset,
accepted,maskonlyb04,13,main,leaf,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_13_main_leaf_20260615_154617.asset,
accepted,maskonlyb04,13,large,leaf,Nature,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_13_large_leaf_20260615_154618.asset,
accepted,maskonlyb04,14,compact,mailbox,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_14_compact_mailbox_20260615_154619.asset,
accepted,maskonlyb04,14,main,mailbox,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_14_main_mailbox_20260615_154619.asset,
accepted,maskonlyb04,14,large,mailbox,City,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_14_large_mailbox_20260615_154620.asset,
accepted,maskonlyb04,15,compact,medal,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_15_compact_medal_20260615_154621.asset,
accepted,maskonlyb04,15,main,medal,Object,Assets/ArrowMagic/SOData/Levels/ShapeExperiment/Candidates/ProceduralMaskFill/maskonlyb04_15_main_medal_20260615_154622.asset,
