"order","category","finalStatus","finalLevelId","loadMode","loadedAssetPath","loadedAssetGuid","syncAssetPath","assemblyAction","assemblySourcePool","assemblyGateClass","productionLane","productionStyle","productionChainLanguage","chains","sourceCoverage","maxChoices","localPatchSolveRunMax","solveTraceQualityScore","templateTargetChains","actualChains","effectiveChainLoad","rhythmStageBand","sectionWaveRole","rhythmStyleGroup","rhythmPlacementReason"
"11","normal","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","1a39b1086109f7943b4bac5d221c1ecc","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_12_nutation_flow_rail_v1_rect_s10_o092_v02_flowrail_rail_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowCurve","flow","rail_chain","34","0.984","7","6","0.907","31","34","36.92","S00_front20_soft","Normal","flow","target=31;stageTarget=31;effective=36.9;chains=34;role=Normal;style=flow;chain=rail_chain;cost=19.6"
"12","normal","ReplacedRhythmV4","campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","18028b31c1437b5469b8b55fe7a1161b","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/fastlane1/campaign500_normal_early_plus_v1_topup_fastlane1_45_nutation_flow_rail_v1_rect_s33_o322_v02_flowrail_patch_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","48","0.991","9","3","0.932","50","48","49.78","S00_front20_soft","Normal","flow","target=50;stageTarget=50;effective=49.8;chains=48;role=Normal;style=flow;chain=patch_chain;cost=26.0"
"13","shape","ShapeCandidatePlanned","campaign500_shape_psg_newbie4_04_L013_magicwand","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","fd689808545c7f74aba24f8da94c56e5","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgNewbie4/campaign500_shape_psg_newbie4_04_L013_magicwand.asset","ActiveReplace","ShapeMaskInventory","FormalAccepted","","Sweep","","60","0.982","9","8","","37","60","","S00_front20_soft","Shape","","unchanged_from_v3_or_non_normal"
"14","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","eecbe040883ddde4bb317d33533b439c","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","54","0.98","8","5","0.83","42","54","56.33","S00_front20_soft","Normal","neutral","target=42;stageTarget=42;effective=56.3;chains=54;role=Normal;style=neutral;chain=mixed_chain;cost=58.2"
"15","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","10f853e4f2acf2949bd42b92826aa221","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowCurve","flow","curve_chain","55","0.981","6","4","0.864","53","55","56.12","S00_front20_soft","Normal","flow","target=53;stageTarget=53;effective=56.1;chains=55;role=Normal;style=flow;chain=curve_chain;cost=12.2"
"16","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","f3020586499c1b043b3557c066b863e2","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","56","0.974","8","6","0.895","54","56","59.83","S00_front20_soft","Hard","neutral","target=54;stageTarget=54;effective=59.8;chains=56;role=Hard;style=neutral;chain=mixed_chain;cost=16.6"
"17","hole","OriginalNonTarget","r1_ab_091_above300_level_571_final_holeblock_multiseed_final","BasePreviewFallback","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","91c65810f3519934da8552fd7cd504a1","U/Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","KeepCurrent","","","","","","","","","","","37","","","S00_front20_soft","HoleRescue","","unchanged_from_v3_or_non_normal"
"18","normal","ReplacedRhythmV4","c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","19b21044c0dab014ca8ad9119968f7d6","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","47","0.991","9","6","0.908","53","47","52.47","S00_front20_soft","Normal","flow","target=53;stageTarget=53;effective=52.5;chains=47;role=Normal;style=flow;chain=patch_chain;cost=26.5"
"19","normal","ReplacedRhythmV4Final","c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","925e54cf56adaf34b8d7e6f01e22d355","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4FinalFront300TraceKeep","Campaign500_HardGateUntil0910","hardgate","strict_peak_chain","79","","8","4","0.905","94","79","81.16","S00_front20_soft","PeakExtreme","hardgate","rhythm_v4_final|front20_peak_marker_upshift|swapped_from_order=128|target=94;stageTarget=64;effective=81.2;chains=79;style=hardgate;chain=strict_peak_chain"
"20","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","50e5ed3f376fe3a45b1bd6b490b04776","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowRail","flow","rail_chain","38","0.991","9","2","0.908","41","38","40.59","S00_front20_soft","Normal","flow","target=41;stageTarget=41;effective=40.6;chains=38;role=Normal;style=flow;chain=rail_chain;cost=23.0"
"21","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","145cf0cda4c002a4cbc51bed907e1dc8","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","patch_chain","60","0.994","8","4","0.828","59","60","61.54","S01_light_ramp","Normal","flow","target=59;stageTarget=59;effective=61.5;chains=60;role=Normal;style=flow;chain=patch_chain;cost=26.4"
"22","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","a6aad120b9594f6468b724899496f6a5","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","58","0.993","8","6","0.857","55","58","62.99","S01_light_ramp","Normal","neutral","target=55;stageTarget=55;effective=63.0;chains=58;role=Normal;style=neutral;chain=mixed_chain;cost=43.5"
"23","shape","ShapeCandidatePlanned","campaign500_shape_psg_direction3_01_L023_train","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","9f2bda30d1d97484a9c98b1e3e7039b0","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","ActiveReplace","ShapeMaskInventory","LatestProposedKeep","","CoreBurst","","87","0.991","10","7","","69","87","","S01_light_ramp","FixedFront40","","unchanged_from_v3_or_non_normal"
"24","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","c84b959032ab68a4dbdf84d9276ecf03","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","ActiveReplace","Campaign500NormalFullV1UnusedStrict","RhythmV4Front300TraceKeep","PeelMid","peel","rail_chain","79","0.99","9","5","0.811","82","79","83.41","S01_light_ramp","Normal","peel","target=82;stageTarget=82;effective=83.4;chains=79;role=Normal;style=peel;chain=rail_chain;cost=37.0"
"25","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","faaa6a67c34b5bf4db4723ee8f7b1e12","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","PressurePeak","hardgate","mixed_chain","89","0.985","9","4","0.884","98","89","95.99","S01_light_ramp","Hard","hardgate","target=98;stageTarget=96;effective=96.0;chains=89;role=Hard;style=hardgate;chain=mixed_chain;cost=26.3"
"26","hole","OriginalNonTarget","hole_candidate_058_tall_18x26_section","BasePreviewFallback","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","cbf7398778e0d2b4da618201fb4b2383","U/Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","KeepCurrent","","","","","","","","","","","42","","","S01_light_ramp","HoleRescue","","unchanged_from_v3_or_non_normal"
"27","shape","ShapeCandidatePlanned","campaign500_shape_psg_direction3_02_L027_crownvarianta","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","940d4bf35338d604ebeb2f799b3fb904","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","ActiveReplace","ShapeMaskInventory","LatestProposedKeep","","LockBuckle","","72","0.993","8","10","","68","72","","S01_light_ramp","Shape","","unchanged_from_v3_or_non_normal"
"28","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","df820ac5d66dd8845b193b2505155249","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowPatch","flow","rail_chain","59","0.992","10","4","0.926","63","59","63.51","S01_light_ramp","Normal","flow","target=63;stageTarget=63;effective=63.5;chains=59;role=Normal;style=flow;chain=rail_chain;cost=36.2"
"29","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","ea7d38b96b0bd084f81c8fa7ea200403","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","ActiveReplace","Campaign500NormalFullV1UnusedStrict","RhythmV4Front300TraceKeep","PressurePeak","peel","mixed_chain","90","0.985","10","5","0.816","98","90","97.40","S01_light_ramp","PeakExtreme","peel","target=98;stageTarget=96;effective=97.4;chains=90;role=PeakExtreme;style=peel;chain=mixed_chain;cost=15.5"
"30","normal","ReplacedRhythmV4","campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","43226843fa380a94ca7b51d818c9d7a3","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","78","0.993","9","5","0.836","92","78","82.48","S01_light_ramp","Normal","neutral","target=92;stageTarget=84;effective=82.5;chains=78;role=Normal;style=neutral;chain=mixed_chain;cost=55.4"
"31","normal","ReplacedRhythmV4","c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","d20256f0b0c39cf439a0e99601d6c7fa","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","FlowCurve","flow","curve_chain","55","0.983","8","6","0.864","61","55","59.91","S01_light_ramp","Normal","flow","target=61;stageTarget=61;effective=59.9;chains=55;role=Normal;style=flow;chain=curve_chain;cost=32.3"
"32","shape","ShapeCandidatePlanned","campaign500_shape_psg_direction3_03_L032_wavecrest","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","886e8b8365360ba4d94c8238422884db","U/Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","ActiveReplace","ShapeMaskInventory","ManualAcceptedProposed","","Sweep","","83","0.977","14","9","","67","83","","S01_light_ramp","FixedFront40","","unchanged_from_v3_or_non_normal"
"33","normal","ReplacedRhythmV4","c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain","ManifestAsset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","a38e26660bd56594588de98e1304aa33","U/Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","ActiveReplace","Campaign500_HardGateUntil0910","RhythmV4Front300TraceKeep","NeutralMixed","neutral","mixed_chain","75","0.986","8","6","0.933","78","75","78.24","S01_light_ramp","Normal","neutral","target=78;stageTarget=78;effective=78.2;chains=75;role=Normal;style=neutral;chain=mixed_chain;cost=32.5"
