"order","section10","category","replacementMark","finalStatus","sourcePool","rhythmStyleGroup","productionLane","productionChainLanguage","initialAssetPath","finalAssetPath","initialWidth","initialHeight","initialArea","initialArrowCount","initialChainCount","initialArrowCoverage","finalWidth","finalHeight","finalArea","finalArrowCount","finalChainCount","finalArrowCoverage","arrowDelta","areaDelta","finalIsLargeCanvas","finalIsLowArrowLate"
"14","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_06_sweep.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_101_nutation_mixed_neutral_v1_rect_s09_o086_v01_neutralmixed_mixed_chain.asset","15","21","315","310","42","0.9841","20","27","540","529","54","0.9796","219","225","False","False"
"15","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowCurve","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_15_direct_refresh_topup_rect_dual_zone_g4_v05.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_77_nutation_mixed_neutral_v1_rect_s07_o062_v01_neutralmixed_mixed_chain.asset","14","26","364","355","53","0.9753","20","27","540","530","55","0.9815","175","176","False","False"
"16","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_06_direct_refresh_topup_rect_core_burst_g3_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_41_nutation_mixed_neutral_v1_rect_s04_o035_v01_neutralmixed_mixed_chain.asset","15","29","435","426","54","0.9793","20","27","540","526","56","0.9741","100","105","False","False"
"17","2","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","Assets/ArrowMagic/SOData/Levels/Production/HoleMask/Early30To40/hole_early3040_18x20_standard_r02_r1_ab_091_above300_level_571_final_20260612_163001.asset","18","20","360","195","37","0.5417","18","20","360","195","37","0.5417","0","0","False","False"
"18","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StylePreview/nomask_style_10_zig_river.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_03_nutation_flow_rail_v1_rect_s12_o115_v02_flowrail_patch_chain.asset","18","25","450","439","53","0.9756","20","27","540","535","47","0.9907","96","90","False","False"
"19","2","normal","REPLACED","ReplacedRhythmV4Final","Campaign500_HardGateUntil0910","hardgate","Campaign500_HardGateUntil0910","strict_peak_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_19_direct_normal_pure_rect_lock_buckle_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/h03r/c5hole_lowchoice_v1_h03r_31_nutation_strict_mixed_peak_v1_rect_s14_o136_v00_strictmixedpeak_strict_peak_chain_hf1.asset","19","37","703","693","94","0.9858","24","32","768","756","79","0.9844","63","65","True","False"
"20","2","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowRail","rail_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/TypePreview/nomask_01_outer_shell.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s14_s26/campaign500_normal_full_v1_s14_s26_38_nutation_flow_rail_v1_rect_s17_o161_v01_flowrail_rail_chain.asset","15","22","330","327","41","0.9909","18","24","432","428","38","0.9907","101","102","False","False"
"21","3","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_04_direct_diff_refresh_dag_unlock_stair_ladder_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_78_nutation_mixed_neutral_v1_rect_s07_o062_v02_neutralmixed_mixed_chain.asset","17","24","408","398","59","0.9755","20","27","540","537","60","0.9944","139","132","False","False"
"22","3","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_26_stair_ladder_a.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_28_nutation_mixed_neutral_v1_rect_s03_o021_v00_neutralmixed_mixed_chain.asset","16","24","384","379","55","0.987","20","27","540","536","58","0.9926","157","156","False","False"
"23","3","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L023_train_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_01_L023_train.asset","37","29","1073","728","69","0.6785","37","29","1073","735","87","0.685","7","0","True","False"
"24","3","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","peel","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_02_direct_normal_pure_rect_section_unlock_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_36_nutation_peel_rail_v1_rect_s44_o432_v02_peelmid_rail_chain.asset","18","37","666","655","82","0.9835","25","33","825","817","79","0.9903","162","159","True","False"
"25","3","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_10_direct_normal_pure_extra_rect_lock_buckle_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_142_nutation_pressure_peak_v1_rect_s38_o376_v00_pressurepeak_mixed_chain.asset","21","35","735","728","98","0.9905","26","34","884","871","89","0.9853","143","149","True","False"
"26","3","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_058_tall_18x26_section.asset","18","26","468","385","42","0.8226","18","26","468","385","42","0.8226","0","0","False","False"
"27","3","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L027_crownvarianta_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_02_L027_crownvarianta.asset","36","29","1044","585","68","0.5603","36","29","1044","588","72","0.5632","3","0","True","False"
"28","3","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice02/direct_pure_topup_02_24_direct_refresh_topup_rect_maze_long_chain_g5_v06.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_99_nutation_flow_rail_v1_rect_s35_o346_v02_flowrail_rail_chain.asset","17","29","493","487","63","0.9878","22","29","638","633","59","0.9922","146","145","False","False"
"29","3","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","peel","PressurePeak","mixed_chain","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV4/shape_refresh_v4_L029_sgp_merged_final_outer_repair_quality_filtered26_harde_03_sgp_linework.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_108_nutation_pressure_peak_v1_rect_s35_o347_v02_pressurepeak_mixed_chain.asset","22","35","770","770","98","1","26","34","884","871","90","0.9853","101","114","True","False"
"30","3","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_42_direct_diff_normal_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_126_nutation_mixed_neutral_v1_rect_s37_o366_v02_neutralmixed_mixed_chain.asset","20","32","640","632","92","0.9875","24","32","768","763","78","0.9935","131","128","True","False"
"31","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowCurve","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_05_direct_refresh_topup_rect_sweep_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_06_nutation_strict_mixed_hard_v1_rect_s16_o160_v00_strictmixedhard_mixed_chain.asset","14","28","392","381","61","0.9719","20","27","540","531","55","0.9833","150","148","False","False"
"32","4","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L032_wavecrest_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgDirection3/campaign500_shape_psg_direction3_03_L032_wavecrest.asset","36","36","1296","673","67","0.5193","36","36","1296","667","83","0.5147","-6","0","True","False"
"33","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_17_direct_normal_pure_rect_outer_shell_g8_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_26_nutation_strict_mixed_hard_v1_rect_s34_o339_v00_strictmixedhard_mixed_chain.asset","19","33","627","618","78","0.9856","22","30","660","651","75","0.9864","33","33","False","False"
"34","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","peel","PeelLight","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_03_direct_normal_pure_rect_lock_buckle_g6_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w13b/c5nep_w13b_21_nutation_strict_mixed_localbreak_v1_rect_s44_o439_v08_strictmixedlocalbreak_local_break_chain.asset","20","37","740","725","93","0.9797","24","32","768","759","79","0.9883","34","28","True","False"
"35","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice01/direct_pure_topup_01_12_direct_refresh_topup_rect_dense_weave_g1_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s01_s13/campaign500_normal_full_v1_s01_s13_66_nutation_mixed_neutral_v1_rect_s06_o057_v02_neutralmixed_mixed_chain.asset","17","29","493","484","65","0.9817","22","30","660","652","65","0.9879","168","167","False","False"
"36","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","peel","PeelLight","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_12_direct_normal_pure_extra_rect_core_burst_g16_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_51_nutation_strict_mixed_hard_v1_rect_s48_o476_v00_strictmixedhard_mixed_chain.asset","19","33","627","617","83","0.9841","22","30","660","650","77","0.9848","33","33","False","False"
"37","4","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_009_std_20x22_lock.asset","20","22","440","357","41","0.8114","20","22","440","357","41","0.8114","0","0","False","False"
"38","4","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L038_suspensionbridge_main.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgReviewTop3Rescue/campaign500_shape_psg_review_top3_rescue_01_L038_suspensionbridge_section.asset","40","32","1280","706","100","0.5516","40","32","1280","718","88","0.5609","12","0","True","False"
"39","4","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NormalCandidates/direct_normal_06_direct_normal_rect_core_burst_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_57_nutation_strict_mixed_hard_v1_rect_s50_o491_v01_strictmixedhard_mixed_chain.asset","22","35","770","761","101","0.9883","26","35","910","888","86","0.9758","127","140","True","False"
"40","4","normal","REPLACED","ReplacedRhythmV4","NutationLongChainStrict60Front300","longchain","maze_long_chain","spine_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_11_direct_normal_pure_rect_lock_buckle_g10_v05.asset","Assets/ArrowMagic/SOData/Levels/DirectProcedural/NutationLongChainCandidate80HolefixV1/nutation_longchain_candidate80_holefix_v1_36_nutation_longchain_spine_v1_rect_c80hf_09_d2_core_spine.asset","22","33","726","717","103","0.9876","28","38","1064","1010","72","0.9492","293","338","True","False"
"41","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","flow","FlowPatch","patch_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice03/direct_pure_topup_03_17_direct_refresh_topup_rect_outer_shell_g2_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w2fr/c5nep_w2fr_08_nutation_flow_rail_v1_rect_s18_o175_v01_flowrail_patch_chain.asset","14","28","392","382","62","0.9745","20","27","540","535","53","0.9907","153","148","False","False"
"42","5","normal","REPLACED","ReplacedRhythmV4","Campaign500NormalFullV1UnusedStrict","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice04/direct_pure_topup_04_12_direct_normal_pure_rect_dense_weave_g7_v02.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s39_s50_tail/campaign500_normal_full_v1_s39_s50_tail_31_nutation_mixed_neutral_v1_rect_s44_o431_v00_neutralmixed_mixed_chain.asset","19","33","627","618","80","0.9856","22","30","660","656","76","0.9939","38","33","False","False"
"43","5","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L043_sunglasses_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_05_L043_sunglasses.asset","35","27","945","648","80","0.6857","35","27","945","645","81","0.6825","-3","0","True","False"
"44","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_07_direct_normal_pure_extra_rect_quasi_symmetry_g15_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11b/c5nep_w11b_34_nutation_strict_mixed_hard_v1_rect_s39_o384_v03_strictmixedhard_mixed_chain.asset","20","32","640","628","86","0.9812","25","33","825","814","84","0.9867","186","185","True","False"
"45","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","Campaign500_HardGateUntil0910","mixed_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice05/direct_pure_topup_05_03_direct_normal_pure_rect_lock_buckle_g9_v04.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/s27_s38/campaign500_normal_full_v1_s27_s38_121_nutation_mixed_neutral_v1_rect_s37_o362_v00_neutralmixed_mixed_chain.asset","19","32","608","592","74","0.9737","22","30","660","654","72","0.9909","62","52","False","False"
"46","5","hole","KEPT_CURRENT","OriginalNonTarget","","","","","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","Assets/ArrowMagic/SOData/Levels/HoleProcedural/CandidatePool/hole_candidate_017_std_20x26_maze.asset","20","26","520","437","43","0.8404","20","26","520","437","43","0.8404","0","0","False","False"
"47","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelMid","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/Differentiation120Candidates/direct_diff120_82_direct_diff_hard_room_gate_double_room_lock_g0_v01.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w12d/c5nep_w12d_12_nutation_strict_mixed_hard_v1_rect_s30_o296_v03_strictmixedhard_mixed_chain.asset","24","40","960","940","117","0.9792","25","33","825","809","84","0.9806","-131","-135","True","False"
"48","5","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV1/shape_refresh_v1_L048_kite_large.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_06_L048_kite.asset","34","49","1666","623","78","0.3739","34","49","1666","629","76","0.3776","6","0","True","False"
"49","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","peel","PeelLight","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/NormalExtraSlice01/direct_pure_normal_extra_01_23_direct_normal_pure_extra_rect_quasi_symmetry_g17_v03.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11c/c5nep_w11c_55_nutation_strict_mixed_hard_v1_rect_s49_o482_v04_strictmixedhard_mixed_chain.asset","20","34","680","669","89","0.9838","24","32","768","759","79","0.9883","90","88","True","False"
"50","5","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","neutral","NeutralMixed","mixed_chain","Assets/ArrowMagic/SOData/Levels/NoMaskProcedural/StyleExpansionPreview/nomask_style_expansion_35_zig_river_tall.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w6nm/c5nep_w6nm_13_nutation_mixed_neutral_v1_rect_s38_o374_v00_neutralmixed_mixed_chain.asset","18","30","540","527","67","0.9759","22","30","660","651","67","0.9864","124","120","False","False"
"51","6","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","peel","PeelLight","curve_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_08_direct_normal_pure_rect_maze_long_chain_g6_v07.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w11a/c5nep_w11a_43_nutation_strict_mixed_hard_v1_rect_s43_o424_v02_strictmixedhard_mixed_chain.asset","18","34","612","589","85","0.9624","22","30","660","650","74","0.9848","61","48","False","False"
"52","6","normal","REPLACED","ReplacedRhythmV4","Campaign500_HardGateUntil0910","hardgate","PeelHard","rail_chain","Assets/ArrowMagic/SOData/Levels/DirectProcedural/PureTopupCandidates/Slice06/direct_pure_topup_06_17_direct_normal_pure_rect_outer_shell_g8_v09.asset","Assets/ArrowMagic/SOData/Levels/Campaign500NormalFullV1/w9smp/c5nep_w9smp_02_nutation_strict_mixed_peak_v1_rect_s03_o029_v01_strictmixedpeak_mixed_chain.asset","22","31","682","666","87","0.9765","22","30","660","653","75","0.9894","-13","-22","False","False"
"53","6","shape","REPLACED","ShapeCandidatePlanned","ShapeMaskInventory","","","","Assets/ArrowMagic/SOData/Levels/Campaign500Optimization/ShapeRefreshV2/shape_refresh_v2_L053_camera_compact.asset","Assets/ArrowMagic/SOData/Levels/Production/Campaign500ShapePsgFirst10/campaign500_shape_psg_first10_07_L053_camera.asset","36","29","1044","809","75","0.7749","36","29","1044","816","92","0.7816","7","0","True","False"
