"section10","sectionWaveRole","count","initialChainAvg","finalChainAvg","finalMin","finalMax","orders"
"12","Recovery","3","96.3","83.7","81","87","111|114|120"
"13","Hard","1","93","76","76","76","125"
"13","Normal","4","90.2","75.2","63","82","122|124|128|130"
"13","PeakExtreme","1","102","42","42","42","129"
"13","Recovery","1","51","45","45","45","121"
"14","Hard","2","94","80.5","80","81","132|140"
"14","Normal","3","72.3","64.7","50","72","131|134|137"
"14","PeakExtreme","1","113","99","99","99","136"
"14","Recovery","1","101","85","85","85","139"
"15","Hard","2","112","37","34","40","144|148"
"15","Normal","2","99.5","77.5","71","84","146|150"
"15","PeakExtreme","1","114","98","98","98","149"
"15","Recovery","2","104.5","84.5","77","92","141|145"
"16","Hard","1","106","82","82","82","152"
"16","Normal","3","86.7","71.7","69","75","155|159|160"
"16","PeakExtreme","2","103.5","86.5","74","99","154|156"
"16","Recovery","1","84","80","80","80","157"
"17","Hard","2","116.5","69","37","101","164|166"
"17","Normal","1","95","74","74","74","162"
"17","PeakExtreme","1","124","109","109","109","169"
"17","Recovery","3","81","65","47","76","161|165|170"
"18","Hard","2","109","71.5","70","73","172|176"
"18","Normal","1","92","71","71","71","175"
"18","PeakExtreme","1","115","65","65","65","179"
"18","Recovery","3","103.7","73.3","70","76","171|174|180"
"19","Hard","1","103","75","75","75","185"
"19","Normal","3","102.3","70.7","69","72","182|188|190"
"19","PeakExtreme","1","112","22","22","22","189"
"19","Recovery","2","105","74","71","77","181|186"
"20","Hard","1","108","24","24","24","199"
"20","Normal","4","92.8","70.8","69","74","191|194|197|200"
"20","PeakExtreme","1","135","125","125","125","196"
"20","Recovery","1","106","71","71","71","195"
"21","Hard","2","109","31","27","35","204|208"
"21","Normal","3","103.3","71.3","69","74","202|206|210"
"21","PeakExtreme","1","153","61","61","61","209"
"21","Recovery","1","109","70","70","70","205"
"22","Hard","2","105","68","67","69","214|219"
"22","Normal","3","85","70.3","70","71","212|215|220"
"22","PeakExtreme","1","144","59","59","59","216"
"22","Recovery","1","103","71","71","71","211"
"23","Hard","3","113.7","66.3","58","73","221|224|229"
"23","Normal","2","104.5","70","69","71","222|226"
"23","PeakExtreme","1","163","60","60","60","227"
"23","Recovery","1","101","69","69","69","230"
"24","Hard","2","125","66","64","68","232|236"
"24","Normal","1","104","68","68","68","237"
"24","PeakExtreme","1","171","26","26","26","239"
"24","Recovery","3","91.3","61","45","69","231|234|240"
"25","Hard","1","137","50","50","50","249"
"25","Normal","3","108","66.3","65","68","244|248|250"
"25","PeakExtreme","1","150","51","51","51","245"
"25","Recovery","2","114","67.5","66","69","241|246"
"26","Hard","1","147","56","56","56","252"
"26","Normal","3","103","67.3","66","70","254|257|260"
"26","PeakExtreme","1","159","26","26","26","256"
"26","Recovery","2","118","66","66","66","255|259"
"27","Hard","1","157","26","26","26","264"
"27","Normal","3","104.3","58.7","47","65","262|266|270"
"27","PeakExtreme","1","184","22","22","22","269"
"27","Recovery","2","105.5","64.5","64","65","261|265"
"28","Hard","1","131","63","63","63","274"
"28","Normal","4","108.8","44.2","21","54","272|275|279|280"
"28","PeakExtreme","1","201","23","23","23","276"
"28","Recovery","1","114","66","66","66","271"
"29","Hard","2","143.5","34","29","39","284|289"
"29","Normal","2","107","39","24","54","282|286"
"29","PeakExtreme","1","214","29","29","29","287"
"29","Recovery","2","110.5","29","15","43","281|290"
"30","Hard","1","163","17","17","17","296"
"30","Normal","2","109.5","38","38","38","295|297"
"30","PeakExtreme","1","178","15","15","15","299"
"30","Recovery","3","108.7","30.3","15","40","291|294|300"
"31","Hard","1","181","82","82","82","305"
"31","Normal","4","110.2","101.5","71","122","302|304|308|310"
"31","PeakExtreme","1","200","93","93","93","309"
"31","Recovery","1","117","117","117","117","306"
"32","Hard","1","134","99","99","99","312"
"32","Normal","3","109.7","77.7","47","114","311|314|320"
"32","PeakExtreme","1","233","100","100","100","316"
"32","Recovery","2","115.5","115.5","115","116","315|319"
"33","Hard","2","169.5","114","63","165","324|328"
"33","Normal","3","106","88.3","48","113","322|326|330"
"33","PeakExtreme","1","203","94","94","94","329"
"33","Recovery","1","108","108","108","108","321"
"34","Hard","2","177","146","85","207","331|334"
"34","Normal","3","112.7","101","75","118","332|339|340"
"34","PeakExtreme","1","216","100","100","100","336"
"34","Recovery","1","103","45","45","45","337"
"35","Hard","3","179","150.7","69","213","341|344|349"
"35","Normal","1","112","54","54","54","346"
"35","PeakExtreme","1","189","71","71","71","347"
"35","Recovery","2","117.5","94.5","69","120","345|350"
"36","Hard","2","151","124.5","101","148","352|356"
"36","Normal","2","105.5","68","67","69","355|357"
"36","PeakExtreme","1","176","76","76","76","359"
"36","Recovery","2","122","122","118","126","354|360"
"37","Hard","1","198","84","84","84","369"
"37","Normal","3","142.3","128.7","72","166","362|364|370"
"37","PeakExtreme","1","204","85","85","85","365"
"37","Recovery","2","158","127.5","78","177","361|366"
"38","Hard","1","147","79","79","79","372"
"38","Normal","3","117.7","93.7","67","144","371|374|380"
"38","PeakExtreme","1","186","89","89","89","376"
"38","Recovery","2","157","157","157","157","375|379"
"39","Hard","2","168","124","84","164","384|388"
"39","Normal","3","134","117.3","66","150","382|386|390"
"39","PeakExtreme","1","181","75","75","75","389"
"39","Recovery","1","145","145","145","145","381"
"40","Hard","1","173","81","81","81","394"
"40","Normal","3","136.7","119.7","72","144","395|399|400"
"40","PeakExtreme","1","174","84","84","84","396"
"40","Recovery","2","121","121","105","137","391|397"
"41","Hard","3","156.7","126.7","80","155","404|405|409"
"41","Normal","2","106.5","69.5","68","71","402|406"
"41","PeakExtreme","1","196","92","92","92","407"
"41","Recovery","1","139","139","139","139","410"
"42","Hard","2","153.5","125","101","149","412|416"
"42","Normal","1","141","141","141","141","415"
"42","PeakExtreme","1","203","92","92","92","419"
"42","Recovery","3","121.3","95","69","143","411|414|420"
"43","Hard","1","205","84","84","84","429"
"43","Normal","4","133.8","108.2","66","147","422|424|428|430"
"43","PeakExtreme","1","213","86","86","86","425"
"43","Recovery","1","180","180","180","180","421"
"44","Hard","1","164","99","99","99","432"
"44","Normal","4","149.8","149.8","112","164","431|434|437|440"
"44","PeakExtreme","1","194","84","84","84","436"
"44","Recovery","1","158","79","79","79","439"
"45","Hard","3","184","147.3","87","196","444|445|448"
"45","Normal","2","150.5","150.5","136","165","446|450"
"45","PeakExtreme","1","181","86","86","86","449"
"45","Recovery","1","105","105","105","105","441"
"46","Hard","2","168","118.5","81","156","454|459"
"46","Normal","3","153","130.7","82","156","452|455|460"
"46","PeakExtreme","1","224","92","92","92","456"
"46","Recovery","1","117","74","74","74","457"
"47","Hard","2","135.5","77","65","89","464|469"
"47","Normal","2","150.5","150.5","135","166","462|466"
"47","PeakExtreme","1","213","104","104","104","465"
"47","Recovery","2","158.5","158.5","149","168","461|470"
"48","Hard","3","184","127","73","231","472|475|476"
"48","PeakExtreme","1","185","93","93","93","479"
"48","Recovery","3","141.7","121.7","46","178","471|474|480"
"49","Hard","1","108","76","76","76","489"
"49","Normal","3","181.3","157.7","79","199","482|488|490"
"49","PeakExtreme","1","189","121","121","121","485"
"49","Recovery","2","160.5","142","71","213","481|486"
"50","Hard","1","199","86","86","86","491"
"50","Normal","2","171.5","171.5","151","192","494|497"
"50","PeakExtreme","2","154","89.5","71","108","496|500"
"50","Recovery","2","128","115","71","159","495|499"
