"chokeClass","chokeScore","levelId","order","category","difficultyCode","sampleRole","chains","arrows","solved","processTier","avgChoices","choiceP80","maxChoices","remoteChokes","remoteScore","compositeBreakWindows","afterLocalFrontierBreaks","switchFrontierBreaks","choiceChokeWindows","meaningfulOptionRate","localOnlyRate","usefulTensionRate","flatConsequenceRate","branchDivergenceAvg","localRun","nearOuterRun","depFollowRun","sts","collapse","riskTags","assetPath","sourceFile"
"ChokeReview","46.798","nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180","","","","","94","","True","B","5.99","8","10","2","0.839","1","0","0","3","0.478","0.043","0.109","0.511","5.361","6","5","5","0.82","0.277","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationHubMixedV1Strict30TransformWidePool\nutation_hub_mixed_v1_strict30_transform_wide_08_s02_rot180.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"StrongChokeReview","45.114","sgp_rdcm_v2_s02_03_c3","","","","","","","","A","4.94","6","8","2","0.763","0","0","0","0","0.415","0.065","0.065","0.435","4.921","4","3","5","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_03_c3.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeReview","41.394","campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier","","","","","15","","True","A","4.07","7","8","1","0.578","1","0","1","1","0.306","0.154","0.077","0.077","4.929","3","3","1","0.924","0.123","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500LongChainProd200PoolV1\campaign500_longchain_prod200_pool_v1_02_l003_long_normal_a_normal_s01_slot_seedweave_braid_carrier.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_process_keep.csv"
"ChokeSignalRisky","41.361","rdsb_08_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_sub","","","","","64","","True","B","5.84","9","11","2","0.866","1","0","1","3","0.317","0.21","0.065","0.581","4.448","4","3","3","0.823","0.264","choicePeakHigh;localOnlyHigh;flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_08_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_sub.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"ChokeReview","40.446","nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch","","","","","75","","True","B","6.17","8","10","2","0.853","0","0","0","2","0.397","0.041","0.041","0.365","5.21","4","4","3","0.907","0.141","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\DirectProcedural\NutationLongChainCandidate80HolefixV1\nutation_longchain_candidate80_holefix_v1_15_nutation_longchain_patch_v1_rect_c80hf_04_d1_core_patch.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk2\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk2_metrics.csv"
"ChokeSignalRisky","38.637","rdsb_01_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwa","","","","","58","","True","Drop","7.24","11","13","4","0.97","0","0","0","3","0.208","0.298","0","0.526","5.065","4","3","3","0.903","0.151","choicePeakHigh;localOnlyHigh;flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening-runner\Assets\ArrowMagic\SOData\Levels\DirectProcedural\RDSB\rdsb_01_sgp_pressure_hard_rect_read_demand_v1_scheduled_break_sb_dwa.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_scheduled_break_smoke1_metrics.csv"
"ChokeSignalRisky","38.406","campaign500_shape_psg_next10_tail9_02_L083_ballmouse","","","","","91","","True","B","3.76","5","8","0","0","3","1","2","7","0.324","0.133","0.12","0.41","3.458","9","2","7","0.643","0.512","localRunHigh;depFollowHigh","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\Campaign500ShapePsgNext10Tail9\campaign500_shape_psg_next10_tail9_02_L083_ballmouse.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk3\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk3_metrics.csv"
"ChokeReview","37.021","sgp_rdcm_v2_s03_05_t42_c5","","","","","66","","True","A","4.92","7","9","1","0.383","0","0","1","4","0.446","0.079","0.127","0.556","4.741","4","3","4","0.766","0.34","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_05_t42_c5.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeReview","37.014","sgp_rdcm_v2_s01_03_c27","","","","","","","","B","4.58","6","8","1","0.548","0","0","0","0","0.397","0.161","0.161","0.375","5.571","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_03_c27.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"ChokeReview","36.931","sgp_rdcm_v2_s03_09_c5","","","","","66","","True","A","4.86","7","9","1","0.383","0","0","1","4","0.446","0.079","0.143","0.587","4.664","4","3","4","0.802","0.308","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s03_09_c5.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak2_metrics.csv"
"ChokeReview","36.685","sgp_rdcm_v2_s01_02_c22","","","","","","","","B","4.61","6","8","1","0.548","0","0","0","0","0.392","0.161","0.161","0.375","5.519","4","4","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s01_02_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_06_rfp55_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_06_rfp55_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_04_rfp55_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_04_rfp55_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","35.548","sgp_rdcm_v2rp_r01_01_rfp55_t36_c33","","","","","57","","","A","4.14","6","7","0","0","3","0","0","4","0","0","0","0","0","3","3","4","0.887","0.221","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_01_rfp55_t36_c33.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"ChokeReview","31.406","campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain","","","","","38","","True","B","4.79","6","8","1","0.475","0","0","0","2","0.469","0.054","0.081","0.27","5.942","6","3","4","0.878","0.163","","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Campaign500NormalFullV1\s01_s13\campaign500_normal_full_v1_s01_s13_123_nutation_flow_rail_v1_rect_s11_o102_v02_flowrail_rail_chain.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"StrongChokeReview","30.885","sgp_rdcm_v2_s04_02_c51","","","","","64","","True","B","4.73","6","8","0","0","1","0","0","2","0.616","0.048","0.097","0.403","5.5","5","3","4","0.921","0.147","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_02_c51.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\sgp-rhythm-lab\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\sgp_pressure_read_demand_v1_choice_value_v2_review5_diag_metrics.csv"
"StrongChokeReview","27.753","sgp_rdcm_v2_s04_06_t12","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.585","0.065","0.129","0.403","5.631","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_06_t12.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_trace1_review_v1_review_keep.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_01_rfp55_rfp52_t36","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_01_rfp55_rfp52_t36.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_03_rfp55_c22","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_03_rfp55_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_05_rfp55","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_05_rfp55.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_03_rfp55_rfp52","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_03_rfp55_rfp52.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_05_rfp55_c22","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_05_rfp55_c22.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_overlap_bundle_repair_trace1_review_v1_ranked.csv"
"StrongChokeReview","27.556","sgp_rdcm_v2rp_r01_02_rfp55_t36","","","","","57","","","A","4.25","6","8","0","0","2","0","0","4","0","0","0","0","0","3","3","4","0.889","0.219","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r01_02_rfp55_t36.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","26.936","sgp_rdcm_v2_s02_02_c16","","","","","","","","B","4.62","6","8","2","0.867","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s02_02_c16.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_break_wrapper_smoke2_remote_metrics_ranked.csv"
"ChokeReview","26.302","seed_Arrowz_level_035_holeblock_multiseed_final","","","","","22","","True","B","3.73","5","6","1","0.46","0","0","0","2","0.278","0.19","0.19","0.524","3.606","4","4","3","0.855","0.055","flatConsequenceHigh","F:\Unityproject\ArrowLevel-Hand\Exports\C5V5F100\U\Assets\ArrowMagic\SOData\Levels\Production\HoleMask\Early\hole_early_16x18_standard_r01_seed_Arrowz_level_035_20260611_143152.asset","F:\Unityproject\ArrowLevel-Hand\Exports\Campaign500_DesignPlanning_20260702\TraceV2Calibration30\TraceRunChunks\chunk1\Assets\ArrowMagic\SOData\Reports\SGPRhythmLab\campaign500_trace_v2_calibration30_chunk1_metrics.csv"
"StrongChokeReview","25.63","sgp_rdcm_v2_s04_04_t51_t12","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.589","0.065","0.081","0.403","5.409","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_04_t51_t12.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"StrongChokeReview","25.566","sgp_rdcm_v2_s04_03_t51","","","","","","","","B","4.77","6","8","0","0","0","0","0","0","0.585","0.065","0.081","0.403","5.409","5","3","4","0","0","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_03_t51.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choice_value_v2_review_ranked.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2rp_r03_01_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2RepairPlan\sgp_rdcm_v2rp_r03_01_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_repair_plan_trace1_review_v1_ranked.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2_s04_01_t51_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_01_t51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_residual2_review_v1_ranked.csv"
"StrongChokeReview","23.672","sgp_rdcm_v2_s04_03_t51_c54","","","","","64","","","A","4.58","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.918","0.151","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_03_t51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_drainbreak5_composite_review_v1_srcapped4_ranked.csv"
"StrongChokeReview","23.668","sgp_rdcm_v2_s04_05_c51_c54","","","","","64","","","A","4.53","6","8","0","0","2","0","0","2","0","0","0","0","0","4","3","5","0.917","0.154","","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\Assets\ArrowMagic\SOData\Levels\DirectProcedural\SGPPressureReadDemandV1ChokeMutationV2\sgp_rdcm_v2_s04_05_c51_c54.asset","F:\Unityproject\ArrowLevel-Hand\.worktrees\read-demand-hardening\.codex-run\sgp_pressure_read_demand_v1_choke_mutation_v2_residual2_review_v1_ranked.csv"
