"Row","Mode","Order","Section10","StyleHint","DifficultyCode","ExperienceRole","ProfileHint","SpecId","LevelId","AssetPath","Width","Height","Chains","TemplateTargetChains","SpecTargetChains","TargetChainsMin","TargetChainsMax","Arrows","Coverage","OuterBandCoverage","InitialMovableChains","EdgeHeadChains","AvgChain","MaxChain","PortableSolved","PortableOpeners","Attempts","Status","sourceReportCsv","sourceProjectRoot","originalAssetPath","absoluteAssetPath","traceEligible"
"43","pure_relaxed","165","17","maze","1","Recovery","PSG_Normal_maze_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_pure_relaxed_l165_maze","campaign500_psg_prod200_c03_o011_s100_n050_43_sgp_pressure_hard_campaign500_pure_relaxed_l165_maze","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_43_sgp_pressure_hard_campaign500_pure_relaxed_l165_maze.asset","19","35","86","86","77","77","95","657","0.988","0.990","4","10","7.64","15","True","4","72","Style=PressureCampaignRelaxed | Score=12172 | TargetInitial=6 | OpeningRatio=0.047 | EarlyChoices=23.3/53 | LocalRun=5 | Jump=8.4 | NearRate=0.55 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=9998182 fill=657/665(0.988) chains=86 remaining=8 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_43_sgp_pressure_hard_campaign500_pure_relaxed_l165_maze.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_43_sgp_pressure_hard_campaign500_pure_relaxed_l165_maze.asset","True"
"44","layout_soft","165","17","maze","1","Recovery","PSG_Normal_maze_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_layout_soft_l165_maze","campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze.asset","23","30","96","90","94","80","99","677","0.981","0.969","6","7","7.05","14","True","6","30","Style=PressureCampaignMedium | Score=19620 | TargetInitial=7 | OpeningRatio=0.073 | EarlyChoices=28.2/55 | LocalRun=5 | Jump=8.6 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignMedium seed=5608662 fill=677/690(0.981) chains=96 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=7->6 edgeHeads=8->7 earlyChoices=28.0/50 localRun=5 jump=9.0 near=0.61 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_44_sgp_pressure_hard_campaign500_layout_soft_l165_maze.asset","True"
"45","language_a","166","17","section","2","Normal","PSG_Normal_section_Hard_Normal","sgp_pressure_hard_campaign500_language_a_l166_section","campaign500_psg_prod200_c03_o011_s100_n050_45_sgp_pressure_hard_campaign500_language_a_l166_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_45_sgp_pressure_hard_campaign500_language_a_l166_section.asset","20","38","108","119","112","107","131","749","0.986","0.986","3","9","6.94","14","True","3","132","Style=PressureCampaignSectionLang | Score=24594 | TargetInitial=6 | OpeningRatio=0.028 | EarlyChoices=27.3/43 | LocalRun=9 | Jump=5.9 | NearRate=0.71 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=16296059 fill=749/760(0.986) chains=108 remaining=11 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_45_sgp_pressure_hard_campaign500_language_a_l166_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_45_sgp_pressure_hard_campaign500_language_a_l166_section.asset","True"
"46","language_b","166","17","section","2","Normal","PSG_Normal_section_Hard_Normal","sgp_pressure_hard_campaign500_language_b_l166_section","campaign500_psg_prod200_c03_o011_s100_n050_46_sgp_pressure_hard_campaign500_language_b_l166_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_46_sgp_pressure_hard_campaign500_language_b_l166_section.asset","20","38","97","119","112","107","131","752","0.989","0.991","3","8","7.75","14","True","3","161","Style=PressureCampaignSectionLang | Score=23565 | TargetInitial=6 | OpeningRatio=0.031 | EarlyChoices=21.7/39 | LocalRun=10 | Jump=3.5 | NearRate=0.84 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=19344040 fill=752/760(0.989) chains=97 remaining=8 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_46_sgp_pressure_hard_campaign500_language_b_l166_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_46_sgp_pressure_hard_campaign500_language_b_l166_section.asset","True"
"47","pure_relaxed","166","17","section","2","Normal","PSG_Normal_section_Hard_Normal","sgp_pressure_hard_campaign500_pure_relaxed_l166_section","campaign500_psg_prod200_c03_o011_s100_n050_47_sgp_pressure_hard_campaign500_pure_relaxed_l166_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_47_sgp_pressure_hard_campaign500_pure_relaxed_l166_section.asset","20","38","91","119","107","107","131","747","0.983","1.000","2","12","8.21","16","True","2","53","Style=PressureCampaignRelaxed | Score=10257 | TargetInitial=6 | OpeningRatio=0.022 | EarlyChoices=27.3/49 | LocalRun=6 | Jump=7.5 | NearRate=0.61 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=8045094 fill=747/760(0.983) chains=91 remaining=13 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_47_sgp_pressure_hard_campaign500_pure_relaxed_l166_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_47_sgp_pressure_hard_campaign500_pure_relaxed_l166_section.asset","True"
"48","layout_soft","166","17","section","2","Normal","PSG_Normal_section_Hard_Normal","sgp_pressure_hard_campaign500_layout_soft_l166_section","campaign500_psg_prod200_c03_o011_s100_n050_48_sgp_pressure_hard_campaign500_layout_soft_l166_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_48_sgp_pressure_hard_campaign500_layout_soft_l166_section.asset","24","31","98","112","105","105","128","735","0.988","0.990","4","8","7.50","14","True","4","79","Style=PressureCampaignMedium | Score=34458 | TargetInitial=7 | OpeningRatio=0.041 | EarlyChoices=20.5/46 | LocalRun=8 | Jump=7.8 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignMedium seed=10777148 fill=735/744(0.988) chains=98 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_48_sgp_pressure_hard_campaign500_layout_soft_l166_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_48_sgp_pressure_hard_campaign500_layout_soft_l166_section.asset","True"
"49","language_a","169","17","lock","3","Pressure","PSG_Normal_lock_VeryHard_Pressure","sgp_pressure_hard_campaign500_language_a_l169_lock","campaign500_psg_prod200_c03_o011_s100_n050_49_sgp_pressure_hard_campaign500_language_a_l169_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_49_sgp_pressure_hard_campaign500_language_a_l169_lock.asset","25","40","117","124","117","112","136","986","0.986","0.988","5","11","8.43","15","True","5","44","Style=PressureCampaignLockLang | Score=64080 | TargetInitial=6 | OpeningRatio=0.043 | EarlyChoices=27.7/47 | LocalRun=7 | Jump=9.5 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignLockLang seed=7116640 fill=986/1000(0.986) chains=117 remaining=14 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_49_sgp_pressure_hard_campaign500_language_a_l169_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_49_sgp_pressure_hard_campaign500_language_a_l169_lock.asset","True"
"50","language_b","169","17","lock","3","Pressure","PSG_Normal_lock_VeryHard_Pressure","sgp_pressure_hard_campaign500_language_b_l169_lock","campaign500_psg_prod200_c03_o011_s100_n050_50_sgp_pressure_hard_campaign500_language_b_l169_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_50_sgp_pressure_hard_campaign500_language_b_l169_lock.asset","25","40","123","124","117","112","136","978","0.978","0.955","2","7","7.95","15","True","2","41","Style=PressureCampaignLockLang | Score=55018 | TargetInitial=6 | OpeningRatio=0.016 | EarlyChoices=27.5/60 | LocalRun=4 | Jump=9.8 | NearRate=0.52 | Direction=n/a | Peel style=PressureCampaignLockLang seed=6813305 fill=978/1000(0.978) chains=123 remaining=22 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_50_sgp_pressure_hard_campaign500_language_b_l169_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_50_sgp_pressure_hard_campaign500_language_b_l169_lock.asset","True"
"51","pure_relaxed","169","17","lock","3","Pressure","PSG_Normal_lock_VeryHard_Pressure","sgp_pressure_hard_campaign500_pure_relaxed_l169_lock","campaign500_psg_prod200_c03_o011_s100_n050_51_sgp_pressure_hard_campaign500_pure_relaxed_l169_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_51_sgp_pressure_hard_campaign500_pure_relaxed_l169_lock.asset","25","40","125","124","112","112","136","991","0.991","0.984","4","8","7.93","16","True","4","180","Style=PressureCampaignRelaxed | Score=37738 | TargetInitial=9 | OpeningRatio=0.032 | EarlyChoices=34.2/54 | LocalRun=9 | Jump=7.8 | NearRate=0.74 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=21382558 fill=991/1000(0.991) chains=125 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_51_sgp_pressure_hard_campaign500_pure_relaxed_l169_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_51_sgp_pressure_hard_campaign500_pure_relaxed_l169_lock.asset","True"
"52","layout_soft","169","17","lock","3","Pressure","PSG_Normal_lock_VeryHard_Pressure","sgp_pressure_hard_campaign500_layout_soft_l169_lock","campaign500_psg_prod200_c03_o011_s100_n050_52_sgp_pressure_hard_campaign500_layout_soft_l169_lock","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_52_sgp_pressure_hard_campaign500_layout_soft_l169_lock.asset","28","37","138","132","124","116","141","1020","0.985","0.988","6","12","7.39","14","True","6","117","Style=PressureCampaignMedium | Score=37129 | TargetInitial=10 | OpeningRatio=0.043 | EarlyChoices=34.8/52 | LocalRun=9 | Jump=7.6 | NearRate=0.77 | Direction=n/a | Peel style=PressureCampaignMedium seed=14793737 fill=1020/1036(0.985) chains=138 remaining=16 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->6 edgeHeads=13->12 earlyChoices=32.6/51 localRun=7 jump=7.7 near=0.74 targetInitial=5","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_52_sgp_pressure_hard_campaign500_layout_soft_l169_lock.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_52_sgp_pressure_hard_campaign500_layout_soft_l169_lock.asset","True"
"53","language_a","170","17","section","1","Recovery","PSG_Normal_section_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_language_a_l170_section","campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section.asset","22","37","105","104","98","94","114","805","0.989","0.995","2","10","7.67","14","True","2","40","Style=PressureCampaignSectionLang | Score=30697 | TargetInitial=6 | OpeningRatio=0.019 | EarlyChoices=23.3/44 | LocalRun=8 | Jump=7.2 | NearRate=0.77 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=6734571 fill=805/814(0.989) chains=105 remaining=9 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_53_sgp_pressure_hard_campaign500_language_a_l170_section.asset","True"
"54","language_b","170","17","section","1","Recovery","PSG_Normal_section_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_language_b_l170_section","campaign500_psg_prod200_c03_o011_s100_n050_54_sgp_pressure_hard_campaign500_language_b_l170_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_54_sgp_pressure_hard_campaign500_language_b_l170_section.asset","22","37","103","104","98","94","114","808","0.993","0.986","4","8","7.84","14","True","4","142","Style=PressureCampaignSectionLang | Score=29119 | TargetInitial=6 | OpeningRatio=0.058 | EarlyChoices=28.4/55 | LocalRun=8 | Jump=9.0 | NearRate=0.65 | Direction=n/a | Peel style=PressureCampaignSectionLang seed=17427785 fill=808/814(0.993) chains=103 remaining=6 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->4 edgeHeads=10->8 earlyChoices=29.4/46 localRun=8 jump=9.4 near=0.61 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_54_sgp_pressure_hard_campaign500_language_b_l170_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_54_sgp_pressure_hard_campaign500_language_b_l170_section.asset","True"
"55","pure_relaxed","170","17","section","1","Recovery","PSG_Normal_section_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_pure_relaxed_l170_section","campaign500_psg_prod200_c03_o011_s100_n050_55_sgp_pressure_hard_campaign500_pure_relaxed_l170_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_55_sgp_pressure_hard_campaign500_pure_relaxed_l170_section.asset","22","37","96","104","94","94","114","800","0.983","0.982","4","9","8.33","16","True","4","147","Style=PressureCampaignRelaxed | Score=33392 | TargetInitial=7 | OpeningRatio=0.042 | EarlyChoices=30.8/50 | LocalRun=5 | Jump=10.3 | NearRate=0.55 | Direction=n/a | Peel style=PressureCampaignRelaxed seed=17963264 fill=800/814(0.983) chains=96 remaining=14 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_55_sgp_pressure_hard_campaign500_pure_relaxed_l170_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_55_sgp_pressure_hard_campaign500_pure_relaxed_l170_section.asset","True"
"56","layout_soft","170","17","section","1","Recovery","PSG_Normal_section_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_layout_soft_l170_section","campaign500_psg_prod200_c03_o011_s100_n050_56_sgp_pressure_hard_campaign500_layout_soft_l170_section","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_56_sgp_pressure_hard_campaign500_layout_soft_l170_section.asset","25","33","108","107","101","95","116","812","0.984","0.977","4","11","7.52","14","True","4","38","Style=PressureCampaignMedium | Score=26028 | TargetInitial=8 | OpeningRatio=0.056 | EarlyChoices=28.8/49 | LocalRun=5 | Jump=9.8 | NearRate=0.55 | Direction=n/a | Peel style=PressureCampaignMedium seed=6556911 fill=812/825(0.984) chains=108 remaining=13 rejectedShort=0 failedPeels=1 | FlipGate=ops=2 initial=6->4 edgeHeads=13->11 earlyChoices=27.7/43 localRun=5 jump=10.1 near=0.58 targetInitial=4","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_56_sgp_pressure_hard_campaign500_layout_soft_l170_section.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_56_sgp_pressure_hard_campaign500_layout_soft_l170_section.asset","True"
"57","language_a","171","18","dense","1","Recovery","PSG_Normal_dense_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_language_a_l171_dense","campaign500_psg_prod200_c03_o011_s100_n050_57_sgp_pressure_hard_campaign500_language_a_l171_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_57_sgp_pressure_hard_campaign500_language_a_l171_dense.asset","22","38","134","108","124","97","119","819","0.980","0.978","4","10","6.11","11","True","4","309","Style=PressureCampaignDenseLang | Score=27717 | TargetInitial=8 | OpeningRatio=0.030 | EarlyChoices=27.4/44 | LocalRun=6 | Jump=5.6 | NearRate=0.68 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=34943219 fill=819/836(0.980) chains=134 remaining=17 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_57_sgp_pressure_hard_campaign500_language_a_l171_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_57_sgp_pressure_hard_campaign500_language_a_l171_dense.asset","True"
"58","language_b","171","18","dense","1","Recovery","PSG_Normal_dense_NormalOrRecovery_Recovery","sgp_pressure_hard_campaign500_language_b_l171_dense","campaign500_psg_prod200_c03_o011_s100_n050_58_sgp_pressure_hard_campaign500_language_b_l171_dense","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_58_sgp_pressure_hard_campaign500_language_b_l171_dense.asset","22","38","135","108","124","97","119","820","0.981","0.964","5","10","6.07","11","True","5","367","Style=PressureCampaignDenseLang | Score=22379 | TargetInitial=8 | OpeningRatio=0.037 | EarlyChoices=32.0/46 | LocalRun=9 | Jump=6.9 | NearRate=0.71 | Direction=n/a | Peel style=PressureCampaignDenseLang seed=41028361 fill=820/836(0.981) chains=135 remaining=16 rejectedShort=0 failedPeels=1","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Reports\Campaign500\PSGNormal\campaign500_psg_normal_prod200_c03_o011_s100_n050_report.csv","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03","Assets/ArrowMagic/SOData/Levels/Campaign500PSGNormal/Chunks/prod200_c03_o011_s100_n050/campaign500_psg_prod200_c03_o011_s100_n050_58_sgp_pressure_hard_campaign500_language_b_l171_dense.asset","D:\Unityproject\ArrowLevel-Hand-campaign500-psg-normal-c03\Assets\ArrowMagic\SOData\Levels\Campaign500PSGNormal\Chunks\prod200_c03_o011_s100_n050\campaign500_psg_prod200_c03_o011_s100_n050_58_sgp_pressure_hard_campaign500_language_b_l171_dense.asset","True"
